Date,Open,High,Low,Close,Adj Close,Volume
1995-05-01,2.812500,2.890625,2.593750,2.843750,2.204971,21669600
1995-06-01,2.859375,3.062500,2.812500,2.851563,2.211031,11953600
1995-07-01,2.843750,2.906250,2.656250,2.781250,2.156511,10532000
1995-08-01,2.781250,2.906250,2.468750,2.843750,2.204971,23817600
1995-09-01,2.781250,3.468750,2.750000,3.375000,2.616889,11662400
1995-10-01,3.250000,3.468750,3.156250,3.406250,2.641120,14925600
1995-11-01,3.500000,3.781250,3.406250,3.625000,2.810734,9320000
1995-12-01,3.625000,4.281250,3.625000,4.125000,3.198419,6960800
1996-01-01,4.062500,4.125000,3.875000,3.906250,3.028808,7048800
1996-02-01,3.843750,3.968750,3.500000,3.625000,2.810734,12864000
1996-03-01,3.500000,4.250000,3.500000,4.125000,3.198419,9526400
1996-04-01,4.062500,4.687500,4.062500,4.500000,3.489186,5693600
1996-05-01,4.406250,4.656250,4.125000,4.218750,3.271112,30480000
1996-06-01,4.203125,4.562500,3.953125,4.156250,3.222651,13461600
1996-07-01,4.125000,4.359375,3.484375,4.296875,3.331688,13656800
1996-08-01,4.265625,4.828125,4.234375,4.765625,3.695146,9010400
1996-09-01,4.734375,5.562500,4.625000,5.562500,4.313021,11186400
1996-10-01,5.562500,5.718750,5.015625,5.296875,4.107062,8462400
1996-11-01,5.265625,5.281250,4.703125,4.921875,3.816297,7920800
1996-12-01,4.921875,6.031250,4.921875,6.031250,4.676478,6302400
1997-01-01,6.000000,6.281250,5.312500,6.125000,4.749171,9121600
1997-02-01,6.125000,6.468750,5.750000,6.296875,4.882435,13240800
1997-03-01,6.296875,6.625000,5.468750,5.468750,4.240330,10888000
1997-04-01,5.484375,5.812500,5.421875,5.578125,4.325138,12896000
1997-05-01,5.609375,5.765625,5.156250,5.328125,4.131293,19656000
1997-06-01,5.343750,6.421875,5.281250,6.234375,4.833978,21076000
1997-07-01,6.203125,6.203125,5.640625,5.875000,4.555328,15296000
1997-08-01,5.859375,6.492188,5.773438,6.257813,4.852150,19429600
1997-09-01,6.257813,8.156250,6.257813,7.304688,5.663869,32925600
1997-10-01,7.304688,7.812500,6.906250,7.437500,5.766847,22565600
1997-11-01,7.453125,8.109375,7.312500,8.093750,6.275690,13654400
1997-12-01,8.093750,8.289063,6.500000,7.281250,5.645696,15822400
1998-01-01,7.281250,7.429688,6.703125,7.078125,5.488199,20896800
1998-02-01,7.109375,7.921875,7.085938,7.312500,5.669926,21123200
1998-03-01,7.328125,7.617188,6.875000,7.515625,5.827425,23102400
1998-04-01,7.500000,8.000000,6.734375,6.812500,5.282240,24723200
1998-05-01,6.796875,7.000000,6.296875,6.796875,5.270123,31643200
1998-06-01,6.812500,8.750000,6.453125,8.210938,6.366554,29842400
1998-07-01,8.281250,10.093750,7.875000,9.515625,7.378177,72313600
1998-08-01,6.812500,7.156250,5.828125,5.882813,4.561384,65387200
1998-09-01,5.875000,7.984375,5.558594,6.804688,5.276183,28546400
1998-10-01,6.804688,7.421875,5.734375,6.554688,5.082338,23926400
1998-11-01,6.585938,8.187500,6.578125,8.000000,6.202997,27824800
1998-12-01,8.007813,8.156250,7.437500,8.125000,6.299920,9957600
