Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,3.125000,4.250000,2.625000,3.937500,3.937500,305400
1991-02-01,3.937500,4.875000,3.812500,4.625000,4.625000,577600
1991-03-01,4.625000,5.187500,4.125000,4.437500,4.437500,394800
1991-04-01,4.375000,4.812500,4.187500,4.312500,4.312500,342400
1991-05-01,4.312500,4.625000,4.000000,4.312500,4.312500,230200
1991-06-01,4.312500,4.375000,3.375000,3.500000,3.500000,265200
1991-07-01,3.437500,3.687500,3.062500,3.562500,3.562500,389600
1991-08-01,3.562500,3.687500,3.250000,3.500000,3.500000,278800
1991-09-01,3.500000,7.812500,3.437500,7.000000,7.000000,3847200
1991-10-01,7.000000,8.750000,6.125000,8.000000,8.000000,1515200
1991-11-01,8.125000,11.375000,7.500000,9.437500,9.437500,2517400
1991-12-01,9.375000,9.437500,7.750000,8.437500,8.437500,952400
1992-01-01,8.437500,9.312500,7.437500,7.750000,7.750000,1187000
1992-02-01,7.687500,8.687500,6.125000,6.875000,6.875000,786800
1992-03-01,7.000000,8.000000,6.562500,6.937500,6.937500,462800
1992-04-01,6.812500,7.500000,5.312500,6.500000,6.500000,610800
1992-05-01,6.625000,7.250000,5.187500,6.312500,6.312500,356000
1992-06-01,6.375000,7.125000,5.187500,5.750000,5.750000,294800
1992-07-01,5.750000,6.875000,5.687500,6.062500,6.062500,183800
1992-08-01,6.000000,6.250000,5.250000,5.875000,5.875000,272600
1992-09-01,5.812500,6.000000,4.875000,5.250000,5.250000,531400
1992-10-01,5.625000,6.375000,4.375000,6.000000,6.000000,463400
1992-11-01,6.000000,7.750000,5.625000,6.250000,6.250000,932800
1992-12-01,6.250000,6.625000,5.000000,5.375000,5.375000,712200
1993-01-01,5.625000,5.750000,4.750000,5.187500,5.187500,237800
1993-02-01,5.187500,5.625000,4.375000,4.875000,4.875000,483800
1993-03-01,4.625000,4.875000,3.625000,4.562500,4.562500,584600
1993-04-01,4.375000,4.750000,3.625000,4.125000,4.125000,391400
1993-05-01,3.750000,6.000000,3.500000,5.625000,5.625000,623600
1993-06-01,5.125000,5.875000,4.125000,4.500000,4.500000,391600
1993-07-01,4.375000,5.000000,4.375000,4.500000,4.500000,211600
1993-08-01,4.250000,4.750000,3.750000,3.875000,3.875000,238800
1993-09-01,3.875000,5.000000,3.750000,4.750000,4.750000,430200
1993-10-01,5.000000,5.250000,4.000000,4.500000,4.500000,481600
1993-11-01,4.500000,4.500000,3.875000,3.875000,3.875000,218800
1993-12-01,3.875000,4.250000,3.750000,3.750000,3.750000,528400
1994-01-01,4.000000,4.250000,3.750000,3.875000,3.875000,331400
1994-02-01,3.750000,4.500000,3.500000,4.250000,4.250000,559200
1994-03-01,3.750000,4.250000,3.500000,3.750000,3.750000,152600
1994-04-01,3.500000,4.125000,3.375000,3.875000,3.875000,135600
1994-05-01,3.875000,3.875000,3.000000,3.125000,3.125000,172200
1994-06-01,3.125000,3.625000,2.875000,3.250000,3.250000,148800
1994-07-01,3.625000,3.875000,3.187500,3.500000,3.500000,130600
1994-08-01,3.375000,4.000000,3.000000,3.750000,3.750000,168000
1994-09-01,3.375000,4.000000,3.250000,3.312500,3.312500,136600
1994-10-01,3.750000,3.750000,2.875000,3.000000,3.000000,296800
1994-11-01,3.000000,3.750000,3.000000,3.000000,3.000000,874000
1994-12-01,3.000000,3.250000,2.000000,2.875000,2.875000,1044400
1995-01-01,2.625000,3.187500,2.500000,2.812500,2.812500,270800
1995-02-01,2.500000,4.750000,2.437500,4.375000,4.375000,255400
1995-03-01,4.375000,4.375000,2.937500,3.625000,3.625000,224600
1995-04-01,3.187500,4.375000,3.000000,4.375000,4.375000,261000
1995-05-01,3.875000,4.500000,3.500000,4.250000,4.250000,526000
1995-06-01,3.812500,4.312500,3.437500,4.312500,4.312500,271800
1995-07-01,4.312500,6.625000,3.437500,5.875000,5.875000,723600
1995-08-01,6.000000,6.500000,5.000000,5.625000,5.625000,504000
1995-09-01,5.750000,5.875000,5.000000,5.625000,5.625000,397600
1995-10-01,5.187500,6.000000,4.375000,5.875000,5.875000,262200
1995-11-01,5.250000,6.750000,4.875000,6.500000,6.500000,501600
1995-12-01,6.687500,8.000000,5.000000,7.500000,7.500000,1282400
1996-01-01,7.125000,7.625000,6.000000,6.750000,6.750000,491600
1996-02-01,6.750000,7.375000,6.000000,6.062500,6.062500,348600
1996-03-01,6.187500,6.625000,5.750000,6.500000,6.500000,408800
1996-04-01,6.625000,7.250000,6.250000,6.937500,6.937500,517200
1996-05-01,7.000000,9.000000,6.375000,8.437500,8.437500,1060800
1996-06-01,8.437500,8.875000,7.125000,7.250000,7.250000,536800
1996-07-01,7.500000,7.750000,5.062500,6.000000,6.000000,665800
1996-08-01,6.000000,6.750000,5.500000,6.250000,6.250000,289800
1996-09-01,5.687500,9.125000,5.250000,8.250000,8.250000,969400
1996-10-01,8.000000,9.125000,6.875000,7.000000,7.000000,453600
1996-11-01,6.875000,7.500000,6.250000,6.750000,6.750000,315000
1996-12-01,6.312500,7.125000,5.750000,6.062500,6.062500,419200
1997-01-01,6.437500,6.625000,5.875000,6.000000,6.000000,257800
1997-02-01,6.375000,6.500000,5.000000,5.500000,5.500000,372800
1997-03-01,5.750000,6.000000,4.750000,5.875000,5.875000,458800
1997-04-01,5.375000,5.875000,4.750000,4.750000,4.750000,206800
1997-05-01,5.000000,6.250000,4.750000,5.375000,5.375000,590600
1997-06-01,5.250000,8.000000,5.250000,7.437500,7.437500,1238600
1997-07-01,7.500000,8.750000,6.750000,8.500000,8.500000,726200
1997-08-01,8.125000,9.062500,8.125000,8.437500,8.437500,569200
1997-09-01,8.375000,9.500000,7.875000,8.625000,8.625000,983600
1997-10-01,8.750000,11.750000,8.187500,9.500000,9.500000,1533600
1997-11-01,10.125000,10.500000,8.250000,8.500000,8.500000,1363000
1997-12-01,8.875000,9.437500,7.750000,8.187500,8.187500,751800
1998-01-01,8.125000,8.812500,7.750000,8.250000,8.250000,689800
1998-02-01,8.250000,8.375000,6.687500,6.781250,6.781250,896800
1998-03-01,6.687500,8.375000,6.437500,7.562500,7.562500,1398400
1998-04-01,7.375000,7.562500,7.000000,7.312500,7.312500,360400
1998-05-01,7.500000,8.750000,7.250000,7.750000,7.750000,941600
1998-06-01,7.750000,8.250000,6.593750,6.687500,6.687500,546000
1998-07-01,6.687500,7.750000,6.125000,6.625000,6.625000,742800
1998-08-01,6.750000,7.125000,4.125000,4.500000,4.500000,1038800
1998-09-01,4.812500,5.562500,4.250000,5.312500,5.312500,673200
1998-10-01,5.000000,5.281250,3.500000,5.281250,5.281250,497800
1998-11-01,5.000000,5.687500,4.750000,5.375000,5.375000,685200
1998-12-01,5.187500,5.375000,4.000000,4.906250,4.906250,893600
1999-01-01,5.125000,5.125000,4.250000,4.312500,4.312500,411200
1999-02-01,4.375000,4.875000,4.125000,4.562500,4.562500,947200
1999-03-01,4.562500,6.687500,4.406250,6.250000,6.250000,807400
1999-04-01,6.281250,9.000000,5.937500,8.500000,8.500000,695800
1999-05-01,8.500000,9.000000,7.437500,8.000000,8.000000,1275600
1999-06-01,8.000000,8.000000,6.500000,6.875000,6.875000,269800
1999-07-01,6.750000,8.375000,6.687500,7.625000,7.625000,645600
1999-08-01,7.656250,7.750000,6.625000,7.125000,7.125000,402400
1999-09-01,7.125000,8.125000,6.781250,7.750000,7.750000,463200
1999-10-01,7.937500,12.500000,7.625000,10.875000,10.875000,1947000
1999-11-01,10.750000,17.687500,9.562500,15.437500,15.437500,2482200
1999-12-01,15.500000,29.687500,15.000000,18.375000,18.375000,5771800
2000-01-01,18.515625,32.500000,16.937500,29.250000,29.250000,3730800
2000-02-01,27.750000,41.687500,25.000000,36.968750,36.968750,3246800
2000-03-01,34.062500,34.968750,18.437500,20.250000,20.250000,9458800
2000-04-01,19.750000,21.750000,12.625000,18.562500,18.562500,2852000
2000-05-01,18.031250,22.500000,16.875000,19.125000,19.125000,1978200
2000-06-01,19.593750,20.750000,14.562500,15.375000,15.375000,2803600
2000-07-01,15.593750,24.062500,15.593750,19.875000,19.875000,2709200
2000-08-01,19.625000,31.812500,18.695313,30.187500,30.187500,2297400
2000-09-01,30.218750,34.750000,25.500000,34.062500,34.062500,2310800
