Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,1.266667,1.450000,1.191667,1.375000,0.800087,79578000
1991-02-01,1.383333,1.683333,1.383333,1.566667,0.911615,91965000
1991-03-01,1.558333,1.583333,1.391667,1.541667,0.900517,45813000
1991-04-01,1.533333,1.800000,1.508333,1.675000,0.978399,47721000
1991-05-01,1.675000,1.675000,1.425000,1.533333,0.895648,42781500
1991-06-01,1.525000,1.575000,1.350000,1.450000,0.850336,31683000
1991-07-01,1.466667,1.633333,1.383333,1.625000,0.952963,41470500
1991-08-01,1.633333,1.650000,1.483333,1.608333,0.943188,46950000
1991-09-01,1.591667,1.650000,1.500000,1.650000,0.971266,38628000
1991-10-01,1.650000,1.866667,1.550000,1.850000,1.088995,41763000
1991-11-01,1.841667,1.991667,1.708333,1.783333,1.049752,45130500
1991-12-01,1.783333,2.075000,1.758333,1.991667,1.176426,35992500
1992-01-01,2.000000,2.191667,1.941667,1.966667,1.161660,44925000
1992-02-01,1.958333,2.125000,1.941667,2.000000,1.181349,36600000
1992-03-01,1.991667,1.991667,1.791667,1.833333,1.086525,42717000
1992-04-01,1.816667,1.925000,1.600000,1.900000,1.126034,63487500
1992-05-01,1.883333,1.941667,1.833333,1.925000,1.140851,23164500
1992-06-01,1.916667,2.025000,1.808333,2.016667,1.199870,36861000
1992-07-01,2.000000,2.266667,2.000000,2.225000,1.323823,38367000
1992-08-01,2.216667,2.216667,2.058333,2.183333,1.299032,31239000
1992-09-01,2.175000,2.233333,1.916667,2.100000,1.253598,64758000
1992-10-01,2.091667,2.116667,1.950000,1.983333,1.183954,44551500
1992-11-01,2.000000,2.125000,1.941667,2.108333,1.258573,58452000
1992-12-01,2.108333,2.325000,2.091667,2.300000,1.378041,43797000
1993-01-01,2.316667,2.383333,2.200000,2.241667,1.343091,38517000
1993-02-01,2.258333,2.433333,2.233333,2.333333,1.398012,41349000
1993-03-01,2.350000,2.458333,2.258333,2.400000,1.442363,70141500
1993-04-01,2.400000,2.650000,2.300000,2.500000,1.502461,46206000
1993-05-01,2.508333,2.683333,2.425000,2.633333,1.582593,36097500
1993-06-01,2.641667,2.677083,2.322917,2.364583,1.425618,57467100
1993-07-01,2.364583,2.541667,2.322917,2.468750,1.488420,24435600
1993-08-01,2.468750,2.833333,2.458333,2.750000,1.657987,37636800
1993-09-01,2.770833,2.791667,2.510417,2.687500,1.625658,34030800
1993-10-01,2.687500,2.729167,2.520833,2.625000,1.587851,27360000
1993-11-01,2.625000,2.625000,2.062500,2.250000,1.361016,63956400
1993-12-01,2.250000,2.489583,2.208333,2.375000,1.441494,60672000
1994-01-01,2.375000,2.406250,2.104167,2.322917,1.409882,71311200
1994-02-01,2.468750,2.552083,2.270833,2.468750,1.498394,70882800
1994-03-01,2.468750,2.656250,2.416667,2.562500,1.560609,72714000
1994-04-01,2.500000,2.541667,2.416667,2.531250,1.541576,40111200
1994-05-01,2.531250,2.822917,2.520833,2.791667,1.700175,39243600
1994-06-01,2.781250,2.906250,2.697917,2.812500,1.719139,41464800
1994-07-01,2.791667,2.916667,2.708333,2.906250,1.776444,39679200
1994-08-01,2.906250,3.010417,2.843750,2.989583,1.827381,42481200
1994-09-01,2.968750,3.000000,2.729167,2.843750,1.743971,46024800
1994-10-01,2.843750,2.864583,2.635417,2.843750,1.743971,33850800
1994-11-01,2.843750,2.958333,2.770833,2.822917,1.731194,30314400
1994-12-01,2.822917,2.854167,2.666667,2.666667,1.640860,24042000
1995-01-01,2.666667,2.916667,2.656250,2.885417,1.775463,42492000
1995-02-01,2.906250,3.145833,2.875000,3.135417,1.929292,34366800
1995-03-01,3.135417,3.562500,3.020833,3.416667,2.108841,56246400
1995-04-01,3.322917,3.447917,3.250000,3.447917,2.128130,35412000
