Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,4.406250,5.812500,4.375000,5.375000,4.736659,7697600
1991-02-01,5.375000,5.937500,5.281250,5.718750,5.053527,5252000
1991-03-01,5.687500,6.343750,5.593750,6.250000,5.522978,9666800
1991-04-01,6.250000,6.281250,5.343750,5.593750,4.943067,7068000
1991-05-01,5.562500,5.937500,5.468750,5.687500,5.035933,3815600
1991-06-01,5.656250,5.781250,5.343750,5.375000,4.759234,4313600
1991-07-01,5.343750,5.968750,5.343750,5.843750,5.174283,3889200
1991-08-01,5.812500,5.937500,5.375000,5.656250,5.019541,3739200
1991-09-01,5.687500,5.812500,5.406250,5.500000,4.880881,3856800
1991-10-01,5.500000,5.500000,4.875000,5.062500,4.492630,6190000
1991-11-01,5.062500,5.187500,4.718750,4.812500,4.281214,2994400
1991-12-01,4.781250,5.437500,4.531250,5.437500,4.837214,6358800
1992-01-01,5.406250,5.968750,5.375000,5.625000,5.004015,5057600
1992-02-01,5.562500,5.718750,5.375000,5.531250,4.931636,4562000
1992-03-01,5.500000,5.562500,4.562500,4.750000,4.235076,6554000
1992-04-01,4.750000,4.750000,4.281250,4.531250,4.040040,4862800
1992-05-01,4.531250,5.468750,4.406250,5.156250,4.610274,8024800
1992-06-01,5.187500,5.500000,4.562500,4.625000,4.135276,4827200
1992-07-01,4.593750,4.875000,4.437500,4.531250,4.051454,2158800
1992-08-01,4.531250,4.687500,4.312500,4.375000,3.922070,2510800
1992-09-01,4.375000,4.625000,4.312500,4.343750,3.894054,4187200
1992-10-01,4.312500,4.312500,3.687500,4.062500,3.641921,4819600
1992-11-01,4.031250,4.406250,3.937500,4.187500,3.765657,4343200
1992-12-01,4.156250,4.218750,3.781250,4.125000,3.709453,2948800
1993-01-01,4.218750,4.531250,4.093750,4.187500,3.765657,5717200
1993-02-01,4.187500,4.437500,3.906250,4.125000,3.709453,2535600
1993-03-01,4.156250,4.468750,4.031250,4.281250,3.849963,3594400
1993-04-01,4.250000,4.468750,4.000000,4.156250,3.737555,6230000
1993-05-01,4.156250,4.312500,3.937500,4.031250,3.625147,3275200
1993-06-01,4.000000,4.218750,3.562500,3.750000,3.372230,6381200
1993-07-01,3.750000,3.781250,3.125000,3.187500,2.866396,9236400
1993-08-01,3.187500,3.312500,3.062500,3.281250,2.950701,4302400
1993-09-01,3.281250,3.406250,3.093750,3.187500,2.866396,3434400
1993-10-01,3.187500,4.062500,3.125000,4.000000,3.597045,3965200
1993-11-01,4.000000,4.343750,3.812500,4.062500,3.653250,4061200
1993-12-01,4.062500,4.218750,3.437500,3.531250,3.175516,8678800
1994-01-01,3.531250,4.562500,3.468750,4.375000,3.934269,11202000
1994-02-01,4.406250,4.718750,4.093750,4.312500,3.878063,14070800
1994-03-01,4.281250,4.312500,3.406250,3.656250,3.287924,10546800
1994-04-01,3.593750,4.000000,3.437500,3.906250,3.512740,7446400
1994-05-01,3.906250,4.031250,3.750000,3.937500,3.540841,3661600
1994-06-01,3.906250,4.000000,3.625000,3.937500,3.540841,7706000
1994-07-01,3.750000,4.125000,3.593750,4.062500,3.653250,10542000
1994-08-01,4.062500,4.468750,3.968750,4.437500,3.990473,10648400
1994-09-01,4.437500,4.437500,3.937500,4.187500,3.765657,6340000
1994-10-01,4.125000,4.437500,3.656250,4.343750,3.906166,12726000
1994-11-01,4.343750,4.500000,3.937500,4.093750,3.681351,9253200
1994-12-01,4.062500,4.187500,3.281250,3.750000,3.372230,14512000
1995-01-01,3.750000,4.187500,3.593750,3.718750,3.344128,11469600
1995-02-01,3.750000,3.937500,3.593750,3.843750,3.456536,7770800
1995-03-01,3.843750,4.031250,3.375000,3.968750,3.568944,14874000
1995-04-01,3.906250,4.312500,3.625000,4.281250,3.849963,11580400
1995-05-01,4.281250,4.281250,4.062500,4.156250,3.737555,7472000
1995-06-01,4.156250,4.593750,3.937500,4.562500,4.102880,19326400
1995-07-01,4.562500,5.031250,4.562500,4.812500,4.327696,13816400
1995-08-01,4.843750,5.000000,4.500000,4.875000,4.383899,13154400
1995-09-01,4.843750,5.343750,3.500000,3.937500,3.540841,26876400
1995-10-01,3.875000,4.062500,3.406250,3.750000,3.372230,16110000
1995-11-01,3.718750,4.593750,3.625000,4.531250,4.074778,13804800
1995-12-01,4.500000,4.718750,4.031250,4.062500,3.653250,12822800
1996-01-01,4.062500,4.968750,3.968750,4.937500,4.440104,16572400
1996-02-01,4.937500,5.687500,4.812500,5.562500,5.002141,24645200
1996-03-01,5.562500,6.937500,5.343750,6.687500,6.013810,37568400
1996-04-01,6.718750,7.687500,6.250000,6.375000,5.732793,30970400
1996-05-01,6.343750,7.156250,6.062500,6.500000,5.845198,17316800
1996-06-01,6.562500,7.250000,6.500000,6.843750,6.154320,9392800
