Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,0.332031,0.460938,0.304688,0.460938,0.344737,250617600
1991-02-01,0.457031,0.507813,0.398438,0.460938,0.344737,234412800
1991-03-01,0.460938,0.542969,0.414063,0.464844,0.347659,260262400
1991-04-01,0.472656,0.593750,0.464844,0.488281,0.365187,366560000
1991-05-01,0.484375,0.531250,0.437500,0.523438,0.391481,283353600
1991-06-01,0.519531,0.542969,0.433594,0.445313,0.333051,238713600
1991-07-01,0.447266,0.507813,0.437500,0.507813,0.379795,240448000
1991-08-01,0.507813,0.531250,0.410156,0.464844,0.347659,453017600
1991-09-01,0.472656,0.492188,0.402344,0.410156,0.306757,294739200
1991-10-01,0.414063,0.441406,0.351563,0.378906,0.283385,253894400
1991-11-01,0.394531,0.457031,0.351563,0.421875,0.315522,257753600
1991-12-01,0.410156,0.570313,0.410156,0.550781,0.411932,236972800
1992-01-01,0.542969,0.628906,0.503906,0.599609,0.448450,261670400
1992-02-01,0.597656,0.730469,0.585938,0.679688,0.508342,381670400
1992-03-01,0.679688,0.757813,0.597656,0.623047,0.465979,353753600
1992-04-01,0.617188,0.648438,0.515625,0.578125,0.432382,220224000
1992-05-01,0.593750,0.734375,0.546875,0.703125,0.525870,205763200
1992-06-01,0.695313,0.703125,0.523438,0.625000,0.467440,204342400
1992-07-01,0.632813,0.695313,0.554688,0.687500,0.514184,180982400
1992-08-01,0.687500,0.812500,0.664063,0.734375,0.549242,514265600
1992-09-01,0.734375,0.875000,0.726563,0.851563,0.636887,363507200
1992-10-01,0.843750,0.953125,0.750000,0.921875,0.689474,426796800
1992-11-01,0.914063,1.156250,0.914063,1.132813,0.847236,452777600
1992-12-01,1.148438,1.210938,1.023438,1.054688,0.788805,300147200
1993-01-01,1.062500,1.265625,1.007813,1.093750,0.818020,398009600
1993-02-01,1.109375,1.257813,1.062500,1.257813,0.940724,371830400
1993-03-01,1.250000,1.437500,1.250000,1.343750,1.004996,375078400
1993-04-01,1.328125,1.375000,1.140625,1.332031,0.996231,369152000
1993-05-01,1.335938,1.703125,1.328125,1.617188,1.209502,394441600
1993-06-01,1.625000,1.781250,1.539063,1.687500,1.262088,396422400
1993-07-01,1.695313,2.070313,1.656250,2.062500,1.542552,308134400
1993-08-01,2.062500,2.328125,2.023438,2.242188,1.676941,384323200
1993-09-01,2.226563,2.500000,1.984375,2.234375,1.671098,515974400
1993-10-01,2.250000,2.406250,1.765625,1.968750,1.472436,538769600
1993-11-01,1.984375,2.328125,1.828125,2.203125,1.647727,386088000
1993-12-01,2.312500,2.453125,2.031250,2.421875,1.811330,264360000
1994-01-01,2.421875,2.859375,2.281250,2.757813,2.062580,334358400
1994-02-01,2.734375,3.218750,2.609375,2.968750,2.220339,321006400
1994-03-01,2.984375,3.250000,2.625000,2.781250,2.080108,343526400
1994-04-01,2.656250,3.078125,2.265625,2.781250,2.080108,443216000
1994-05-01,2.781250,2.921875,2.375000,2.726563,2.039207,350089600
1994-06-01,2.687500,2.968750,2.328125,2.671875,1.998306,441339200
1994-07-01,2.671875,3.109375,2.562500,2.796875,2.091794,370948800
1994-08-01,2.828125,3.406250,2.781250,3.156250,2.360572,427355200
1994-09-01,3.125000,3.234375,2.781250,2.921875,2.185282,453072000
1994-10-01,2.890625,3.296875,2.625000,3.250000,2.430688,472305600
1994-11-01,3.187500,3.328125,2.968750,2.992188,2.237869,462444800
1994-12-01,2.984375,3.000000,2.484375,2.640625,1.974934,501648000
1995-01-01,2.609375,2.812500,2.312500,2.406250,1.799645,606980800
1995-02-01,2.421875,2.984375,2.406250,2.882813,2.156067,610377600
1995-03-01,2.906250,3.781250,2.890625,3.445313,2.576763,798712000
1995-04-01,3.445313,3.937500,3.296875,3.851563,2.880599,422513600
1995-05-01,3.859375,5.367188,3.718750,4.812500,3.599289,814470400
1995-06-01,4.843750,5.531250,4.796875,5.414063,4.049202,625979200
1995-07-01,5.421875,6.906250,5.343750,6.468750,4.838005,743960000
1995-08-01,6.531250,7.484375,5.750000,6.500000,4.861376,998625600
1995-09-01,6.500000,7.171875,5.828125,6.390625,4.779576,893577600
1995-10-01,6.421875,6.625000,5.281250,6.265625,4.686086,893073600
1995-11-01,6.281250,6.937500,5.171875,6.078125,4.545853,1023304000
1995-12-01,6.062500,6.234375,4.796875,4.921875,3.681091,627271200
1996-01-01,4.968750,5.171875,3.750000,4.625000,3.459056,1076138400
1996-02-01,4.625000,5.593750,4.437500,4.468750,3.342196,1135708800
1996-03-01,4.468750,4.781250,3.828125,4.359375,3.260394,751721600
1996-04-01,4.375000,5.312500,4.242188,5.000000,3.739520,577492800
1996-05-01,4.968750,5.171875,4.328125,4.656250,3.482429,591999200
1996-06-01,4.625000,4.656250,3.609375,3.812500,2.851384,548862400
1996-07-01,3.843750,4.031250,2.718750,2.984375,2.232025,623996800
1996-08-01,2.984375,3.437500,2.890625,3.031250,2.267084,539464000
1996-09-01,3.015625,3.671875,2.843750,3.453125,2.582607,567213600
1996-10-01,3.406250,3.812500,3.203125,3.304688,2.471590,435336800
1996-11-01,3.312500,4.968750,3.234375,4.765625,3.564230,858292000
1996-12-01,4.781250,5.062500,4.234375,4.492188,3.359727,525201600
1997-01-01,4.484375,6.203125,4.335938,6.171875,4.615972,744144000
1997-02-01,6.140625,6.890625,5.109375,6.328125,4.732829,1019306400
1997-03-01,6.281250,6.765625,5.406250,5.796875,4.335505,733941600
1997-04-01,5.656250,6.875000,5.609375,6.859375,5.130155,902187200
1997-05-01,6.828125,9.000000,6.687500,8.156250,6.100091,996428800
1997-06-01,8.187500,9.328125,7.195313,8.851563,6.620121,866764800
1997-07-01,8.843750,11.656250,8.828125,11.484375,8.589214,774464800
1997-08-01,11.437500,13.546875,11.031250,11.796875,8.822932,997075200
1997-09-01,11.906250,12.812500,11.359375,11.906250,8.904735,716932800
1997-10-01,12.015625,13.242188,7.312500,8.343750,6.240324,1364100800
1997-11-01,8.750000,10.031250,7.187500,8.250000,6.170208,1095137600
1997-12-01,8.453125,8.984375,6.375000,7.531250,5.632653,989510800
1998-01-01,7.562500,8.312500,6.609375,8.203125,6.135150,838734800
1998-02-01,8.468750,9.531250,8.312500,9.203125,6.883052,885586800
1998-03-01,9.140625,9.187500,7.953125,8.828125,6.602588,604428800
1998-04-01,8.765625,9.875000,8.468750,9.031250,6.754508,534290800
1998-05-01,9.062500,9.902344,7.906250,8.000000,5.983233,484684000
1998-06-01,7.968750,8.125000,6.500000,7.375000,5.515792,624042400
1998-07-01,7.640625,8.625000,6.875000,8.375000,6.263695,657576400
1998-08-01,8.281250,9.343750,6.125000,6.140625,4.592598,687114400
1998-09-01,6.218750,6.937500,5.609375,6.312500,4.721145,471828000
1998-10-01,6.093750,9.156250,5.390625,8.671875,6.485731,692145600
1998-11-01,8.500000,10.750000,8.046875,9.687500,7.245319,651678000
1998-12-01,9.375000,11.750000,9.328125,10.671875,7.981541,547404800
1999-01-01,10.718750,16.015625,10.718750,15.796875,11.814545,723701600
1999-02-01,16.000000,17.906250,13.828125,13.906250,10.400540,892726800
1999-03-01,14.203125,16.765625,13.625000,15.421875,11.534084,826577200
1999-04-01,15.828125,17.218750,12.109375,13.406250,10.026589,767939200
1999-05-01,13.453125,16.812500,12.687500,13.750000,10.283681,760185200
1999-06-01,13.687500,18.750000,13.375000,18.468750,13.812855,603458000
1999-07-01,18.468750,19.984375,17.015625,17.984375,13.450584,563714400
1999-08-01,18.031250,19.812500,15.562500,17.765625,13.286983,793236400
1999-09-01,17.812500,21.234375,17.812500,19.421875,14.525699,665827200
1999-10-01,19.250000,22.546875,18.390625,22.453125,16.792786,591642800
1999-11-01,22.359375,28.312500,21.875000,24.359375,18.218477,608927600
1999-12-01,24.687500,32.250000,24.531250,31.671875,23.687521,463789600
2000-01-01,32.093750,36.656250,27.750000,34.312500,25.662474,608900000
2000-02-01,33.437500,47.437500,33.312500,45.734375,34.204918,624787200
2000-03-01,45.875000,55.000000,40.750000,47.125000,35.244987,576942400
2000-04-01,47.781250,57.500000,39.000000,50.906250,38.073002,658740600
2000-05-01,51.843750,52.375000,34.406250,41.750000,31.225000,774145000
2000-06-01,43.000000,49.250000,42.750000,45.312500,33.889397,443568200
2000-07-01,45.406250,47.250000,36.000000,37.937500,28.373608,578943200
2000-08-01,38.531250,43.812500,32.375000,43.156250,32.276741,707651200
2000-09-01,43.843750,44.437500,29.117188,29.656250,22.180033,565569800
2000-10-01,30.375000,30.468750,20.250000,26.562500,19.866198,942094200
2000-11-01,23.945313,26.375000,19.250000,20.218750,15.121683,710865800
2000-12-01,20.562500,25.625000,17.062500,19.093750,14.280290,726354400
2001-01-01,19.406250,26.968750,19.000000,25.156250,18.814465,1084515800
2001-02-01,25.187500,25.812500,20.500000,21.125000,15.799471,781639800
