Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,0.854167,0.944444,0.826389,0.944444,0.500765,597600
1991-02-01,0.944444,1.125000,0.944444,1.048611,0.562925,1555200
1991-03-01,1.048611,1.069444,0.923611,0.930556,0.499550,981000
1991-04-01,0.930556,1.055556,0.916667,1.055556,0.566653,2386800
1991-05-01,1.055556,1.173611,1.055556,1.138889,0.618071,2475000
1991-06-01,1.152778,1.208333,1.090278,1.090278,0.591690,844200
1991-07-01,1.090278,1.090278,1.000000,1.020833,0.554003,343800
1991-08-01,1.020833,1.020833,0.958333,1.000000,0.548627,887400
1991-09-01,0.993056,0.993056,0.951389,0.958333,0.525768,585000
1991-10-01,0.951389,1.006944,0.916667,1.006944,0.552437,943200
1991-11-01,1.006944,1.048611,0.972222,0.972222,0.539381,849600
1991-12-01,0.958333,1.000000,0.937500,1.000000,0.554792,2413800
1992-01-01,1.000000,1.131944,0.993056,1.111111,0.616435,6231600
1992-02-01,1.111111,1.347222,1.111111,1.236111,0.692668,6636600
1992-03-01,1.236111,1.444444,1.236111,1.437500,0.805518,9828000
1992-04-01,1.430556,1.777778,1.430556,1.708333,0.957282,31611600
1992-05-01,1.708333,1.791667,1.673611,1.763889,0.994679,9916200
1992-06-01,1.763889,1.958333,1.763889,1.875000,1.057337,10198800
1992-07-01,1.875000,2.013889,1.715278,1.833333,1.033840,11026800
1992-08-01,1.854167,1.881944,1.750000,1.861111,1.056003,4483800
1992-09-01,1.875000,1.916667,1.500000,1.500000,0.851107,6136200
1992-10-01,1.500000,1.743056,1.326389,1.694444,0.961435,4818600
1992-11-01,1.701389,1.902778,1.541667,1.847222,1.055098,4059000
1992-12-01,1.833333,2.125000,1.826389,2.125000,1.213759,4919400
1993-01-01,2.111111,2.111111,1.930556,2.090278,1.193927,4975200
1993-02-01,2.097222,2.347222,2.097222,2.208333,1.268331,4629600
1993-03-01,2.208333,2.513889,2.076389,2.437500,1.399951,9365400
1993-04-01,2.423611,2.437500,2.055556,2.208333,1.284803,5711400
1993-05-01,2.208333,2.652778,2.201389,2.645833,1.547148,5342400
1993-06-01,2.659722,2.986111,2.638889,2.666667,1.559331,10168200
