Date,Open,High,Low,Close,Adj Close,Volume
1991-12-01,0.238281,0.281250,0.226563,0.281250,0.252987,59040000
1992-01-01,0.277344,0.332031,0.265625,0.285156,0.256501,174275200
1992-02-01,0.281250,0.292969,0.242188,0.257813,0.231905,57532800
1992-03-01,0.253906,0.273438,0.238281,0.253906,0.228391,42569600
1992-04-01,0.250000,0.261719,0.218750,0.246094,0.221364,20985600
1992-05-01,0.246094,0.250000,0.222656,0.238281,0.214336,12512000
1992-06-01,0.238281,0.257813,0.203125,0.226563,0.203796,18032000
1992-07-01,0.230469,0.230469,0.187500,0.222656,0.200281,30633600
1992-08-01,0.222656,0.234375,0.195313,0.199219,0.179199,26697600
1992-09-01,0.203125,0.226563,0.203125,0.218750,0.196768,39331200
1992-10-01,0.214844,0.214844,0.160156,0.164063,0.147576,29654400
1992-11-01,0.167969,0.187500,0.160156,0.164063,0.147576,45216000
1992-12-01,0.167969,0.242188,0.164063,0.218750,0.196768,91769600
1993-01-01,0.222656,0.265625,0.210938,0.242188,0.217850,60732800
1993-02-01,0.246094,0.273438,0.238281,0.261719,0.235419,59878400
1993-03-01,0.257813,0.265625,0.226563,0.230469,0.207309,39868800
1993-04-01,0.230469,0.257813,0.203125,0.246094,0.221364,37632000
1993-05-01,0.250000,0.316406,0.246094,0.308594,0.277583,42844800
1993-06-01,0.304688,0.347656,0.300781,0.324219,0.291638,58448000
1993-07-01,0.324219,0.367188,0.296875,0.343750,0.309206,51788800
1993-08-01,0.343750,0.398438,0.312500,0.394531,0.354884,61910400
1993-09-01,0.390625,0.441406,0.375000,0.437500,0.393536,52057600
1993-10-01,0.437500,0.464844,0.390625,0.429688,0.386509,74086400
1993-11-01,0.429688,0.449219,0.386719,0.406250,0.365426,46950400
1993-12-01,0.410156,0.515625,0.402344,0.515625,0.463810,49340800
1994-01-01,0.507813,0.542969,0.476563,0.515625,0.463810,42428800
1994-02-01,0.523438,0.562500,0.476563,0.488281,0.439213,225417600
1994-03-01,0.488281,0.527344,0.445313,0.453125,0.407590,109148800
1994-04-01,0.449219,0.554688,0.441406,0.550781,0.495433,70723200
1994-05-01,0.550781,0.578125,0.515625,0.531250,0.477865,92262400
1994-06-01,0.535156,0.562500,0.480469,0.500000,0.449755,64822400
1994-07-01,0.507813,0.632813,0.507813,0.621094,0.558680,96294400
1994-08-01,0.621094,0.644531,0.593750,0.640625,0.576248,62870400
1994-09-01,0.640625,0.750000,0.632813,0.691406,0.621926,73011200
1994-10-01,0.695313,0.753906,0.652344,0.679688,0.611386,71248000
1994-11-01,0.683594,0.785156,0.667969,0.746094,0.671118,64940800
1994-12-01,0.750000,0.761719,0.664063,0.750000,0.674632,46454400
1995-01-01,0.750000,0.761719,0.625000,0.710938,0.639495,67577600
1995-02-01,0.710938,0.773438,0.710938,0.769531,0.692200,156656000
1995-03-01,0.765625,0.859375,0.765625,0.781250,0.702742,80188800
1995-04-01,0.781250,0.929688,0.742188,0.875000,0.787071,121081600
1995-05-01,0.871094,0.906250,0.769531,0.863281,0.776529,71932800
1995-06-01,0.863281,0.949219,0.835938,0.910156,0.818694,50691200
1995-07-01,0.910156,0.921875,0.765625,0.847656,0.762475,141824000
1995-08-01,0.847656,0.855469,0.671875,0.765625,0.688687,247984000
1995-09-01,0.765625,0.824219,0.671875,0.675781,0.607872,146796800
1995-10-01,0.679688,0.691406,0.617188,0.675781,0.607872,232652800
1995-11-01,0.664063,0.710938,0.585938,0.703125,0.632468,201219200
1995-12-01,0.703125,0.757813,0.648438,0.757813,0.681660,103939200
1996-01-01,0.757813,0.761719,0.628906,0.660156,0.593816,126883200
1996-02-01,0.667969,0.812500,0.664063,0.761719,0.685174,133264000
1996-03-01,0.761719,0.808594,0.726563,0.730469,0.657064,88697600
