Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,5.278424,5.922134,4.892198,5.857763,3.474994,122341155
1991-02-01,5.922134,6.984256,5.696835,6.179618,3.665925,123007992
1991-03-01,6.179618,7.788894,6.115247,7.434853,4.410569,150213948
1991-04-01,7.209554,7.821079,6.437102,6.437102,3.818672,169408919
1991-05-01,6.662401,6.952070,5.793392,6.598030,3.945566,165171767
1991-06-01,6.662401,6.662401,5.793392,5.793392,3.464401,94084263
1991-07-01,5.986505,6.694586,5.600279,6.533659,3.946538,116057658
1991-08-01,6.565844,7.080812,6.179618,6.823328,4.121507,111465141
1991-09-01,6.758957,6.887699,6.469288,6.598030,3.985421,94294762
1991-10-01,6.662401,6.791143,4.763456,4.892198,2.983596,221527093
1991-11-01,4.924383,5.149682,4.699085,4.892198,2.983596,127819552
1991-12-01,4.860012,5.471537,4.634714,5.278424,3.219140,141122508
1992-01-01,5.278424,6.018690,5.149682,5.310609,3.278267,160379622
1992-02-01,5.374980,5.729021,5.278424,5.407166,3.337873,100373194
1992-03-01,5.407166,6.243989,5.342795,5.889948,3.635897,137780167
1992-04-01,5.825577,6.115247,5.535908,5.793392,3.615164,115230424
1992-05-01,5.857763,5.986505,5.632464,5.857763,3.655335,81098605
1992-06-01,5.857763,6.340546,5.825577,5.986505,3.735673,124631394
1992-07-01,5.986505,6.340546,5.793392,5.922134,3.735453,92208807
1992-08-01,5.889948,5.922134,5.214053,5.374980,3.390329,73284529
1992-09-01,5.407166,5.857763,5.374980,5.632464,3.552741,81265219
1992-10-01,5.600279,5.632464,5.149682,5.503722,3.511438,89967116
1992-11-01,5.535908,6.018690,5.310609,5.889948,3.757856,78764480
1992-12-01,5.889948,6.533659,5.761206,6.404917,4.086409,126464905
1993-01-01,6.404917,6.855514,5.761206,5.986505,3.819459,185371460
1993-02-01,6.437102,6.533659,5.986505,6.308360,4.065669,157011261
1993-03-01,6.308360,7.467038,6.243989,6.984256,4.501276,164583377
1993-04-01,6.952070,7.660151,6.823328,7.209554,4.688719,115972603
1993-05-01,7.145183,7.499224,6.952070,7.402667,4.814310,78054922
1993-06-01,7.402667,8.336047,7.048627,8.303862,5.400398,118146721
1993-07-01,8.239491,8.818830,7.853265,8.400418,5.463194,108663027
1993-08-01,8.432604,8.851015,8.303862,8.368233,5.486152,101043528
1993-09-01,8.368233,9.430355,8.368233,9.237241,6.055865,122749335
1993-10-01,9.140685,9.333798,7.949821,8.303862,5.443951,114355418
1993-11-01,8.303862,8.336047,7.660151,8.078563,5.333940,96016808
1993-12-01,8.142934,8.336047,7.724523,7.949821,5.248939,85219635
1994-01-01,7.724523,8.529160,7.370482,8.400418,5.546449,210774971
1994-02-01,8.336047,8.496975,7.467038,7.531409,5.013273,119076098
1994-03-01,7.499224,7.917636,6.791143,7.145183,4.756179,169343671
1994-04-01,6.823328,7.853265,6.758957,7.627966,5.077546,110088745
1994-05-01,7.692337,8.060054,7.273925,8.060054,5.413936,86743822
1994-06-01,8.169467,8.424763,7.476521,7.512992,5.046477,108153205
1994-07-01,7.476521,7.914171,7.367108,7.731817,5.193459,76728093
1994-08-01,7.658875,8.351821,7.658875,8.205938,5.560515,96270078
1994-09-01,8.169467,9.336533,8.132996,8.862413,6.005362,156637494
1994-10-01,8.825942,9.117708,8.570646,9.008296,6.104208,105458243
1994-11-01,8.935354,9.227121,8.205938,8.643588,5.900786,124929625
1994-12-01,8.643588,8.753000,8.278879,8.607117,5.875885,75381811
1995-01-01,8.570646,9.190650,8.461233,9.190650,6.322681,111991888
1995-02-01,9.190650,10.065950,9.190650,9.810654,6.749212,152707985
1995-03-01,9.737713,10.503600,9.300063,10.175363,7.000111,125373815
1995-04-01,10.175363,10.467129,9.993008,10.138892,6.975021,80307666
1995-05-01,10.065950,10.503600,9.993008,10.357717,7.171835,115902891
1995-06-01,10.430658,10.795367,9.956538,10.284775,7.121325,111144293
1995-07-01,10.248304,11.305958,10.138892,11.233017,7.777904,102404777
1995-08-01,11.269488,11.889492,11.087133,11.780079,8.209284,89934533
1995-09-01,11.780079,13.165971,11.743608,12.947146,9.022590,97978637
1995-10-01,12.874204,13.165971,11.233017,11.853021,8.260114,104372788
1995-11-01,11.780079,12.983617,11.743608,12.400083,8.686937,69700217
1995-12-01,12.363613,13.165971,11.707138,12.071846,8.456993,70465212
1996-01-01,12.144788,13.603621,11.269488,13.421267,9.402334,158993486
1996-02-01,13.348325,13.968329,12.983617,13.384796,9.427898,114664574
1996-03-01,13.603621,14.661275,12.874204,14.405979,10.147192,101411174
1996-04-01,14.478921,14.807158,13.165971,14.150683,9.967372,82197189
1996-05-01,14.077742,14.223625,13.238913,13.348325,9.444502,85864159
1996-06-01,13.348325,13.931858,12.655379,13.020088,9.212260,86715183
1996-07-01,13.093029,13.202442,11.488313,12.764792,9.031625,84415401
1996-08-01,12.801263,13.457738,12.655379,12.764792,9.076760,60168285
1996-09-01,12.473025,13.676563,12.436554,13.494208,9.595429,76799384
1996-10-01,13.457738,14.004800,13.238913,13.713033,9.751038,73791500
1996-11-01,13.713033,15.755400,13.603621,15.244808,10.891976,86609618
1996-12-01,15.098925,17.615414,14.697746,16.484818,11.777924,107235003
1997-01-01,16.338934,18.636597,15.645988,18.126003,13.001492,147928824
1997-02-01,18.089533,20.423668,17.469528,19.147188,13.733966,111516510
1997-03-01,18.964832,19.840134,17.433058,17.469528,12.530610,95935222
1997-04-01,17.469528,19.548367,16.776583,19.183659,13.760131,96703987
1997-05-01,19.256599,20.751904,19.001305,20.277782,14.598993,82478236
1997-06-01,20.423668,23.268393,19.767193,21.736616,15.649285,119695305
1997-07-01,21.663675,24.563107,21.499556,24.435457,17.592321,126571004
1997-08-01,24.326046,24.873108,22.684858,22.684858,16.381439,85770933
1997-09-01,22.757799,24.143692,22.320150,23.888395,17.250557,76141668
1997-10-01,23.961338,25.256052,21.007200,22.757799,16.434118,93573746
1997-11-01,23.049566,23.669571,22.156031,23.013096,16.664270,73089571
1997-12-01,23.341333,26.696650,23.213684,26.040174,18.856245,98374499
1998-01-01,25.967234,26.167824,22.867212,24.417223,17.727011,83458814
1998-02-01,24.581343,26.441355,24.581343,26.277235,19.077393,77301496
1998-03-01,26.204294,28.629604,26.167824,26.787827,19.448086,83972239
1998-04-01,27.079594,31.693153,26.806063,29.814905,21.645752,145375072
1998-05-01,29.814905,31.109621,28.884899,29.942554,21.785213,84345822
1998-06-01,29.942554,33.261398,29.158430,33.188457,24.146830,95786473
1998-07-01,33.261398,34.610821,30.507853,32.203747,23.477699,82895351
1998-08-01,32.094334,32.623161,22.739565,22.757799,16.591253,160544041
1998-09-01,22.903683,25.821350,19.840134,22.648388,16.511486,245487261
1998-10-01,22.028383,26.988417,19.548367,25.702820,18.738274,202531360
1998-11-01,26.404882,31.820803,26.040174,29.194902,21.351793,112066262
1998-12-01,28.921371,30.890797,26.623709,29.906082,21.871912,89053010
1999-01-01,29.833141,31.766096,27.681362,30.015495,21.951931,103778135
1999-02-01,30.343733,33.024342,27.754305,31.656683,23.204666,110190107
1999-03-01,32.094334,37.820255,31.291975,34.355526,25.182940,136923798
1999-04-01,34.939056,41.613220,34.537880,38.130257,28.000952,130930994
1999-05-01,37.637901,39.461441,33.407284,35.322002,25.938709,124750714
1999-06-01,35.230824,38.987320,33.553165,37.966137,27.880426,108124414
1999-07-01,38.367317,42.014400,37.747314,38.440258,28.278759,125953388
1999-08-01,38.513199,43.947353,35.559063,40.117916,29.512936,162991891
1999-09-01,40.555569,41.832047,38.184963,39.388500,28.976318,128186336
1999-10-01,38.804966,46.974434,38.002609,44.932068,33.054470,187830914
1999-11-01,43.764999,46.755608,42.032635,44.084122,32.482639,133655432
1999-12-01,43.764999,49.272095,43.546173,48.506207,35.740974,110973610
2000-01-01,47.995617,48.360325,42.452049,48.068558,35.418491,156897979
2000-02-01,48.013851,49.454449,36.179066,39.151440,28.891027,193839486
2000-03-01,39.972034,45.898544,34.866116,43.454998,32.066772,222497658
2000-04-01,43.692059,46.609726,38.458492,43.619118,32.187855,175119046
2000-05-01,43.655586,47.594437,40.847332,47.266201,34.939270,111885754
2000-06-01,47.102081,50.056217,44.640301,45.625011,33.726101,85592140
2000-07-01,44.530888,52.299175,44.366768,49.618568,36.678146,76437336
2000-08-01,49.892101,52.900944,48.797974,51.656376,38.242889,77582770
2000-09-01,52.080349,54.487427,48.907387,53.174477,39.366810,65078486
2000-10-01,53.393299,55.143902,44.312061,52.518002,38.880802,113792645
2000-11-01,52.408588,53.776245,43.819706,48.086796,35.646610,84737347
2000-12-01,49.235626,50.822105,44.585594,48.086796,35.646610,100405233
2001-01-01,47.703850,49.946808,38.677319,41.226631,30.561188,190624471
2001-02-01,41.226631,43.721233,36.666317,38.408165,28.515726,111417571
2001-03-01,38.058044,39.537300,29.760201,36.149891,26.839092,208519366
2001-04-01,33.217636,39.388500,31.475788,37.147732,27.579941,140443164
2001-05-01,36.928905,40.745216,35.449650,36.867638,27.429749,120791957
2001-06-01,36.867638,37.681664,33.375191,33.961639,25.267658,126568262
2001-07-01,34.136700,35.712238,32.035980,35.300850,26.264040,101112074
2001-08-01,35.344612,36.692577,31.073151,31.878426,23.765867,100526333
2001-09-01,31.598330,32.604923,21.182261,25.436218,18.963097,208373928
2001-10-01,25.296169,28.175907,23.361757,25.760078,19.204542,156554667
2001-11-01,25.506243,30.863077,25.226147,28.806124,21.534815,116397235
2001-12-01,28.315954,31.808401,27.773270,31.239456,23.353922,113448532
2002-01-01,31.204445,33.383942,29.200008,31.379505,23.458628,113562435
2002-02-01,30.793055,32.561161,28.464756,31.904684,23.904818,106069692
2002-03-01,31.913439,37.375309,31.642096,35.852287,26.862583,125176627
2002-04-01,35.414639,38.408165,34.443054,35.896053,26.895388,126111502
2002-05-01,35.957325,39.309723,35.335861,37.209003,27.935183,105837768
2002-06-01,37.322792,37.707924,30.224110,31.790895,23.867468,134829432
2002-07-01,32.079746,33.243893,23.563076,30.863077,23.170893,170909632
2002-08-01,30.066555,33.672791,26.434059,31.563318,23.747801,113413114
2002-09-01,31.116915,31.642096,26.477825,27.291855,20.534019,112593053
2002-10-01,27.396891,31.948450,23.239216,31.834661,23.951962,167909860
2002-11-01,31.659601,34.871952,30.154085,34.075428,25.700714,116744545
2002-12-01,34.084183,34.793175,30.224110,30.941854,23.337282,83401006
2003-01-01,31.335739,34.092934,28.491014,31.099409,23.508852,110468525
2003-02-01,31.204445,31.633343,27.939575,29.392574,22.218613,96467042
2003-03-01,29.585140,33.243893,27.046770,29.086220,21.987032,140443162
2003-04-01,29.094973,33.699051,28.762358,33.138859,25.050529,126487260
2003-05-01,33.138859,36.937660,32.386101,36.464996,27.630608,132452529
2003-06-01,36.762600,39.248451,36.596294,36.596294,27.730068,111965613
2003-07-01,36.184902,40.570156,35.922314,38.662003,29.295321,107872388
2003-08-01,38.644493,40.613918,37.077709,39.432266,29.950609,87440195
2003-09-01,39.458523,41.532986,39.012119,39.441017,29.957260,105006854
2003-10-01,39.598572,42.985985,39.493538,41.077827,31.200489,98251114
2003-11-01,41.462959,41.856846,38.101810,40.009964,30.456991,102299671
2003-12-01,40.255047,42.452049,39.213440,42.215717,32.136093,97568490
2004-01-01,42.390778,45.489342,41.515480,45.375553,34.612835,109087740
2004-02-01,45.419315,47.703850,45.410564,46.758526,35.667778,100768651
2004-03-01,46.758526,47.187424,43.449890,45.384304,34.619511,134058379
2004-04-01,45.384304,46.233345,42.653370,42.845936,32.746307,112815376
2004-05-01,42.880947,44.797855,41.419197,44.377708,33.917004,93525192
2004-06-01,44.333946,45.673153,43.983826,44.972916,34.371918,78126471
2004-07-01,44.964161,45.314281,41.751808,43.983826,33.681679,94395863
2004-08-01,43.589939,44.202648,43.126030,43.782505,33.527500,74199017
2004-09-01,43.764999,45.288021,43.633705,45.042938,34.492710,72733577
2004-10-01,45.051689,46.776031,44.517757,46.452171,35.571854,83863817
2004-11-01,46.452171,49.454449,46.189583,48.762962,37.426521,87004684
2004-12-01,48.797974,49.935863,47.660084,49.340660,37.869926,80250886
2005-01-01,49.541981,49.830830,45.156727,46.697254,35.841061,107440992
2005-02-01,48.736706,50.793659,46.986103,47.397495,36.457947,129023422
2005-03-01,47.222435,48.526630,43.773754,44.964161,34.586246,143024564
2005-04-01,45.428070,46.128311,43.336102,46.128311,35.565540,121054267
2005-05-01,45.979507,47.283707,45.077950,47.134907,36.341633,90854563
2005-06-01,46.959846,48.404091,46.469677,46.592220,35.923206,97305839
2005-07-01,46.793537,48.675434,45.778191,48.141499,37.200394,102963899
2005-08-01,48.141499,49.848335,47.835144,48.351570,37.362724,105239346
2005-09-01,48.255287,52.080349,47.957687,50.277233,38.850742,154679538
2005-10-01,50.750000,51.480000,46.590000,49.770000,38.458782,139098000
2005-11-01,49.799999,53.060001,48.209999,51.419998,39.829510,160047300
2005-12-01,51.919998,52.720001,50.400002,51.459999,39.860504,96168100
2006-01-01,51.700001,53.990002,51.049999,52.450001,40.627342,125762500
2006-02-01,52.450001,55.000000,51.650002,53.880001,41.830479,83315000
2006-03-01,53.950001,55.000000,51.759998,52.549999,40.797920,97873600
2006-04-01,52.810001,54.139999,50.919998,53.810001,41.776127,86435600
2006-05-01,53.880001,54.520000,51.330002,54.360001,42.298492,125793800
2006-06-01,54.500000,54.910000,52.000000,53.220001,41.411438,103408000
2006-07-01,53.240002,53.869999,49.730000,52.060001,40.508820,101652000
2006-08-01,51.919998,53.720001,51.189999,52.540001,40.996929,83478800
2006-09-01,52.560001,56.189999,51.490002,56.080002,43.759178,95940300
2006-10-01,56.080002,58.430000,55.000000,57.810001,45.109093,141825100
2006-11-01,58.000000,59.930000,57.000000,58.720001,45.942245,102996600
2006-12-01,58.799999,62.500000,58.000000,60.669998,47.467918,88634700
2007-01-01,61.180000,61.900002,57.139999,58.220001,45.551056,117260700
2007-02-01,58.299999,59.150002,54.500000,56.869999,44.605095,108102800
2007-03-01,56.200001,57.910000,53.910000,56.400002,44.236465,136389000
2007-04-01,56.400002,62.740002,55.340000,60.669998,47.585560,139656800
2007-05-01,60.500000,65.099998,60.400002,64.980003,51.103283,108627900
2007-06-01,65.000000,65.239998,60.369999,61.180000,48.114777,112275700
2007-07-01,61.459999,65.889999,58.380001,58.540001,46.038570,168563400
2007-08-01,58.450001,63.880001,55.500000,58.619999,46.213665,244395000
2007-09-01,58.730000,62.270000,57.320000,59.369999,46.804935,136541600
2007-10-01,59.150002,63.630001,55.599998,60.950001,48.050545,190447900
2007-11-01,60.330002,60.490002,53.360001,58.980000,46.612820,221983200
2007-12-01,58.490002,59.790001,50.369999,52.020000,41.112232,188658600
2008-01-01,52.090000,52.320000,41.150002,49.130001,38.828224,344053700
2008-02-01,48.880001,50.040001,42.139999,42.299999,33.546425,199425300
2008-03-01,42.200001,48.750000,39.500000,43.720001,34.672600,231292900
2008-04-01,44.900002,48.970001,42.110001,48.020000,38.082733,198222200
2008-05-01,48.330002,52.630001,45.049999,46.349998,36.901272,204823400
2008-06-01,46.250000,47.470001,37.610001,37.669998,29.990723,299867500
2008-07-01,37.950001,42.500000,35.099998,37.119999,29.552860,427436900
2008-08-01,37.180000,40.470001,35.930000,39.680000,31.728437,259774200
2008-09-01,40.750000,41.799999,31.680000,35.430000,28.330101,405306700
2008-10-01,34.910000,35.799999,20.500000,27.500000,21.989214,470465400
2008-11-01,27.309999,30.260000,16.549999,23.309999,18.734035,400723100
2008-12-01,22.389999,24.860001,17.510000,18.549999,14.908463,314843600
2009-01-01,18.570000,21.379999,14.720000,16.730000,13.445752,365774600
2009-02-01,16.350000,18.270000,11.440000,12.060000,9.776030,439240000
2009-03-01,11.680000,15.240000,9.710000,13.630000,11.048696,663272400
2009-04-01,13.340000,26.330000,13.080000,25.219999,20.443733,753595900
2009-05-01,24.940001,28.450001,23.049999,24.850000,20.413385,513617500
2009-06-01,25.549999,27.400000,22.410000,23.240000,19.090822,441662300
2009-07-01,23.490000,30.000000,22.000000,28.330000,23.447943,405481400
2009-08-01,28.900000,34.500000,28.129999,33.820000,27.991863,279343200
2009-09-01,33.580002,36.500000,31.680000,33.900002,28.058077,250193200
2009-10-01,33.849998,37.169998,31.690001,34.840000,28.989609,287819700
2009-11-01,34.950001,42.200001,34.630001,41.830002,34.805847,240181800
2009-12-01,42.209999,42.250000,38.790001,40.520000,33.715805,193368700
2010-01-01,40.810001,43.250000,36.830002,37.660000,31.336063,233778400
2010-02-01,37.840000,39.630001,36.599998,38.189999,31.915527,182316200
2010-03-01,38.200001,42.279999,37.860001,41.259998,34.481144,183005200
2010-04-01,41.680000,49.189999,41.360001,46.119999,38.710644,224527200
2010-05-01,46.209999,47.369999,37.360001,39.869999,33.464725,316645600
2010-06-01,39.180000,43.139999,37.130001,39.700001,33.322044,248059000
2010-07-01,39.549999,45.680000,38.419998,44.639999,37.637398,195904500
2010-08-01,45.009998,45.200001,39.139999,39.869999,33.615650,180947900
2010-09-01,40.549999,43.930000,39.759998,42.029999,35.436832,213981000
2010-10-01,42.369999,42.560001,37.330002,41.459999,34.956234,383508900
2010-11-01,41.490002,44.270000,41.349998,43.220001,36.612316,185665800
2010-12-01,43.840000,46.779999,41.250000,42.919998,36.358170,203583700
2011-01-01,43.299999,46.709999,43.110001,43.380001,36.747860,181823600
2011-02-01,43.540001,46.930000,43.009998,43.570000,37.060585,162975100
2011-03-01,43.700001,46.290001,42.189999,45.200001,38.447067,161901000
2011-04-01,45.700001,49.150002,45.099998,49.080002,41.747383,132384700
2011-05-01,49.369999,51.970001,49.169998,51.599998,44.065517,150391500
2011-06-01,51.310001,51.820000,46.919998,51.700001,44.150925,155151400
2011-07-01,51.689999,53.799999,49.540001,50.040001,42.888279,122374900
2011-08-01,50.490002,50.610001,42.029999,49.709999,42.605427,253292100
2011-09-01,49.639999,50.529999,44.869999,44.900002,38.482880,180539400
2011-10-01,44.520000,52.349998,41.299999,50.619999,43.385365,216452700
2011-11-01,49.580002,51.820000,44.700001,48.040001,41.345463,144928800
2011-12-01,47.700001,49.389999,45.889999,47.169998,40.596703,125137900
2012-01-01,48.299999,51.000000,47.400002,50.139999,43.152828,127316500
2012-02-01,50.369999,54.450001,50.270000,52.889999,45.689548,120114000
2012-03-01,53.029999,59.259998,51.540001,57.860001,49.982937,139018900
2012-04-01,57.900002,60.959999,56.139999,60.209999,52.013020,130045000
2012-05-01,59.950001,61.419998,54.799999,55.830002,48.396172,130999300
2012-06-01,54.619999,58.209999,53.180000,58.209999,50.459278,115585100
2012-07-01,58.509998,59.730000,54.349998,57.709999,50.025833,115339800
2012-08-01,57.520000,58.439999,55.369999,58.299999,50.709034,99516100
2012-09-01,58.310001,59.369999,56.049999,56.860001,49.456528,102389100
2012-10-01,57.180000,59.400002,54.950001,55.970001,48.682407,110170500
2012-11-01,56.150002,57.480000,53.020000,55.900002,48.792183,112897900
2012-12-01,56.090000,58.349998,55.470001,57.480000,50.171284,103366200
2013-01-01,58.330002,61.970001,58.310001,58.810001,51.332172,122718400
2013-02-01,59.330002,63.000000,59.209999,62.150002,54.436909,107254600
2013-03-01,61.840000,67.480003,61.509998,67.459999,59.087898,101367800
2013-04-01,67.419998,69.050003,63.430000,68.410004,59.919998,121827000
2013-05-01,68.250000,77.389999,68.160004,75.709999,66.510689,121571700
2013-06-01,75.889999,78.610001,71.680000,74.760002,65.676125,121769400
2013-07-01,75.529999,78.629997,73.470001,73.769997,64.806419,126314000
2013-08-01,74.529999,77.269997,71.470001,71.910004,63.365108,69917600
2013-09-01,72.589996,77.900002,72.139999,75.519997,66.546150,74592300
2013-10-01,75.639999,83.830002,72.080002,81.800003,72.079903,102592600
2013-11-01,82.120003,86.190002,80.220001,85.800003,75.834290,62754400
2013-12-01,86.019997,90.790001,83.209999,90.730003,80.191673,67589400
2014-01-01,90.900002,93.620003,84.910004,85.019997,75.144905,104874000
2014-02-01,84.989998,92.139999,82.629997,91.279999,80.885971,76173800
2014-03-01,90.599998,94.349998,89.160004,90.029999,79.778313,71488400
2014-04-01,90.400002,91.400002,83.989998,87.430000,77.474373,84786400
2014-05-01,87.529999,91.680000,85.750000,91.500000,81.285995,65091900
2014-06-01,91.790001,96.040001,91.269997,94.870003,84.279800,60522000
2014-07-01,95.419998,96.239998,87.989998,88.000000,78.176704,68452900
2014-08-01,87.410004,90.220001,85.750000,89.550003,79.772972,83077800
2014-09-01,89.900002,90.680000,86.760002,87.540001,77.982437,85326800
2014-10-01,86.900002,90.599998,78.410004,89.949997,80.129303,120825700
2014-11-01,90.320000,92.589996,89.650002,92.419998,82.574875,62030800
2014-12-01,92.070000,94.889999,88.190002,93.040001,83.128845,81719400
2015-01-01,93.169998,93.940002,80.559998,80.690002,72.094452,122791700
2015-02-01,80.959999,86.180000,77.120003,81.589996,73.113037,211931300
2015-03-01,81.589996,83.540001,77.620003,78.120003,70.003563,154668200
2015-04-01,78.050003,81.169998,76.529999,77.449997,69.635124,133853700
2015-05-01,77.849998,81.599998,77.309998,79.720001,71.676109,103420200
2015-06-01,79.940002,81.919998,77.650002,77.720001,69.877899,141794200
2015-07-01,78.639999,79.629997,74.300003,76.059998,68.641243,117930900
2015-08-01,75.860001,81.660004,71.709999,76.720001,69.236877,155122400
2015-09-01,74.849998,78.400002,72.660004,74.129997,66.899498,110385200
2015-10-01,74.160004,77.849998,71.389999,73.260002,66.114349,122115500
2015-11-01,73.430000,74.849998,70.209999,71.639999,64.897087,106839600
2015-12-01,72.000000,72.440002,67.570000,69.550003,63.003819,124233200
2016-01-01,68.089996,68.180000,52.150002,53.500000,48.464455,237308200
2016-02-01,53.410000,56.150002,50.270000,55.580002,50.569046,159711400
2016-03-01,56.029999,61.520000,55.619999,61.400002,55.864334,129864200
2016-04-01,60.980000,67.339996,58.700001,65.430000,59.530998,99858200
2016-05-01,65.580002,66.050003,62.320000,65.760002,60.120914,96794800
