Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,1.687500,1.750000,1.601563,1.687500,0.957733,10160000
1991-02-01,1.671875,1.937500,1.664063,1.695313,0.962168,11657600
1991-03-01,1.671875,1.742188,1.625000,1.648438,0.945581,12720000
1991-04-01,1.648438,1.796875,1.609375,1.734375,0.994877,24502400
1991-05-01,1.742188,1.867188,1.671875,1.867188,1.071061,18497600
1991-06-01,1.859375,2.007813,1.796875,1.968750,1.141032,19054400
1991-07-01,1.968750,2.132813,1.968750,2.117188,1.227063,23969600
1991-08-01,2.109375,2.273438,2.101563,2.164063,1.254231,22192000
1991-09-01,2.156250,2.296875,2.148438,2.296875,1.342713,28315200
1991-10-01,2.296875,2.335938,2.203125,2.242188,1.310744,16204800
1991-11-01,2.242188,2.257813,1.960938,2.054688,1.201135,19259200
1991-12-01,2.023438,2.390625,2.023438,2.375000,1.401024,21497600
1992-01-01,2.390625,2.468750,2.187500,2.203125,1.299635,25516800
1992-02-01,2.203125,2.359375,2.171875,2.351563,1.387199,24950400
1992-03-01,2.351563,2.406250,2.171875,2.171875,1.291566,19614400
1992-04-01,2.171875,2.265625,2.085938,2.179688,1.296214,19603200
1992-05-01,2.171875,2.320313,2.070313,2.234375,1.328736,31590400
1992-06-01,2.242188,2.335938,2.156250,2.195313,1.316672,12678400
1992-07-01,2.195313,2.226563,1.984375,2.070313,1.241701,22980800
1992-08-01,2.070313,2.171875,1.992188,2.070313,1.241701,44166400
1992-09-01,2.054688,2.078125,1.906250,1.937500,1.173064,15284800
1992-10-01,1.953125,2.039063,1.750000,1.992188,1.206174,21536000
1992-11-01,1.984375,2.164063,1.968750,2.140625,1.296047,10811200
1992-12-01,2.140625,2.242188,2.000000,2.210938,1.350755,18176000
1993-01-01,2.234375,2.289063,2.156250,2.265625,1.384165,12475200
1993-02-01,2.257813,2.289063,2.109375,2.203125,1.345982,18478400
1993-03-01,2.171875,2.328125,2.164063,2.218750,1.367554,26310400
1993-04-01,2.203125,2.218750,1.867188,1.929688,1.189387,39024000
1993-05-01,1.929688,2.117188,1.914063,2.023438,1.424593,35408000
1993-06-01,2.023438,2.039063,1.742188,1.765625,1.254914,29944000
1993-07-01,1.765625,1.875000,1.710938,1.843750,1.310441,38508800
1993-08-01,1.851563,2.015625,1.843750,1.960938,1.393733,21475200
1993-09-01,1.945313,2.000000,1.820313,1.882813,1.351194,27508800
1993-10-01,1.875000,1.898438,1.570313,1.617188,1.160569,38020800
1993-11-01,1.617188,1.804688,1.609375,1.796875,1.289520,32555200
1993-12-01,1.796875,1.953125,1.757813,1.890625,1.371854,36616000
1994-01-01,1.875000,1.898438,1.562500,1.648438,1.196121,48012800
1994-02-01,1.632813,1.679688,1.570313,1.578125,1.145101,26283200
1994-03-01,1.585938,1.648438,1.523438,1.601563,1.168631,26534400
1994-04-01,1.570313,1.687500,1.546875,1.679688,1.225637,25080000
1994-05-01,1.679688,1.906250,1.679688,1.796875,1.311146,34168000
