Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,1.708333,1.819444,1.631944,1.812500,0.996077,18086400
1991-02-01,1.805556,1.972222,1.805556,1.923611,1.057139,19395000
1991-03-01,1.916667,2.000000,1.826389,1.972222,1.083854,11089800
1991-04-01,1.972222,2.250000,1.937500,2.083333,1.148802,21225600
1991-05-01,2.076389,2.152778,1.972222,2.104167,1.160290,11665800
1991-06-01,2.104167,2.111111,1.868056,1.958333,1.079873,7875000
1991-07-01,1.972222,2.090278,1.958333,2.055556,1.137235,13491000
1991-08-01,2.048611,2.187500,2.034722,2.145833,1.187181,11709000
1991-09-01,2.138889,2.145833,1.930556,2.013889,1.114182,17746200
1991-10-01,2.020833,2.541667,1.993056,2.527778,1.402942,20320200
1991-11-01,2.541667,2.812500,2.416667,2.430556,1.348983,15863400
1991-12-01,2.430556,3.138889,2.388889,3.138889,1.742115,23695200
1992-01-01,3.131944,3.250000,2.784722,3.048611,1.696545,24301800
1992-02-01,3.062500,3.111111,2.694444,2.847222,1.584473,14884200
1992-03-01,2.847222,2.902778,2.590278,2.784722,1.549692,17866800
1992-04-01,2.770833,2.916667,2.569444,2.819444,1.573053,11358900
1992-05-01,2.805556,3.013889,2.597222,2.652778,1.480066,12743100
1992-06-01,2.652778,2.986111,2.527778,2.750000,1.534309,14969700
1992-07-01,2.763889,3.388889,2.736111,3.319444,1.857102,16179300
1992-08-01,3.388889,3.708333,3.083333,3.500000,1.958116,21855600
1992-09-01,3.486111,3.486111,3.152778,3.222222,1.802710,15807600
1992-10-01,3.222222,3.652778,3.013889,3.611111,2.024702,12618000
1992-11-01,3.611111,4.333333,3.611111,4.180556,2.343983,23489100
1992-12-01,4.180556,4.305556,3.888889,3.888889,2.180448,13737600
1993-01-01,3.930556,4.500000,3.722222,4.388889,2.465333,22807800
1993-02-01,4.402778,4.416667,3.888889,4.111111,2.309298,16015500
1993-03-01,4.125000,4.402778,4.013889,4.263889,2.395118,13284000
1993-04-01,4.236111,4.236111,3.555556,3.861111,2.172911,22012200
1993-05-01,3.833333,4.277778,3.777778,4.236111,2.383950,11252700
1993-06-01,4.236111,4.402778,4.027778,4.361111,2.454296,15059700
1993-07-01,4.361111,4.819444,4.125000,4.777778,2.693812,25083900
1993-08-01,4.777778,5.194444,4.694444,5.055556,2.850429,27727200
1993-09-01,5.055556,5.472222,4.791667,5.472222,3.085353,19848600
1993-10-01,5.444444,5.763889,4.944444,5.319444,3.003550,21642300
1993-11-01,5.305556,5.333333,4.597222,4.930556,2.783968,20735100
1993-12-01,4.916667,5.152778,4.805556,5.097222,2.878074,19040400
1994-01-01,5.055556,5.555556,4.416667,5.527778,3.126771,35011800
1994-02-01,5.500000,5.666667,4.902778,4.930556,2.788954,21958200
1994-03-01,4.972222,5.500000,4.333333,4.513889,2.553268,33961500
1994-04-01,4.347222,4.513889,3.736111,4.208333,2.384446,42318000
1994-05-01,4.222222,4.236111,3.805556,4.111111,2.329360,40426200
1994-06-01,4.111111,4.694444,4.041667,4.125000,2.337229,35618400
1994-07-01,4.138889,4.361111,3.986111,4.097222,2.326521,20171700
1994-08-01,4.111111,4.472222,3.805556,4.375000,2.484252,41553900
1994-09-01,4.388889,4.388889,3.861111,4.152778,2.358068,20736900
1994-10-01,4.138889,4.597222,4.097222,4.541667,2.584715,25686900
1994-11-01,4.541667,4.597222,4.055556,4.222222,2.402915,28327500
1994-12-01,4.222222,4.236111,3.777778,3.958333,2.252734,36865800
1995-01-01,3.986111,3.986111,3.666667,3.763889,2.148041,48583800
1995-02-01,3.763889,4.361111,3.763889,4.305556,2.457167,32254200
1995-03-01,4.291667,4.444444,4.055556,4.319444,2.465093,27968400
1995-04-01,4.347222,4.569444,4.250000,4.472222,2.558741,15060600
1995-05-01,4.458333,5.000000,4.402778,4.861111,2.781240,22525200
1995-06-01,4.833333,5.125000,4.722222,4.944444,2.828918,25372800
1995-07-01,4.916667,5.652778,4.722222,5.541667,3.177856,29223900
1995-08-01,5.541667,6.222222,5.263889,6.111111,3.504403,20569500
1995-09-01,6.097222,6.444444,6.027778,6.402778,3.671658,19210500
1995-10-01,6.402778,6.444444,5.500000,5.638889,3.239328,16427700
1995-11-01,5.666667,5.916667,5.569444,5.875000,3.374966,12951900
1995-12-01,5.861111,6.027778,5.194444,5.597222,3.215394,24892200
1996-01-01,5.583333,5.972222,5.152778,5.958333,3.430578,31465800
1996-02-01,5.972222,6.444444,5.777778,6.402778,3.686473,18079200
1996-03-01,6.402778,6.569444,5.972222,6.333333,3.646490,17428500
1996-04-01,6.347222,6.666667,6.055556,6.361111,3.669456,14567400
1996-05-01,6.347222,6.583333,5.958333,6.583333,3.797646,13377600
1996-06-01,6.541667,6.861111,6.263889,6.777778,3.909813,13950000
1996-07-01,6.791667,6.888889,5.750000,6.222222,3.595970,27850500
1996-08-01,6.236111,6.750000,6.236111,6.611111,3.820719,14576400
1996-09-01,6.569444,7.625000,6.513889,7.375000,4.262188,14570100
1996-10-01,7.444444,8.111111,7.402778,7.833333,4.534987,18664200
1996-11-01,7.847222,8.305556,7.833333,7.944444,4.599317,27560700
1996-12-01,7.972222,7.986111,7.125000,7.597222,4.398293,29780100
1997-01-01,7.430556,9.270833,7.361111,9.083333,5.268128,39194400
1997-02-01,9.145833,10.812500,9.125000,9.750000,5.654779,32281800
1997-03-01,9.729167,10.854167,8.500000,8.500000,4.929807,29640600
1997-04-01,8.666667,9.916667,8.520833,9.854167,5.723104,29175600
1997-05-01,9.750000,10.895833,9.687500,10.791667,6.267583,23139000
1997-06-01,10.833333,12.541667,10.833333,12.093750,7.023809,21961800
1997-07-01,12.093750,14.375000,12.083333,14.156250,8.231728,23761200
1997-08-01,14.156250,14.416667,12.666667,12.895833,7.498812,19491000
1997-09-01,13.093750,15.739583,12.947917,15.520833,9.025223,28842600
1997-10-01,15.479167,17.302082,14.645833,14.979167,8.719195,39270000
1997-11-01,15.062500,15.697917,13.250000,14.979167,8.719195,28656600
1997-12-01,15.208333,16.541668,14.000000,14.489583,8.434218,24135000
1998-01-01,14.552083,15.270833,12.666667,14.937500,8.705229,41441400
1998-02-01,15.166667,17.645832,15.062500,17.000000,9.907207,23061300
1998-03-01,17.083332,19.083332,16.291668,17.833332,10.392860,19535400
1998-04-01,17.833332,19.291668,16.041668,17.916668,10.450830,79509000
1998-05-01,17.916668,18.562500,15.854167,16.291668,9.502962,34371600
