Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,2.471111,2.586667,2.297778,2.537778,1.273757,8597818
1991-02-01,2.537778,2.840000,2.488889,2.724444,1.367448,7585316
1991-03-01,2.724444,2.804444,2.608889,2.760000,1.385295,9464067
1991-04-01,2.760000,2.835556,2.622222,2.768889,1.400228,8384068
1991-05-01,2.768889,2.991111,2.764444,2.977778,1.505863,7534693
1991-06-01,2.977778,3.000000,2.697778,2.724444,1.377752,6842818
1991-07-01,2.724444,2.844444,2.706667,2.840000,1.445901,9773443
1991-08-01,2.840000,2.840000,2.586667,2.653333,1.350864,10740944
1991-09-01,2.644444,2.653333,2.453333,2.471111,1.267717,13148441
1991-10-01,2.466667,2.640000,2.453333,2.604444,1.336119,11804069
1991-11-01,2.600000,2.680000,2.515556,2.626667,1.347520,12726567
1991-12-01,2.595556,2.986667,2.586667,2.924444,1.500284,18039379
1992-01-01,2.897778,3.200000,2.835556,3.035556,1.570252,21301881
1992-02-01,3.031111,3.137778,2.786667,2.786667,1.441506,12082503
1992-03-01,2.702222,2.800000,2.560000,2.622222,1.356440,16765317
1992-04-01,2.613333,2.711111,2.564444,2.702222,1.409305,14577193
1992-05-01,2.702222,2.724444,2.604444,2.635556,1.374536,8651256
1992-06-01,2.631111,2.791111,2.586667,2.782222,1.451028,12256881
1992-07-01,2.808889,2.986667,2.773333,2.960000,1.556362,13224380
1992-08-01,2.951111,3.075556,2.946667,2.964444,1.558698,6226879
1992-09-01,2.968889,3.137778,2.968889,3.137778,1.661905,9753756
1992-10-01,3.146667,3.146667,2.888889,3.075556,1.628949,8918443
1992-11-01,3.066667,3.111111,3.031111,3.080000,1.631305,12262504
1992-12-01,3.071111,3.102222,2.920000,2.933333,1.565862,9596254
1993-01-01,2.942222,2.964444,2.773333,2.795556,1.492315,10319070
1993-02-01,2.791111,2.817778,2.693333,2.764444,1.475706,10451253
1993-03-01,2.773333,2.942222,2.764444,2.942222,1.570606,15527820
1993-04-01,2.942222,3.048889,2.853333,2.871111,1.545869,10293757
1993-05-01,2.862222,2.991111,2.844444,2.942222,1.584157,6814692
1993-06-01,2.951111,3.133333,2.951111,3.097778,1.667911,7346255
1993-07-01,3.097778,3.155556,2.840000,2.848889,1.546311,11877193
1993-08-01,2.862222,2.880000,2.737778,2.826667,1.534251,8971881
1993-09-01,2.835556,2.884444,2.795556,2.840000,1.554785,8890315
1993-10-01,2.831111,2.902222,2.791111,2.804444,1.535320,6564382
1993-11-01,2.804444,2.835556,2.684444,2.684444,1.469624,8597819
1993-12-01,2.675556,3.120000,2.595556,3.102222,1.714096,50132818
1994-01-01,3.102222,3.177778,3.000000,3.066667,1.694450,45534382
1994-02-01,3.066667,3.093333,2.995556,3.031111,1.674804,7028443
1994-03-01,3.031111,3.088889,2.968889,3.044444,1.682171,11086881
1994-04-01,3.022222,3.253333,3.017778,3.191111,1.778218,7886255
1994-05-01,3.200000,3.231111,3.093333,3.120000,1.738593,6612193
1994-06-01,3.066667,3.173333,2.813333,3.013333,1.679153,7497191
1994-07-01,2.986667,3.013333,2.866667,2.960000,1.662849,7204691
1994-08-01,2.960000,3.280000,2.853333,3.213333,1.805164,4921880
1994-09-01,3.213333,3.213333,2.826667,2.880000,1.630684,5573442
1994-10-01,2.880000,3.346667,2.786667,3.280000,1.857167,7394069
1994-11-01,3.266667,3.360000,2.973333,3.186667,1.804322,5728131
1994-12-01,3.160000,3.466667,3.066667,3.253333,1.857821,6672194
1995-01-01,3.266667,3.400000,3.133333,3.253333,1.857821,6482815
1995-02-01,3.280000,3.573333,3.240000,3.453333,1.972031,3681567
1995-03-01,3.440000,3.613333,3.373333,3.560000,2.032943,5974693
1995-04-01,3.573333,3.600000,3.280000,3.520000,2.025499,4326568
1995-05-01,3.506667,3.706667,3.373333,3.546667,2.040842,6629069
1995-06-01,3.546667,3.720000,3.360000,3.560000,2.048515,7021880
1995-07-01,3.573333,3.720000,3.493333,3.600000,2.087098,8529378
1995-08-01,3.613333,3.960000,3.586667,3.946667,2.288080,5415943
1995-09-01,3.946667,4.200000,3.946667,4.146667,2.420305,8006254
1995-10-01,4.146667,4.346667,4.040000,4.066667,2.373611,4402504
1995-11-01,4.040000,4.160000,3.973333,4.066667,2.373611,5382194
1995-12-01,4.040000,4.213333,3.893333,3.893333,2.287994,8084065
1996-01-01,3.906667,4.240000,3.866667,3.893333,2.287994,11539691
1996-02-01,3.906667,4.413333,3.893333,4.173333,2.452540,6775317
1996-03-01,4.133333,4.480000,3.986667,4.280000,2.515226,8075630
1996-04-01,4.306667,4.533333,4.000000,4.213333,2.491898,6947817
1996-05-01,4.173333,4.506667,4.000000,4.333333,2.562870,6258754
1996-06-01,4.306667,4.306667,4.000000,4.266667,2.523441,5231256
1996-07-01,4.293333,4.293333,3.760000,3.920000,2.333579,7182193
1996-08-01,3.946667,4.200000,3.853333,3.866667,2.301831,4961255
1996-09-01,3.840000,4.186667,3.813333,4.173333,2.501851,12178131
1996-10-01,4.160000,4.680000,4.146667,4.613333,2.765625,7285318
1996-11-01,4.613333,5.066667,4.613333,4.960000,2.973446,5342816
1996-12-01,4.933333,4.933333,4.493333,4.880000,2.925486,9774379
1997-01-01,4.880000,5.106667,4.640000,4.693333,2.830710,7845940
1997-02-01,4.640000,4.866667,4.480000,4.773333,2.878963,8012818
1997-03-01,4.666667,5.346667,4.666667,5.093333,3.071964,11900630
1997-04-01,5.066667,5.533333,4.906667,5.386667,3.268605,11499378
1997-05-01,5.386667,5.773333,5.386667,5.453333,3.309056,10676256
1997-06-01,5.440000,5.533333,5.166667,5.206667,3.159384,10740005
1997-07-01,5.206667,5.553333,5.013333,5.200000,3.172297,19414694
1997-08-01,5.200000,5.246667,4.800000,5.146667,3.139761,14132816
1997-09-01,5.140000,5.500000,4.880000,5.300000,3.251427,12103130
1997-10-01,5.326667,5.673333,5.053333,5.246667,3.218709,10701568
1997-11-01,5.293333,5.646667,5.200000,5.480000,3.361854,5993445
1997-12-01,5.493333,5.906667,5.453333,5.893333,3.615424,6673131
1998-01-01,5.880000,5.946667,5.520000,5.520000,3.404727,11091568
1998-02-01,5.600000,5.953333,5.553333,5.920000,3.651446,7965943
1998-03-01,5.866667,6.206667,5.806667,5.866667,3.618550,8176879
1998-04-01,5.866667,6.293333,5.786667,6.040000,3.744351,8242505
1998-05-01,6.066667,6.213333,5.860000,6.146667,3.810478,6389067
1998-06-01,6.120000,6.853333,6.120000,6.853333,4.248555,9730318
1998-07-01,6.826667,6.840000,6.386667,6.466667,4.027631,13418444
1998-08-01,6.440000,7.146667,6.400000,6.400000,3.986107,14203132
1998-09-01,6.373333,6.760000,6.226667,6.400000,4.003763,11117819
1998-10-01,6.413333,7.573333,6.253333,7.246667,4.533427,12915943
1998-11-01,7.266667,8.093333,7.260000,7.760000,4.854562,8200319
1998-12-01,7.786667,8.200000,7.573333,8.073333,5.050581,8567820
1999-01-01,7.920000,8.240000,7.453333,7.713333,4.844812,9706878
1999-02-01,7.686667,7.686667,6.766667,7.033333,4.417699,8845317
1999-03-01,7.006667,7.040000,6.020000,6.146667,3.860777,11775006
1999-04-01,6.133333,7.860000,6.133333,7.860000,4.960161,13321881
1999-05-01,7.833333,8.053333,6.720000,7.113333,4.488968,10005942
1999-06-01,7.113333,7.366667,6.760000,6.953333,4.387997,9614068
1999-07-01,6.966667,7.246667,6.466667,6.613333,4.191909,9473443
1999-08-01,6.626667,6.626667,5.920000,6.266667,3.972173,9391883
1999-09-01,6.260000,6.826667,6.086667,6.653333,4.217265,12105005
1999-10-01,6.626667,7.293333,6.406667,7.200000,4.586804,12295320
1999-11-01,7.213333,7.380000,6.506667,6.686667,4.259782,9761253
1999-12-01,6.600000,6.833333,5.860000,6.106667,3.890290,13079070
2000-01-01,6.080000,6.333333,5.760000,5.966667,3.819992,26703754
2000-02-01,5.940000,6.133333,4.960000,5.080000,3.252330,15693755
2000-03-01,5.053333,5.900000,4.466667,5.806667,3.717557,15201568
2000-04-01,5.833333,6.520000,5.780000,5.820000,3.753191,17468443
2000-05-01,5.806667,6.500000,5.706667,6.193333,3.993946,15576567
2000-06-01,6.166667,6.260000,5.733333,5.733333,3.697303,15857817
2000-07-01,5.746667,6.020000,5.333333,5.333333,3.458517,18247506
2000-08-01,5.386667,5.666667,5.380000,5.655000,3.667109,20610944
2000-09-01,5.620000,5.913333,5.546667,5.840000,3.787076,11558444
2000-10-01,5.833333,6.526667,5.666667,6.493333,4.235511,17490944
2000-11-01,6.500000,7.213333,6.266667,6.906667,4.505124,12163132
2000-12-01,6.906667,7.386667,6.900000,7.093333,4.626883,15461255
2001-01-01,7.093333,7.146667,6.306667,7.061333,4.629266,15681566
2001-02-01,7.061333,7.680000,6.641067,6.773333,4.440460,18426568
2001-03-01,6.746667,6.856533,6.149333,6.608000,4.332071,16524380
2001-04-01,6.609067,6.848000,6.186667,6.485333,4.274076,14484381
2001-05-01,6.480000,7.069867,6.473600,6.986667,4.604474,8954067
2001-06-01,6.970667,7.237333,6.805333,6.820267,4.494810,11470317
2001-07-01,6.846933,7.413333,6.846933,7.288533,4.827557,11895943
2001-08-01,7.315200,7.315200,6.880000,6.880000,4.556965,8708443
2001-09-01,6.890667,7.096533,6.344533,6.739200,4.485911,11496566
2001-10-01,6.738133,6.794667,6.301867,6.340267,4.220366,14517193
2001-11-01,6.340267,6.695467,6.280533,6.496000,4.324028,10073442
2001-12-01,6.448000,6.908800,6.332800,6.677333,4.444731,12046881
2002-01-01,6.666667,7.089067,6.539733,6.986667,4.677519,15255005
2002-02-01,6.960000,7.380267,6.907733,7.248000,4.852480,13659379
2002-03-01,7.237333,7.910400,7.212800,7.761067,5.195976,12082504
2002-04-01,7.734400,8.441600,7.618133,8.386133,5.643522,15477192
2002-05-01,8.373333,8.590933,8.053333,8.395733,5.649983,15106880
2002-06-01,8.406400,8.517333,7.349333,7.360000,4.952977,26737506
2002-07-01,7.402667,7.589333,6.260267,7.229867,4.887300,32824694
2002-08-01,7.232000,7.882667,7.146667,7.512533,5.078379,24525943
2002-09-01,7.498667,7.584000,6.914133,7.141333,4.851586,21204381
2002-10-01,7.152000,8.037333,7.120000,7.710933,5.238554,25400631
2002-11-01,7.684267,7.879467,6.986667,7.050667,4.789991,23986881
2002-12-01,7.061333,7.111467,6.752000,6.971733,4.736366,22882504
2003-01-01,6.986667,7.132800,6.426667,6.628267,4.529271,20035317
2003-02-01,7.466667,7.653333,7.356800,7.418667,5.069372,68701879
2003-03-01,7.413333,8.202667,7.242667,8.202667,5.634963,156980631
2003-04-01,8.202667,8.595200,8.085333,8.164267,5.608583,48696567
2003-05-01,8.170667,8.507733,8.010667,8.411733,5.778584,26295942
2003-06-01,8.437333,8.837333,8.290133,8.386133,5.760997,26590318
2003-07-01,8.373333,8.809600,8.257067,8.309333,5.735257,24892505
2003-08-01,8.293333,8.480000,8.160000,8.430933,5.819189,17373755
2003-09-01,8.420267,8.682667,8.373333,8.439467,5.852757,25637818
2003-10-01,8.437333,9.118933,8.426667,9.000533,6.241853,21014069
2003-11-01,9.018667,9.982933,8.958933,9.785600,6.786296,14648442
2003-12-01,9.789867,10.146133,9.768533,9.968000,6.912791,22105319
2004-01-01,9.973333,10.218667,9.858133,9.964800,6.942408,16430628
2004-02-01,9.971200,10.504533,9.928533,10.423467,7.261960,12604690
2004-03-01,10.453333,10.666667,9.796267,10.167467,7.083607,15080161
2004-04-01,10.197333,10.498133,9.954133,9.996800,6.995117,11771721
2004-05-01,9.975467,10.295467,9.713067,10.250667,7.172757,10880157
2004-06-01,10.165333,10.587733,10.165333,10.297600,7.205599,13781252
2004-07-01,10.346667,10.410667,9.783467,9.922133,6.973171,10360317
2004-08-01,9.898667,10.148267,9.578667,10.131200,7.120098,11873441
2004-09-01,10.150400,10.666667,9.612800,9.770667,6.866719,30347346
2004-10-01,9.792000,9.909333,9.130667,9.578667,6.761909,21725626
2004-11-01,9.578667,10.295467,9.578667,10.244267,7.231783,16239847
2004-12-01,10.237867,10.685867,10.120533,10.385067,7.331175,15206721
2005-01-01,10.402133,10.412800,9.945600,10.289067,7.300438,15926719
2005-02-01,10.293333,10.894933,10.267733,10.858667,7.704588,22568440
2005-03-01,10.880000,11.712000,10.880000,11.680000,8.287354,61121252
2005-04-01,11.722667,11.938133,11.477333,11.840000,8.438601,33357191
2005-05-01,11.840000,12.800000,11.712000,12.718933,9.065038,20890315
2005-06-01,12.682667,13.098667,12.345600,12.898133,9.192760,23170314
2005-07-01,12.878933,13.139200,12.364800,12.469333,8.923532,18084848
2005-08-01,12.448000,12.539733,11.840000,12.081067,8.645670,32161408
2005-09-01,12.074667,13.271467,11.948800,12.701867,9.089939,39037504
2005-10-01,12.680533,13.587200,12.059733,13.512533,9.712285,28427815
2005-11-01,13.546667,14.824533,13.314133,14.690133,10.558699,25779847
2005-12-01,14.506667,15.445333,14.380800,14.788267,10.629229,23551877
2006-01-01,14.378667,15.409067,14.378667,15.129600,10.918967,20762815
2006-02-01,15.116800,15.236267,14.434133,15.010133,10.832747,17395784
2006-03-01,15.306667,17.610666,15.306667,16.420267,11.850437,32132345
2006-04-01,16.213333,16.505600,15.485867,15.893333,11.512000,19475158
2006-05-01,15.872000,16.345600,15.411200,16.277332,11.790140,18159378
2006-06-01,16.480000,16.565332,14.978133,15.242667,11.040703,29464223
2006-07-01,15.296000,15.793067,14.574933,15.669333,11.392620,19504222
2006-08-01,15.658667,16.938667,15.304533,16.422400,11.940145,17697659
2006-09-01,16.475733,16.823467,15.816533,16.351999,11.888961,20780629
2006-10-01,16.505600,16.505600,15.146667,15.400533,11.237729,19777502
2006-11-01,15.398400,15.500800,14.688000,14.816000,10.811204,21495002
2006-12-01,14.792533,14.890667,13.924267,14.131200,10.355295,32479221
2007-01-01,14.536533,14.536533,13.696000,13.992533,10.253681,29526566
2007-02-01,13.984000,14.560000,13.766400,13.952000,10.223982,26348908
2007-03-01,13.824000,14.346667,13.555200,13.986133,10.248989,41126253
2007-04-01,13.975467,14.240000,13.476267,13.638400,10.041013,33188909
2007-05-01,13.674667,14.764800,13.602133,14.562133,10.998055,38800317
2007-06-01,14.613333,15.842133,14.301867,15.590400,11.774648,39568597
2007-07-01,15.680000,15.729067,14.052267,14.173867,10.752832,23467034
2007-08-01,14.208000,17.041067,14.088533,15.266133,11.581467,40619065
2007-09-01,15.148800,16.279467,14.506667,15.980800,12.173350,29781566
2007-10-01,16.023466,16.364799,15.153067,15.782400,12.022222,21998442
2007-11-01,15.677867,15.963733,13.971200,15.069867,11.479448,39316410
2007-12-01,15.191467,16.245333,14.579200,15.810133,12.043346,42662813
2008-01-01,15.735467,16.087467,13.088000,13.265067,10.153518,61474690
2008-02-01,13.425067,14.664533,13.248000,13.604267,10.413151,48158907
2008-03-01,13.602133,14.816000,13.326933,14.126933,10.813215,33177658
2008-04-01,14.331733,15.648000,14.225067,14.510933,11.166679,32392971
2008-05-01,14.536533,16.191999,14.536533,16.038401,12.342117,24580782
2008-06-01,15.929600,16.806400,15.272533,16.121599,12.406147,44256565
2008-07-01,15.878400,16.085333,14.289067,15.351467,11.867168,47965316
2008-08-01,15.505067,16.793600,15.155200,15.362133,11.875414,28858127
2008-09-01,15.767467,16.341333,12.800000,15.319467,11.842428,43733910
2008-10-01,15.317333,15.488000,11.182933,12.106667,9.403195,56111067
2008-11-01,12.098667,13.061333,10.789333,11.704000,9.090446,42562875
2008-12-01,11.472000,13.914667,11.320000,13.730667,10.664548,44146500
2009-01-01,13.896000,14.264000,12.045333,12.109333,9.466714,34695000
2009-02-01,11.957333,12.909333,11.200000,11.461333,8.960127,39509250
2009-03-01,11.354667,11.642667,9.325333,10.354667,8.094969,62828625
2009-04-01,10.266667,12.493333,10.136000,12.400000,9.759822,49652250
2009-05-01,12.373333,12.930667,11.664000,11.693333,9.203617,37181625
2009-06-01,11.781333,13.333333,11.053333,11.461333,9.021013,38331750
2009-07-01,11.488000,11.874667,11.066667,11.720000,9.282573,28234875
2009-08-01,11.832000,12.133333,11.258667,11.925333,9.445204,30914625
2009-09-01,11.810667,13.498667,11.552000,12.858667,10.184427,58650000
2009-10-01,12.848000,14.341333,12.570667,13.016000,10.373441,28941000
2009-11-01,12.989333,13.866667,12.738667,13.645333,10.875004,21596250
2009-12-01,13.776000,14.792000,13.381333,14.285333,11.385072,31638000
2010-01-01,14.285333,14.816000,13.546667,13.685333,10.971999,18123000
2010-02-01,13.781333,14.256000,13.048000,13.962667,11.194345,17289000
2010-03-01,14.029333,15.898667,14.029333,15.853333,12.710160,26139750
2010-04-01,15.906667,16.117332,15.272000,15.514667,12.508104,17769750
2010-05-01,15.618667,15.794667,14.192000,14.789333,11.923332,29120250
2010-06-01,14.693333,16.128000,14.594667,15.261333,12.303859,34744875
2010-07-01,15.290667,17.346666,14.989333,16.856001,13.661430,28084875
2010-08-01,17.080000,17.341333,15.997333,16.344000,13.246462,25625250
2010-09-01,16.472000,16.634666,14.466667,16.437332,13.322109,37969500
2010-10-01,16.448000,16.941334,15.693333,16.216000,13.210446,23991000
2010-11-01,16.290667,17.458668,16.120001,17.445333,14.211925,16528125
2010-12-01,17.442667,19.466667,17.442667,18.565332,15.124341,23016375
2011-01-01,18.600000,18.621332,17.506666,17.693333,14.693996,15244125
2011-02-01,17.781334,18.666668,17.511999,18.440001,15.314086,14369250
2011-03-01,18.469334,19.629333,17.381332,18.213333,15.125839,25168875
2011-04-01,18.208000,19.661333,18.018667,19.162666,15.989508,17110875
2011-05-01,19.200001,19.522667,18.685333,19.327999,16.127457,13918500
2011-06-01,19.327999,19.930668,18.458668,19.917334,16.619202,26093625
2011-07-01,19.992001,20.600000,19.362667,19.615999,16.443150,15087750
2011-08-01,19.717333,19.823999,16.570667,19.133333,16.038551,36522750
2011-09-01,19.120001,19.437332,17.384001,18.704000,15.678670,32521875
2011-10-01,18.535999,20.682667,17.650667,19.927999,16.779520,19594875
2011-11-01,19.402666,21.282667,19.375999,21.282667,17.920158,16319250
2011-12-01,21.256001,21.877333,20.530666,21.469334,18.077337,25951125
2012-01-01,21.493334,22.274668,20.520000,21.656000,18.315079,19266000
2012-02-01,21.698668,22.469334,21.466667,21.773333,18.414310,16319250
2012-03-01,21.794666,22.400000,20.941334,22.237333,18.806730,21039000
2012-04-01,22.226667,23.269333,21.890667,23.026667,19.558126,18864375
2012-05-01,22.954666,23.658667,22.629333,23.247999,19.746124,15435750
2012-06-01,22.893333,26.120001,22.173332,25.826668,21.936367,23247750
2012-07-01,25.885332,26.130667,24.480000,24.949333,21.279341,25330125
2012-08-01,25.120001,25.948000,24.176001,25.639999,21.868410,14173625
2012-09-01,25.756001,27.164000,25.496000,26.100000,22.260750,17464000
2012-10-01,26.104000,27.152000,25.108000,25.624001,21.933804,17086000
2012-11-01,25.672001,28.348000,25.236000,28.072001,24.029261,21867750
2012-12-01,28.120001,28.400000,24.667999,25.299999,21.656462,31024500
2013-01-01,25.488001,26.364000,24.360001,25.879999,22.233725,28250750
2013-02-01,26.028000,26.836000,25.535999,26.247999,22.549871,20278750
2013-03-01,26.240000,28.584000,26.112000,28.559999,24.536131,14693750
2013-04-01,28.540001,28.796000,27.615999,28.200001,24.318007,13986250
2013-05-01,28.195999,29.716000,27.528000,27.528000,23.738514,14073750
2013-06-01,27.420000,28.459999,26.576000,27.020000,23.300449,16520500
2013-07-01,27.076000,29.483999,26.736000,29.004000,25.104345,17126250
2013-08-01,29.296000,29.492001,26.732000,26.796000,23.193216,16681500
2013-09-01,26.959999,29.011999,26.563999,27.252001,23.587906,20307000
2013-10-01,27.312000,29.983999,26.900000,29.191999,25.363615,20754750
2013-11-01,29.152000,30.576000,28.844000,30.007999,26.072607,10941000
2013-12-01,30.000000,30.691999,29.000000,30.228001,26.263752,16753500
2014-01-01,30.219999,32.304001,29.375999,30.799999,26.864588,29836750
2014-02-01,30.747999,33.875999,30.216000,33.520000,29.237051,21972000
2014-03-01,33.391998,36.459999,33.051998,35.875999,31.292013,26320750
2014-04-01,36.108002,36.411999,34.183998,35.888000,31.410532,27354750
2014-05-01,35.807999,37.119999,35.588001,37.068001,32.443317,16079000
2014-06-01,37.372002,38.860001,36.835999,37.667999,32.968441,20044250
2014-07-01,37.792000,38.264000,34.591999,34.660000,30.430969,18543000
2014-08-01,34.647999,37.448002,34.599998,37.063999,32.541645,21208250
2014-09-01,37.023998,37.396000,35.556000,36.088001,31.684736,18046000
2014-10-01,36.091999,37.068001,32.756001,37.068001,32.648129,27351250
2014-11-01,36.984001,38.924000,36.936001,38.820000,34.191235,16963500
2014-12-01,39.183998,39.188000,34.172001,35.136002,30.946501,35178750
2015-01-01,35.183998,37.532001,34.779999,35.548000,31.412897,26495500
2015-02-01,35.596001,37.127998,35.307999,36.675999,32.409679,17337500
2015-03-01,36.675999,36.959999,34.683998,36.139999,31.936022,30010750
2015-04-01,35.896000,37.596001,35.472000,36.091999,32.004654,23339250
2015-05-01,36.104000,38.316002,36.020000,37.708000,33.437645,21084000
2015-06-01,37.708000,40.964001,37.248001,40.071999,35.533924,33702000
2015-07-01,40.448002,43.408001,39.799999,43.363998,38.582024,25715750
2015-08-01,43.400002,44.424000,37.840000,39.240002,34.912815,39875250
2015-09-01,38.560001,40.316002,37.888000,38.759998,34.485744,74407750
2015-10-01,38.799999,43.647999,38.664001,42.472000,37.911736,33646500
2015-11-01,42.523998,43.015999,40.919998,41.015999,36.612068,21962250
2015-12-01,41.028000,42.012001,39.504002,39.712002,35.448086,35350500
2016-01-01,39.007999,39.164001,36.007999,39.136002,35.050137,34566000
2016-02-01,38.807999,41.368000,37.431999,39.388000,35.275826,37666500
2016-03-01,39.863998,39.911999,36.872002,39.388000,35.275826,40289000
2016-04-01,39.200001,39.916000,37.076000,38.528000,34.625721,35403500
2016-05-01,38.683998,39.720001,37.799999,39.228001,35.254822,26858250
