Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,6.166667,6.166667,5.541667,6.000000,6.000000,242700
1991-02-01,6.000000,7.916667,6.000000,7.875000,7.875000,774900
1991-03-01,7.833333,9.125000,7.666667,9.083333,9.083333,1159800
1991-04-01,9.083333,9.250000,8.041667,8.500000,8.500000,926400
1991-05-01,8.416667,8.416667,7.000000,7.916667,7.916667,714300
1991-06-01,7.916667,8.083333,7.666667,7.708333,7.708333,737400
1991-07-01,7.750000,7.833333,7.125000,7.125000,7.125000,342000
1991-08-01,7.208333,7.250000,6.000000,6.416667,6.416667,1083600
1991-09-01,6.416667,6.541667,6.083333,6.541667,6.541667,361200
1991-10-01,6.583333,6.958333,5.750000,5.916667,5.916667,512700
1991-11-01,5.916667,6.291667,5.833333,6.083333,6.083333,433200
1991-12-01,6.083333,6.666667,5.958333,6.583333,6.583333,428100
1992-01-01,6.625000,6.875000,6.333333,6.875000,6.875000,753000
1992-02-01,6.875000,6.958333,6.000000,6.083333,6.083333,283200
1992-03-01,6.041667,6.083333,5.625000,5.875000,5.875000,419700
1992-04-01,5.833333,6.000000,5.291667,6.000000,6.000000,309600
1992-05-01,6.000000,6.750000,6.000000,6.500000,6.500000,262800
1992-06-01,6.416667,7.125000,5.833333,6.125000,6.125000,418800
1992-07-01,6.333333,6.708333,6.208333,6.708333,6.708333,460200
1992-08-01,6.750000,6.916667,6.333333,6.458333,6.458333,514500
1992-09-01,6.416667,6.458333,5.833333,5.833333,5.833333,128700
1992-10-01,5.791667,5.791667,5.416667,5.500000,5.500000,527700
1992-11-01,5.583333,6.166667,5.333333,6.000000,6.000000,369300
1992-12-01,6.041667,6.041667,5.583333,5.708333,5.708333,456900
1993-01-01,5.750000,5.958333,5.500000,5.916667,5.916667,403500
1993-02-01,5.916667,5.958333,5.250000,5.416667,5.416667,303000
1993-03-01,5.416667,5.875000,5.333333,5.458333,5.458333,688800
1993-04-01,5.416667,5.458333,4.500000,4.666667,4.666667,744300
1993-05-01,4.708333,4.750000,4.500000,4.583333,4.583333,335700
1993-06-01,4.625000,4.958333,4.458333,4.916667,4.916667,616800
1993-07-01,4.916667,5.125000,4.750000,4.791667,4.791667,423900
1993-08-01,4.750000,4.791667,4.458333,4.625000,4.625000,607800
1993-09-01,4.708333,4.750000,4.458333,4.541667,4.541667,493200
1993-10-01,4.500000,4.666667,4.166667,4.208333,4.208333,693000
1993-11-01,4.166667,4.166667,3.791667,3.833333,3.833333,702000
