Date,Open,High,Low,Close,Adj Close,Volume
1993-04-01,9.625000,9.875000,9.166667,9.541667,5.349660,21079500
1993-05-01,9.500000,10.666667,9.500000,9.541667,5.349660,7172100
1993-06-01,9.541667,9.916667,8.500000,9.916667,5.559909,9356700
1993-07-01,9.916667,10.000000,9.291667,9.375000,5.275400,3655800
1993-08-01,9.375000,12.000000,9.333333,11.583333,6.518046,7201200
1993-09-01,11.583333,11.666667,10.791667,11.041667,6.213247,8583600
1993-10-01,11.041667,11.666667,10.833333,10.833333,6.154995,4806900
1993-11-01,10.833333,10.916667,9.666667,9.708333,5.515825,6103500
1993-12-01,9.708333,10.416667,9.375000,10.375000,5.894593,4118100
1994-01-01,10.333333,10.333333,9.250000,9.500000,5.416299,14377800
1994-02-01,9.541667,9.583333,9.083333,9.208333,5.250006,8252700
1994-03-01,9.250000,9.250000,8.166667,8.583333,4.893674,6650100
1994-04-01,8.500000,9.583333,8.416667,9.500000,5.436620,3172500
1994-05-01,9.541667,9.625000,9.041667,9.083333,5.198173,2537100
1994-06-01,9.000000,9.166667,7.916667,8.208333,4.697432,4467900
1994-07-01,8.208333,8.416667,7.583333,7.791667,4.479517,4417800
1994-08-01,7.833333,8.000000,7.458333,7.708333,4.431605,4843500
1994-09-01,7.708333,8.416667,7.500000,8.000000,4.599288,6153300
1994-10-01,8.000000,8.583333,7.416667,7.583333,4.379106,4178700
1994-11-01,7.666667,8.000000,6.916667,7.291667,4.210679,4740300
1994-12-01,7.166667,7.833333,6.958333,7.791667,4.499412,3673800
1995-01-01,7.875000,8.333333,7.291667,8.208333,4.764397,4112400
1995-02-01,8.250000,8.625000,8.166667,8.250000,4.788584,2505300
1995-03-01,8.166667,8.583333,7.666667,8.416667,4.885320,4617900
1995-04-01,8.333333,9.166667,8.333333,8.833333,5.150533,4934400
1995-05-01,8.750000,8.875000,8.125000,8.458333,4.931878,7643100
1995-06-01,8.416667,10.458333,8.333333,9.666667,5.636434,11927700
1995-07-01,9.708333,10.250000,9.500000,9.875000,5.785483,5749200
1995-08-01,9.833333,10.250000,9.666667,10.250000,6.005182,5763300
1995-09-01,10.250000,11.583333,10.208333,11.458333,6.713113,5412600
1995-10-01,11.500000,11.958333,10.916667,11.333333,6.667127,6901200
1995-11-01,11.291667,12.416667,11.166667,12.083333,7.108336,12013500
1995-12-01,12.083333,13.333333,11.875000,13.250000,7.794661,7651500
1996-01-01,13.166667,14.750000,12.583333,14.708333,8.683637,12922800
1996-02-01,14.750000,16.791668,14.458333,15.583333,9.200223,11829300
1996-03-01,15.625000,16.083332,14.416667,14.875000,8.782033,10125900
1996-04-01,14.916667,15.416667,14.500000,14.666667,8.685612,9427200
1996-05-01,14.625000,16.416668,13.500000,16.333332,9.672613,10126800
1996-06-01,16.333332,16.500000,14.541667,15.666667,9.277816,9764400
1996-07-01,15.666667,15.666667,13.625000,14.666667,8.720789,8193600
1996-08-01,14.666667,15.750000,14.541667,15.541667,9.241064,12573000
1996-09-01,15.500000,17.666668,15.375000,17.625000,10.479813,12801300
1996-10-01,17.625000,19.083332,17.166668,18.250000,10.892391,11681400
1996-11-01,18.500000,20.000000,18.500000,19.291668,11.514100,6197100
1996-12-01,19.208332,20.083332,18.583332,20.041668,11.961737,8080200
1997-01-01,20.041668,20.416668,18.708332,19.708332,11.800715,10930800
1997-02-01,20.333332,21.916668,19.500000,21.666668,12.973307,10226400
1997-03-01,21.666668,22.125000,20.875000,21.333332,12.773711,5719200
1997-04-01,21.208332,21.416668,19.208332,20.000000,12.008802,9165600
1997-05-01,20.000000,21.375000,19.875000,21.250000,12.759356,10309800
1997-06-01,21.333332,25.020832,21.333332,24.625000,14.785845,11869500
1997-07-01,24.541668,27.416668,24.416668,27.333332,16.462425,7250400
1997-08-01,27.333332,29.083332,26.395832,27.708332,16.688271,5435100
1997-09-01,27.791668,32.750000,27.791668,31.333332,18.871552,6237000
1997-10-01,31.333332,33.687500,30.166668,30.979168,18.701794,4525500
1997-11-01,30.916668,33.333332,29.666668,33.083332,19.972048,7737300
1997-12-01,33.166668,33.666668,30.375000,32.166668,19.418682,8399700
1998-01-01,32.083332,32.750000,30.333332,31.020832,18.774250,11484000
1998-02-01,31.250000,34.666668,30.958332,32.958332,19.946852,6563700
1998-03-01,32.979168,42.500000,31.500000,37.687500,22.809008,6906600
1998-04-01,37.750000,40.125000,34.250000,37.875000,22.967369,8980500
1998-05-01,38.000000,38.687500,35.312500,35.625000,21.602976,4854900
1998-06-01,35.437500,40.750000,34.000000,39.000000,23.649559,7457500
1998-07-01,39.250000,43.000000,36.625000,36.687500,22.298733,6816700
1998-08-01,36.750000,38.062500,29.000000,29.000000,17.626261,7030300
1998-09-01,28.375000,32.625000,26.562500,30.000000,18.234056,8159900
1998-10-01,29.500000,35.812500,24.375000,33.875000,20.647936,11188000
1998-11-01,33.625000,34.625000,29.000000,32.000000,19.505062,11084700
1998-12-01,32.000000,34.437500,26.500000,34.437500,20.990786,12633400
1999-01-01,34.437500,34.437500,26.500000,28.000000,17.119497,28447400
1999-02-01,27.750000,29.625000,25.437500,27.250000,16.660923,12170800
1999-03-01,27.250000,34.000000,27.000000,31.187500,19.068365,12896000
1999-04-01,31.187500,31.562500,27.250000,30.250000,18.547831,10803500
1999-05-01,30.437500,35.250000,29.937500,30.500000,18.701132,10923800
1999-06-01,30.625000,30.625000,26.312500,28.250000,17.321541,15509500
1999-07-01,28.312500,29.437500,22.000000,23.250000,14.312642,23758000
1999-08-01,23.375000,24.437500,21.000000,21.437500,13.196877,19070600
1999-09-01,21.500000,22.250000,16.375000,16.937500,10.426684,19772700
1999-10-01,16.937500,19.875000,15.500000,19.437500,12.039508,22682900
1999-11-01,19.687500,22.750000,16.875000,17.000000,10.529735,22309300
1999-12-01,16.937500,18.500000,16.000000,16.687500,10.336171,18554000
2000-01-01,17.062500,20.875000,15.187500,17.687500,11.027444,25186700
2000-02-01,17.687500,19.375000,14.812500,17.875000,11.144349,25743200
2000-03-01,17.625000,23.062500,14.062500,22.875000,14.261646,33290300
2000-04-01,22.750000,27.250000,20.000000,23.937500,15.010974,20227900
2000-05-01,24.375000,28.500000,23.437500,26.937500,16.892252,26641500
2000-06-01,27.187500,31.437500,25.937500,28.000000,17.558529,17958100
2000-07-01,27.875000,37.250000,27.125000,35.937500,22.646637,22630300
2000-08-01,35.937500,35.937500,31.750000,35.125000,22.134632,21304100
2000-09-01,35.375000,40.187500,33.250000,39.250000,24.734056,21332900
2000-10-01,39.125000,41.000000,32.875000,39.250000,24.817465,26123800
2000-11-01,40.375000,42.500000,37.562500,39.500000,24.975540,19515500
2000-12-01,39.500000,43.937500,36.312500,42.437500,26.832897,32210200
2001-01-01,43.187500,43.187500,33.000000,37.000000,23.467546,38166200
2001-02-01,37.000000,40.150002,35.009998,36.599998,23.213856,23768800
2001-03-01,36.799999,38.799999,32.000000,36.759998,23.315327,26841600
2001-04-01,36.360001,36.849998,31.590000,35.700001,22.730186,33630200
2001-05-01,35.700001,39.490002,34.000000,38.750000,24.672110,29193200
2001-06-01,39.200001,40.000000,36.000000,39.090000,24.888590,20165400
2001-07-01,39.090000,39.320000,32.500000,34.910000,22.316305,26601500
2001-08-01,35.000000,36.770000,31.900000,33.169998,21.204006,23067000
2001-09-01,33.500000,34.200001,18.100000,28.870001,18.455223,71521000
2001-10-01,28.620001,39.200001,28.200001,35.250000,22.669678,72518600
2001-11-01,35.700001,40.750000,35.240002,38.099998,24.502546,35330700
2001-12-01,37.700001,40.599998,36.849998,40.150002,25.820919,26458300
2002-01-01,40.000000,40.099998,35.009998,38.849998,25.079039,94600200
2002-02-01,38.849998,44.759998,37.750000,43.900002,28.338993,41768300
2002-03-01,43.799999,44.529999,40.049999,41.700001,26.918814,36404900
2002-04-01,41.900002,44.980000,41.040001,43.520000,28.198225,28723800
2002-05-01,41.000000,42.099998,32.380001,34.610001,22.425108,98922800
2002-06-01,34.750000,35.099998,28.830000,31.600000,20.474819,42369500
2002-07-01,31.299999,32.000000,22.010000,31.670000,20.628071,54948800
2002-08-01,31.469999,34.240002,28.900000,31.809999,20.719259,29930200
2002-09-01,31.740000,34.189999,28.250000,29.610001,19.286303,29085600
2002-10-01,29.650000,36.400002,26.900000,30.750000,20.143206,54137300
2002-11-01,30.799999,34.450001,29.799999,34.099998,22.337671,30003200
2002-12-01,34.119999,34.250000,28.610001,29.340000,19.219568,24480400
2003-01-01,29.350000,32.400002,27.350000,29.450001,19.404171,38745700
2003-02-01,29.570000,30.150000,26.780001,27.709999,18.257706,27916900
2003-03-01,28.000000,30.480000,23.590000,28.950001,19.074728,36568300
2003-04-01,29.299999,35.000000,29.080000,33.080002,21.922348,39064300
2003-05-01,33.160000,36.669998,31.700001,36.500000,24.188807,37976500
2003-06-01,36.980000,37.950001,34.099998,34.290001,22.724220,34782800
2003-07-01,34.299999,35.500000,31.160000,32.990002,21.980680,38881100
2003-08-01,32.990002,34.389999,31.700001,32.200001,21.454311,24739800
2003-09-01,32.099998,34.500000,30.299999,33.080002,22.040646,32939000
2003-10-01,33.090000,36.169998,33.000000,36.000000,24.125858,34919100
2003-11-01,36.070000,36.630001,34.000000,36.450001,24.427425,21137700
2003-12-01,36.549999,42.799999,36.139999,41.419998,27.758137,28766200
2004-01-01,41.419998,43.880001,40.849998,43.419998,29.233633,20254300
2004-02-01,43.200001,45.700001,42.799999,44.959999,30.270491,22966200
2004-03-01,44.750000,45.500000,41.439999,42.660000,28.721952,21602900
2004-04-01,42.759998,45.980000,41.500000,43.840000,29.649469,30478000
2004-05-01,43.980000,44.020000,39.650002,41.180000,27.850473,23291200
2004-06-01,41.230000,43.349998,41.150002,42.279999,28.594425,21583100
2004-07-01,42.279999,43.049999,38.250000,40.590000,27.587124,26374000
2004-08-01,40.500000,40.599998,37.750000,38.549999,26.200640,22004600
2004-09-01,38.380001,40.650002,37.119999,40.060001,27.226923,25443500
2004-10-01,40.369999,42.930000,31.799999,38.060001,26.009926,66234400
2004-11-01,38.200001,40.500000,37.720001,40.419998,27.622730,24922300
2004-12-01,40.650002,43.080002,39.520000,42.750000,29.215036,20353200
2005-01-01,42.950001,44.209999,41.380001,43.400002,29.806311,29469300
2005-02-01,43.650002,47.700001,43.200001,44.459999,30.534300,24232200
2005-03-01,44.299999,46.290001,40.959999,41.270000,28.343460,27191100
2005-04-01,41.270000,43.040001,38.360001,42.959999,29.651499,37300500
2005-05-01,43.200001,44.259998,41.349998,43.220001,29.830954,18593100
2005-06-01,43.490002,46.900002,42.849998,44.849998,30.956005,23738000
2005-07-01,45.000000,46.900002,44.320000,46.209999,32.062061,17366800
2005-08-01,46.480000,47.290001,43.480000,44.410000,30.813162,15595900
2005-09-01,44.320000,47.369999,42.520000,47.070000,32.658756,38524100
2005-10-01,46.250000,52.419998,45.380001,52.099998,36.331680,66926600
2005-11-01,51.750000,56.849998,51.480000,55.500000,38.702648,32744600
2005-12-01,55.799999,56.040001,52.750000,53.439999,37.266113,31133200
2006-01-01,54.049999,56.980000,51.560001,54.750000,38.344624,24724000
2006-02-01,55.500000,56.580002,52.330002,55.730000,39.030952,23524800
2006-03-01,55.900002,57.150002,51.570000,52.009998,36.425632,25335300
2006-04-01,52.520000,55.849998,50.049999,55.540001,39.067959,27650700
2006-05-01,55.330002,55.799999,51.299999,51.770000,36.416058,27900900
2006-06-01,51.770000,51.990002,47.810001,50.590000,35.586025,40495100
2006-07-01,50.720001,54.000000,49.070000,51.529999,36.433956,24995500
2006-08-01,51.540001,53.900002,48.639999,53.860001,38.081371,24049700
2006-09-01,54.230000,56.400002,52.939999,54.730000,38.696495,23951400
2006-10-01,54.740002,59.240002,53.889999,57.250000,40.659897,30150600
2006-11-01,57.590000,58.980000,56.320000,56.840000,40.368721,20539800
2006-12-01,56.689999,61.900002,55.910000,60.570000,43.017818,20462100
2007-01-01,60.500000,61.029999,57.400002,57.779999,41.205650,27355500
2007-02-01,57.880001,59.959999,55.660000,56.139999,40.036087,27518000
2007-03-01,55.299999,57.900002,52.790001,57.060001,40.692192,39390400
2007-04-01,57.000000,61.299999,56.900002,59.459999,42.588814,20066500
2007-05-01,59.700001,63.250000,59.270000,61.570000,44.100128,27821900
2007-06-01,61.570000,63.180000,60.169998,62.520000,44.780567,51198900
2007-07-01,63.099998,64.320000,57.230000,57.720001,41.522923,42876200
2007-08-01,57.910000,60.360001,53.570000,57.759998,41.551693,54318200
2007-09-01,57.570000,61.270000,56.000000,60.570000,43.573166,32034900
2007-10-01,60.849998,64.080002,57.410000,60.610001,43.803284,39862800
2007-11-01,59.840000,61.020000,55.630001,59.830002,43.239578,46106100
2007-12-01,59.250000,63.299999,58.380001,61.779999,44.648853,30598700
2008-01-01,61.860001,62.430000,54.160000,58.240002,42.272041,70987900
2008-02-01,58.040001,60.520000,55.570000,56.240002,40.820385,50693500
2008-03-01,56.029999,59.130001,51.720001,55.060001,39.963917,59114200
2008-04-01,54.410000,61.619999,54.410000,60.290001,43.974876,43841500
2008-05-01,59.669998,62.240002,58.330002,60.070000,43.814411,34879500
2008-06-01,59.950001,62.709999,54.799999,55.090000,40.182041,50468900
2008-07-01,54.750000,56.150002,44.930000,50.700001,37.167690,251427800
2008-08-01,51.040001,55.320000,48.910000,52.610001,38.567883,60668300
2008-09-01,53.000000,68.000000,50.200001,54.130001,39.682182,83251000
2008-10-01,54.400002,59.360001,34.900002,57.360001,42.050056,109960800
2008-11-01,58.570000,58.810001,37.500000,52.250000,38.524113,83108500
2008-12-01,50.400002,53.410000,42.590000,52.919998,39.018105,55952300
2009-01-01,53.200001,53.380001,42.950001,43.660000,32.190670,55347900
2009-02-01,42.799999,45.470001,36.000000,36.509998,27.057686,62145100
2009-03-01,35.400002,40.750000,30.920000,40.400002,29.940567,90670100
2009-04-01,40.139999,48.599998,38.980000,46.320000,34.543747,71786400
2009-05-01,46.310001,47.160000,41.700001,43.990002,32.806129,58869300
2009-06-01,44.490002,46.630001,42.490002,44.230000,32.985115,42065600
2009-07-01,44.320000,49.360001,40.000000,49.060001,36.587147,42665200
2009-08-01,49.400002,53.290001,47.470001,52.180000,39.170269,32136300
2009-09-01,51.919998,53.669998,49.099998,53.459999,40.131119,36028000
2009-10-01,53.360001,55.639999,50.919998,51.360001,38.781681,38145400
2009-11-01,51.459999,53.000000,47.950001,48.709999,36.780670,39792400
2009-12-01,49.330002,50.980000,48.200001,50.400002,38.056767,41616900
2010-01-01,50.400002,50.730000,47.090000,49.270000,37.434242,60743200
2010-02-01,49.380001,50.830002,47.349998,49.990002,37.981266,44365100
2010-03-01,50.020000,53.320000,49.500000,52.299999,39.736366,47950000
2010-04-01,52.470001,54.169998,51.740002,53.189999,40.651402,43011200
2010-05-01,53.209999,54.230000,47.590000,49.160000,37.571407,58426800
2010-06-01,49.130001,54.119999,48.009998,51.480000,39.344509,82157700
2010-07-01,51.500000,55.959999,50.439999,53.080002,40.567341,177689900
2010-08-01,53.740002,54.840000,51.750000,53.470001,41.121899,51980400
2010-09-01,53.980000,59.139999,53.759998,58.250000,44.798019,48767400
2010-10-01,58.680000,61.380001,57.650002,59.419998,45.957420,34972800
2010-11-01,59.810001,62.490002,58.360001,58.520000,45.261333,34757000
2010-12-01,59.310001,62.630001,58.900002,62.250000,48.146233,41544600
2011-01-01,62.730000,63.290001,59.549999,61.590000,47.895081,34068900
2011-02-01,62.200001,65.790001,61.400002,63.250000,49.185982,40710600
2011-03-01,63.250000,65.239998,59.549999,64.699997,50.313564,49126800
2011-04-01,65.099998,67.820000,64.099998,67.250000,52.567551,47455500
2011-05-01,67.739998,69.830002,66.250000,68.820000,53.794800,36426100
2011-06-01,68.720001,69.260002,63.500000,65.820000,51.449757,41484300
2011-07-01,65.680000,69.129997,63.349998,66.980003,52.641136,36808400
2011-08-01,67.709999,67.870003,58.939999,64.580002,50.754936,71436200
2011-09-01,64.440002,64.849998,58.770000,60.599998,47.626968,50422400
2011-10-01,60.349998,73.760002,56.900002,72.150002,57.032837,58572400
2011-11-01,69.959999,72.860001,64.089996,69.529999,54.961781,49120700
