Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,1.468750,1.645833,1.354167,1.625000,1.066922,6793200
1991-02-01,1.625000,1.885417,1.625000,1.729167,1.135316,8980800
1991-03-01,1.729167,2.020833,1.718750,1.989583,1.311292,8500800
1991-04-01,2.000000,2.437500,2.000000,2.229167,1.469197,11786400
1991-05-01,2.208333,2.500000,2.187500,2.395833,1.579043,8115600
1991-06-01,2.406250,2.437500,2.145833,2.291667,1.514816,6582000
1991-07-01,2.312500,2.500000,2.302083,2.395833,1.583671,7400400
1991-08-01,2.416667,2.708333,2.395833,2.677083,1.769580,6709200
1991-09-01,2.677083,2.697917,2.479167,2.697917,1.788832,6555600
1991-10-01,2.677083,2.687500,2.375000,2.437500,1.616164,7928400
1991-11-01,2.416667,2.531250,2.291667,2.312500,1.533284,5407200
1991-12-01,2.270833,2.593750,2.270833,2.489583,1.655926,5820000
1992-01-01,2.468750,2.531250,2.062500,2.229167,1.482713,15885600
1992-02-01,2.250000,2.489583,2.229167,2.427083,1.614356,5179200
1992-03-01,2.427083,2.437500,2.083333,2.135417,1.424721,10536000
1992-04-01,2.135417,2.166667,2.020833,2.052083,1.369123,10040400
1992-05-01,2.062500,2.312500,2.031250,2.093750,1.396922,6807600
1992-06-01,2.093750,2.291667,2.083333,2.218750,1.485413,7213200
1992-07-01,2.218750,2.354167,2.145833,2.333333,1.562125,6008400
1992-08-01,2.354167,2.520833,2.270833,2.437500,1.631862,6157200
1992-09-01,2.447917,2.604167,2.437500,2.531250,1.700391,4962000
1992-10-01,2.552083,2.708333,2.479167,2.697917,1.812350,3879600
1992-11-01,2.697917,2.979167,2.666667,2.937500,1.973292,6793200
1992-12-01,2.927083,2.927083,2.500000,2.604167,1.754650,9610800
1993-01-01,2.604167,2.645833,2.437500,2.458333,1.656388,7401600
1993-02-01,2.479167,2.552083,2.437500,2.489583,1.677444,6331200
1993-03-01,2.468750,2.500000,2.229167,2.354167,1.591464,11452800
1993-04-01,2.395833,2.604167,2.333333,2.604167,1.760470,4192800
1993-05-01,2.593750,2.739583,2.541667,2.666667,1.802720,4147200
1993-06-01,2.645833,2.666667,2.416667,2.500000,1.695476,3865200
1993-07-01,2.479167,2.583333,1.979167,1.989583,1.349316,9385200
1993-08-01,1.989583,2.083333,1.947917,2.010417,1.363445,11665200
1993-09-01,2.020833,2.020833,1.906250,1.916667,1.305913,8073600
1993-10-01,1.916667,2.156250,1.906250,2.156250,1.469152,6861600
1993-11-01,2.135417,2.270833,2.052083,2.135417,1.454958,5800800
1993-12-01,2.135417,2.354167,2.114583,2.354167,1.610986,9219600
1994-01-01,2.333333,2.437500,2.229167,2.291667,1.568216,7714800
1994-02-01,2.291667,2.291667,1.906250,1.927083,1.318727,7264800
1994-03-01,1.927083,2.000000,1.770833,1.854167,1.274274,7738800
1994-04-01,1.833333,1.875000,1.687500,1.791667,1.231321,15259200
1994-05-01,1.791667,1.895833,1.750000,1.833333,1.259955,8239200
1994-06-01,1.812500,1.906250,1.791667,1.895833,1.309608,5634000
1994-07-01,1.895833,1.927083,1.843750,1.916667,1.324001,6884400
1994-08-01,1.916667,2.125000,1.916667,2.114583,1.460718,5978400
1994-09-01,2.093750,2.166667,1.770833,1.916667,1.329942,8170800
1994-10-01,1.906250,1.968750,1.822917,1.875000,1.301030,5696400
1994-11-01,1.875000,1.937500,1.697917,1.708333,1.185383,7795200
1994-12-01,1.708333,1.708333,1.385417,1.500000,1.045799,17230800
1995-01-01,1.489583,1.562500,1.416667,1.510417,1.053061,10710000
1995-02-01,1.510417,1.604167,1.500000,1.500000,1.045799,5557200
1995-03-01,1.510417,1.531250,1.500000,1.520833,1.066709,5420400
1995-04-01,1.520833,1.562500,1.500000,1.552083,1.088628,6880800
1995-05-01,1.552083,1.791667,1.552083,1.739583,1.220140,7161600
1995-06-01,1.729167,1.760417,1.697917,1.729167,1.219585,6334800
1995-07-01,1.718750,1.791667,1.625000,1.739583,1.226931,6404400
1995-08-01,1.750000,1.958333,1.729167,1.906250,1.344481,6316800
1995-09-01,1.895833,2.072917,1.802083,1.812500,1.284571,6048000
1995-10-01,1.812500,1.906250,1.687500,1.697917,1.203363,3438000
1995-11-01,1.697917,1.697917,1.500000,1.520833,1.077858,7234800
1995-12-01,1.541667,1.625000,1.500000,1.541667,1.098744,9990000
1996-01-01,1.541667,1.666667,1.458333,1.614583,1.150710,9099600
1996-02-01,1.593750,1.729167,1.572917,1.687500,1.202678,5836800
1996-03-01,1.697917,1.802083,1.614583,1.739583,1.246698,9178800
1996-04-01,1.739583,1.895833,1.666667,1.833333,1.313885,4868400
1996-05-01,1.822917,1.822917,1.645833,1.666667,1.194441,6516000
1996-06-01,1.666667,1.760417,1.645833,1.739583,1.253425,6511200
1996-07-01,1.750000,1.802083,1.666667,1.729167,1.245919,4354800
1996-08-01,1.739583,1.875000,1.708333,1.760417,1.268435,6158400
1996-09-01,1.750000,1.770833,1.666667,1.697917,1.229550,4581600
1996-10-01,1.708333,1.833333,1.666667,1.781250,1.289896,7561200
1996-11-01,1.791667,1.979167,1.791667,1.875000,1.357785,5306400
1996-12-01,1.895833,1.906250,1.791667,1.906250,1.387197,5115600
1997-01-01,1.895833,2.187500,1.802083,2.125000,1.546384,10680000
1997-02-01,2.104167,2.416667,2.093750,2.218750,1.614607,10659600
1997-03-01,2.229167,2.395833,2.125000,2.395833,1.750843,8362800
1997-04-01,2.395833,2.395833,2.000000,2.125000,1.552923,6379200
1997-05-01,2.145833,2.218750,2.010417,2.208333,1.613822,7945200
1997-06-01,2.229167,2.281250,2.114583,2.229167,1.636432,6825600
1997-07-01,2.218750,2.494792,2.135417,2.473958,1.816133,9722400
1997-08-01,2.453125,2.463542,2.286458,2.385417,1.751134,6770400
1997-09-01,2.364583,2.583333,2.312500,2.416667,1.781577,5998800
1997-10-01,2.427083,2.729167,2.239583,2.401042,1.770058,6435600
1997-11-01,2.421875,2.572917,2.312500,2.447917,1.804615,3020400
1997-12-01,2.447917,2.526042,2.270833,2.338542,1.730764,5589600
1998-01-01,2.333333,2.401042,2.213542,2.328125,1.723055,5202000
1998-02-01,2.338542,2.442708,2.213542,2.390625,1.769312,6700800
1998-03-01,2.395833,2.557292,2.286458,2.520833,1.874066,7803600
1998-04-01,2.515625,2.713542,2.442708,2.567708,1.908915,10473600
