Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,4.541667,5.000000,4.000000,4.916667,3.151695,26274600
1991-02-01,4.916667,5.597222,4.916667,5.416667,3.472206,28419300
1991-03-01,5.388889,5.916667,5.055556,5.916667,3.792718,40167000
1991-04-01,5.833333,6.305556,5.444444,5.472222,3.560882,35381700
1991-05-01,5.500000,5.777778,5.166667,5.777778,3.759714,27324900
1991-06-01,5.750000,5.750000,5.041667,5.180556,3.371088,19535400
1991-07-01,5.250000,5.263889,4.652778,5.000000,3.303563,32449500
1991-08-01,5.000000,5.208333,4.583333,4.722222,3.120032,32451300
1991-09-01,4.722222,5.097222,4.638889,5.027778,3.321916,27108900
1991-10-01,5.027778,5.777778,4.902778,5.777778,3.886750,26067600
1991-11-01,5.777778,6.527778,5.625000,5.791667,3.896094,36279900
1991-12-01,5.763889,6.861111,5.736111,6.791667,4.568800,33762600
1992-01-01,6.694444,6.763889,5.861111,6.000000,4.094822,33459300
1992-02-01,6.027778,6.222222,5.819444,6.097222,4.161170,29172600
1992-03-01,6.097222,6.333333,5.611111,5.652778,3.857852,22971600
1992-04-01,5.652778,5.930556,5.250000,5.750000,3.978069,23529600
1992-05-01,5.750000,6.000000,5.513889,5.722222,3.958851,21457800
1992-06-01,5.736111,6.416667,5.652778,6.194444,4.285553,35146800
1992-07-01,6.222222,6.361111,5.819444,6.083333,4.269330,31214700
1992-08-01,6.069444,6.194444,5.597222,5.666667,3.976911,18386100
1992-09-01,5.666667,5.833333,5.236111,5.555556,3.898934,37450800
1992-10-01,5.541667,5.861111,5.527778,5.708333,4.065428,31448700
1992-11-01,5.708333,6.361111,5.597222,6.305556,4.490766,21539700
1992-12-01,6.319444,6.652778,6.166667,6.513889,4.639141,35294400
1993-01-01,6.527778,6.916667,6.361111,6.888889,4.970510,35502300
1993-02-01,6.888889,7.555556,6.375000,6.847222,4.940445,51692400
1993-03-01,6.847222,7.152778,6.638889,6.888889,4.970510,33012000
1993-04-01,6.902778,7.055556,6.625000,6.763889,4.942404,27936900
1993-05-01,6.847222,6.944444,6.513889,6.555556,4.790174,23036400
1993-06-01,6.569444,6.791667,6.319444,6.763889,4.942404,19749600
1993-07-01,6.805556,6.805556,6.277778,6.541667,4.841869,20979900
1993-08-01,6.541667,7.277778,6.430556,7.194444,5.325030,42642900
1993-09-01,7.194444,7.319444,6.930556,7.222222,5.345590,28971900
1993-10-01,7.222222,7.513889,7.055556,7.458333,5.586956,22461300
1993-11-01,7.472222,7.597222,7.013889,7.027778,5.264429,35878500
1993-12-01,7.097222,7.194444,6.847222,6.972222,5.222814,27564300
1994-01-01,7.000000,7.833333,6.972222,7.680556,5.822975,41389200
1994-02-01,7.680556,7.763889,7.277778,7.277778,5.517611,30436200
1994-03-01,7.263889,7.263889,6.444444,6.597222,5.001649,29702700
1994-04-01,6.555556,7.069444,6.472222,6.500000,4.986470,32038200
1994-05-01,6.500000,7.763889,6.333333,7.652778,5.870824,44542800
1994-06-01,7.652778,8.222222,7.611111,8.111111,6.222433,59669100
1994-07-01,8.138889,8.222222,7.597222,7.597222,5.890486,53244900
1994-08-01,7.777778,7.791667,7.111111,7.444444,5.772033,39917700
1994-09-01,7.444444,7.513889,6.597222,6.847222,5.308977,39151800
1994-10-01,6.902778,7.513889,6.555556,7.319444,5.739859,31966200
1994-11-01,7.430556,7.708333,6.763889,7.041667,5.522028,39537900
1994-12-01,7.041667,7.430556,6.791667,7.069444,5.543813,40149900
1995-01-01,7.055556,7.611111,6.916667,7.513889,5.962462,41349600
1995-02-01,7.513889,8.444444,7.500000,8.416667,6.678840,51142500
1995-03-01,8.416667,8.486111,8.111111,8.305556,6.590671,38445300
1995-04-01,8.277778,8.291667,7.583333,8.069444,6.468421,47489400
1995-05-01,8.083333,8.416667,7.875000,8.305556,6.657689,39246300
1995-06-01,8.291667,8.777778,8.152778,8.625000,6.913751,45187200
1995-07-01,8.652778,9.125000,8.611111,8.958333,7.254336,35704800
1995-08-01,8.972222,10.750000,8.944444,10.750000,8.705205,77618700
1995-09-01,10.736111,11.777778,10.694444,11.569444,9.368780,78888600
1995-10-01,11.638889,12.000000,10.583333,11.013889,8.987984,77405400
1995-11-01,11.527778,12.777778,11.277778,12.222222,9.974055,60116400
1995-12-01,12.208333,12.597222,11.444444,11.472222,9.362012,58594500
1996-01-01,11.472222,13.263889,11.472222,13.180556,10.830348,63076500
1996-02-01,13.166667,13.833333,12.555556,13.166667,10.818933,61869600
1996-03-01,13.194444,13.944444,12.444444,12.694444,10.430915,41234400
