Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,4.593750,4.968750,4.062500,4.875000,2.512406,5168000
1991-02-01,4.906250,5.562500,4.875000,5.218750,2.689563,24768000
1991-03-01,5.187500,5.546875,4.250000,4.625000,2.415579,7726400
1991-04-01,4.609375,4.906250,4.343750,4.625000,2.415579,9225600
1991-05-01,4.640625,5.156250,4.390625,5.062500,2.644080,8919200
1991-06-01,5.046875,5.359375,4.890625,4.984375,2.606960,6127200
1991-07-01,4.984375,5.046875,4.687500,4.968750,2.598789,5226400
1991-08-01,4.968750,5.078125,4.421875,4.890625,2.557925,6279200
1991-09-01,4.937500,5.109375,4.593750,4.625000,2.422063,5089600
1991-10-01,4.625000,5.625000,4.468750,5.546875,2.904840,11239200
1991-11-01,5.687500,6.234375,5.625000,5.906250,3.093041,8352800
1991-12-01,5.875000,6.812500,5.843750,6.781250,3.555122,9119200
1992-01-01,6.781250,7.515625,6.656250,7.156250,3.751721,9822400
1992-02-01,7.156250,8.250000,7.000000,7.906250,4.144915,10096800
1992-03-01,7.875000,8.109375,7.343750,7.859375,4.123664,8514400
1992-04-01,7.828125,8.125000,7.093750,7.937500,4.164652,30243200
1992-05-01,8.062500,9.187500,7.843750,9.156250,4.804110,10916800
1992-06-01,9.156250,9.593750,8.281250,8.562500,4.495700,19697600
1992-07-01,8.562500,8.968750,7.578125,8.890625,4.667982,21811200
1992-08-01,8.890625,8.890625,7.890625,7.906250,4.151140,15122400
1992-09-01,7.875000,8.859375,7.859375,8.250000,4.335019,10223200
1992-10-01,8.265625,8.531250,7.421875,8.343750,4.384278,13072000
1992-11-01,8.359375,9.578125,8.343750,9.546875,5.016470,8538400
1992-12-01,9.515625,10.109375,9.218750,9.750000,5.126790,7060000
1993-01-01,9.765625,10.500000,9.500000,9.812500,5.159652,8534400
1993-02-01,9.812500,10.859375,9.343750,10.703125,5.627964,17200000
1993-03-01,10.671875,12.187500,10.562500,11.984375,6.305368,17626400
1993-04-01,11.968750,12.328125,11.203125,11.671875,6.140947,20205600
1993-05-01,11.687500,11.734375,10.156250,10.562500,5.557269,21281600
1993-06-01,10.578125,10.750000,9.625000,10.625000,5.593473,23539200
1993-07-01,10.625000,11.250000,9.953125,10.031250,5.280897,19700000
1993-08-01,10.125000,10.437500,9.750000,10.359375,5.453636,15024000
1993-09-01,10.390625,10.703125,10.031250,10.203125,5.374697,8444800
1993-10-01,10.203125,12.140625,9.718750,11.921875,6.280081,21908800
1993-11-01,11.781250,12.703125,11.718750,11.812500,6.222464,16938000
1993-12-01,12.000000,13.593750,11.843750,13.437500,7.097247,21894800
1994-01-01,13.375000,14.406250,12.875000,13.812500,7.295308,15286400
1994-02-01,13.875000,13.875000,11.906250,12.218750,6.453540,15968800
1994-03-01,12.312500,13.468750,11.125000,12.312500,6.518726,24710400
1994-04-01,12.093750,13.281250,10.031250,10.812500,5.724567,18299200
1994-05-01,10.656250,10.968750,10.281250,10.718750,5.674929,10724400
1994-06-01,10.625000,11.000000,10.125000,10.843750,5.758200,8570000
1994-07-01,10.812500,11.468750,10.000000,10.031250,5.326748,13052800
1994-08-01,10.125000,10.468750,8.968750,10.062500,5.343339,18700400
1994-09-01,10.093750,10.093750,9.531250,9.843750,5.243518,12008800
1994-10-01,9.906250,10.843750,9.656250,10.625000,5.659671,12186800
1994-11-01,10.687500,11.468750,10.437500,10.875000,5.792841,9951200
1994-12-01,10.875000,11.562500,10.718750,11.312500,6.061647,8615200
1995-01-01,11.312500,11.468750,10.375000,10.718750,5.743494,13272400
1995-02-01,10.656250,11.406250,10.625000,11.375000,6.095135,8857600
1995-03-01,11.375000,11.718750,10.750000,11.187500,6.027972,16862000
1995-04-01,11.218750,11.625000,10.843750,11.187500,6.027972,11419600
1995-05-01,11.156250,12.156250,11.062500,11.375000,6.128997,15387200
