Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,28.000000,29.875000,26.500000,29.250000,11.030598,2607400
1991-02-01,29.000000,33.000000,28.500000,31.000000,11.737900,2511800
1991-03-01,30.750000,33.000000,29.625000,30.000000,11.359250,3195100
1991-04-01,30.000000,30.750000,27.750000,27.750000,10.507310,3863800
1991-05-01,27.750000,29.125000,23.750000,26.500000,10.076813,10402400
1991-06-01,26.625000,27.500000,25.000000,25.375000,9.649027,2576100
1991-07-01,25.375000,25.875000,21.000000,21.750000,8.270590,7022600
1991-08-01,21.625000,22.000000,20.500000,20.875000,7.983217,4445300
1991-09-01,20.875000,20.875000,18.000000,19.000000,7.266161,5717700
1991-10-01,19.000000,19.750000,16.875000,17.625000,6.740318,5583300
1991-11-01,17.750000,18.750000,16.875000,18.000000,6.930918,6333300
1991-12-01,17.875000,18.500000,16.625000,18.375000,7.075312,6755900
1992-01-01,18.250000,19.625000,17.875000,19.500000,7.508495,7550300
1992-02-01,20.500000,20.500000,18.500000,19.000000,7.362473,5433400
1992-03-01,19.000000,22.750000,18.875000,21.125000,8.185904,8862100
1992-04-01,21.000000,21.875000,14.875000,15.000000,5.812474,18485700
1992-05-01,15.000000,16.000000,15.000000,15.875000,6.200730,6166300
1992-06-01,15.750000,16.125000,15.250000,15.875000,6.200730,6084700
1992-07-01,15.875000,18.000000,15.625000,16.500000,6.444857,8232400
1992-08-01,16.500000,16.875000,15.375000,16.000000,6.293658,5755900
1992-09-01,16.125000,17.500000,16.000000,17.375000,6.834520,2997600
1992-10-01,17.375000,17.625000,16.750000,17.375000,6.834520,2035600
1992-11-01,17.375000,18.375000,17.250000,18.125000,7.179480,2350200
1992-12-01,18.000000,18.375000,17.625000,18.375000,7.278508,3297800
1993-01-01,18.375000,19.750000,17.875000,19.500000,7.724132,2724100
1993-02-01,19.500000,20.625000,19.125000,20.500000,8.120243,3783600
1993-03-01,20.375000,20.875000,18.625000,19.750000,7.871601,3335100
1993-04-01,20.125000,22.250000,19.500000,22.125000,8.818183,18176400
1993-05-01,22.250000,23.875000,21.750000,23.625000,9.416031,7135100
1993-06-01,23.500000,25.500000,23.500000,24.875000,9.967988,7728700
1993-07-01,25.000000,26.625000,24.875000,26.375000,10.569067,7403400
1993-08-01,26.000000,27.125000,25.000000,27.125000,10.869612,5362900
1993-09-01,27.000000,27.500000,26.250000,26.500000,10.693916,4563400
1993-10-01,26.375000,27.125000,25.375000,26.375000,10.643468,3836100
1993-11-01,26.375000,26.500000,23.000000,25.250000,10.259504,4029200
1993-12-01,25.250000,25.500000,24.250000,25.125000,10.208714,2255600
1994-01-01,24.875000,25.000000,22.375000,24.250000,9.853189,3999300
1994-02-01,24.375000,24.375000,22.000000,22.750000,9.243712,4395000
1994-03-01,22.625000,23.375000,21.125000,22.500000,9.211220,7996100
1994-04-01,22.125000,22.625000,20.750000,22.250000,9.108873,2736600
1994-05-01,22.250000,22.875000,20.250000,22.625000,9.262393,4390200
