Date,Open,High,Low,Close,Adj Close,Volume
2002-01-01,1.889167,1.889167,1.508333,1.541667,1.541667,15483600
2002-02-01,1.600000,1.680833,1.545833,1.562500,1.562500,18450000
2002-03-01,1.575000,1.963333,1.541667,1.908333,1.908333,11751600
2002-04-01,1.911667,2.515000,1.884167,2.149167,2.149167,8383200
2002-05-01,2.123333,2.322500,1.899167,2.180000,2.180000,65100000
2002-06-01,2.208333,2.590833,1.976667,2.581667,2.581667,33824400
2002-07-01,2.540000,2.555833,1.808333,1.979167,1.979167,25807200
2002-08-01,1.996667,2.410833,1.865000,2.216667,2.216667,23760000
2002-09-01,2.216667,2.291667,1.833333,2.224167,2.224167,24090000
2002-10-01,2.259167,2.730833,2.120833,2.535833,2.535833,30667200
2002-11-01,2.533333,2.852500,2.233333,2.329167,2.329167,32349600
2002-12-01,2.366667,2.956667,2.350000,2.799167,2.799167,33012000
2003-01-01,2.854167,2.904167,2.126667,2.350000,2.350000,57898800
2003-02-01,2.375000,2.375000,1.862500,2.125000,2.125000,47937600
2003-03-01,2.154167,2.490833,2.064167,2.434167,2.434167,22222800
2003-04-01,2.462500,2.722500,2.345833,2.669167,2.669167,40027200
2003-05-01,2.675000,2.955833,2.504167,2.753333,2.753333,34075200
2003-06-01,2.766667,3.304167,2.761667,3.210833,3.210833,26923200
2003-07-01,3.147500,3.825000,3.101667,3.656250,3.656250,42108400
2003-08-01,3.668750,3.668750,3.070000,3.500000,3.500000,47717600
2003-09-01,3.506250,3.948750,3.435000,3.798750,3.798750,28865600
2003-10-01,3.793750,4.462500,3.755000,3.826250,3.826250,27554400
2003-11-01,3.845000,3.968750,3.440000,3.837500,3.837500,19220000
2003-12-01,3.612500,3.997500,3.372500,3.501250,3.501250,20176000
2004-01-01,3.513750,4.043750,3.262500,3.976250,3.976250,23842400
2004-02-01,3.968750,4.057500,3.595000,3.782500,3.782500,18568800
2004-03-01,3.762500,4.118750,3.643750,3.823750,3.823750,18965600
2004-04-01,3.906250,4.406250,3.902500,4.187500,4.187500,23996000
2004-05-01,4.188750,4.618750,3.668750,4.506250,4.506250,19897600
2004-06-01,4.493750,4.887500,4.468750,4.818750,4.818750,22923200
2004-07-01,4.828750,4.958750,4.412500,4.875000,4.875000,26183200
2004-08-01,4.862500,4.942500,4.443750,4.942500,4.942500,15976800
2004-09-01,4.968750,5.525000,4.726250,5.322500,5.322500,22560000
2004-10-01,5.437500,6.018750,5.106250,5.928750,5.928750,39521600
2004-11-01,5.956250,6.827500,5.893750,6.687500,6.687500,31316000
2004-12-01,6.681250,7.525000,6.500000,7.087500,7.087500,35632000
2005-01-01,7.150000,8.450000,6.625000,8.387500,8.387500,41576000
2005-02-01,8.375000,8.845000,7.627500,8.340000,8.340000,37071200
2005-03-01,8.365000,8.750000,6.940000,7.497500,7.497500,44361600
