Date,Open,High,Low,Close,Adj Close,Volume
2000-07-01,22.187500,30.187500,21.500000,30.187500,30.187500,4167400
2000-08-01,30.000000,33.500000,24.500000,27.437500,27.437500,3218300
2000-09-01,27.562500,34.000000,21.375000,34.000000,34.000000,2343300
2000-10-01,34.000000,34.000000,23.750000,26.250000,26.250000,1481600
2000-11-01,26.375000,26.750000,21.125000,21.375000,21.375000,2493700
2000-12-01,21.562500,27.500000,17.187500,27.375000,27.375000,3521000
2001-01-01,27.312500,28.950001,20.875000,28.200001,28.200001,2168000
2001-02-01,28.150000,28.150000,22.850000,24.200001,24.200001,1602100
2001-03-01,24.200001,24.850000,17.700001,24.750000,24.750000,5735100
2001-04-01,24.650000,24.900000,21.200001,24.799999,24.799999,2757900
2001-05-01,24.799999,34.540001,24.799999,31.700001,31.700001,3935400
2001-06-01,31.200001,35.000000,27.799999,34.000000,34.000000,5221600
2001-07-01,34.150002,36.000000,28.799999,30.299999,30.299999,11358500
2001-08-01,30.200001,37.299999,29.750000,35.700001,35.700001,4656900
2001-09-01,35.799999,36.000000,26.770000,35.369999,35.369999,3973900
2001-10-01,34.950001,39.150002,30.660000,33.599998,33.599998,8120100
2001-11-01,33.650002,34.200001,28.100000,33.150002,33.150002,6273300
2001-12-01,33.150002,34.299999,29.900000,33.480000,33.480000,5849100
2002-01-01,33.650002,33.799999,27.410000,30.549999,30.549999,11189700
2002-02-01,30.400000,32.090000,28.600000,29.660000,29.660000,6382000
2002-03-01,29.200001,31.400000,27.700001,31.000000,31.000000,6487700
2002-04-01,31.000000,31.299999,27.549999,29.950001,29.950001,5098000
2002-05-01,29.950001,38.650002,29.549999,36.750000,36.750000,13089300
2002-06-01,36.750000,39.439999,34.000000,35.049999,35.049999,8027100
2002-07-01,35.099998,38.099998,28.959999,38.099998,38.099998,10244700
2002-08-01,38.000000,40.250000,34.790001,39.549999,39.549999,9505500
2002-09-01,40.799999,41.349998,36.240002,39.250000,39.250000,16425700
2002-10-01,38.799999,41.000000,36.000000,36.750000,36.750000,12269700
2002-11-01,36.599998,39.380001,35.560001,36.549999,36.549999,7531900
2002-12-01,36.799999,39.990002,36.799999,38.480000,38.480000,5902300
2003-01-01,38.599998,38.799999,28.750000,29.780001,29.780001,22949100
2003-02-01,29.750000,30.850000,28.850000,29.910000,29.910000,8079100
2003-03-01,30.020000,30.200001,24.790001,25.520000,25.520000,18097500
2003-04-01,26.000000,28.100000,24.330000,27.150000,27.150000,10468700
2003-05-01,27.150000,32.200001,24.700001,31.770000,31.770000,14425200
2003-06-01,31.770000,34.160000,31.040001,32.180000,32.180000,9849100
2003-07-01,31.750000,37.430000,31.420000,37.160000,37.160000,9201600
2003-08-01,36.799999,36.930000,34.000000,35.750000,35.750000,6448100
2003-09-01,35.950001,36.480000,29.450001,30.690001,30.690001,16672300
2003-10-01,30.570000,35.119999,30.469999,32.240002,32.240002,11939600
2003-11-01,32.250000,32.709999,30.820000,32.450001,32.450001,5840400
2003-12-01,32.650002,34.459999,32.180000,34.330002,34.330002,4228100
2004-01-01,34.279999,40.209999,33.560001,40.150002,40.150002,6680200
2004-02-01,40.150002,43.970001,38.549999,43.060001,43.060001,8132300
2004-03-01,43.000000,45.150002,41.099998,42.849998,42.849998,8591100
2004-04-01,43.000000,47.599998,43.000000,46.000000,46.000000,8187300
2004-05-01,45.950001,46.970001,43.389999,45.080002,45.080002,8057400
2004-06-01,45.000000,48.970001,44.619999,48.869999,48.869999,5473400
