Date,Open,High,Low,Close,Adj Close,Volume
1992-07-01,1.501951,1.633372,1.389305,1.577049,1.091513,4912940
1992-08-01,1.614598,1.614598,1.426854,1.539500,1.065525,5319081
1992-09-01,1.539500,1.539500,1.164012,1.314207,0.909595,8827851
1992-10-01,1.314207,1.389305,1.051366,1.145238,0.792647,3442188
1992-11-01,1.201561,1.426854,1.126463,1.426854,0.987560,2426175
1992-12-01,1.351756,1.501951,1.201561,1.464402,1.013548,6228563
1993-01-01,1.426854,1.652146,1.426854,1.539500,1.065525,10061576
1993-02-01,1.520726,1.689695,1.464402,1.577049,1.091513,6599416
1993-03-01,1.464402,1.764793,1.464402,1.577049,1.091513,10651480
1993-04-01,1.483177,1.877439,1.464402,1.727244,1.195468,3380932
1993-05-01,1.652146,1.990085,1.614598,1.877439,1.299421,6910345
1993-06-01,1.802341,1.990085,1.802341,1.839890,1.273432,5137317
1993-07-01,1.877439,2.102732,1.802341,1.839890,1.273432,5971563
1993-08-01,1.839890,2.444426,1.839890,2.404999,1.664558,3816877
1993-09-01,2.404999,2.602130,2.050163,2.483852,1.814389,5031549
1993-10-01,2.444426,2.602130,2.326147,2.404999,1.756790,3691704
1993-11-01,2.326147,2.483852,2.089590,2.444426,1.785589,5569899
1993-12-01,2.365573,2.838688,2.365573,2.759835,2.015988,2767194
1994-01-01,2.720409,3.114671,2.365573,2.602130,1.900789,6367590
1994-02-01,2.602130,2.956966,2.404999,2.720409,1.987188,4626361
1994-03-01,2.680983,2.720409,2.050163,2.207868,1.612790,8740378
1994-04-01,2.168442,2.404999,2.050163,2.168442,1.583991,4728454
1994-05-01,2.247294,2.247294,1.853032,2.006006,1.465335,5005994
1994-06-01,2.131381,2.214965,1.964214,2.089590,1.526391,3133389
1994-07-01,1.964214,2.173173,1.755255,1.807495,1.320328,3914645
1994-08-01,1.797047,2.173173,1.588088,1.985110,1.450071,4838270
1994-09-01,1.964214,2.173173,1.922422,2.110485,1.541654,9446829
1994-10-01,2.047798,2.298549,2.006006,2.194069,1.602710,4191014
1994-11-01,2.173173,2.256757,1.755255,1.817943,1.327960,3040668
1994-12-01,1.817943,1.838839,1.483609,1.525400,1.114266,7272360
1995-01-01,1.525400,1.734359,1.462713,1.650776,1.205849,8712836
1995-02-01,1.629880,1.713463,1.567192,1.692568,1.236377,2633293
1995-03-01,1.692568,1.692568,1.546296,1.671672,1.221113,3394806
1995-04-01,1.629880,1.692568,1.546296,1.629880,1.190585,5848636
1995-05-01,1.629880,2.246309,1.629880,2.095440,1.530664,5000839
1995-06-01,2.049887,2.459865,2.049887,2.437088,1.780229,3102426
1995-07-01,2.368759,2.801513,2.345982,2.687630,1.963245,4831732
1995-08-01,2.664854,2.892619,2.573747,2.778736,2.029795,4316942
1995-09-01,2.801513,2.869842,2.550971,2.742294,2.003174,3479069
1995-10-01,2.742294,3.029278,2.582858,2.837955,2.073052,3203879
1995-11-01,2.901729,2.997391,2.455310,2.550971,1.863419,2629194
1995-12-01,2.646632,3.029278,2.519084,2.997391,2.189517,3477499
1996-01-01,2.965504,3.061165,2.614745,2.901729,2.119638,9628095
1996-02-01,2.901729,3.284375,2.837955,2.869842,2.096345,7342694
1996-03-01,2.933617,3.061165,2.455310,2.742294,2.003174,10330184
1996-04-01,2.710407,2.806068,2.359648,2.550971,1.863419,4975361
1996-05-01,2.550971,2.961677,2.376229,2.892801,2.113117,4769557
1996-06-01,2.858363,2.961677,2.548420,2.892801,2.113117,2921545
1996-07-01,2.858363,2.858363,2.548420,2.651734,1.937023,1164772
1996-08-01,2.686172,2.720611,2.066286,2.445106,1.786086,4854723
1996-09-01,2.479544,2.720611,2.307353,2.686172,1.962179,3906645
1996-10-01,2.651734,2.720611,2.376229,2.513982,1.836399,3376709
1996-11-01,2.479544,2.892801,2.445106,2.892801,2.113117,2968371
1996-12-01,2.892801,3.133868,2.823925,2.996115,2.188584,3092503
1997-01-01,2.961677,3.581563,2.789487,3.271620,2.389833,5387927
1997-02-01,3.271620,3.581563,2.996115,3.443811,2.520145,3929151
1997-03-01,3.374935,3.374935,2.927239,2.961677,2.167325,12706852
1997-04-01,2.927239,3.443811,2.617296,2.686172,1.965712,6180289
1997-05-01,2.686172,3.237182,2.479544,2.686172,1.969510,10929389
1997-06-01,2.651734,2.927239,2.651734,2.858363,2.095759,4091397
1997-07-01,2.858363,3.306058,2.806706,3.306058,2.424012,5456163
1997-08-01,3.306058,4.356421,3.306058,4.270325,3.131016,6689900
1997-09-01,4.304763,4.752459,4.046478,4.339202,3.186216,4408999
1997-10-01,4.339202,4.804116,4.132573,4.132573,3.034491,3877609
1997-11-01,4.132573,5.286250,4.132573,4.907430,3.608187,3044228
1997-12-01,4.907430,5.785602,4.545830,4.786897,3.519569,20053730
1998-01-01,4.786897,5.578973,4.563049,5.441221,4.000658,35872326
1998-02-01,5.458440,6.508802,5.424002,6.422707,4.727628,22169844
1998-03-01,6.422707,6.491583,5.682288,5.871697,4.322043,16712226
1998-04-01,5.854478,6.612117,4.752459,5.096840,3.751685,50024165
1998-05-01,5.096840,5.355126,4.580268,4.959088,3.654126,24996295
1998-06-01,4.993526,5.992231,4.821335,5.751164,4.237772,30870599
1998-07-01,5.785602,6.870403,5.785602,5.957793,4.390028,27072118
1998-08-01,5.957793,6.129983,4.270325,4.408078,3.251450,15458894
1998-09-01,4.408078,5.234592,4.201449,4.408078,3.251450,19259550
1998-10-01,4.270325,4.941868,2.927239,4.373640,3.226048,22860209
1998-11-01,4.408078,5.372345,4.356421,5.200154,3.842456,17652320
1998-12-01,5.165716,6.336612,4.890211,6.336612,4.682199,17584081
1999-01-01,6.336612,6.336612,5.475659,5.820040,4.300498,23782521
1999-02-01,5.888916,5.923355,4.339202,4.390859,3.244460,18088974
1999-03-01,4.270325,4.786897,4.080916,4.614706,3.414725,19503833
1999-04-01,4.614706,5.475659,4.390859,5.337907,3.949869,21885639
1999-05-01,5.286250,5.510097,4.545830,4.683583,3.465693,18444683
1999-06-01,4.614706,4.976307,4.235887,4.580268,3.394499,21130662
1999-07-01,4.614706,4.838554,4.304763,4.476954,3.317930,13397949
1999-08-01,4.459735,4.580268,3.822630,4.012040,2.973377,16674840
1999-09-01,4.046478,4.184230,3.340496,3.564344,2.646707,21131386
1999-10-01,3.529906,3.529906,2.755049,3.254401,2.416558,17677002
1999-11-01,3.443811,4.287544,3.374935,3.788192,2.820616,21559692
1999-12-01,3.805411,4.012040,3.237182,3.805411,2.833439,20047560
2000-01-01,3.805411,3.805411,2.996115,3.202744,2.384704,23688510
2000-02-01,3.219963,3.667658,3.064992,3.099430,2.307777,21578929
2000-03-01,3.133868,3.874287,3.099430,3.598782,2.688837,23622814
2000-04-01,3.564344,3.839849,3.357716,3.564344,2.663107,17655586
2000-05-01,3.633220,4.029259,3.461030,3.598782,2.688837,16082476
2000-06-01,3.581563,3.994821,3.581563,3.736535,2.800134,12340253
2000-07-01,3.788192,4.373640,3.788192,4.270325,3.200154,13588508
2000-08-01,4.270325,5.578973,4.218668,5.406783,4.051806,20479492
2000-09-01,5.510097,5.785602,4.673423,5.161411,3.876087,20867529
2000-10-01,5.255255,5.743243,4.579580,5.555556,4.172079,21557754
2000-11-01,5.611862,6.006006,5.405405,5.574324,4.196157,22221423
2000-12-01,5.611862,7.807808,5.499249,7.338589,5.524235,39392901
2001-01-01,7.807808,8.108108,6.231231,7.066066,5.319089,49855761
2001-02-01,6.831832,7.582583,6.156156,6.846847,5.154069,25172802
2001-03-01,6.606607,7.393333,5.966667,7.050000,5.318296,26620320
2001-04-01,6.866667,8.663333,6.583333,8.073333,6.090266,34806000
2001-05-01,8.083333,8.250000,6.416667,6.873333,5.185022,53355300
2001-06-01,6.916667,8.083333,6.806667,7.566667,5.720938,33860700
2001-07-01,7.766667,10.000000,7.766667,9.183333,6.943253,55290300
2001-08-01,9.333333,9.583333,7.400000,8.413333,6.361080,44412000
2001-09-01,8.600000,8.766667,5.833333,6.953333,5.267184,28529100
2001-10-01,6.870000,8.413333,6.623333,7.450000,5.643409,42469200
2001-11-01,7.500000,9.516667,7.340000,9.340000,7.090115,39249600
2001-12-01,9.256667,11.166667,9.203333,10.820000,8.213605,56004300
2002-01-01,10.736667,12.600000,9.916667,12.480000,9.473734,61543200
2002-02-01,12.490000,13.460000,11.753333,13.300000,10.096207,86694300
2002-03-01,13.303333,14.583333,12.166667,12.566667,9.554831,95841300
2002-04-01,12.416667,13.215000,11.530000,12.900000,9.808276,100635200
