Date,Open,High,Low,Close,Adj Close,Volume
2004-08-01,13.800000,14.250000,12.750000,14.250000,6.684229,7084300
2004-09-01,14.250000,15.530000,13.650000,14.700000,6.895310,9346800
2004-10-01,14.800000,16.600000,14.250000,16.400000,7.692722,9111900
2004-11-01,16.450001,18.190001,16.160000,17.950001,8.419785,4776100
2004-12-01,17.940001,19.010000,16.750000,17.799999,8.379832,5312900
2005-01-01,17.770000,18.290001,16.410000,16.680000,7.852564,5544200
2005-02-01,16.610001,17.889999,16.500000,17.070000,8.036165,5583100
2005-03-01,17.020000,18.770000,17.020000,18.690001,8.798827,4298500
2005-04-01,18.750000,19.280001,17.770000,18.160000,8.597918,6198700
2005-05-01,18.080000,22.980000,18.000000,22.889999,10.837355,13680200
2005-06-01,22.889999,23.110001,20.600000,22.260000,10.539077,9329000
2005-07-01,22.299999,25.490000,21.700001,25.020000,11.900023,6595300
2005-08-01,25.160000,25.910000,22.370001,23.000000,10.939269,10266700
2005-09-01,22.900000,24.150000,21.209999,23.320000,11.091466,6294300
2005-10-01,23.320000,24.850000,20.559999,23.920000,11.425153,7367700
2005-11-01,23.850000,25.900000,23.549999,25.000000,11.941000,8687300
2005-12-01,25.030001,25.490000,24.000000,24.200001,11.558891,7295200
2006-01-01,24.360001,25.680000,23.670000,24.910000,11.946399,9091300
2006-02-01,24.850000,26.440001,24.840000,25.500000,12.229353,6823400
2006-03-01,25.559999,28.900000,25.410000,28.549999,13.692080,9692200
2006-04-01,28.600000,28.900000,25.700001,26.330000,12.685464,5366300
2006-05-01,26.320000,26.580000,23.450001,23.680000,11.408731,9391100
2006-06-01,24.799999,25.049999,22.840000,24.740000,11.919423,10359200
2006-07-01,24.660000,24.840000,21.010000,22.740000,11.012592,13450800
2006-08-01,22.750000,24.770000,22.400000,24.450001,11.840714,10443300
2006-09-01,24.500000,26.110001,23.950001,25.650000,12.421850,7702200
2006-10-01,25.670000,27.440001,24.309999,27.180000,13.225389,11384800
2006-11-01,27.219999,28.059999,25.799999,27.459999,13.361628,6953200
2006-12-01,27.469999,28.500000,26.400000,28.000000,13.624387,6993800
2007-01-01,27.799999,29.100000,27.549999,28.570000,13.963183,8016600
2007-02-01,28.700001,32.400002,28.299999,30.860001,15.082386,13493500
2007-03-01,30.350000,32.529999,30.120001,32.470001,15.869253,9282100
2007-04-01,32.500000,35.669998,32.150002,32.250000,15.761728,16867400
2007-05-01,32.349998,32.650002,18.950001,19.620001,9.589000,23855000
2007-06-01,19.620001,19.940001,17.889999,18.270000,15.317347,16894900
2007-07-01,18.400000,21.580000,18.120001,19.150000,16.055122,14793300
2007-08-01,19.299999,19.670000,15.060000,17.590000,14.747240,20728900
2007-09-01,17.740000,17.879999,16.320000,16.590000,13.908854,7487900
2007-10-01,16.639999,17.400000,14.090000,15.440000,12.944709,17008600
2007-11-01,15.200000,15.460000,13.170000,13.860000,11.620053,13480600
2007-12-01,13.810000,14.050000,12.250000,13.230000,11.091873,8350000
2008-01-01,13.220000,13.960000,11.300000,13.610000,11.410460,13494400
2008-02-01,13.730000,14.320000,12.520000,13.250000,11.108639,11519900
2008-03-01,13.310000,15.180000,12.630000,13.490000,11.309852,10689800
2008-04-01,13.720000,14.400000,11.680000,13.280000,11.133788,8215000
2008-05-01,13.280000,14.070000,12.500000,13.460000,11.284699,5901800
2008-06-01,13.470000,13.940000,10.580000,11.500000,9.641459,10899300
2008-07-01,11.300000,14.200000,9.850000,12.960000,10.865506,14598300
2008-08-01,12.940000,14.190000,12.410000,13.400000,11.234395,8649600
2008-09-01,13.890000,14.200000,11.290000,12.140000,10.178028,10276800
2008-10-01,12.030000,12.070000,4.810000,5.950000,4.988408,16804800
2008-11-01,5.940000,6.170000,2.610000,3.860000,3.236177,8320800
