Date,Open,High,Low,Close,Adj Close,Volume
1995-06-01,6.480775,6.853233,6.331792,6.480775,3.877722,36546538
1995-07-01,6.406283,6.704250,6.033825,6.480775,3.877722,26128092
1995-08-01,6.406283,6.704250,5.810350,6.108317,3.654865,29343381
1995-09-01,6.033825,7.002217,5.959333,6.853233,4.100581,19937633
1995-10-01,6.778742,7.151200,6.555267,6.778742,4.056007,13666964
1995-11-01,6.704250,7.151200,6.629758,6.853233,4.115377,12020807
1995-12-01,6.853233,7.225692,6.704250,7.076708,4.249573,14000390
1996-01-01,6.927725,7.076708,6.331792,6.853233,4.115377,13753219
1996-02-01,6.778742,7.896117,6.704250,7.374675,4.428502,14379294
1996-03-01,7.449167,8.268575,7.374675,8.045100,4.831095,18811165
1996-04-01,8.045100,8.343067,7.747133,8.194083,4.920560,17505816
1996-05-01,8.119592,8.194083,6.555267,7.076708,4.255821,14340864
1996-06-01,7.002217,7.225692,6.257300,6.406283,3.852637,13117573
1996-07-01,6.331792,6.406283,4.543992,4.692975,2.822282,14614388
1996-08-01,4.692975,5.288908,4.469500,4.767467,2.867079,38633351
1996-09-01,4.692975,5.363400,4.618483,5.139925,3.091071,22713951
1996-10-01,5.139925,5.512383,4.767467,4.990942,3.001474,19598168
1996-11-01,5.065433,5.288908,4.841958,5.139925,3.105906,13595145
1996-12-01,5.139925,5.586875,5.065433,5.214417,3.150918,21848418
1997-01-01,5.288908,5.288908,4.171533,4.320517,2.610761,21540162
1997-02-01,4.395008,4.395008,4.022550,4.320517,2.610761,24029701
1997-03-01,4.320517,4.841958,4.097042,4.692975,2.835827,19563934
1997-04-01,4.692975,4.767467,4.246025,4.618483,2.790811,14331636
1997-05-01,4.618483,5.139925,4.543992,4.990942,3.032049,9902954
1997-06-01,4.990942,5.661367,4.841958,5.400646,3.280949,14352613
1997-07-01,5.400646,5.735858,5.065433,5.698613,3.461967,9829455
1997-08-01,5.661367,6.443529,5.624121,5.996579,3.642984,12704944
1997-09-01,6.033825,7.002217,5.959333,6.890479,4.186037,10901723
1997-10-01,6.964971,7.151200,5.363400,6.778742,4.118156,11286499
1997-11-01,6.778742,7.225692,6.294546,7.076708,4.313628,9812004
1997-12-01,7.076708,7.449167,6.257300,7.449167,4.540660,11545919
1998-01-01,7.411921,7.709888,7.002217,7.598150,4.631473,15386452
1998-02-01,7.598150,8.082346,7.598150,8.045100,4.903915,13298971
1998-03-01,8.045100,9.870146,7.821625,9.274213,5.653121,25498154
1998-04-01,9.236967,10.801292,8.939000,9.534933,5.812047,21904297
1998-05-01,9.534933,9.683917,8.529296,9.199721,5.621882,11859044
1998-06-01,9.199721,9.795654,9.013492,9.460442,5.781205,15468173
1998-07-01,9.460442,10.689554,9.460442,10.317096,6.304703,12033561
1998-08-01,10.242604,10.726800,9.162475,9.236967,5.644641,14093522
1998-09-01,9.236967,10.466079,9.050738,9.534933,5.826728,16352670
1998-10-01,9.460442,10.056375,8.454804,9.832900,6.008811,12261103
1998-11-01,9.944638,10.317096,9.385950,9.423196,5.773166,7199797
1998-12-01,9.385950,11.285488,9.385950,10.726800,6.571822,10212383
1999-01-01,10.689554,11.806929,10.577817,11.173750,6.845651,12064771
1999-02-01,11.136504,13.855450,10.987521,13.110533,8.032230,12990044
1999-03-01,13.110533,13.818204,11.806929,12.291125,7.530216,20339692
1999-04-01,12.365617,13.669221,12.030404,13.296763,8.146326,9624399
1999-05-01,13.147779,13.929942,12.402863,12.700829,7.788619,9342486
1999-06-01,12.663583,13.743713,12.216633,12.998796,7.971338,9974606
1999-07-01,12.998796,13.520238,12.365617,12.998796,7.971338,7878400
1999-08-01,13.036042,13.036042,9.311458,9.311458,5.710133,16756738
1999-09-01,9.534933,11.806929,9.534933,11.657946,7.149084,15042454
1999-10-01,11.657946,12.291125,10.764046,11.359979,6.966356,11307808
