Date,Open,High,Low,Close,Adj Close,Volume
1995-11-01,3.900000,5.850000,3.600000,5.375000,5.375000,15082000
1995-12-01,5.350000,6.000000,5.125000,6.000000,6.000000,6974500
1996-01-01,5.900000,6.000000,5.400000,5.550000,5.550000,1838000
1996-02-01,5.525000,6.450000,5.475000,5.900000,5.900000,4284000
1996-03-01,5.950000,6.250000,5.800000,6.225000,6.225000,3358000
1996-04-01,6.200000,8.100000,6.200000,7.650000,7.650000,22869000
1996-05-01,7.675000,9.100000,7.025000,8.250000,8.250000,7425500
1996-06-01,8.225000,8.450000,7.375000,8.450000,8.450000,3276000
1996-07-01,8.400000,8.525000,6.400000,7.150000,7.150000,5094000
1996-08-01,7.125000,8.250000,6.850000,8.225000,8.225000,3867500
1996-09-01,8.175000,8.175000,7.500000,8.000000,8.000000,4147500
1996-10-01,7.950000,9.275000,7.775000,7.800000,7.800000,11250000
1996-11-01,7.800000,7.925000,6.575000,6.850000,6.850000,18371000
1996-12-01,6.825000,7.250000,6.400000,7.250000,7.250000,5295500
1997-01-01,7.250000,7.375000,6.400000,7.325000,7.325000,6450000
1997-02-01,7.325000,7.525000,6.800000,6.975000,6.975000,6455000
1997-03-01,6.925000,6.975000,5.975000,6.075000,6.075000,8097000
1997-04-01,6.100000,6.625000,5.600000,6.425000,6.425000,4595000
1997-05-01,6.450000,7.400000,6.450000,7.200000,7.200000,7914500
1997-06-01,7.200000,8.100000,7.200000,8.037500,8.037500,10284500
1997-07-01,8.037500,8.600000,7.250000,8.250000,8.250000,8833000
1997-08-01,8.250000,9.500000,8.187500,9.150000,9.150000,17729500
1997-09-01,9.175000,10.175000,8.962500,10.000000,10.000000,7253500
1997-10-01,10.050000,11.458333,9.250000,10.270833,10.270833,8269500
1997-11-01,10.333333,11.291667,8.145833,8.625000,8.625000,15132000
1997-12-01,8.666667,9.416667,8.125000,9.166667,9.166667,16183800
1998-01-01,9.166667,9.166667,7.458333,8.125000,8.125000,25867200
1998-02-01,8.083333,10.750000,8.083333,10.729167,10.729167,28416300
1998-03-01,10.750000,11.979167,10.666667,11.104167,11.104167,25357500
1998-04-01,11.145833,11.583333,9.895833,11.041667,11.041667,21629100
1998-05-01,11.041667,11.208333,10.000000,10.229167,10.229167,23675700
1998-06-01,10.229167,12.041667,10.083333,11.500000,11.500000,20237100
1998-07-01,11.541667,11.750000,10.000000,10.145833,10.145833,18815100
1998-08-01,10.208333,10.208333,6.312500,6.333333,6.333333,40392900
1998-09-01,6.291667,9.479167,6.291667,8.000000,8.000000,29400300
1998-10-01,8.000000,8.541667,6.500000,8.166667,8.166667,23544900
1998-11-01,8.166667,10.083333,8.145833,8.854167,8.854167,53372700
1998-12-01,8.770833,9.854167,7.375000,9.854167,9.854167,35748600
1999-01-01,9.833333,9.875000,7.375000,7.770833,7.770833,40609800
1999-02-01,7.770833,8.291667,2.833333,2.958333,2.958333,158948100
1999-03-01,2.958333,3.937500,2.312500,3.666667,3.666667,111674400
1999-04-01,3.729167,4.854167,3.104167,4.625000,4.625000,62219400
1999-05-01,4.645833,5.416667,4.604167,5.125000,5.125000,42217200
1999-06-01,5.145833,5.250000,4.416667,5.187500,5.187500,25816500
1999-07-01,5.166667,5.166667,2.687500,2.791667,2.791667,65827500
1999-08-01,2.791667,3.104167,2.604167,2.687500,2.687500,35860200
1999-09-01,2.687500,2.854167,2.333333,2.479167,2.479167,25732500
1999-10-01,2.458333,2.875000,1.895833,2.437500,2.437500,48506700
1999-11-01,2.541667,2.708333,2.083333,2.375000,2.375000,39865800
1999-12-01,2.354167,2.562500,2.000000,2.229167,2.229167,31713900
2000-01-01,2.250000,2.541667,1.500000,1.541667,1.541667,49544100
2000-02-01,1.583333,1.604167,0.916667,1.000000,1.000000,42128700
2000-03-01,1.000000,1.250000,0.687500,1.041667,1.041667,64957200
2000-04-01,1.062500,1.479167,0.812500,0.958333,0.958333,38505300
2000-05-01,0.979167,1.541667,0.833333,1.312500,1.312500,27998700
