Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,0.593750,0.843750,0.554688,0.804688,0.797481,61846400
1991-02-01,0.804688,1.085938,0.804688,0.968750,0.960073,98363200
1991-03-01,0.960938,1.203125,0.960938,1.179688,1.169122,50161600
1991-04-01,1.171875,1.492188,1.109375,1.265625,1.254290,48760000
1991-05-01,1.250000,1.468750,1.203125,1.367188,1.354943,36880000
1991-06-01,1.289063,1.343750,1.015625,1.070313,1.060727,45177600
1991-07-01,1.062500,1.242188,1.023438,1.203125,1.192349,42120000
1991-08-01,1.179688,1.703125,1.179688,1.703125,1.687871,49848000
1991-09-01,1.710938,1.773438,1.523438,1.578125,1.563991,46363200
1991-10-01,1.593750,2.039063,1.593750,2.015625,1.997572,58092800
1991-11-01,2.015625,2.187500,1.781250,2.109375,2.090482,53545600
1991-12-01,2.062500,2.406250,2.031250,2.390625,2.369213,47086400
1992-01-01,2.359375,2.906250,2.296875,2.500000,2.477609,51363200
1992-02-01,2.531250,3.234375,2.484375,2.921875,2.895706,70704000
1992-03-01,2.953125,3.187500,2.593750,2.968750,2.942161,38252800
1992-04-01,2.875000,3.156250,2.312500,2.750000,2.725370,49948800
1992-05-01,2.718750,3.031250,2.437500,2.687500,2.663429,38500000
1992-06-01,2.687500,3.000000,2.437500,2.968750,2.942161,39799200
1992-07-01,2.906250,3.656250,2.531250,3.640625,3.608018,65245600
1992-08-01,3.531250,3.687500,3.156250,3.359375,3.329287,35620800
1992-09-01,3.312500,4.312500,3.187500,3.875000,3.840294,73092800
1992-10-01,3.906250,4.406250,3.437500,4.062500,4.026114,88940800
1992-11-01,3.906250,4.218750,3.500000,4.156250,4.119024,56638400
1992-12-01,4.156250,5.437500,4.000000,5.156250,5.110067,66084800
1993-01-01,5.187500,6.375000,4.937500,6.343750,6.286933,93300800
1993-02-01,6.218750,6.687500,4.953125,6.187500,6.132082,82275200
1993-03-01,6.125000,7.750000,5.937500,7.312500,7.247006,71036000
1993-04-01,7.375000,8.000000,6.687500,7.250000,7.185065,50050800
1993-05-01,7.187500,9.625000,7.062500,8.625000,8.547750,74819600
1993-06-01,8.687500,9.250000,6.250000,7.562500,7.494767,107867600
1993-07-01,7.500000,7.687500,6.500000,7.250000,7.185065,73318800
1993-08-01,7.312500,9.125000,7.187500,8.656250,8.578720,67080800
1993-09-01,8.625000,9.250000,7.062500,8.562500,8.485809,84400800
1993-10-01,8.625000,10.500000,8.187500,9.750000,9.662675,69704000
1993-11-01,9.812500,9.875000,8.187500,8.718750,8.640661,64930000
1993-12-01,8.812500,9.062500,7.218750,7.500000,7.432826,87590800
1994-01-01,7.562500,8.375000,6.625000,7.156250,7.092155,135538000
1994-02-01,7.187500,7.687500,6.062500,6.500000,6.441783,126184800
1994-03-01,6.500000,7.375000,5.937500,6.562500,6.503724,118348400
1994-04-01,6.281250,6.562500,4.875000,5.437500,5.388799,112165600
1994-05-01,5.500000,5.750000,4.312500,5.078125,5.032643,127366000
