Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,7.812500,9.125000,7.437500,9.000000,3.258633,14221800
1991-02-01,9.125000,10.562500,9.000000,9.875000,3.575445,11137600
1991-03-01,9.687500,9.937500,8.625000,9.125000,3.324980,10924000
1991-04-01,9.125000,10.062500,8.687500,9.687500,3.529943,14730600
1991-05-01,9.625000,9.687500,8.937500,9.500000,3.461623,7586800
1991-06-01,9.500000,10.062500,9.187500,9.312500,3.417814,6460600
1991-07-01,9.312500,9.875000,8.187500,8.562500,3.142553,9257600
1991-08-01,8.500000,9.125000,8.437500,8.875000,3.257245,8497600
1991-09-01,8.812500,9.125000,7.625000,8.250000,3.050359,6255800
1991-10-01,8.250000,8.812500,6.812500,7.625000,2.819273,11935000
1991-11-01,7.687500,8.000000,6.937500,7.125000,2.634403,11045800
1991-12-01,7.125000,8.000000,6.687500,7.937500,2.960475,11537800
1992-01-01,7.750000,9.000000,7.500000,8.187500,3.053717,9809200
1992-02-01,8.125000,8.687500,7.812500,8.500000,3.170271,10022800
1992-03-01,8.500000,9.375000,7.937500,8.750000,3.290041,9170200
1992-04-01,8.687500,9.687500,8.625000,9.312500,3.501542,7020600
1992-05-01,9.250000,9.437500,8.437500,8.875000,3.337040,5564000
1992-06-01,8.875000,8.875000,7.187500,8.187500,3.100473,9385000
1992-07-01,8.062500,8.187500,7.187500,7.812500,2.958466,8135800
1992-08-01,7.937500,8.375000,7.687500,8.125000,3.076804,7475000
1992-09-01,8.125000,8.562500,7.750000,7.937500,3.030425,4817600
1992-10-01,7.937500,9.000000,7.312500,8.687500,3.316763,5603000
1992-11-01,8.687500,9.437500,8.187500,9.375000,3.579240,7409000
1992-12-01,9.375000,10.312500,9.312500,10.312500,3.965026,7300200
1993-01-01,10.312500,10.937500,9.687500,10.187500,3.916963,7527400
1993-02-01,10.250000,11.187500,9.562500,10.125000,3.892936,10067000
1993-03-01,9.937500,10.500000,9.562500,9.875000,3.821410,7284400
1993-04-01,9.875000,10.062500,8.687500,9.187500,3.555364,7965600
1993-05-01,9.250000,10.312500,9.187500,9.937500,3.845598,4756000
1993-06-01,9.937500,10.500000,9.437500,10.375000,4.043381,3893200
1993-07-01,10.500000,10.875000,9.875000,10.250000,3.994665,4641400
1993-08-01,10.375000,12.375000,10.250000,12.000000,4.676681,11028600
1993-09-01,12.000000,13.062500,11.937500,12.562500,4.924477,8990200
1993-10-01,12.562500,12.875000,12.125000,12.750000,4.997981,6747600
1993-11-01,12.812500,12.812500,11.437500,12.062500,4.728482,4541200
1993-12-01,12.062500,13.687500,12.062500,13.687500,5.396959,5753400
1994-01-01,13.625000,13.687500,11.750000,12.437500,4.904087,7369200
1994-02-01,12.500000,12.937500,10.937500,11.750000,4.633005,6621800
1994-03-01,11.812500,13.625000,11.312500,11.875000,4.710505,8868600
1994-04-01,11.625000,13.937500,11.562500,13.687500,5.429477,7842200
1994-05-01,13.625000,14.437500,13.250000,13.937500,5.528645,6902200
1994-06-01,14.187500,15.187500,13.750000,14.125000,5.634638,10129800
1994-07-01,14.187500,15.000000,13.750000,14.562500,5.809165,4779200
1994-08-01,14.500000,15.125000,14.187500,14.750000,5.883960,5069600
1994-09-01,14.625000,14.937500,13.375000,14.812500,5.940922,5136200
1994-10-01,14.750000,15.250000,14.125000,14.562500,5.840653,5942000
1994-11-01,14.562500,14.562500,12.000000,12.875000,5.163839,4521600
1994-12-01,12.937500,13.687500,12.562500,13.187500,5.318615,6229400
1995-01-01,13.187500,14.500000,12.625000,14.187500,5.721923,8794400
1995-02-01,14.187500,15.937500,14.187500,15.437500,6.226058,7408400
1995-03-01,15.312500,17.000000,14.625000,16.875000,6.840152,9260200
1995-04-01,16.812500,17.500000,15.375000,16.187500,6.561479,10659800
1995-05-01,16.125000,16.375000,15.312500,15.687500,6.358809,8865200
1995-06-01,15.562500,17.375000,15.500000,16.625000,6.772009,8367400
1995-07-01,16.750000,19.375000,16.312500,19.187500,7.815811,9375400
1995-08-01,19.187500,19.937500,18.875000,19.437500,7.917649,8862200
1995-09-01,19.437500,21.062500,19.250000,20.937500,8.563470,5742600
1995-10-01,20.937500,21.312500,18.000000,19.500000,7.975531,9851000
1995-11-01,19.437500,20.937500,19.062500,20.812500,8.512341,6509600
1995-12-01,20.937500,21.750000,19.625000,21.375000,8.779314,5710800
1996-01-01,21.500000,22.500000,17.750000,18.625000,7.649813,9825700
1996-02-01,18.750000,21.625000,18.500000,20.750000,8.522610,8318200
1996-03-01,20.750000,21.125000,19.000000,20.125000,8.299516,4264200
1996-04-01,20.125000,25.250000,19.625000,24.500000,10.103752,11022500
1996-05-01,24.625000,27.000000,23.375000,24.750000,10.206855,9567100
1996-06-01,24.875000,27.750000,24.125000,26.250000,10.859054,8654900
1996-07-01,26.250000,26.250000,24.125000,25.125000,10.393662,6363500
1996-08-01,25.250000,26.375000,24.375000,25.500000,10.548794,6577700
1996-09-01,25.125000,27.375000,25.125000,26.375000,10.945955,4703800
1996-10-01,26.625000,31.750000,26.500000,29.750000,12.346632,8847400
1996-11-01,29.750000,34.500000,29.750000,32.750000,13.591670,6882800
1996-12-01,32.750000,34.250000,29.750000,30.625000,12.742167,6709700
1997-01-01,30.625000,32.750000,28.625000,31.500000,13.106222,9533700
1997-02-01,31.500000,33.625000,28.875000,29.750000,12.378101,6755600
1997-03-01,29.625000,31.625000,26.750000,27.125000,11.316093,5465300
1997-04-01,27.375000,30.875000,26.500000,28.750000,11.994018,6962600
1997-05-01,28.500000,31.875000,28.500000,31.250000,13.036972,5449700
1997-06-01,31.750000,37.187500,30.250000,37.187500,15.557117,18016100
1997-07-01,36.750000,36.875000,31.000000,33.937500,14.197498,13808200
1997-08-01,33.812500,35.312500,28.687500,29.437500,12.314960,8034100
1997-09-01,29.812500,32.625000,28.500000,31.437500,14.744436,8684900
1997-10-01,31.750000,33.687500,28.625000,31.062500,14.568562,9749600
1997-11-01,31.250000,34.750000,31.250000,34.125000,16.004896,4580900
1997-12-01,34.125000,36.437500,32.312500,35.437500,16.663364,5358100
1998-01-01,35.375000,35.812500,31.750000,32.875000,15.458425,6076900
1998-02-01,33.500000,35.937500,31.875000,35.937500,16.898474,8050800
1998-03-01,35.812500,37.625000,35.062500,36.500000,17.207432,4488400
1998-04-01,36.625000,40.687500,35.875000,38.687500,18.238691,5029300
1998-05-01,38.937500,39.937500,33.937500,36.375000,17.148493,3831400
1998-06-01,36.375000,37.937500,34.625000,36.312500,17.159840,5207000
1998-07-01,36.375000,42.562500,36.125000,40.875000,19.315891,6772400
1998-08-01,40.875000,44.125000,35.437500,35.625000,16.834967,6157100
