Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,21.250000,22.000000,20.750000,21.750000,4.261366,1149200
1991-02-01,21.750000,23.750000,21.500000,23.375000,4.617523,2232400
1991-03-01,23.375000,24.000000,22.500000,23.875000,4.811502,1302200
1991-04-01,23.875000,25.250000,23.500000,24.125000,4.861882,1264700
1991-05-01,24.125000,24.750000,23.750000,23.875000,4.811502,1736800
1991-06-01,23.875000,24.000000,23.375000,23.875000,4.904108,1201500
1991-07-01,23.875000,24.625000,23.250000,24.625000,5.058162,1861300
1991-08-01,24.625000,26.375000,23.875000,25.625000,5.263568,1881200
1991-09-01,25.500000,26.375000,24.500000,26.000000,5.437375,1446800
1991-10-01,26.125000,27.125000,25.625000,25.875000,5.411236,1654500
1991-11-01,25.875000,27.625000,25.500000,26.625000,5.568082,2285200
1991-12-01,26.625000,28.500000,26.125000,28.375000,5.934060,2365300
1992-01-01,28.250000,29.125000,27.250000,28.000000,5.855638,1814400
1992-02-01,28.125000,29.500000,26.625000,26.625000,5.568082,1420700
1992-03-01,26.625000,27.625000,25.125000,25.625000,5.453142,2101100
1992-04-01,25.500000,26.125000,25.250000,26.125000,5.559546,3620000
1992-05-01,26.000000,26.875000,25.875000,26.000000,5.532945,2883900
1992-06-01,26.000000,26.375000,25.750000,26.375000,5.714211,3545000
1992-07-01,26.375000,29.750000,26.375000,29.500000,6.391255,3788200
1992-08-01,29.500000,30.500000,28.500000,29.875000,6.472502,3073200
1992-09-01,29.875000,30.000000,29.125000,29.625000,6.520302,1816000
1992-10-01,29.500000,30.000000,28.500000,29.750000,6.547812,2399500
1992-11-01,29.500000,31.375000,29.500000,30.625000,6.740396,3385300
1992-12-01,30.500000,32.625000,30.125000,31.500000,7.039989,2470400
1993-01-01,31.250000,32.875000,30.375000,32.750000,7.319352,3033400
1993-02-01,33.000000,35.750000,32.875000,34.875000,7.794268,2591200
1993-03-01,34.875000,35.750000,33.375000,34.750000,7.873906,1648700
1993-04-01,34.625000,36.000000,34.500000,34.750000,7.873906,1134800
1993-05-01,34.875000,36.125000,32.750000,34.250000,7.760612,2717500
1993-06-01,34.375000,35.250000,33.250000,34.875000,8.014901,2388700
1993-07-01,35.000000,36.250000,35.000000,36.125000,8.302177,1321800
1993-08-01,36.000000,37.250000,35.875000,36.750000,8.445812,3308000
1993-09-01,36.750000,37.000000,35.750000,35.750000,8.324376,1898100
1993-10-01,35.750000,37.125000,34.750000,36.750000,8.557229,2474500
1993-11-01,36.750000,36.875000,32.750000,33.875000,7.887784,1995400
