Date,Open,High,Low,Close,Adj Close,Volume
2000-04-01,1.166667,1.375000,1.031250,1.250000,1.250000,355447200
2000-05-01,1.250000,1.718750,1.171875,1.692708,1.692708,141146400
2000-06-01,1.671875,1.750000,1.401042,1.542969,1.542969,117705600
2000-07-01,1.572917,2.125000,1.572917,1.817708,1.817708,74328000
2000-08-01,1.812500,2.197917,1.770833,2.187500,2.187500,49453200
2000-09-01,2.114583,2.135417,1.614583,1.817708,1.817708,74563200
2000-10-01,1.802083,2.041667,1.114583,1.119792,1.119792,109208400
2000-11-01,1.125000,1.364583,1.000000,1.338542,1.338542,147717600
2000-12-01,1.333333,1.510417,1.229167,1.479167,1.479167,71568000
2001-01-01,1.479167,1.557292,1.395833,1.520833,1.520833,58766400
2001-02-01,1.512500,1.895833,1.428333,1.745833,1.745833,39090000
2001-03-01,1.758333,1.787500,1.450000,1.633333,1.633333,55964400
2001-04-01,1.616667,1.933333,1.483333,1.804167,1.804167,72573600
2001-05-01,1.825000,2.033333,1.825000,1.930833,1.930833,76825200
2001-06-01,1.980833,2.204167,1.938333,2.196667,2.196667,69663600
2001-07-01,2.196667,2.333333,1.791667,2.065000,2.065000,70972800
2001-08-01,2.079167,2.216667,1.958333,2.190833,2.190833,48476400
2001-09-01,2.187500,2.196667,1.700000,1.866667,1.866667,45102000
2001-10-01,1.883333,2.250000,1.883333,2.116667,2.116667,70459200
2001-11-01,2.117500,2.200000,1.920833,2.104167,2.104167,50809200
2001-12-01,2.100833,2.429167,1.991667,2.302500,2.302500,71196000
2002-01-01,2.304167,2.332500,2.091667,2.244167,2.244167,66080400
2002-02-01,2.254167,2.466667,2.083333,2.377500,2.377500,84602400
2002-03-01,2.375000,2.389167,2.225000,2.329167,2.329167,57086400
2002-04-01,2.325000,2.337500,1.992500,2.093333,2.093333,98380800
2002-05-01,2.075000,2.207500,1.925000,1.985000,1.985000,92498400
2002-06-01,1.975000,2.116667,1.848333,1.933333,1.933333,117322800
2002-07-01,1.929167,2.081667,1.533333,2.028333,2.028333,147097200
2002-08-01,2.029167,2.145000,1.916667,2.051667,2.051667,84606000
2002-09-01,2.045833,2.145833,1.970833,2.132500,2.132500,59611200
2002-10-01,2.125000,2.201667,1.984167,2.140833,2.140833,103372800
2002-11-01,2.125000,2.291667,2.071667,2.193333,2.193333,68032800
2002-12-01,2.183333,2.195833,2.074167,2.122500,2.122500,61132800
2003-01-01,2.108333,2.217500,2.033333,2.125833,2.125833,79496400
2003-02-01,2.137500,2.225000,2.035833,2.217500,2.217500,78350400
2003-03-01,2.221667,2.303333,2.107500,2.283333,2.283333,69661200
2003-04-01,2.283333,2.416667,2.245833,2.405833,2.405833,93031200
2003-05-01,2.400000,2.571667,2.365000,2.526667,2.526667,158214000
2003-06-01,2.533333,2.800000,2.483333,2.678333,2.678333,104556000
2003-07-01,2.670833,2.720833,2.190833,2.353333,2.353333,168690000
2003-08-01,2.337500,2.450000,2.147500,2.370000,2.370000,137440800
2003-09-01,2.370833,2.410833,2.225833,2.256667,2.256667,124438800
2003-10-01,2.258333,2.491667,2.241667,2.416667,2.416667,183769200
2003-11-01,2.420833,2.527500,2.354167,2.510000,2.510000,73054800
2003-12-01,2.525000,2.630000,2.391667,2.506667,2.506667,92523600
2004-01-01,2.507500,2.902500,2.455833,2.902500,2.902500,121927200
2004-02-01,2.900000,2.999167,2.628333,2.683333,2.683333,140492400
2004-03-01,2.683333,2.750000,2.503333,2.662500,2.662500,154737600
2004-04-01,2.658333,2.971667,2.647500,2.871667,2.871667,131358000
2004-05-01,2.876667,3.032500,2.788333,3.020833,3.020833,102040800
2004-06-01,3.033333,3.064167,2.841667,2.904167,2.904167,122731200
