Date,Open,High,Low,Close,Adj Close,Volume
2011-10-01,12.000000,16.400000,11.050000,14.530000,12.947025,72357400
2011-11-01,14.260000,16.740000,14.110000,16.680000,14.862795,17232900
2011-12-01,16.610001,17.090000,15.200000,17.030001,15.174661,14678600
2012-01-01,17.260000,18.660000,16.719999,18.570000,16.546890,21640000
2012-02-01,18.540001,20.150000,18.280001,19.340000,17.232988,21371800
2012-03-01,19.500000,22.320000,18.770000,22.070000,19.665575,32526300
2012-04-01,22.000000,22.799999,20.049999,22.740000,20.262585,39080600
2012-05-01,23.080000,24.110001,21.500000,22.620001,20.155659,32531900
2012-06-01,22.049999,23.450001,19.270000,22.270000,19.843782,30203700
2012-07-01,22.420000,23.889999,20.200001,22.120001,19.710123,29342600
2012-08-01,22.250000,25.730000,21.250000,25.500000,22.721893,21943900
2012-09-01,25.459999,29.120001,24.940001,27.010000,24.067387,32870600
2012-10-01,27.020000,30.270000,26.549999,28.440001,25.341589,35111800
2012-11-01,29.059999,30.500000,26.320000,29.990000,26.722733,37255300
2012-12-01,29.889999,30.350000,28.430000,29.219999,26.036612,27028800
2013-01-01,29.910000,32.939999,29.910000,32.740002,29.173128,25690400
2013-02-01,33.000000,35.630001,32.099998,34.549999,30.785923,32623600
2013-03-01,34.209999,38.160000,33.509998,37.430000,33.352177,22014700
2013-04-01,37.340000,37.360001,33.200001,36.389999,32.425480,31623200
2013-05-01,36.419998,44.040001,36.060001,42.279999,37.673794,30313900
2013-06-01,42.250000,42.459999,35.869999,38.740002,34.599438,34165900
2013-07-01,38.830002,42.779999,37.919998,41.310001,36.894756,25772200
2013-08-01,41.740002,42.619999,35.799999,36.840000,32.902519,25008100
2013-09-01,37.310001,43.689999,36.360001,41.630001,37.278065,21985900
2013-10-01,41.599998,44.009998,37.750000,43.080002,38.576485,37354800
2013-11-01,43.070000,44.490002,40.110001,43.599998,39.042114,19543200
2013-12-01,43.490002,46.080002,40.930000,45.700001,41.018677,17377100
2014-01-01,45.500000,47.919998,41.529999,45.060001,40.444233,29817100
2014-02-01,44.700001,47.450001,42.220001,46.740002,41.952141,26280200
2014-03-01,46.020000,47.490002,39.830002,42.080002,37.870918,32431600
2014-04-01,42.189999,43.509998,38.720001,39.849998,35.863968,31041500
2014-05-01,42.139999,42.139999,37.279999,39.980000,35.980965,35429900
2014-06-01,39.970001,41.150002,38.689999,39.930000,36.042252,36029800
2014-07-01,40.009998,40.959999,36.650002,37.790001,34.110619,47149300
2014-08-01,37.720001,43.849998,37.139999,43.209999,39.002907,32426900
2014-09-01,43.310001,44.240002,40.709999,41.110001,37.209972,24756400
2014-10-01,41.340000,43.349998,36.540001,43.250000,39.146954,31856200
