Date,Open,High,Low,Close,Adj Close,Volume
2009-12-01,8.500000,9.390000,8.075000,8.785000,8.785000,20369200
2010-01-01,8.940000,10.295000,8.060000,8.615000,8.615000,17210000
2010-02-01,8.645000,8.875000,7.590000,8.590000,8.590000,10773000
2010-03-01,8.660000,9.125000,8.020000,8.790000,8.790000,13529600
2010-04-01,8.875000,9.605000,7.930000,8.890000,8.890000,15425000
2010-05-01,8.905000,9.570000,7.550000,8.160000,8.160000,34623000
2010-06-01,8.060000,8.870000,7.390000,8.220000,8.220000,43360600
2010-07-01,8.275000,9.085000,7.360000,9.005000,9.005000,27089200
2010-08-01,9.050000,10.850000,8.420000,10.190000,10.190000,36897800
2010-09-01,10.260000,12.815000,10.175000,12.500000,12.500000,49344800
2010-10-01,12.615000,15.825000,11.780000,15.000000,15.000000,38836200
2010-11-01,18.360001,18.385000,14.550000,15.935000,15.935000,50994400
2010-12-01,16.150000,17.000000,15.310000,16.174999,16.174999,19984400
2011-01-01,16.325001,19.889999,16.235001,19.225000,19.225000,40746600
2011-02-01,19.260000,21.010000,19.020000,20.420000,20.420000,33038200
2011-03-01,20.500000,22.174999,19.360001,22.075001,22.075001,32460200
2011-04-01,22.264999,24.500000,18.790001,24.350000,24.350000,47798000
2011-05-01,24.355000,24.730000,21.500000,24.245001,24.245001,32141200
2011-06-01,24.285000,27.340000,22.250000,27.290001,27.290001,58792900
2011-07-01,27.129999,28.559999,18.900000,20.320000,20.320000,67743000
2011-08-01,20.600000,21.790001,16.950001,19.129999,19.129999,57932500
2011-09-01,19.120001,19.600000,15.780000,16.799999,16.799999,48570700
2011-10-01,16.620001,23.330000,15.800000,23.059999,23.059999,65588500
2011-11-01,21.889999,26.200001,21.830000,23.990000,23.990000,40026700
2011-12-01,23.799999,26.600000,18.150000,21.809999,21.809999,42520300
2012-01-01,22.209999,23.190001,19.610001,22.809999,22.809999,49181800
2012-02-01,25.090000,27.660000,24.530001,27.049999,27.049999,51908000
2012-03-01,27.120001,28.100000,25.530001,27.650000,27.650000,37512900
2012-04-01,27.500000,28.820000,25.480000,26.120001,26.120001,40293400
2012-05-01,26.139999,26.980000,20.870001,21.250000,21.250000,54297200
2012-06-01,20.780001,23.299999,19.940001,23.219999,23.219999,39211400
2012-07-01,23.400000,26.730000,20.350000,24.010000,24.010000,49120100
2012-08-01,24.150000,26.629999,23.020000,26.510000,26.510000,36637500
2012-09-01,26.530001,28.230000,23.820000,24.120001,24.120001,44838800
2012-10-01,24.010000,25.100000,19.000000,19.370001,19.370001,88174500
2012-11-01,19.500000,20.459999,17.530001,19.980000,19.980000,54909900
2012-12-01,20.010000,21.889999,18.530001,21.020000,21.020000,39094000
2013-01-01,21.299999,24.240000,18.799999,23.590000,23.590000,75230200
2013-02-01,23.650000,25.350000,22.510000,24.180000,24.180000,51094500
2013-03-01,24.090000,25.180000,22.590000,23.680000,23.680000,36096400
2013-04-01,23.510000,23.540001,17.260000,17.959999,17.959999,83469800
2013-05-01,18.090000,19.540001,17.730000,19.260000,19.260000,52651000
2013-06-01,19.299999,19.320000,16.469999,17.500000,17.500000,41689100
2013-07-01,17.510000,22.090000,17.049999,21.250000,21.250000,61340300
2013-08-01,21.500000,21.620001,19.690001,19.799999,19.799999,26657100
2013-09-01,20.049999,21.440001,19.430000,20.260000,20.260000,31787500
2013-10-01,20.309999,22.450001,19.639999,20.129999,20.129999,56193200
2013-11-01,20.219999,20.510000,16.900000,17.100000,17.100000,35070300
2013-12-01,17.110001,19.209999,16.290001,19.129999,19.129999,58679900
2014-01-01,19.160000,22.700001,18.930000,21.200001,21.200001,109736200
2014-02-01,21.049999,23.930000,20.090000,23.150000,23.150000,42183000
2014-03-01,22.900000,23.920000,21.420000,22.030001,22.030001,37391200
