Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,7.203704,7.611111,6.870370,7.611111,4.303746,11362275
1991-02-01,7.629630,8.259259,7.333333,8.222222,4.683097,13433850
1991-03-01,8.222222,8.425926,7.777778,8.388889,4.778025,9910350
1991-04-01,8.351852,8.666667,7.907407,7.925926,4.514337,9064575
1991-05-01,7.907407,8.092593,7.370370,8.074074,4.626940,9184725
1991-06-01,8.037037,8.222222,7.092593,7.148148,4.096327,8511750
1991-07-01,7.148148,7.481481,6.888889,7.444444,4.266124,8812800
1991-08-01,7.444444,7.592593,7.074074,7.444444,4.301786,8012925
1991-09-01,7.462963,7.740741,7.277778,7.388889,4.269684,7156350
1991-10-01,7.407407,7.925926,7.296296,7.851852,4.537208,6145200
1991-11-01,7.851852,8.203704,7.555556,7.777778,4.529845,8013600
1991-12-01,7.740741,8.777778,7.648148,8.574074,4.993615,6506325
1992-01-01,8.500000,9.111111,8.370370,8.611111,5.015185,10380825
1992-02-01,8.629630,8.722222,8.074074,8.555556,5.017584,8278875
1992-03-01,8.574074,8.907407,8.370370,8.444444,4.952419,7379775
1992-04-01,8.462963,9.037037,8.000000,8.425926,4.941560,18722475
1992-05-01,8.425926,8.870370,8.222222,8.518519,5.031969,6161400
1992-06-01,8.481481,10.055556,8.388889,10.055556,5.939907,16384275
1992-07-01,10.037037,10.685185,9.648148,10.648148,6.289958,13355550
1992-08-01,10.648148,11.222222,10.305556,10.416667,6.190742,10643175
1992-09-01,10.444444,11.861111,10.388889,11.138889,6.619966,9213750
1992-10-01,11.222222,12.000000,10.972222,11.416667,6.785052,7220250
1992-11-01,11.500000,12.111111,11.138889,11.444444,6.837267,8556750
1992-12-01,11.527778,12.972222,11.305556,12.694444,7.584056,10010700
1993-01-01,12.611111,13.777778,12.333333,13.472222,8.048720,6742350
1993-02-01,13.416667,14.388889,12.388889,13.388889,8.036501,11582550
1993-03-01,13.388889,13.833333,13.111111,13.305556,7.986480,8232300
1993-04-01,13.333333,13.750000,11.666667,12.138889,7.286203,12295350
1993-05-01,12.111111,12.500000,11.083333,11.777778,7.101591,13360950
1993-06-01,11.777778,12.388889,11.444444,11.805556,7.118340,11255850
1993-07-01,11.750000,12.750000,11.472222,12.638889,7.620809,7308000
1993-08-01,12.638889,13.083333,12.611111,12.833333,7.777328,5888250
1993-09-01,12.805556,13.277778,12.444444,12.555556,7.608985,6936750
1993-10-01,12.555556,12.583333,10.000000,10.305556,6.245430,18115650
1993-11-01,10.305556,10.333333,9.138889,9.777778,5.955564,13598550
1993-12-01,9.750000,10.194444,9.555556,10.000000,6.090916,12281850
1994-01-01,9.916667,10.722222,9.916667,10.583333,6.446221,12649950
1994-02-01,10.583333,11.000000,9.444444,9.555556,5.856646,13849650
1994-03-01,9.555556,9.722222,8.777778,8.944444,5.482095,11782800
1994-04-01,8.805556,8.972222,8.222222,8.305556,5.090517,14873850
1994-05-01,8.305556,9.388889,8.166667,9.305556,5.743378,10630350
1994-06-01,9.277778,9.500000,8.527778,8.666667,5.349052,10035900
1994-07-01,8.694444,8.750000,8.444444,8.638889,5.331910,11386350
1994-08-01,8.638889,9.611111,8.638889,9.472222,5.888515,8647200
1994-09-01,9.416667,9.805556,9.000000,9.750000,6.061200,14420700
1994-10-01,9.666667,9.888889,8.166667,8.194444,5.094172,13208850
1994-11-01,8.166667,8.416667,7.194444,7.361111,4.605512,16445250
1994-12-01,7.361111,7.972222,7.333333,7.750000,4.848822,13625100
1995-01-01,7.694444,8.750000,7.611111,8.666667,5.466066,12126600
1995-02-01,8.722222,9.500000,8.694444,9.305556,5.869014,13820400
1995-03-01,9.333333,9.388889,8.916667,9.222222,5.816457,10549800
1995-04-01,9.138889,9.333333,8.500000,8.666667,5.466066,9462600
1995-05-01,8.694444,9.055556,8.444444,8.861111,5.626665,10576350
1995-06-01,8.861111,8.972222,8.305556,8.388889,5.326814,13914450
1995-07-01,8.333333,8.722222,8.166667,8.555556,5.432644,10291950
1995-08-01,8.583333,9.083333,8.500000,8.888889,5.686482,10272600
1995-09-01,8.888889,9.388889,8.888889,9.361111,5.988578,10455300
1995-10-01,9.361111,9.944444,9.194444,9.222222,5.899726,13744350
1995-11-01,9.194444,9.500000,9.083333,9.444444,6.083151,14679000
1995-12-01,9.500000,10.055556,9.416667,10.055556,6.476771,10174050
1996-01-01,10.000000,10.527778,9.444444,10.472222,6.745143,15806700
1996-02-01,10.777778,11.083333,10.250000,10.305556,6.680848,9223650
1996-03-01,10.361111,10.666667,9.777778,10.000000,6.482761,13808250
1996-04-01,9.972222,10.055556,9.138889,9.555556,6.194640,13097250
1996-05-01,9.527778,9.750000,9.111111,9.472222,6.180226,8499600
1996-06-01,9.500000,9.722222,9.194444,9.722222,6.343339,8398350
1996-07-01,9.750000,9.750000,8.944444,9.472222,6.180226,10137150
1996-08-01,9.500000,9.750000,9.388889,9.444444,6.203218,13404600
1996-09-01,9.388889,10.277778,9.222222,10.194444,6.695830,9085950
1996-10-01,10.166667,10.805556,10.111111,10.750000,7.060721,12319650
1996-11-01,10.722222,11.583333,10.611111,11.555556,7.638105,12131550
1996-12-01,11.555556,11.555556,10.916667,11.222222,7.417778,15384150
1997-01-01,11.277778,11.861111,11.111111,11.500000,7.644532,13278150
1997-02-01,11.611111,13.194444,11.527778,13.083333,8.697043,20885400
1997-03-01,13.027778,13.750000,12.277778,12.305556,8.180022,16907850
1997-04-01,12.194444,13.888889,11.666667,13.861111,9.214066,22437000
1997-05-01,13.833333,14.722222,13.611111,14.638889,9.782435,14806800
1997-06-01,14.611111,16.319445,14.583333,15.833333,10.580618,18365400
1997-07-01,15.777778,17.777779,15.694444,17.694445,11.872499,19130400
1997-08-01,17.680555,17.708332,15.472222,16.833332,11.294724,13102650
1997-09-01,16.722221,18.500000,16.694445,17.444445,11.704758,17051175
1997-10-01,17.555555,18.555555,15.638889,17.833332,11.965691,14575050
1997-11-01,17.722221,18.416668,17.388889,18.222221,12.273533,10621350
1997-12-01,18.333332,19.027779,17.277779,18.750000,12.629015,11043450
1998-01-01,18.777779,19.666668,17.000000,18.555555,12.544012,10536075
1998-02-01,18.638889,21.000000,18.000000,20.777779,14.046290,20337300
1998-03-01,20.611111,21.250000,19.888889,20.361111,13.764611,16281450
1998-04-01,20.361111,22.138889,19.527779,19.805555,13.389043,22583025
1998-05-01,19.888889,20.694445,18.472221,19.055555,12.921833,15303600
1998-06-01,18.833332,20.555555,17.805555,20.333332,13.788319,21434850
1998-07-01,20.277779,20.972221,19.166668,19.555555,13.260886,13737600
1998-08-01,19.388889,19.638889,15.888889,15.888889,10.810118,16868025
1998-09-01,15.777778,17.166668,15.722222,15.972222,10.866808,15329925
1998-10-01,15.722222,19.500000,14.138889,19.444445,13.229160,13478400
1998-11-01,19.444445,20.222221,15.833333,16.888889,11.527020,13565700
1998-12-01,16.777779,17.305555,14.666667,15.694444,12.478548,18129150
1999-01-01,15.666667,16.277779,14.277778,14.583333,11.595107,17081775
1999-02-01,14.472222,15.555556,13.638889,14.722222,11.734986,18118350
1999-03-01,14.944444,15.444444,13.666667,14.055556,11.203588,17575650
1999-04-01,14.027778,16.083332,13.666667,15.194444,12.111382,17393625
1999-05-01,15.305556,16.888889,14.555556,14.833333,11.857426,20466675
1999-06-01,14.722222,15.527778,14.388889,15.166667,12.123885,13256775
1999-07-01,15.250000,16.416668,14.555556,14.611111,11.679785,14870925
1999-08-01,14.722222,15.111111,12.666667,12.666667,10.151829,12287700
1999-09-01,12.722222,13.722222,10.916667,11.500000,9.216794,14643900
1999-10-01,11.500000,14.111111,11.333333,13.861111,11.109124,19136700
1999-11-01,13.833333,16.000000,13.833333,14.111111,11.348312,19969200
1999-12-01,14.000000,14.611111,11.805556,12.916667,10.387724,16978275
2000-01-01,12.805556,12.861111,10.055556,11.194444,9.002693,19686600
2000-02-01,11.111111,11.111111,8.555556,8.805556,7.104568,23580900
2000-03-01,8.777778,10.861111,8.333333,10.277778,8.292396,24783075
2000-04-01,10.388889,11.638889,9.611111,11.138889,8.987165,21339000
2000-05-01,11.833333,12.333333,10.222222,12.083333,9.786955,18615825
2000-06-01,12.222222,12.777778,10.666667,10.972222,8.887005,17267175
2000-07-01,11.055556,11.916667,10.694444,11.055556,8.954500,16707375
