Date,Open,High,Low,Close,Adj Close,Volume
2001-02-01,4.750000,5.362500,4.350000,4.750000,4.505341,15188800
2001-03-01,4.725000,4.775000,4.062500,4.625000,4.386775,12694000
2001-04-01,4.600000,5.587500,4.362500,5.287500,5.015154,12276000
2001-05-01,5.287500,6.925000,5.287500,6.575000,6.236335,7505200
2001-06-01,6.575000,7.525000,6.502500,7.525000,7.149284,6966800
2001-07-01,7.525000,8.812500,6.875000,8.075000,7.671824,13790400
2001-08-01,8.070000,9.325000,7.800000,8.887500,8.443756,10425600
2001-09-01,8.937500,9.250000,5.525000,7.350000,6.990889,13991600
2001-10-01,7.337500,7.975000,6.900000,7.487500,7.121671,7750400
2001-11-01,7.475000,8.600000,6.937500,8.350000,7.942034,8646000
2001-12-01,8.325000,8.937500,7.375000,8.600000,8.190428,10052800
2002-01-01,8.537500,9.112500,8.062500,8.980000,8.552331,8822400
2002-02-01,8.900000,8.937500,7.470000,7.642500,7.278529,8510000
2002-03-01,7.667500,9.592500,7.650000,9.162500,8.736789,13743600
2002-04-01,9.137500,9.925000,8.587500,9.605000,9.158733,11330400
2002-05-01,9.592500,9.640000,8.487500,9.075000,8.653361,8407600
2002-06-01,9.075000,9.175000,7.150000,7.437500,7.099636,15521200
2002-07-01,7.500000,8.075000,5.500000,6.500000,6.204726,21661200
2002-08-01,6.502500,7.195000,5.737500,6.965000,6.648600,10023600
2002-09-01,6.945000,6.947500,5.250000,6.400000,6.118870,20744800
2002-10-01,6.425000,7.385000,6.025000,7.062500,6.752267,18687200
2002-11-01,7.062500,7.575000,6.600000,7.207500,6.890900,12014800
2002-12-01,7.250000,8.060000,7.237500,8.002500,7.662282,13441200
2003-01-01,8.037500,8.037500,6.790000,7.132500,6.829269,11503200
2003-02-01,7.182500,7.362500,6.722500,6.985000,6.688042,9961600
2003-03-01,7.012500,7.810000,6.500000,7.630000,7.315896,13012800
2003-04-01,7.600000,8.175000,7.352500,7.752500,7.433351,14069600
2003-05-01,7.737500,8.500000,7.512500,8.500000,8.150077,11775600
2003-06-01,8.525000,8.950000,7.892500,8.875000,8.520642,12002800
2003-07-01,8.900000,9.487500,8.555000,8.802500,8.451040,12018400
2003-08-01,8.780000,9.607500,8.417500,9.437500,9.060685,9436400
2003-09-01,9.467500,9.890000,9.000000,9.000000,8.650279,18747200
2003-10-01,9.250000,10.422500,9.140000,10.412500,10.007888,15872400
2003-11-01,10.412500,11.442500,10.362500,11.350000,10.908957,12978000
2003-12-01,11.375000,12.060000,11.312500,11.780000,11.333136,13205600
2004-01-01,11.750000,12.577500,11.575000,11.625000,11.184008,12040800
2004-02-01,11.600000,11.610000,10.697500,10.815000,10.404737,15324000
2004-03-01,10.850000,11.337500,10.607500,11.270000,10.852036,14036400
2004-04-01,11.312500,12.782500,11.310000,11.995000,11.550149,20364400
2004-05-01,11.992500,12.325000,11.020000,11.665000,11.232388,41546400
2004-06-01,11.625000,11.900000,11.235000,11.255000,10.846824,17285600
2004-07-01,11.255000,11.662500,10.892500,11.412500,10.998608,25247600
2004-08-01,11.387500,11.387500,10.352500,11.090000,10.687809,16039200
2004-09-01,11.075000,13.537500,11.035000,13.387500,12.914180,24147600
2004-10-01,13.287500,13.925000,12.482500,13.690000,13.205984,27792800
2004-11-01,13.675000,14.465000,13.435000,13.790000,13.302453,21315200
2004-12-01,13.852500,15.150000,13.362500,14.635000,14.127651,24954400
2005-01-01,14.500000,14.585000,13.925000,14.322500,13.825986,19999200
2005-02-01,14.350000,15.022500,13.700000,13.880000,13.398826,16190800
2005-03-01,13.925000,16.237499,13.912500,16.122499,15.574142,23538000
2005-04-01,16.150000,16.772499,15.432500,16.190001,15.639347,26477600
2005-05-01,16.247499,17.325001,15.762500,17.325001,16.735744,22154800
2005-06-01,17.322500,17.879999,16.792500,16.950001,16.383801,18594400
2005-07-01,16.950001,17.225000,15.287500,16.559999,16.006834,36906400
2005-08-01,16.557501,17.087500,16.100000,16.445000,15.895669,19070400
2005-09-01,16.420000,19.702499,16.145000,19.430000,18.792063,36760800
2005-10-01,19.430000,21.799999,19.352501,21.424999,20.721560,48929600
2005-11-01,21.424999,22.370001,20.665001,21.889999,21.171295,31889600
2005-12-01,22.014999,24.245001,21.250000,23.305000,22.550291,26837800
2006-01-01,25.485001,26.139999,23.375000,25.465000,24.640337,29989200
2006-02-01,25.340000,26.375000,23.715000,26.030001,25.187050,20990600
2006-03-01,26.180000,27.389999,24.145000,26.504999,25.657267,32050800
2006-04-01,26.350000,26.355000,23.250000,23.715000,22.956503,33011200
2006-05-01,23.840000,23.915001,22.094999,23.290001,22.545094,26008000
2006-06-01,23.295000,24.745001,22.184999,24.275000,23.509008,25112200
2006-07-01,24.275000,24.920000,19.790001,21.270000,20.598827,39532200
2006-08-01,21.250000,21.305000,18.240000,19.025000,18.424683,33230600
2006-09-01,19.280001,22.100000,18.655001,22.004999,21.321669,41934200
2006-10-01,21.900000,22.100000,20.264999,21.855000,21.176323,57361000
2006-11-01,22.004999,23.075001,20.750000,22.900000,22.188873,30699600
2006-12-01,22.959999,24.030001,22.600000,23.150000,22.441362,18312200
2007-01-01,23.195000,24.565001,18.690001,18.879999,18.302069,82202200
2007-02-01,18.889999,20.170000,18.700001,19.235001,18.646204,40072400
2007-03-01,19.170000,19.965000,15.000000,17.030001,16.517088,52970200
2007-04-01,17.780001,19.705000,17.570000,18.990000,18.418055,61867400
2007-05-01,18.940001,20.715000,18.655001,20.020000,19.417038,35151600
2007-06-01,20.004999,20.790001,19.375000,19.825001,19.237785,26508200
2007-07-01,19.825001,20.309999,17.684999,18.700001,18.146103,31690800
