Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,4.555556,5.814815,4.481481,5.555556,3.027073,8794919
1991-02-01,5.703704,7.407407,5.703704,7.222222,3.946156,13297165
1991-03-01,7.185185,7.259259,6.925926,7.222222,3.946156,8254579
1991-04-01,7.185185,9.185185,7.000000,8.333333,4.553257,15068365
1991-05-01,8.407407,9.074074,7.629630,9.074074,4.968638,11704843
1991-06-01,9.000000,9.000000,8.074074,8.222222,4.502192,16778143
1991-07-01,8.296296,8.888889,7.962963,8.444444,4.623875,10276206
1991-08-01,8.407407,8.518519,7.259259,8.000000,4.389795,8571156
1991-09-01,8.074074,8.962963,7.333333,8.666667,4.755613,13891504
1991-10-01,8.740741,10.814815,8.444444,10.629630,5.832737,14654256
1991-11-01,10.592593,10.814815,9.888889,10.518519,5.781972,12429790
1991-12-01,10.370370,12.111111,10.148148,12.000000,6.596333,14960366
1992-01-01,11.888889,12.555556,11.037037,11.740741,6.453820,9267080
1992-02-01,11.777778,12.555556,10.555556,11.518519,6.341238,13996468
1992-03-01,11.481481,11.833333,10.388889,10.555556,5.811101,6246565
1992-04-01,10.444444,12.111111,10.277778,11.444444,6.300458,9994050
1992-05-01,11.500000,13.111111,11.111111,13.111111,7.232041,9188550
1992-06-01,13.000000,13.222222,11.722222,12.555556,6.925603,9412425
1992-07-01,12.555556,13.888889,11.777778,13.722222,7.569131,11240325
1992-08-01,13.722222,14.111111,13.166667,13.277778,7.323975,6703425
1992-09-01,13.277778,15.277778,13.277778,15.111111,8.348759,7165350
1992-10-01,15.111111,15.666667,14.000000,15.000000,8.287367,11775150
1992-11-01,15.055556,15.833333,14.333333,15.777778,8.717082,8662275
1992-12-01,15.777778,15.944444,14.277778,14.500000,8.023005,12635775
1993-01-01,14.500000,15.500000,13.833333,15.111111,8.361144,8522550
1993-02-01,15.111111,15.222222,12.500000,13.555556,7.500438,17544600
1993-03-01,13.555556,14.500000,13.277778,13.777778,7.634624,16022475
1993-04-01,13.777778,14.777778,13.500000,14.611111,8.096390,13387500
1993-05-01,14.555556,16.388889,14.388889,15.944444,8.835228,8763750
1993-06-01,16.000000,17.055555,15.611111,16.777779,9.313997,10740825
1993-07-01,16.777779,16.833332,15.111111,16.555555,9.190634,14205150
1993-08-01,16.500000,16.888889,15.944444,16.833332,9.344841,9362925
1993-09-01,16.833332,17.777779,16.833332,17.500000,9.730605,7413525
1993-10-01,17.666668,17.833332,16.111111,16.166668,8.989224,8919225
1993-11-01,16.111111,17.277779,15.611111,17.111111,9.514369,10873125
1993-12-01,17.222221,17.333332,15.833333,16.111111,8.973135,9355725
1994-01-01,16.000000,16.055555,14.888889,14.944444,8.323353,17599050
1994-02-01,15.000000,15.833333,14.833333,15.666667,8.740694,17905275
1994-03-01,15.611111,16.277779,14.944444,15.444444,8.616711,10760850
1994-04-01,15.166667,16.055555,14.944444,15.111111,8.430742,9249975
1994-05-01,15.111111,15.333333,14.388889,14.666667,8.182778,10872675
1994-06-01,14.666667,14.833333,12.500000,13.166667,7.361055,36104400
1994-07-01,13.055556,13.444444,12.611111,13.444444,7.516352,10712025
1994-08-01,13.333333,14.277778,13.222222,13.944444,7.795884,9007650
1994-09-01,13.833333,14.166667,13.000000,13.166667,7.378130,7093575
1994-10-01,13.166667,14.777778,12.555556,14.666667,8.218679,9706950
1994-11-01,14.555556,14.888889,13.111111,13.111111,7.362614,6630300
1994-12-01,13.111111,13.222222,12.388889,12.944444,7.269025,9009225
1995-01-01,12.944444,13.555556,12.611111,13.388889,7.518606,6889725
1995-02-01,13.444444,14.500000,12.944444,14.000000,7.880317,5672925
1995-03-01,14.000000,15.055556,13.333333,15.000000,8.443199,13234950
1995-04-01,15.000000,15.222222,14.055556,14.111111,7.942857,8206200
1995-05-01,14.000000,15.666667,13.944444,15.666667,8.818455,8249175
1995-06-01,15.555556,15.555556,13.944444,14.111111,7.962924,10607850
1995-07-01,14.055556,14.111111,13.222222,13.888889,7.837525,11850975
1995-08-01,13.777778,14.888889,13.277778,14.444444,8.151025,19263375
1995-09-01,14.444444,14.555556,13.500000,13.833333,7.826369,10931850
1995-10-01,13.833333,13.833333,12.666667,13.555556,7.669215,12995100
1995-11-01,13.500000,14.000000,13.277778,13.555556,7.669215,7899975
1995-12-01,13.611111,14.500000,13.333333,13.777778,7.815440,12045600
1996-01-01,13.777778,20.000000,12.833333,18.444445,10.462603,76349475
1996-02-01,18.444445,18.444445,14.055556,15.333333,8.713762,70413525
1996-03-01,15.388889,17.000000,15.277778,16.444445,9.345194,25117650
1996-04-01,16.500000,17.000000,15.833333,16.333332,9.282051,15546600
1996-05-01,16.388889,17.222221,16.277779,16.777779,9.534626,16614450
1996-06-01,16.777779,17.055555,15.722222,15.888889,9.054113,9164925
1996-07-01,15.944444,15.944444,14.166667,15.944444,9.085771,12736800
1996-08-01,15.944444,16.611111,15.888889,16.333332,9.333486,5950350
1996-09-01,16.222221,17.000000,16.166668,16.500000,9.428725,10662750
1996-10-01,16.444445,17.777779,16.444445,17.277779,9.873178,17982225
1996-11-01,17.277779,19.611111,17.277779,18.277779,10.471465,16024950
1996-12-01,18.166668,18.555555,16.555555,17.277779,9.898557,14316075
1997-01-01,17.388889,17.944445,16.111111,17.555555,10.057698,18180900
1997-02-01,17.722221,19.166668,17.555555,19.000000,10.912859,16971525
1997-03-01,18.888889,19.777779,18.166668,18.250000,10.482085,9282075
1997-04-01,18.166668,18.166668,15.250000,16.666668,9.572681,19027050
1997-05-01,16.750000,19.666668,16.166668,19.333332,11.141453,21674100
1997-06-01,19.500000,19.500000,18.500000,18.916668,10.901333,15211800
1997-07-01,19.000000,20.500000,18.833332,20.458332,11.789766,17332050
1997-08-01,20.458332,20.750000,17.750000,17.916668,10.352036,19687350
1997-09-01,17.916668,19.166668,17.625000,18.750000,10.833526,23794800
1997-10-01,18.791668,20.166668,17.166668,19.333332,11.170572,21747300
1997-11-01,19.333332,20.750000,18.333332,19.375000,11.225216,21941400
1997-12-01,19.416668,24.333332,18.833332,21.000000,12.166684,33873300
1998-01-01,21.000000,23.708332,19.916668,23.000000,13.325424,16201500
1998-02-01,23.333332,24.500000,22.750000,24.166668,14.035433,17958150
1998-03-01,24.208332,25.750000,23.166668,23.541668,13.672445,30605400
1998-04-01,23.458332,25.333332,23.250000,24.541668,14.253234,13331400
1998-05-01,24.625000,26.750000,24.291668,25.500000,14.841896,13784700
1998-06-01,25.333332,27.083332,24.375000,26.208332,15.254167,10241700
1998-07-01,26.208332,27.291668,24.000000,24.125000,14.041601,15050100
1998-08-01,24.000000,25.416668,20.750000,20.875000,12.176672,10999200
1998-09-01,21.333332,23.916668,19.666668,19.708332,11.496138,17316300
1998-10-01,19.833332,24.083332,18.666668,23.375000,13.634952,14946600
1998-11-01,23.333332,25.000000,21.750000,23.500000,13.739328,11927700
1998-12-01,23.541668,25.458332,20.583332,24.083332,14.080372,18937650
1999-01-01,24.250000,25.166668,22.500000,24.750000,14.470144,12133200
1999-02-01,24.791668,26.583332,23.291668,24.708332,14.479230,22115850
1999-03-01,24.500000,30.375000,24.416668,28.937500,16.957552,23710600
1999-04-01,29.000000,34.875000,27.562500,34.875000,20.436964,23060300
1999-05-01,35.250000,37.000000,27.875000,28.750000,16.878016,28783100
1999-06-01,28.500000,29.500000,26.500000,27.937500,16.401031,17939700
1999-07-01,27.937500,28.625000,24.125000,26.000000,15.263605,29941900
1999-08-01,26.625000,27.375000,24.125000,24.437500,14.379498,15053500
1999-09-01,24.500000,26.375000,21.437500,21.500000,12.651022,18111300
1999-10-01,21.750000,23.000000,17.875000,20.625000,12.136154,36983300
1999-11-01,20.687500,24.250000,20.312500,21.562500,12.727468,20670300
1999-12-01,21.812500,23.000000,16.875000,18.937500,11.178041,31461800
2000-01-01,18.812500,18.937500,15.000000,15.000000,8.853889,27270700
2000-02-01,15.125000,16.750000,14.375000,15.750000,9.332717,30581500
2000-03-01,15.750000,17.500000,13.750000,16.687500,9.888227,27456400
2000-04-01,16.625000,17.875000,15.000000,15.937500,9.443815,13473700
2000-05-01,15.875000,18.562500,15.312500,16.375000,9.739011,12493600
2000-06-01,16.125000,17.750000,15.062500,15.062500,8.958406,13581100
2000-07-01,16.000000,17.812500,10.375000,11.375000,6.765270,24683400
2000-08-01,11.250000,12.562500,10.187500,12.328125,7.368987,25117400
2000-09-01,12.437500,12.812500,10.562500,11.437500,6.836625,18917700
2000-10-01,11.312500,12.312500,9.000000,10.750000,6.425681,27354500
2000-11-01,10.687500,12.937500,10.500000,11.562500,6.952039,16181100
2000-12-01,11.500000,12.125000,8.375000,10.625000,6.388358,24640000
2001-01-01,10.750000,12.875000,10.312500,11.880000,7.142938,15039800
2001-02-01,11.880000,14.630000,11.600000,12.280000,7.402161,17865400
2001-03-01,12.450000,14.050000,11.870000,12.900000,7.775887,11162400
2001-04-01,12.800000,12.980000,10.500000,12.250000,7.384077,12516100
2001-05-01,12.200000,15.400000,12.190000,15.000000,9.064978,12786400
2001-06-01,14.950000,15.600000,14.050000,14.450000,8.732591,12381000
2001-07-01,14.450000,16.299999,13.880000,16.100000,9.729737,10344000
2001-08-01,16.200001,17.620001,15.800000,17.340000,10.498726,11174500
