Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,4.569981,5.364760,4.420960,5.066718,1.680811,4264330
1991-02-01,5.066718,6.159540,5.066718,6.159540,2.043339,4534090
1991-03-01,6.159540,6.556929,5.811824,6.457582,2.142210,2982967
1991-04-01,6.308561,6.358234,6.060192,6.308561,2.120130,2967364
1991-05-01,6.308561,7.003993,6.258887,7.003993,2.353847,2842299
1991-06-01,6.954319,7.053666,6.556929,6.854971,2.303764,2164123
1991-07-01,6.755624,7.451056,6.457582,7.302035,2.483814,3464107
1991-08-01,7.153014,7.798772,7.053666,7.500730,2.582003,4403991
1991-09-01,7.500730,7.848446,7.153014,7.649751,2.633302,4562274
1991-10-01,7.798772,7.898119,7.550403,7.798772,2.713350,3985760
1991-11-01,7.699424,7.898119,7.451056,7.500730,2.609655,3963111
1991-12-01,7.500730,7.749098,7.451056,7.749098,2.696067,3403963
1992-01-01,7.749098,8.543877,7.600077,8.345183,2.909584,4123660
1992-02-01,8.295509,8.742572,8.295509,8.394856,2.926903,2269559
1992-03-01,8.394856,9.189636,8.047140,8.891593,3.100091,3549413
1992-04-01,8.841920,9.487678,8.096814,9.487678,3.339164,5737191
1992-05-01,9.487678,10.133436,9.040614,9.934741,3.496505,3652585
1992-06-01,9.934741,10.679847,8.990941,10.133436,3.566437,5213019
1992-07-01,10.083762,10.133436,9.288983,9.835394,3.489177,4364732
1992-08-01,9.934741,9.934741,8.941267,9.500096,3.370227,5231541
1992-09-01,9.375912,9.872649,9.189636,9.686373,3.436311,2319134
1992-10-01,9.686373,9.872649,8.941267,9.810557,3.512794,3036215
1992-11-01,9.810557,10.058925,9.438004,10.058925,3.601723,5377494
1992-12-01,10.121018,11.549137,9.996833,11.300768,4.046381,5552433
1993-01-01,11.176584,11.735413,10.679847,11.611229,4.193274,10522269
1993-02-01,11.611229,12.480519,11.487044,12.232150,4.417515,5584846
1993-03-01,12.232150,13.039348,11.797505,12.107966,4.372668,4902192
1993-04-01,12.107966,13.846546,11.859597,12.666795,4.607823,7527520
1993-05-01,12.666795,13.287716,11.859597,12.977256,4.720761,6491967
1993-06-01,12.977256,13.473993,12.045874,13.473993,4.901462,5483182
1993-07-01,13.473993,14.343283,12.853071,13.287716,4.877049,5553845
1993-08-01,13.287716,13.411901,12.666795,13.163532,4.865168,7046989
1993-09-01,13.287716,13.536085,12.480519,13.287716,4.911066,6779844
