Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,1.125000,1.156250,0.593750,0.875000,0.875000,10263200
1991-02-01,0.875000,1.250000,0.875000,1.000000,1.000000,7422400
1991-03-01,0.937500,1.531250,0.937500,1.156250,1.156250,11326400
1991-04-01,1.250000,1.406250,1.093750,1.093750,1.093750,5745600
1991-05-01,1.093750,1.187500,1.000000,1.000000,1.000000,1641600
1991-06-01,1.062500,1.062500,0.812500,0.875000,0.875000,1516000
1991-07-01,0.843750,1.093750,0.843750,0.953125,0.953125,2073600
1991-08-01,0.937500,1.062500,0.843750,0.843750,0.843750,3411200
1991-09-01,0.890625,0.906250,0.781250,0.875000,0.875000,2447200
1991-10-01,0.890625,1.218750,0.687500,1.218750,1.218750,15194400
1991-11-01,1.187500,1.375000,1.000000,1.125000,1.125000,9296000
1991-12-01,1.187500,1.250000,0.937500,1.218750,1.218750,6783200
1992-01-01,1.187500,1.687500,1.171875,1.468750,1.468750,18675200
1992-02-01,1.500000,1.781250,1.281250,1.468750,1.468750,7320800
1992-03-01,1.437500,1.437500,1.187500,1.250000,1.250000,4243200
1992-04-01,1.250000,1.281250,0.921875,1.078125,1.078125,8921600
1992-05-01,1.125000,1.250000,0.968750,1.000000,1.000000,6519200
1992-06-01,1.000000,1.031250,0.781250,0.953125,0.953125,4880000
1992-07-01,0.937500,1.250000,0.875000,1.078125,1.078125,7275200
1992-08-01,1.109375,1.125000,0.796875,0.812500,0.812500,7823200
1992-09-01,0.843750,0.906250,0.718750,0.765625,0.765625,3461600
1992-10-01,0.750000,0.843750,0.687500,0.734375,0.734375,4231200
1992-11-01,0.718750,0.781250,0.546875,0.750000,0.750000,13916800
1992-12-01,0.750000,0.765625,0.578125,0.734375,0.734375,8966400
1993-01-01,0.750000,0.781250,0.609375,0.640625,0.640625,4653600
1993-02-01,0.593750,0.671875,0.531250,0.656250,0.656250,5518400
1993-03-01,0.640625,0.781250,0.625000,0.671875,0.671875,4536800
1993-04-01,0.640625,0.656250,0.578125,0.640625,0.640625,1501600
1993-05-01,0.625000,0.625000,0.484375,0.531250,0.531250,2396800
1993-06-01,0.515625,0.578125,0.484375,0.562500,0.562500,2096800
1993-07-01,0.531250,0.593750,0.484375,0.578125,0.578125,2249600
1993-08-01,0.562500,0.609375,0.492188,0.500000,0.500000,3720800
1993-09-01,0.523438,0.625000,0.484375,0.625000,0.625000,2522400
1993-10-01,0.562500,0.593750,0.437500,0.546875,0.546875,1993600
1993-11-01,0.546875,0.546875,0.437500,0.515625,0.515625,1936000
1993-12-01,0.468750,0.562500,0.421875,0.546875,0.546875,4896800
1994-01-01,0.562500,0.750000,0.500000,0.718750,0.718750,4288000
1994-02-01,0.750000,0.921875,0.656250,0.867188,0.867188,9574400
1994-03-01,0.921875,0.921875,0.781250,0.859375,0.859375,3273600
1994-04-01,0.859375,1.062500,0.828125,1.015625,1.015625,5216800
1994-05-01,1.046875,1.343750,1.015625,1.281250,1.281250,9239200
1994-06-01,1.343750,1.750000,1.281250,1.343750,1.343750,10505600
1994-07-01,1.375000,1.500000,1.218750,1.437500,1.437500,5028000
1994-08-01,1.531250,1.843750,1.375000,1.812500,1.812500,26611200
1994-09-01,1.843750,2.250000,1.500000,1.953125,1.953125,30380000
1994-10-01,1.937500,2.265625,1.781250,1.953125,1.953125,11438400
1994-11-01,1.953125,1.968750,1.531250,1.679688,1.679688,9230400
1994-12-01,1.687500,1.875000,1.625000,1.875000,1.875000,4552800
1995-01-01,1.859375,1.937500,1.656250,1.875000,1.875000,4958400
1995-02-01,1.859375,2.343750,1.781250,2.250000,2.250000,7547200
1995-03-01,2.250000,2.312500,1.421875,1.468750,1.468750,8331200
1995-04-01,1.437500,1.718750,1.437500,1.562500,1.562500,5897600
1995-05-01,1.453125,1.500000,1.125000,1.359375,1.359375,13948000
1995-06-01,1.375000,2.281250,1.328125,2.140625,2.140625,15845600
1995-07-01,2.109375,2.265625,1.921875,2.218750,2.218750,10114400
1995-08-01,2.218750,2.218750,1.984375,2.093750,2.093750,5029600
1995-09-01,2.078125,3.140625,2.078125,2.875000,2.875000,20917600
1995-10-01,2.875000,3.453125,2.593750,3.250000,3.250000,18341600
1995-11-01,3.281250,5.437500,3.234375,5.281250,5.281250,24886400
1995-12-01,5.250000,5.687500,3.875000,5.125000,5.125000,22085600
1996-01-01,5.125000,6.250000,4.312500,6.031250,6.031250,23508000
1996-02-01,6.031250,6.281250,5.093750,6.125000,6.125000,12238400
1996-03-01,6.093750,6.687500,5.250000,5.687500,5.687500,13488800
1996-04-01,5.625000,7.812500,5.250000,7.375000,7.375000,15345600
1996-05-01,7.375000,11.500000,7.375000,9.875000,9.875000,23107600
