Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,6.494830,7.269443,6.167109,6.911929,3.500018,17401437
1991-02-01,6.852343,7.597163,6.792758,7.090686,3.590537,23616866
1991-03-01,7.090686,7.329028,6.584208,6.911929,3.552213,24286912
1991-04-01,6.971515,7.180064,6.614001,7.060893,3.628770,17075015
1991-05-01,7.090686,7.209857,6.494830,7.120479,3.659397,19417025
1991-06-01,7.150271,8.133434,6.733172,7.865299,4.104259,49014364
1991-07-01,7.805713,9.414524,7.805713,9.265560,4.834936,57549144
1991-08-01,9.205974,9.384731,8.580326,9.146389,4.772752,30315212
1991-09-01,9.116596,9.295353,8.610119,8.639911,4.562852,24028459
1991-10-01,8.669704,9.950794,8.103641,9.891209,5.223682,55172730
1991-11-01,9.980587,10.248722,9.116596,9.265560,4.893265,30046691
1991-12-01,9.176182,10.725407,8.669704,10.457272,5.555699,29541536
1992-01-01,10.248722,11.887326,9.742245,11.797948,6.267966,45578549
1992-02-01,11.797948,12.215047,11.261678,11.827741,6.283793,30506535
1992-03-01,11.797948,13.049245,11.440434,12.036290,6.426248,37985691
1992-04-01,11.976705,14.151579,11.857533,13.883444,7.412455,40862645
1992-05-01,13.943029,14.270750,13.585516,13.823858,7.380642,28061312
1992-06-01,13.734480,14.598471,12.483182,12.810903,6.868862,44486844
1992-07-01,12.840696,13.466345,11.976705,13.228002,7.092503,31374192
1992-08-01,13.168417,13.466345,12.036290,12.483182,6.693150,25295963
1992-09-01,12.483182,13.347173,12.215047,12.393804,6.676425,35102863
1992-10-01,12.334218,13.764273,11.917119,13.228002,7.125800,30463738
1992-11-01,13.257795,13.823858,13.019453,13.615309,7.334438,18482235
1992-12-01,13.674894,14.777228,13.615309,14.419714,7.802058,30655900
1993-01-01,14.360128,14.509092,13.704687,13.734480,7.431299,28314310
1993-02-01,13.794065,16.028524,13.794065,15.700804,8.495214,33106996
1993-03-01,15.760390,16.475416,15.432669,15.879561,8.629355,28709538
1993-04-01,15.879561,16.803139,14.717642,15.551840,8.451260,40292874
1993-05-01,15.522048,16.177488,14.955984,15.909354,8.645544,27764260
1993-06-01,15.968940,16.505211,15.462462,15.909354,8.684820,26398577
1993-07-01,15.909354,17.041479,15.313498,16.713758,9.123944,31027632
1993-08-01,16.743551,17.816093,16.713758,17.816093,9.725702,26326413
1993-09-01,17.816093,17.845886,16.773346,17.369202,9.519429,23939931
