Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,1.809435,2.256471,1.695901,2.206801,1.013904,219902291
1991-02-01,2.206801,2.767371,2.079076,2.646742,1.216033,401290718
1991-03-01,2.646742,2.937670,2.526113,2.838329,1.304057,356935391
1991-04-01,2.802850,3.129257,2.724796,2.902191,1.336783,299213044
1991-05-01,2.866712,3.100874,2.533208,3.079587,1.418493,509435343
1991-06-01,3.079587,3.107970,2.838329,2.880904,1.326977,197197028
1991-07-01,2.909287,3.214407,2.845425,3.051203,1.408734,222932240
1991-08-01,3.051203,3.207312,2.753179,3.001533,1.385801,268568254
1991-09-01,3.001533,3.022820,2.582879,2.809946,1.297347,225992141
1991-10-01,2.809946,2.930574,2.611262,2.859616,1.323781,215232289
1991-11-01,2.859616,2.888000,2.533208,2.731891,1.264654,191389032
1991-12-01,2.731891,3.256982,2.689317,3.235695,1.497877,236956339
1992-01-01,3.193120,3.597582,3.107970,3.363420,1.561068,343802665
1992-02-01,3.363420,4.427793,3.320845,4.143960,1.923342,331501411
1992-03-01,4.143960,4.825159,4.136864,4.569709,2.120944,338331135
1992-04-01,4.569709,4.683243,4.179439,4.541326,2.113062,312458517
1992-05-01,4.541326,4.704530,4.179439,4.314260,2.007409,258433766
1992-06-01,4.314260,4.356835,3.689827,3.909798,1.819215,282613488
1992-07-01,3.909798,4.214918,3.590486,4.172343,1.947333,256677451
1992-08-01,4.172343,4.222014,3.157641,3.249886,1.516801,444206817
1992-09-01,3.249886,3.427282,3.136353,3.164737,1.477059,243276959
1992-10-01,3.164737,3.306653,2.852520,3.228599,1.512090,295603528
1992-11-01,3.228599,3.796265,3.065395,3.774977,1.767983,389701153
1992-12-01,3.774977,3.994948,3.569198,3.966564,1.857711,284700986
1993-01-01,3.966564,4.271685,3.853031,4.087193,1.920219,274901201
1993-02-01,4.087193,4.314260,3.774977,4.186535,1.966891,280076781
1993-03-01,4.172343,4.520039,4.108481,4.321356,2.030232,267005712
1993-04-01,4.321356,4.342643,3.916894,4.250397,2.002172,186671466
1993-05-01,4.250397,5.045129,4.186535,4.732913,2.229463,332982916
1993-06-01,4.768392,5.066417,4.456176,4.598093,2.165956,370450386
1993-07-01,4.598093,4.598093,3.973660,4.087193,1.931067,298735652
1993-08-01,4.087193,4.378122,3.888510,4.207822,1.988060,315886592
1993-09-01,4.207822,4.229110,3.654348,3.881415,1.833843,317186651
1993-10-01,3.881415,4.321356,3.810456,4.179439,1.981857,248068510
1993-11-01,4.179439,4.527134,3.980756,4.186535,1.985221,267875944
1993-12-01,4.214918,4.484559,4.214918,4.484559,2.126542,221175929
1994-01-01,4.477464,4.981267,4.399410,4.839351,2.302269,267690972
1994-02-01,4.839351,5.314771,4.576805,5.144471,2.447426,326239510
1994-03-01,5.144471,5.194142,4.463272,4.661955,2.217874,329877215
1994-04-01,4.640668,4.775488,4.200727,4.555518,2.173250,264356264
1994-05-01,4.562614,4.711626,4.229110,4.456176,2.125858,338692265
1994-06-01,4.456176,4.569709,4.264589,4.271685,2.037845,242274609
1994-07-01,4.271685,4.427793,4.080098,4.406505,2.110266,208767215
1994-08-01,4.406505,5.151567,4.406505,5.108992,2.446687,364793891
1994-09-01,5.087704,5.194142,4.846446,4.959980,2.375324,239232325
1994-10-01,4.959980,5.612795,4.740009,5.556029,2.669631,315877781
1994-11-01,5.548933,5.818574,5.343154,5.548933,2.666223,423821583
1994-12-01,5.499262,5.818574,5.215429,5.669562,2.724184,317346956
1995-01-01,5.669562,6.095311,5.563124,5.705041,2.749869,316492578
1995-02-01,5.705041,6.670073,5.690849,6.528156,3.146617,329764474
1995-03-01,6.528156,7.095822,6.513965,6.833277,3.293688,361543737
1995-04-01,6.833277,7.535763,6.748127,7.507380,3.628537,234425800
1995-05-01,7.493188,8.231153,7.237738,7.493188,3.621677,343477649
1995-06-01,7.493188,8.784628,7.464805,8.458220,4.088104,258517441
1995-07-01,8.458220,9.508401,8.146004,8.841394,4.284653,243973674
1995-08-01,8.742053,9.692893,7.947321,9.082652,4.401571,387727277
1995-09-01,9.082652,9.749659,8.869777,9.465827,4.587264,272807542
1995-10-01,9.465827,10.970141,8.373070,10.516008,5.108892,362848203
1995-11-01,10.516008,10.899183,9.409060,9.423252,4.578005,419681825
1995-12-01,9.409060,10.005109,8.486603,9.508401,4.619371,438892068
1996-01-01,9.508401,9.721276,8.358878,9.621935,4.686800,460089403
1996-02-01,9.621935,11.821639,9.607743,11.438465,5.571628,415984224
1996-03-01,11.083674,11.736490,10.189600,10.686308,5.205254,437950494
1996-04-01,10.714691,12.758288,10.657925,12.020322,5.866792,289030996
1996-05-01,12.020322,13.098887,11.509423,12.091281,5.901429,434963702
1996-06-01,12.091281,12.346730,10.643733,11.310740,5.520467,350571612
1996-07-01,11.367507,11.608765,8.571753,9.990917,4.888117,623638546
1996-08-01,9.990917,10.586966,9.025886,9.934151,4.860344,298682802
1996-09-01,9.934151,11.268165,9.650318,11.069482,5.415812,284708472
1996-10-01,11.041099,11.041099,9.650318,10.019301,4.914039,307977004
1996-11-01,10.019301,12.488647,9.707084,12.233197,5.999862,319042497
1996-12-01,12.233197,12.914396,11.239782,11.410082,5.596158,239001117
1997-01-01,11.410082,12.573797,11.410082,11.949364,5.874175,237740691
1997-02-01,11.949364,13.510445,11.126249,12.744096,6.264856,335118858
1997-03-01,12.744096,13.623978,12.062897,12.091281,5.943941,282376113
1997-04-01,12.062897,12.318347,10.927566,11.920981,5.872612,329777687
1997-05-01,11.920981,13.396912,11.381698,11.693915,5.760756,397279996
1997-06-01,11.722298,12.715713,11.551998,12.715713,6.264121,275515563
1997-07-01,12.715713,16.093325,12.332539,15.894641,7.850792,334213395
1997-08-01,15.894641,16.235241,13.709128,13.964578,6.897482,262140172
1997-09-01,14.007153,16.561649,14.007153,15.795300,7.801723,242593458
1997-10-01,15.795300,16.221048,13.113079,13.992961,6.925566,274604373
1997-11-01,14.049728,14.986376,13.184037,13.879428,6.869374,227270624
1997-12-01,13.922003,15.525658,13.453678,14.163261,7.009854,278510281
1998-01-01,14.163261,14.915418,13.609787,13.652361,6.772455,241880893
1998-02-01,13.808470,15.426317,13.581403,15.213442,7.546850,309108394
1998-03-01,15.213442,15.383742,13.652361,14.390327,7.138534,258317061
1998-04-01,14.390327,17.228657,13.638170,17.115124,8.509172,365938049
1998-05-01,17.115124,18.704588,14.106494,14.149069,7.034532,446521120
1998-06-01,14.149069,14.631585,12.715713,13.595595,6.759360,339292086
1998-07-01,13.595595,14.262602,12.573797,12.602180,6.283311,346794301
1998-08-01,12.587988,13.524637,10.899183,11.026907,5.497899,366832940
1998-09-01,11.026907,12.673138,10.842416,12.020322,5.993206,303070952
1998-10-01,11.991939,13.808470,10.686308,13.680745,6.842515,319408909
1998-11-01,13.709128,15.440509,13.098887,14.205836,7.105145,379279966
1998-12-01,14.205836,15.965599,13.922003,15.511467,7.758165,252510384
1999-01-01,15.525658,17.938238,15.326975,17.796322,8.922641,284566660
1999-02-01,18.023388,19.045185,15.014759,15.085718,7.563611,367709339
1999-03-01,15.085718,16.845482,14.390327,15.397934,7.720150,339366954
1999-04-01,15.397934,18.505903,14.787693,17.909855,8.999883,298785857
1999-05-01,17.909855,22.153156,17.484104,21.415192,10.761349,376006915
1999-06-01,21.088783,22.820164,19.442553,22.820164,11.467359,262056937
1999-07-01,22.820164,26.893166,22.366032,23.771004,11.965993,288824451
1999-08-01,23.771004,26.311308,22.706631,23.927113,12.044580,338769773
1999-09-01,23.927113,26.027475,20.095367,20.606268,10.372912,348779624
1999-10-01,20.308243,20.421776,15.213442,16.845482,8.493262,548404137
1999-11-01,16.845482,22.550522,16.306198,21.542915,10.861646,462293164
1999-12-01,21.585489,26.779633,21.585489,25.828793,13.022523,343471044
2000-01-01,25.828793,26.978315,22.933697,24.579927,12.411730,299736239
2000-02-01,24.579927,31.391916,23.614897,30.540419,15.421504,371309608
2000-03-01,30.540419,35.308811,28.156221,30.100477,15.199357,408991113
2000-04-01,30.100477,35.422344,27.460831,30.653952,15.496668,347537698
2000-05-01,30.653952,32.243416,25.701067,27.290531,13.796342,317704561
2000-06-01,28.241371,33.009766,25.885559,28.354904,14.334419,420087872
2000-07-01,28.354904,30.923592,23.387829,24.806993,16.087723,339832018
2000-08-01,24.806993,27.588556,24.296095,27.393421,17.765057,351036234
2000-09-01,27.531790,28.709696,21.344233,22.025431,14.283838,448908086
2000-10-01,22.025431,22.664055,18.704588,21.117167,13.716121,523230431
2000-11-01,20.975250,21.798365,13.851045,14.361944,9.328434,436856542
2000-12-01,14.503860,16.178474,13.226612,14.333560,9.309999,355599219
2001-01-01,14.333560,17.234331,13.510445,16.734787,10.897220,437157997
2001-02-01,16.734787,16.984558,12.724796,13.101726,8.531474,315251533
2001-03-01,13.101726,14.986376,12.534060,14.200727,9.247114,322081475
2001-04-01,14.200727,15.440509,11.889192,12.910990,8.431274,336644623
2001-05-01,12.910990,14.246140,11.353315,13.315168,8.695221,376391164
2001-06-01,13.315168,13.746594,11.548592,12.988193,8.481691,261156981
2001-07-01,12.988193,13.242507,10.649410,11.198910,7.334967,276267326
2001-08-01,11.353315,12.007266,10.449591,10.540418,6.903676,229498165
2001-09-01,9.604905,9.650318,5.676658,7.288828,4.773975,600883963
2001-10-01,7.220708,8.514986,6.743869,7.643052,5.028469,489060459
2001-11-01,7.643052,10.599455,7.547684,9.986376,6.570171,513283998
2001-12-01,9.945504,10.917348,9.123524,9.327884,6.136943,368756828
2002-01-01,9.355132,10.953678,9.173479,10.040872,6.631289,328862094
2002-02-01,9.968211,10.463215,8.596730,9.137148,6.034443,321440693
2002-03-01,9.141689,9.695731,7.947321,8.147139,5.380612,693597189
2002-04-01,8.128974,8.537693,7.520436,7.765668,5.149061,583244842
2002-05-01,7.697548,9.368756,7.384196,8.669391,5.748277,724755049
2002-06-01,8.683015,8.805631,6.357856,6.939146,4.601030,458797049
2002-07-01,6.925522,7.447775,4.881926,6.425976,4.280507,584857366
2002-08-01,6.312443,6.993642,5.404178,6.099001,4.062702,436376505
2002-09-01,5.912807,6.643960,5.181653,5.299728,3.530286,396766709
2002-10-01,5.313351,7.493188,4.959128,7.175295,4.808144,545016139
2002-11-01,7.084469,9.009991,6.562216,8.846503,5.928014,781396657
2002-12-01,9.073569,9.373297,7.797457,7.883742,5.282871,492186636
2003-01-01,8.006358,9.627611,7.615804,7.906449,5.320997,544886000
2003-02-01,7.920073,8.401453,6.762035,7.198002,4.844220,558683513
2003-03-01,7.311535,8.083560,6.439600,7.061762,4.752530,556434169
2003-04-01,7.129882,7.693006,6.902816,7.402361,5.007330,523419143
2003-05-01,7.402361,8.964578,7.361490,8.855586,5.990364,598978572
2003-06-01,8.991826,10.354223,8.955495,9.673025,6.543321,640863913
2003-07-01,9.673025,10.762943,8.978202,9.613987,6.528265,584872557
2003-08-01,9.536785,10.853769,8.673933,9.050863,6.145887,634213874
2003-09-01,9.128065,9.713896,8.673933,8.792007,5.970112,566845228
2003-10-01,8.819255,10.204360,8.819255,10.131698,6.907331,596934235
2003-11-01,10.131698,10.762943,9.536785,9.872843,6.730857,496224443
2003-12-01,9.900091,10.440509,9.845595,10.431426,7.111674,496924679
2004-01-01,10.440509,11.934605,10.381471,10.803815,7.392056,603204429
2004-02-01,10.858311,11.353315,10.108992,10.313351,7.056475,594583600
2004-03-01,10.399637,10.644868,9.564033,10.372389,7.096875,536016124
2004-04-01,10.422343,10.785649,8.937330,8.946412,6.143185,510207364
2004-05-01,9.059946,9.763851,8.723887,9.645777,6.623418,544898992
2004-06-01,9.645777,10.072661,9.391462,9.582198,6.579759,431424868
2004-07-01,9.468665,9.473206,8.828338,9.150772,6.306712,368655757
2004-08-01,8.969119,9.386921,7.302452,8.124432,5.599359,684016289
2004-09-01,8.106267,8.628520,7.983651,8.514986,5.868529,439336213
2004-10-01,8.564941,8.832879,7.988193,8.474114,5.866016,434212160
2004-11-01,8.433243,9.682107,8.401453,9.082652,6.287265,533702261
2004-12-01,9.123524,9.800182,9.082652,9.523161,6.592195,429846253
2005-01-01,9.591281,9.650318,8.578565,8.896458,6.182138,505059309
2005-02-01,8.946412,10.108992,8.882834,9.445958,6.563989,721627109
2005-03-01,9.423252,10.054496,8.887375,9.963669,6.923746,668079312
2005-04-01,9.968211,10.040872,8.996367,9.296094,6.485869,552364655
2005-05-01,9.341508,10.558583,9.137148,10.222525,7.132237,509128824
2005-06-01,10.195277,11.217075,10.163488,10.676658,7.449089,483112413
2005-07-01,10.831063,11.385104,10.467757,11.180745,7.827435,495777874
2005-08-01,11.185286,12.661217,10.744777,12.606721,8.825737,686825599
2005-09-01,12.556767,13.401453,12.361490,13.260672,9.283551,570935441
2005-10-01,13.260672,13.319709,11.594005,12.733878,8.940476,553943269
2005-11-01,12.629428,13.701181,12.570391,13.474114,9.460196,598863847
2005-12-01,13.405995,13.737511,12.874659,13.001817,9.128592,572056920
2006-01-01,13.297003,14.750227,12.883742,14.159855,9.968304,600141228
2006-02-01,14.078111,15.676658,13.551317,14.900091,10.489421,607218677
2006-03-01,15.104450,15.531335,14.532243,14.940963,10.518193,555935417
2006-04-01,14.986376,15.644868,14.509537,14.745686,10.405956,373144093
2006-05-01,14.827430,15.417802,13.851045,14.704814,10.377113,587350690
2006-06-01,14.591281,15.458674,13.169846,14.386921,10.152777,832741349
2006-07-01,14.327884,15.181653,13.614896,14.491371,10.253888,624841502
2006-08-01,14.336966,16.680290,14.214351,16.603088,11.748111,710122099
2006-09-01,16.621252,16.916439,15.508629,16.662125,11.789882,682498228
2006-10-01,16.730246,18.210718,16.666668,17.593098,12.476219,643850270
2006-11-01,17.715714,18.551317,17.325159,17.920073,12.708097,665045622
2006-12-01,17.920073,18.937330,17.806540,18.705723,13.265243,572366961
2007-01-01,18.642143,19.854677,18.642143,19.654860,13.966513,582459608
