Date,Open,High,Low,Close,Adj Close,Volume
1991-07-01,0.914063,0.945313,0.859375,0.906250,0.906250,6884800
1991-08-01,0.929688,1.054688,0.843750,1.031250,1.031250,9654400
1991-09-01,1.031250,1.148438,0.953125,1.117188,1.117188,11795200
1991-10-01,1.125000,1.671875,1.085938,1.656250,1.656250,23436800
1991-11-01,1.656250,1.812500,1.125000,1.250000,1.250000,11233600
1991-12-01,1.265625,1.546875,1.234375,1.390625,1.390625,25438400
1992-01-01,1.359375,1.640625,1.359375,1.562500,1.562500,45476800
1992-02-01,1.593750,1.593750,1.203125,1.210938,1.210938,14452800
1992-03-01,1.234375,1.453125,1.203125,1.281250,1.281250,20355200
1992-04-01,1.296875,1.343750,1.125000,1.328125,1.328125,45721600
1992-05-01,1.296875,1.562500,1.296875,1.500000,1.500000,22692800
1992-06-01,1.531250,1.546875,1.250000,1.390625,1.390625,9204800
1992-07-01,1.375000,1.546875,1.343750,1.539063,1.539063,14521600
1992-08-01,1.515625,1.562500,1.390625,1.515625,1.515625,10155200
1992-09-01,1.484375,1.703125,1.484375,1.625000,1.625000,13899200
1992-10-01,1.625000,1.718750,1.531250,1.687500,1.687500,18278400
1992-11-01,1.703125,1.906250,1.656250,1.867188,1.867188,20971200
1992-12-01,1.906250,2.062500,1.843750,2.046875,2.046875,16872000
1993-01-01,2.015625,2.109375,1.906250,2.109375,2.109375,21113600
1993-02-01,2.109375,2.250000,1.656250,2.046875,2.046875,24270400
1993-03-01,2.000000,2.281250,1.937500,2.203125,2.203125,12020800
1993-04-01,2.250000,2.281250,2.187500,2.218750,2.218750,14835200
1993-05-01,2.234375,2.515625,2.203125,2.468750,2.468750,20478400
1993-06-01,2.468750,2.515625,2.312500,2.468750,2.468750,16884800
1993-07-01,2.515625,2.875000,2.484375,2.804688,2.804688,29329600
1993-08-01,2.859375,3.000000,2.796875,2.828125,2.828125,9516800
1993-09-01,2.828125,3.062500,2.609375,3.062500,3.062500,30216000
1993-10-01,3.062500,3.390625,2.843750,3.156250,3.156250,11845600
1993-11-01,3.187500,3.406250,3.062500,3.250000,3.250000,10222400
1993-12-01,3.250000,4.000000,3.156250,3.984375,3.984375,12402400
