Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,2.074074,2.617284,1.901235,2.567901,1.671793,671798
1991-02-01,2.567901,3.012346,2.543210,3.012346,1.961142,1328908
1991-03-01,3.037037,3.456790,2.864198,2.962963,1.928992,947195
1991-04-01,2.962963,3.382716,2.913580,3.333333,2.170115,1243858
1991-05-01,3.308642,3.407407,3.283951,3.407407,2.218341,977573
1991-06-01,3.382716,3.975309,3.382716,3.703704,2.411241,919353
1991-07-01,3.703704,3.975309,3.456790,3.506173,2.282640,655091
1991-08-01,3.481481,3.481481,3.086420,3.135802,2.041517,869738
1991-09-01,3.185185,3.185185,2.987654,3.086420,2.009368,3389346
1991-10-01,3.061728,3.283951,2.987654,3.135802,2.041517,2053859
1991-11-01,3.160494,3.259259,2.938272,3.086420,2.009368,1001365
1991-12-01,3.061728,3.308642,3.061728,3.308642,2.154042,1151721
1992-01-01,3.308642,3.925926,3.283951,3.876543,2.523765,1286381
1992-02-01,3.876543,4.049383,3.802469,4.049383,2.636289,1096034
1992-03-01,4.074074,4.148148,3.703704,3.975309,2.588065,1441801
1992-04-01,3.950617,4.148148,3.876543,4.098765,2.668438,796334
1992-05-01,4.098765,4.296296,4.098765,4.148148,2.700589,592315
1992-06-01,4.123457,4.148148,3.753086,3.950617,2.571990,473853
1992-07-01,4.000000,4.000000,3.629630,3.975309,2.588065,1207408
1992-08-01,3.925926,3.925926,3.407407,3.407407,2.218341,1004909
1992-09-01,3.382716,3.703704,3.333333,3.604938,2.346940,1079326
1992-10-01,3.604938,3.950617,3.382716,3.925926,2.555914,1576466
1992-11-01,3.925926,4.246914,3.851852,4.148148,2.700589,1388140
1992-12-01,4.197531,4.691358,4.172840,4.691358,3.054240,669772
1993-01-01,4.641975,5.209877,4.296296,5.185185,3.375736,2345457
1993-02-01,5.135802,5.407407,5.111111,5.283951,3.440035,1280310
1993-03-01,5.308642,5.308642,4.987654,5.061728,3.295362,919859
1993-04-01,5.037037,5.555556,5.037037,5.259259,3.423962,2137391
1993-05-01,5.259259,5.432099,5.160494,5.209877,3.391812,540677
1993-06-01,5.234568,5.481481,4.864198,5.481481,3.568634,740644
1993-07-01,5.530864,5.851852,5.530864,5.679012,3.697236,1730364
1993-08-01,5.728395,6.320988,5.728395,6.246914,4.066958,1198297
1993-09-01,6.296296,6.469136,6.246914,6.469136,4.211632,981114
1993-10-01,6.493827,6.691358,6.345679,6.493827,4.227709,848983
1993-11-01,6.493827,6.913580,6.469136,6.617284,4.308083,1228672
1993-12-01,6.641975,7.111111,6.641975,7.061728,4.597433,2328754
1994-01-01,7.037037,7.629630,6.962963,7.506173,4.886781,1703027
1994-02-01,7.481481,7.753086,7.234568,7.358025,4.790332,887458
1994-03-01,7.308642,7.604938,6.814815,6.888889,4.484905,1886291
1994-04-01,6.839506,7.555556,6.691358,7.506173,4.886781,1392191
1994-05-01,7.555556,7.950617,7.407407,7.777778,5.063605,2741851
1994-06-01,7.827160,8.246914,7.703704,7.802469,5.079679,1240316
