Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,22.910000,24.549999,19.910000,21.610001,21.583017,23390700
2017-07-01,21.750000,23.690001,20.549999,22.959999,22.931332,16794000
2017-08-01,23.000000,24.340000,21.760000,23.490000,23.460669,16953000
2017-09-01,23.700001,27.650000,22.920000,27.520000,27.485638,9424300
2017-10-01,27.459999,30.660000,26.100000,28.850000,28.813976,14166600
2017-11-01,29.160000,32.509998,27.400000,32.410000,32.369530,30953000
2017-12-01,32.549999,34.625000,31.000999,33.930000,33.887634,13763400
2018-01-01,34.189999,38.000000,33.410000,34.580002,34.536819,12419300
2018-02-01,35.099998,35.270000,30.469999,32.009998,31.970028,17309600
2018-03-01,32.029999,33.349998,29.930000,30.680000,30.641691,13845400
2018-04-01,30.379999,33.160000,28.969999,31.629999,31.590504,17023100
2018-05-01,30.379999,35.279999,30.129999,32.869999,32.828957,44824500
2018-06-01,33.000000,33.480000,27.469999,29.389999,29.353300,37081300
2018-07-01,28.969999,29.680000,26.260000,28.610001,28.574276,30795000
2018-08-01,28.610001,29.840000,26.920000,27.959999,27.925085,24677900
2018-09-01,27.959999,29.690001,24.350000,28.340000,28.304613,34207800
2018-10-01,28.490000,28.610001,23.330000,27.059999,27.026211,33272400
2018-11-01,26.410000,28.559999,23.570000,24.750000,24.719095,45039800
2018-12-01,25.410000,26.035000,18.701000,20.450001,20.424465,30199100
2019-01-01,20.020000,25.059999,19.700001,24.670000,24.639194,31925800
2019-02-01,24.790001,27.290001,23.950001,26.850000,26.816475,28866300
2019-03-01,26.959999,28.299999,25.540001,27.809999,27.775272,28410700
2019-04-01,28.000000,34.650002,26.770000,33.750000,33.707855,39183400
2019-05-01,33.869999,36.220001,32.549999,33.970001,33.927582,44930300
2019-06-01,33.959999,35.400002,32.869999,34.599998,34.556793,23669900
2019-07-01,35.049999,35.386002,31.860001,32.970001,32.928833,28703800
2019-08-01,31.250000,32.810001,27.620001,28.680000,28.644188,32330800
2019-09-01,28.290001,32.119999,26.330000,28.290001,28.254675,30809900
2019-10-01,28.430000,33.310001,26.490000,31.830000,31.790255,47255000
2019-11-01,32.119999,34.299999,31.879999,33.869999,33.827705,20212800
2019-12-01,34.009998,37.240002,32.880001,36.680000,36.634197,21454200
2020-01-01,36.880001,37.029999,33.930000,35.310001,35.265911,19859300
2020-02-01,35.570000,38.959999,31.049999,32.790001,32.749058,45212200
2020-03-01,33.060001,34.750000,17.010000,24.799999,24.769032,236274600
2020-04-01,23.940001,30.480000,22.570000,29.080000,29.043688,76747900
2020-05-01,28.650000,31.690001,24.809999,28.200001,28.164787,63973900
2020-06-01,28.190001,35.099998,26.719999,28.120001,28.084888,115046100
2020-07-01,28.180000,32.160000,27.160000,31.590000,31.550554,61957600
2020-08-01,31.840000,36.243000,31.650000,35.060001,35.016224,44955400
2020-09-01,34.919998,37.630001,34.020000,35.599998,35.555546,53559400
2020-10-01,35.889999,38.380001,34.369999,34.939999,34.896370,46988600
2020-11-01,35.560001,45.580002,35.360001,44.270000,44.214722,45405800
2020-12-01,45.029999,46.820999,43.750000,45.560001,45.503113,41810600
2021-01-01,45.680000,47.779999,40.639999,41.840000,41.787758,34848300
2021-02-01,42.389999,48.919998,41.680000,46.340000,46.282139,42310300
2021-03-01,47.040001,51.610001,46.000000,49.209999,49.148552,53152800
2021-04-01,49.410000,52.119999,48.630001,49.410000,49.348301,47423000
2021-05-01,49.529999,51.599998,46.759998,49.639999,49.578014,49569400
2021-06-01,50.330002,50.610001,45.009998,48.810001,48.749050,47289600
2021-07-01,49.139999,49.700001,45.845001,48.869999,48.808975,44736800
2021-08-01,48.959999,53.540001,47.919998,53.020000,52.953793,63220400
2021-09-01,53.310001,55.619999,50.380001,50.410000,50.347054,65096100
2021-10-01,50.630001,55.040001,49.715000,53.759998,53.692871,35165300
2021-11-01,53.919998,62.060001,53.880001,58.340000,58.267151,44967000
2021-12-01,59.430000,62.230000,56.900002,61.869999,61.814091,40795300
