Date,Open,High,Low,Close,Adj Close,Volume
1996-02-01,2.966614,2.966614,2.647133,2.898154,1.309838,26515539
1996-03-01,2.875334,2.920974,2.510212,2.784053,1.258270,9551883
1996-04-01,2.784053,3.057895,2.647133,3.057895,1.382034,2594205
1996-05-01,3.012254,3.514297,2.920974,3.423016,1.547053,6721593
1996-06-01,3.468657,3.833778,3.377376,3.833778,1.732699,4777585
1996-07-01,3.742498,4.564022,3.742498,4.244540,1.918345,11336490
1996-08-01,4.153260,4.427101,4.153260,4.427101,2.000855,1918811
1996-09-01,4.290181,5.568107,4.290181,5.385546,2.434029,2698825
1996-10-01,5.431186,5.841948,5.202985,5.476826,2.475284,2042605
1996-11-01,5.476826,5.705027,5.476826,5.590927,2.526854,691276
1996-12-01,5.590927,5.659387,5.522466,5.522466,2.495912,737836
1997-01-01,5.522466,5.659387,5.020424,5.157345,2.330892,1788993
1997-02-01,5.111704,5.202985,4.837863,5.111704,2.310265,1683822
1997-03-01,5.066064,5.157345,3.925059,4.518382,2.042110,2049728
1997-04-01,4.518382,4.609662,4.244540,4.290181,1.938972,980497
1997-05-01,4.358641,5.111704,4.358641,5.088884,2.299952,2387150
1997-06-01,5.020424,5.476826,4.974784,5.476826,2.475284,4069328
1997-07-01,5.339906,6.252710,5.339906,5.887588,2.660930,3129368
1997-08-01,5.750667,5.887588,5.339906,5.750667,2.599048,1908404
1997-09-01,5.750667,6.617832,5.613747,6.389631,2.887830,1585225
1997-10-01,6.480911,7.256795,6.298350,7.017184,3.171457,3955391
1997-11-01,7.074234,7.074234,6.480911,6.937313,3.135360,1884305
1997-12-01,6.948723,7.074234,5.830538,6.572191,2.970342,5747123
1998-01-01,6.572191,6.595012,6.309760,6.526551,2.949714,2037678
1998-02-01,6.526551,6.526551,6.024509,6.207070,2.805322,1839388
1998-03-01,6.161429,6.868853,5.727847,6.846033,3.094106,27679536
1998-04-01,6.846033,8.078319,6.731932,7.667557,3.465397,8603157
1998-05-01,7.941398,8.215239,7.119874,7.581981,3.426722,3647550
1998-06-01,7.758837,8.397800,6.846033,8.169599,3.692299,6231896
1998-07-01,8.044088,8.306520,7.233975,7.758837,3.506653,3707256
1998-08-01,7.941398,8.352160,6.229890,6.435271,2.908459,6232074
1998-09-01,6.606422,8.215239,6.161429,8.215239,3.712926,4515025
1998-10-01,7.393715,8.420620,6.298350,8.369275,3.782544,6985434
1998-11-01,8.095434,8.352160,7.804477,8.009858,3.620103,4809720
1998-12-01,8.078319,9.926747,8.009858,9.875402,4.463246,5786564
1999-01-01,9.584446,9.926747,7.872938,8.865612,4.006866,12171283
1999-02-01,8.848497,9.173684,8.078319,8.386390,3.790280,5197536
1999-03-01,8.574656,8.899843,7.496406,8.557541,3.867631,11070278
1999-04-01,8.489081,9.070993,7.119874,7.616211,3.442193,4983544
1999-05-01,7.650442,8.146779,7.256795,7.564866,3.418987,17018615
1999-06-01,7.581981,8.215239,6.948723,7.838707,3.542751,5636843
1999-07-01,7.838707,9.070993,7.633326,8.814267,3.983660,4627864
1999-08-01,8.831382,8.831382,8.146779,8.626001,3.898573,3308485
1999-09-01,8.694462,9.413295,8.643116,9.276374,4.192513,3983692
1999-10-01,9.310605,9.310605,6.880263,8.215239,3.712926,13083490
1999-11-01,8.283700,8.762922,8.009858,8.061204,3.643310,10937721
1999-12-01,8.078319,10.816732,7.975628,10.765386,4.865480,10120093
2000-01-01,10.765386,10.765386,8.899843,9.036763,4.084219,11482926
2000-02-01,9.002533,9.550216,7.599096,8.352160,3.774808,11083426
