Date,Open,High,Low,Close,Adj Close,Volume
1995-09-01,6.700000,6.925000,6.275000,6.900000,3.359157,7538000
1995-10-01,7.000000,7.700000,6.800000,7.650000,3.724285,3365500
1995-11-01,7.625000,8.225000,7.475000,8.150000,3.967700,1386500
1995-12-01,8.150000,8.200000,7.625000,7.750000,3.772967,277500
1996-01-01,7.800000,7.975000,7.075000,7.500000,3.651258,1074000
1996-02-01,7.550000,8.800000,7.550000,8.250000,4.016384,791000
1996-03-01,8.275000,8.275000,7.775000,8.025000,3.906846,223500
1996-04-01,8.025000,8.050000,7.350000,7.400000,3.602574,868500
1996-05-01,7.450000,7.800000,7.250000,7.650000,3.724285,627500
1996-06-01,7.700000,7.800000,7.000000,7.000000,3.463810,424000
1996-07-01,7.075000,7.550000,6.650000,6.775000,3.352474,1809000
1996-08-01,6.800000,7.600000,6.700000,7.550000,3.735968,963000
1996-09-01,7.525000,7.700000,7.250000,7.400000,3.691865,304500
1996-10-01,7.450000,7.500000,7.300000,7.475000,3.729283,146000
1996-11-01,7.600000,9.175000,7.600000,8.900000,4.440214,1755500
1996-12-01,8.900000,9.000000,8.300000,8.875000,4.427742,549500
1997-01-01,8.900000,9.575000,8.600000,9.575000,4.776972,1158000
1997-02-01,9.600000,11.500000,9.600000,11.500000,5.737357,933500
1997-03-01,11.500000,11.800000,10.850000,10.850000,5.413073,1013500
1997-04-01,10.600000,11.050000,10.250000,10.975000,5.475434,656500
1997-05-01,10.950000,11.400000,10.925000,11.150000,5.586633,551500
1997-06-01,11.100000,11.750000,10.650000,11.650000,5.837152,497500
1997-07-01,11.775000,13.000000,11.775000,12.550000,6.288092,982000
1997-08-01,12.350000,12.350000,11.700000,12.075000,6.050098,768500
1997-09-01,12.175000,13.500000,12.175000,13.500000,6.809763,1614000
1997-10-01,13.450000,14.300000,12.300000,13.150000,6.633214,982500
1997-11-01,13.200000,14.500000,12.800000,14.300000,7.213307,472500
1997-12-01,14.650000,17.250000,14.550000,17.250000,8.701368,962500
1998-01-01,17.174999,18.500000,15.500000,18.062500,9.111213,555000
1998-02-01,17.987499,19.400000,17.987499,19.250000,9.710220,349000
1998-03-01,20.100000,22.000000,19.200001,21.400000,10.794739,521000
1998-04-01,21.700001,24.900000,21.200001,22.600000,11.400053,421500
1998-05-01,22.700001,22.799999,21.000000,21.225000,10.779905,4438500
1998-06-01,21.200001,21.950001,19.325001,19.650000,9.979984,2938250
1998-07-01,20.049999,23.700001,20.049999,23.000000,11.681410,2298750
1998-08-01,22.650000,22.650000,15.100000,15.100000,7.669099,2256000
1998-09-01,15.200000,16.250000,10.900000,11.600000,5.891492,1879750
1998-10-01,10.500000,15.200000,8.600000,14.650000,7.490827,1832000
1998-11-01,15.200000,16.400000,13.500000,16.049999,8.206676,505500
1998-12-01,15.325000,15.800000,13.950000,15.400000,7.874320,763000
1999-01-01,15.425000,18.400000,15.300000,16.650000,8.513469,812750
1999-02-01,17.200001,19.600000,17.000000,19.525000,9.983510,562750
1999-03-01,19.549999,21.600000,18.900000,20.475000,10.469266,584000
1999-04-01,20.100000,22.600000,19.100000,21.825001,11.159554,535500
1999-05-01,21.750000,21.750000,18.600000,18.850000,9.722899,529750
1999-06-01,18.950001,18.950001,17.025000,18.600000,9.593949,460750
1999-07-01,18.600000,20.900000,18.150000,18.500000,9.542371,293250
1999-08-01,17.850000,18.100000,15.675000,16.900000,8.717085,373250
1999-09-01,17.100000,17.700001,15.550000,16.375000,8.446284,228500
1999-10-01,16.400000,17.950001,14.400000,17.950001,9.327334,363250
1999-11-01,17.900000,20.600000,17.299999,20.150000,10.470516,991750
1999-12-01,20.400000,23.400000,20.400000,22.600000,11.743608,808250
2000-01-01,22.500000,25.400000,20.600000,21.674999,11.262953,580000
2000-02-01,21.600000,24.299999,20.900000,22.825001,11.860522,518750
2000-03-01,22.825001,29.299999,22.700001,28.400000,14.757455,730500
2000-04-01,27.700001,28.799999,23.100000,28.500000,14.809422,698000
2000-05-01,28.650000,29.975000,23.850000,26.000000,13.608027,918250
2000-06-01,26.100000,31.700001,25.750000,31.350000,16.408142,802750
2000-07-01,31.450001,36.400002,31.450001,34.875000,18.253073,860000
2000-08-01,34.799999,43.599998,34.500000,42.799999,22.400909,1811500
2000-09-01,46.400002,46.799999,38.950001,44.349998,23.212162,1298750
2000-10-01,44.549999,45.799999,37.349998,45.349998,23.805325,1187500
2000-11-01,47.049999,51.099998,31.625000,31.875000,16.731972,1663900
2000-12-01,34.250000,46.000000,33.625000,43.500000,22.834217,1067000
