Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,0.125000,0.180556,0.111111,0.166667,0.110207,1477800
1991-02-01,0.180556,0.256944,0.166667,0.229167,0.151535,11190600
1991-03-01,0.250000,0.263889,0.236111,0.250000,0.165310,2052000
1991-04-01,0.250000,0.319444,0.250000,0.298611,0.197454,4372200
1991-05-01,0.277778,0.333333,0.277778,0.305556,0.202046,4375800
1991-06-01,0.333333,0.340278,0.305556,0.326389,0.219161,2586600
1991-07-01,0.326389,0.375000,0.312500,0.354167,0.237813,7966800
1991-08-01,0.375000,0.527778,0.354167,0.500000,0.335736,4741200
1991-09-01,0.527778,0.541667,0.458333,0.500000,0.335736,4233600
1991-10-01,0.500000,0.638889,0.500000,0.611111,0.415020,5679000
1991-11-01,0.611111,0.611111,0.527778,0.555556,0.377292,3799800
1991-12-01,0.555556,0.638889,0.486111,0.625000,0.428969,5484600
1992-01-01,0.625000,0.902778,0.576389,0.902778,0.619622,9966600
1992-02-01,0.888889,0.916667,0.805556,0.833333,0.571958,5272200
1992-03-01,0.833333,1.020833,0.805556,0.979167,0.676491,9609600
1992-04-01,0.916667,1.062500,0.750000,0.979167,0.676491,4300800
1992-05-01,1.000000,1.125000,0.895833,1.062500,0.734064,3576000
1992-06-01,1.083333,1.083333,0.875000,0.958333,0.666064,3924000
1992-07-01,0.875000,0.958333,0.791667,0.833333,0.579186,2966400
1992-08-01,0.812500,0.937500,0.812500,0.833333,0.579186,3314400
1992-09-01,0.875000,0.895833,0.750000,0.833333,0.579186,3208800
1992-10-01,0.854167,1.145833,0.729167,1.125000,0.788208,12883200
1992-11-01,1.125000,1.333333,1.083333,1.250000,0.875787,10656000
1992-12-01,1.291667,1.625000,1.229167,1.583333,1.116004,9273600
1993-01-01,1.562500,1.625000,1.291667,1.458333,1.027900,8120400
1993-02-01,1.416667,1.625000,1.375000,1.520833,1.071952,4754400
1993-03-01,1.520833,1.656250,1.458333,1.562500,1.106104,7036400
1993-04-01,1.593750,1.656250,1.406250,1.531250,1.083982,2192800
1993-05-01,1.531250,1.562500,1.406250,1.531250,1.083982,2144800
1993-06-01,1.468750,1.640625,1.343750,1.640625,1.167126,3491200
1993-07-01,1.656250,1.843750,1.562500,1.593750,1.133779,4886400
1993-08-01,1.625000,1.750000,1.437500,1.750000,1.244934,5453600
1993-09-01,1.687500,1.968750,1.625000,1.812500,1.294946,3435200
1993-10-01,1.906250,2.125000,1.843750,2.062500,1.473559,5087200
1993-11-01,2.000000,2.062500,1.812500,1.937500,1.384253,6116000
1993-12-01,1.875000,1.968750,1.812500,1.921875,1.378218,3801600
1994-01-01,1.843750,1.968750,1.812500,1.906250,1.367013,5512000
1994-02-01,1.843750,1.968750,1.718750,1.906250,1.367013,3946400
1994-03-01,1.906250,1.916667,1.708333,1.729167,1.245359,2580200
1994-04-01,1.791667,1.791667,1.083333,1.156250,0.832740,11716800
1994-05-01,1.229167,1.500000,1.166667,1.479167,1.065308,5340600
1994-06-01,1.500000,1.583333,1.229167,1.333333,0.966946,3479400
1994-07-01,1.375000,1.541667,1.250000,1.458333,1.057596,1650600
1994-08-01,1.541667,1.583333,1.416667,1.458333,1.057596,2491800
1994-09-01,1.479167,1.479167,1.333333,1.416667,1.027380,1527600
1994-10-01,1.354167,1.541667,1.354167,1.437500,1.048479,1414200
1994-11-01,1.500000,1.708333,1.395833,1.687500,1.230823,4579800
1994-12-01,1.687500,1.687500,1.541667,1.625000,1.191679,1949400
1995-01-01,1.625000,1.687500,1.458333,1.625000,1.191679,4631400
1995-02-01,1.645833,1.958333,1.583333,1.750000,1.283346,6861000
1995-03-01,1.750000,1.833333,1.666667,1.708333,1.259211,2812200
1995-04-01,1.791667,1.875000,1.708333,1.854167,1.366705,3043800
1995-05-01,1.854167,1.895833,1.666667,1.875000,1.382061,2272200
1995-06-01,1.833333,2.541667,1.833333,2.437500,1.806659,7381800
1995-07-01,2.541667,3.083333,2.375000,2.750000,2.038282,5909400
1995-08-01,2.750000,3.208333,2.604167,3.041667,2.254464,11580000
1995-09-01,3.000000,3.458333,2.958333,3.375000,2.501528,6923400
1995-10-01,3.312500,3.687500,3.166667,3.625000,2.695278,9133800
1995-11-01,3.562500,4.187500,3.458333,4.020833,2.989589,8663400
1995-12-01,4.020833,4.250000,3.687500,4.125000,3.075146,5583600
1996-01-01,4.125000,4.208333,3.395833,3.854167,2.873244,6771000
1996-02-01,3.854167,3.854167,3.541667,3.729167,2.780057,5374200
1996-03-01,3.729167,4.291667,3.583333,4.062500,3.038333,5726400
1996-04-01,4.062500,5.229167,4.062500,5.229167,3.910879,8758800
1996-05-01,5.229167,5.791667,4.916667,5.479167,4.097854,6810000
1996-06-01,5.541667,5.708333,4.875000,5.666667,4.247957,6579600
1996-07-01,5.708333,6.020833,4.166667,5.166667,3.873137,9483600
1996-08-01,5.041667,5.458333,4.916667,4.916667,3.685728,3632400
1996-09-01,4.916667,5.583333,4.500000,5.291667,3.966841,6670800
1996-10-01,5.270833,6.833333,5.062500,6.729167,5.056150,11471400
1996-11-01,6.729167,6.958333,5.968750,6.333333,4.758726,9069000
1996-12-01,6.250000,6.437500,5.291667,5.958333,4.485445,6779400
1997-01-01,5.833333,6.291667,5.395833,5.989583,4.508972,7302000
1997-02-01,6.208333,6.791667,5.208333,5.500000,4.140411,3783000
1997-03-01,5.500000,5.791667,5.156250,5.562500,4.196920,2996600
1997-04-01,5.437500,5.500000,4.375000,4.750000,3.583887,4596000
1997-05-01,4.843750,5.750000,4.625000,5.593750,4.220499,3994000
1997-06-01,5.531250,6.187500,5.250000,6.062500,4.587453,3117200
1997-07-01,6.187500,7.562500,6.031250,6.625000,5.013090,7431600
1997-08-01,6.625000,6.937500,5.500000,6.250000,4.729331,7196000
1997-09-01,6.187500,7.093750,6.187500,6.593750,4.989445,3460400
1997-10-01,6.625000,7.031250,5.687500,6.437500,4.881390,4492400
1997-11-01,6.468750,6.531250,6.000000,6.312500,4.786605,2744800
1997-12-01,6.312500,6.937500,6.281250,6.812500,5.177190,3114400
1998-01-01,6.812500,8.750000,6.187500,8.593750,6.530856,6151200
1998-02-01,8.609375,9.187500,8.125000,8.625000,6.554605,6328800
1998-03-01,8.593750,9.156250,8.281250,9.000000,6.851834,3788400
1998-04-01,9.062500,9.718750,7.687500,8.687500,6.613925,3173600
1998-05-01,8.687500,9.125000,7.562500,8.156250,6.209475,3227200
1998-06-01,8.187500,8.812500,7.250000,8.593750,6.555220,3878800
1998-07-01,8.781250,10.875000,8.687500,10.140625,7.735162,5513200
1998-08-01,10.250000,11.625000,8.828125,9.906250,7.556383,10640000
1998-09-01,9.843750,12.562500,9.500000,11.937500,9.105800,11938800
