Date,Open,High,Low,Close,Adj Close,Volume
1991-12-01,4.444444,4.777778,4.277778,4.777778,0.980766,3027600
1992-01-01,4.750000,5.361111,4.694444,5.250000,1.077702,2803950
1992-02-01,5.250000,5.500000,5.222222,5.333333,1.102300,1822950
1992-03-01,5.388889,5.638889,5.194444,5.250000,1.085077,1995300
1992-04-01,5.222222,5.416667,4.916667,5.416667,1.119523,1699200
1992-05-01,5.416667,5.777778,5.361111,5.722222,1.205365,819900
1992-06-01,5.722222,5.777778,5.555556,5.638889,1.187812,1324350
1992-07-01,5.638889,6.166667,5.611111,6.027778,1.269729,7002450
1992-08-01,6.055556,6.083333,5.750000,5.833333,1.249517,1098900
1992-09-01,5.833333,6.083333,5.805556,6.055556,1.297117,806850
1992-10-01,6.027778,6.416667,6.027778,6.305556,1.350669,1714050
1992-11-01,6.305556,6.333333,6.027778,6.194444,1.347861,2545200
1992-12-01,6.222222,6.916667,6.222222,6.888889,1.498967,2031750
1993-01-01,6.888889,7.333333,6.777778,7.305556,1.589630,1822050
1993-02-01,7.250000,7.472222,7.194444,7.277778,1.606822,2074950
1993-03-01,7.277778,7.583333,6.944444,7.583333,1.674284,3513150
1993-04-01,7.611111,7.833333,7.416667,7.444444,1.643620,10788750
1993-05-01,7.444444,7.472222,6.833333,6.888889,1.542203,3309750
1993-06-01,6.888889,7.611111,6.805556,7.611111,1.703885,2362500
1993-07-01,7.583333,8.055556,7.416667,8.000000,1.790946,4243050
1993-08-01,7.944444,8.472222,7.888889,8.222222,1.865930,3979350
1993-09-01,8.250000,8.722222,8.111111,8.222222,1.865930,3782250
1993-10-01,8.194444,8.222222,7.916667,8.138889,1.847019,2778300
1993-11-01,8.138889,8.138889,7.000000,7.083333,1.628370,3752550
1993-12-01,7.111111,7.833333,7.111111,7.805556,1.794401,4326300
1994-01-01,7.777778,8.000000,7.500000,7.944444,1.826329,2602350
1994-02-01,7.944444,8.611111,7.861111,8.527778,1.988139,2454300
1994-03-01,8.527778,8.638889,7.972222,7.972222,1.858618,2436300
1994-04-01,7.916667,8.083333,7.861111,7.972222,1.858618,1863450
1994-05-01,7.972222,8.305556,7.972222,8.138889,1.924200,1457100
1994-06-01,8.138889,8.222222,7.805556,7.972222,1.884796,2501550
1994-07-01,8.000000,8.250000,7.944444,8.222222,1.943901,1329750
1994-08-01,8.222222,8.416667,8.000000,8.111111,1.944083,1661400
1994-09-01,8.111111,8.250000,8.000000,8.055556,1.930767,1984950
1994-10-01,8.055556,8.361111,8.000000,8.138889,1.950741,1662300
1994-11-01,8.138889,8.194444,7.333333,7.694444,1.869138,3272850
1994-12-01,7.638889,8.500000,7.638889,8.416667,2.044580,1524150
1995-01-01,8.472222,8.472222,7.861111,8.027778,1.978036,6897600
1995-02-01,8.027778,8.472222,8.000000,8.444444,2.080703,3342600
