Date,Open,High,Low,Close,Adj Close,Volume
2006-11-01,49.876541,50.444443,44.641975,46.839504,24.678972,15571043
2006-12-01,46.740742,48.938271,42.987656,43.925926,23.143860,16641456
2007-01-01,44.123459,46.716049,41.925926,45.802467,24.132580,13394935
2007-02-01,45.679012,46.419754,43.975307,44.518520,23.456087,9475223
2007-03-01,44.197533,45.209877,42.567902,42.765430,22.532413,8221385
2007-04-01,42.987656,47.185184,40.987656,45.160496,23.794344,18243960
2007-05-01,45.061729,49.876541,44.345680,49.753086,26.214098,12882001
2007-06-01,49.629631,49.876541,42.518520,44.617283,23.508121,12386282
2007-07-01,45.037037,45.604939,41.012344,41.382717,21.803888,13823264
2007-08-01,40.938271,45.679012,39.777779,45.209877,23.820353,15757217
2007-09-01,45.037037,47.530865,43.580246,47.382717,24.965191,10760491
2007-10-01,47.382717,49.506172,45.876541,48.666668,25.641682,14343202
2007-11-01,48.395061,50.444443,46.345680,49.234570,25.940897,11149858
2007-12-01,49.234570,52.172840,47.728394,49.679012,26.175066,11478634
2008-01-01,49.506172,49.629631,42.790123,46.666668,24.587915,16966669
2008-02-01,47.012344,47.827160,44.172840,47.061729,24.796066,11006043
2008-03-01,47.012344,47.975307,43.555557,45.901234,24.184622,12382962
2008-04-01,45.753086,48.864197,45.604939,46.913582,24.718006,18502755
2008-05-01,46.814816,49.456791,46.197533,49.209877,25.927893,15602874
2008-06-01,49.012344,54.074074,48.271606,51.382717,27.072723,26393450
2008-07-01,50.962963,53.086418,45.679012,46.641975,24.574900,16901102
2008-08-01,46.370369,50.098766,45.160496,49.506172,26.083996,23548651
2008-09-01,49.530865,51.802467,46.962963,49.950619,26.318172,26972439
2008-10-01,49.604939,50.370369,40.123459,45.604939,24.028502,24588123
2008-11-01,45.432098,47.703705,41.654320,43.950619,23.156872,21885597
2008-12-01,42.987656,48.320988,41.827160,48.098766,25.342459,18816627
2009-01-01,48.074074,50.000000,45.358025,48.740742,25.680710,14667849
2009-02-01,48.271606,50.419754,44.469135,46.691357,24.600925,12626934
2009-03-01,46.370369,46.765430,40.592594,46.098766,24.288687,23223475
2009-04-01,45.950619,46.839504,42.839504,44.691357,23.547152,18668280
2009-05-01,44.617283,45.827160,39.358025,43.135803,22.727556,16714111
2009-06-01,43.209877,46.888889,43.012344,45.802467,24.132580,21688403
2009-07-01,45.876541,46.172840,42.172840,44.666668,23.534147,17574212
2009-08-01,44.938271,45.753086,42.814816,45.654320,24.054533,13551711
2009-09-01,45.432098,45.432098,42.641975,43.308643,22.818619,19764774
2009-10-01,43.308643,46.839504,42.592594,43.728394,23.039785,23746978
2009-11-01,43.777779,46.123459,43.209877,44.000000,23.182890,16989593
2009-12-01,44.049381,48.271606,43.086418,46.765430,24.639950,50450652
2010-01-01,46.962963,47.629631,44.839504,45.259258,23.846373,23285521
2010-02-01,45.061729,48.765430,44.716049,48.641975,25.628668,30724319
2010-03-01,48.641975,48.790123,43.209877,43.703705,23.026773,31508356
2010-04-01,43.703705,45.580246,41.950619,42.987656,22.649500,42819360
2010-05-01,43.185184,44.123459,41.111111,42.444443,22.363291,33649712
2010-06-01,42.271606,44.938271,41.283951,41.333332,21.777861,37005543
