Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,4.753525,5.491650,4.310650,5.373550,2.423965,10731583
1991-02-01,5.373550,6.377400,5.284975,5.816425,2.623744,17985180
1991-03-01,5.757375,6.554550,5.668800,5.993575,2.732805,9715919
1991-04-01,6.023100,6.525025,5.993575,6.141200,2.800114,16404741
1991-05-01,6.141200,6.377400,5.757375,6.347875,2.894350,6964011
1991-06-01,6.436450,6.820275,6.082150,6.111675,2.815791,5779424
1991-07-01,6.082150,6.318350,5.757375,6.141200,2.829394,7541915
1991-08-01,6.111675,6.613600,5.284975,5.609750,2.584544,9718038
1991-09-01,5.580225,5.698325,5.078300,5.403075,2.516586,9760797
1991-10-01,5.462125,6.229775,5.137350,5.934525,2.764119,11583828
1991-11-01,5.875475,6.259300,5.491650,5.609750,2.612847,6271381
1991-12-01,5.580225,6.347875,5.019250,6.347875,2.987716,10097375
1992-01-01,6.849800,7.263150,6.495500,6.554550,3.084991,15330653
1992-02-01,6.584075,8.030800,6.554550,7.469825,3.515778,8469094
1992-03-01,7.440300,7.794600,7.026950,7.086000,3.335124,8644369
1992-04-01,7.056475,7.617450,6.436450,6.731700,3.194844,8498307
1992-05-01,6.761225,6.849800,6.288825,6.465975,3.068733,8555038
1992-06-01,6.436450,6.908850,6.318350,6.495500,3.111770,6635901
1992-07-01,6.495500,6.790750,6.347875,6.731700,3.224925,3824725
1992-08-01,6.731700,7.528875,6.643125,6.820275,3.267358,9771803
1992-09-01,6.761225,7.853650,6.702175,7.351725,3.521957,9310754
1992-10-01,7.381250,8.030800,6.790750,8.001275,3.867963,8360289
1992-11-01,8.030800,8.355575,7.676500,8.148900,3.939327,6509736
1992-12-01,8.119375,8.385100,7.676500,7.912700,3.855291,11190517
1993-01-01,7.942225,9.123225,7.942225,8.326050,4.056685,16646062
1993-02-01,8.326050,8.768925,8.148900,8.621300,4.200540,7999151
1993-03-01,8.680350,9.064175,8.207950,8.916550,4.344394,6966551
1993-04-01,8.916550,9.093700,8.473675,8.709875,4.273933,6906435
1993-05-01,8.768925,9.093700,8.001275,8.414625,4.129053,5862831
1993-06-01,8.414625,9.270850,8.326050,9.152750,4.524156,12340389
1993-07-01,9.093700,9.093700,8.591775,9.093700,4.494967,9397545
1993-08-01,9.152750,10.392800,9.123225,9.684200,4.786848,13165961
1993-09-01,9.625150,10.215650,9.359425,10.068025,5.011002,9214225
1993-10-01,10.068025,10.924250,9.802300,10.924250,5.437159,8609228
1993-11-01,10.924250,11.189975,10.304225,10.540425,5.246122,7980101
1993-12-01,10.510900,11.042350,10.510900,10.747100,5.381303,7977562
1994-01-01,10.747100,11.632850,10.392800,11.426175,5.721329,8468671
1994-02-01,11.396650,12.341450,11.042350,12.016675,6.017013,10120661
1994-03-01,11.987150,12.134775,10.540425,11.130925,5.573491,10806522
1994-04-01,10.953775,10.983300,9.920400,10.363275,5.218336,11960202
1994-05-01,10.422325,11.189975,9.861350,11.189975,5.634616,8904317
1994-06-01,11.189975,11.573800,10.422325,10.422325,5.281303,7943269
1994-07-01,10.510900,10.806150,9.772775,10.304225,5.221457,8603303
1994-08-01,10.274700,11.426175,9.979450,11.426175,5.789983,10745555
1994-09-01,11.426175,11.603325,11.160450,11.485225,5.857540,10132938
1994-10-01,11.485225,11.544275,9.831825,10.127075,5.164873,12615158
1994-11-01,10.127075,10.569950,9.300375,9.684200,4.971192,9576207
1994-12-01,9.654675,10.038500,8.916550,10.038500,5.190490,11498305
1995-01-01,9.979450,10.333750,9.566100,9.743250,5.037827,9447924
1995-02-01,9.802300,10.776625,9.772775,10.629000,5.495807,10713803
1995-03-01,10.540425,11.426175,10.274700,11.308075,5.846929,10498307
1995-04-01,11.249025,11.514750,10.953775,11.101400,5.779883,7509315
