Date,Open,High,Low,Close,Adj Close,Volume
2003-11-01,2.162500,2.243750,2.025000,2.212500,2.180438,10876800
2003-12-01,2.237500,2.312500,1.953750,2.243750,2.211235,6882400
2004-01-01,2.213750,2.553750,2.163750,2.335000,2.301163,11076800
2004-02-01,2.343750,2.503750,2.125000,2.350000,2.315945,9264000
2004-03-01,2.325000,2.390000,2.025000,2.187500,2.155800,14051200
2004-04-01,2.187500,2.312500,2.115000,2.220000,2.187829,7653600
2004-05-01,2.198750,2.387500,2.173750,2.312500,2.278989,13469600
2004-06-01,2.362500,2.525000,2.150000,2.325000,2.291308,20224000
2004-07-01,2.362500,2.391250,2.062500,2.221250,2.189061,17761600
2004-08-01,2.170000,2.367500,2.086250,2.280000,2.246960,9415200
2004-09-01,2.250000,2.375000,2.175000,2.283750,2.250655,5548000
2004-10-01,2.306250,2.381250,1.660000,2.046250,2.016597,24469600
2004-11-01,2.062500,2.277500,1.875000,2.242500,2.210003,12816800
2004-12-01,2.246250,2.615000,2.236250,2.508750,2.472395,14715200
2005-01-01,2.512500,2.512500,2.062500,2.091250,2.060945,9264800
2005-02-01,2.100000,2.312500,2.076250,2.268750,2.235873,6022400
2005-03-01,2.296250,2.522500,2.231250,2.508750,2.472395,10428000
2005-04-01,2.518750,2.637500,2.362500,2.517500,2.481018,10888800
2005-05-01,2.536250,3.187500,2.526250,3.102500,3.057541,31705600
2005-06-01,3.110000,3.507500,3.027500,3.393750,3.344570,33232800
2005-07-01,3.375000,3.918750,3.225000,3.850000,3.794209,26394400
2005-08-01,3.862500,4.037500,3.462500,3.910000,3.853339,29018400
2005-09-01,3.936250,3.983750,3.290000,3.775000,3.720295,33766400
2005-10-01,3.768750,3.842500,3.500000,3.787500,3.732614,35624000
2005-11-01,3.787500,4.361250,3.687500,4.073750,4.014716,31330400
2005-12-01,4.131250,4.456250,4.083750,4.327500,4.264789,19557600
2006-01-01,4.375000,5.770000,4.360000,5.622500,5.541023,56204000
2006-02-01,5.617500,5.617500,5.022500,5.505000,5.425226,23396400
2006-03-01,5.552500,5.752500,4.660000,5.202500,5.127109,34132400
2006-04-01,5.232500,5.590000,4.897500,5.260000,5.183776,17996400
2006-05-01,5.242500,5.910000,4.830000,4.887500,4.816673,36350800
2006-06-01,4.890000,5.170000,4.460000,4.750000,4.681166,38053600
2006-07-01,4.725000,5.722500,4.545000,5.600000,5.518849,28264800
2006-08-01,5.537500,5.735000,4.882500,5.192500,5.117254,21446000
2006-09-01,5.202500,5.850000,5.070000,5.492500,5.412907,18982400
2006-10-01,5.465000,6.372500,5.100000,5.785000,5.701168,31762800
2006-11-01,5.817500,6.250000,5.505000,5.730000,5.646965,24334400
2006-12-01,5.762500,6.077500,5.295000,5.747500,5.664211,31495600
2007-01-01,5.750000,5.752500,4.962500,5.355000,5.277399,45780800
2007-02-01,5.400000,5.735000,5.222500,5.430000,5.351312,29393200
2007-03-01,5.292500,5.610000,5.040000,5.465000,5.385806,33061600
2007-04-01,5.470000,6.107500,5.397500,5.645000,5.563197,33076000
2007-05-01,5.632500,6.515000,5.632500,6.242500,6.152038,33191200
2007-06-01,6.202500,6.322500,5.730000,6.165000,6.075661,36996000
2007-07-01,6.212500,7.460000,6.060000,7.107500,7.004504,61708000
2007-08-01,7.077500,8.895000,7.025000,7.745000,7.632765,83794000
2007-09-01,7.727500,8.860000,7.095000,8.702500,8.576390,63267200
2007-10-01,8.625000,10.447500,8.390000,9.640000,9.500304,65432800
2007-11-01,9.547500,10.307500,8.982500,9.927500,9.783638,49428800
2007-12-01,9.985000,11.830000,9.510000,10.510000,10.357697,47224600
2008-01-01,10.510000,10.925000,8.605000,8.945000,8.815374,48931200
2008-02-01,9.000000,11.510000,8.960000,10.620000,10.466103,48064400
2008-03-01,10.585000,12.500000,10.450000,11.235000,11.072190,55320000
2008-04-01,11.445000,11.495000,9.795000,10.880000,10.722335,51289800
2008-05-01,11.500000,11.625000,9.705000,11.080000,10.919436,52958800
2008-06-01,11.025000,11.025000,8.215000,9.035000,8.904071,137951400
2008-07-01,9.020000,10.800000,7.980000,10.250000,10.101464,71926600
2008-08-01,10.210000,10.755000,8.770000,9.365000,9.229289,55976000
2008-09-01,9.540000,9.645000,8.085000,8.485000,8.362041,65194000
2008-10-01,8.425000,8.450000,4.905000,5.720000,5.637109,87567200
2008-11-01,5.700000,6.100000,4.350000,5.210000,5.134501,45479600
2008-12-01,5.135000,6.010000,4.370000,5.830000,5.745516,84506600
2009-01-01,5.535000,6.770000,5.375000,5.775000,5.691313,45215200
2009-02-01,5.730000,7.030000,5.375000,6.750000,6.652184,52254600
2009-03-01,6.675000,7.605000,5.995000,7.135000,7.031605,60889800
2009-04-01,7.040000,8.715000,6.950000,8.490000,8.366968,42900800
2009-05-01,8.445000,8.825000,7.360000,7.605000,7.494794,38507400
2009-06-01,7.755000,8.775000,7.605000,8.225000,8.105809,39159000
2009-07-01,8.305000,9.210000,7.615000,8.970000,8.840014,30476200
2009-08-01,9.000000,9.120000,8.300000,8.680000,8.554216,23235400
2009-09-01,8.620000,9.615000,8.270000,9.270000,9.135666,20925400
2009-10-01,9.270000,9.860000,8.450000,8.635000,8.509868,25943800
2009-11-01,8.435000,9.305000,8.250000,8.715000,8.588709,20385400
2009-12-01,8.745000,10.035000,8.745000,9.795000,9.653059,21164000
2010-01-01,9.840000,10.290000,9.325000,9.375000,9.239144,21758000
2010-02-01,9.380000,9.650000,9.010000,9.575000,9.436246,19267400
2010-03-01,9.585000,10.450000,9.550000,10.150000,10.002913,32723600
2010-04-01,10.210000,11.000000,9.920000,10.535000,10.382334,23792200
2010-05-01,10.595000,10.690000,8.645000,9.210000,9.076535,31594600
2010-06-01,9.180000,10.075000,8.735000,9.640000,9.500304,31075600
2010-07-01,9.620000,10.545000,9.370000,9.890000,9.746681,29511200
2010-08-01,10.005000,10.260000,8.905000,9.300000,9.165232,24769200
2010-09-01,9.485000,10.545000,9.430000,10.400000,10.249290,20474800
2010-10-01,10.520000,11.120000,10.155000,10.875000,10.717408,17637600
2010-11-01,10.875000,11.465000,10.450000,10.790000,10.633638,26140200
2010-12-01,10.940000,11.630000,10.925000,11.360000,11.195379,22918600
2011-01-01,11.495000,12.395000,11.345000,12.080000,11.904945,21884000
2011-02-01,12.115000,13.150000,11.740000,11.880000,11.707844,25050000
2011-03-01,11.930000,12.190000,11.000000,12.050000,11.875380,33690800
2011-04-01,12.085000,13.015000,11.365000,12.610000,12.427264,27360400
2011-05-01,12.640000,13.635000,12.375000,13.295000,13.102338,25230400
2011-06-01,13.295000,13.350000,12.115000,13.045000,12.855962,23620800
2011-07-01,13.085000,13.875000,12.105000,12.285000,12.106974,20802000
