Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,9.259259,9.333333,8.259259,8.777778,2.351283,2492442
1991-02-01,8.777778,9.592593,8.629630,8.888889,2.381046,2700005
1991-03-01,8.851852,9.370370,8.333333,9.148148,2.450493,2143128
1991-04-01,9.074074,9.555556,8.629630,8.925926,2.399524,2141107
1991-05-01,8.962963,9.259259,7.962963,8.000000,2.150611,1676031
1991-06-01,7.962963,8.074074,7.296296,7.629630,2.058843,2688868
1991-07-01,7.666667,7.814815,7.148148,7.666667,2.068840,2340907
1991-08-01,7.592593,8.074074,7.407407,7.925926,2.138798,2761765
1991-09-01,7.925926,8.518519,7.074074,8.296296,2.247906,3822868
1991-10-01,8.259259,9.148148,8.111111,9.037037,2.448610,4379742
1991-11-01,8.962963,9.148148,8.148148,8.222222,2.227835,2500208
1991-12-01,8.185185,9.037037,7.444444,9.000000,2.438576,4208966
1992-01-01,9.000000,10.296296,8.259259,9.222222,2.508459,7280893
1992-02-01,9.222222,11.037037,9.000000,10.222222,2.780461,5904231
1992-03-01,10.111111,10.555556,10.000000,10.222222,2.780461,5329130
1992-04-01,10.222222,10.481481,9.444444,10.444444,2.849995,4163743
1992-05-01,10.444444,11.296296,8.518519,9.000000,2.455845,7199219
1992-06-01,9.037037,9.037037,8.148148,8.592593,2.344676,5121231
1992-07-01,8.629630,9.444444,8.259259,9.333333,2.556060,4786093
1992-08-01,9.259259,10.037037,8.888889,9.666667,2.647347,5548841
1992-09-01,9.703704,11.111111,9.629630,11.111111,3.053224,4276130
1992-10-01,11.037037,11.074074,10.185185,10.740741,2.951448,4085780
1992-11-01,10.666667,12.222222,10.370370,12.111111,3.328013,7758792
1992-12-01,12.074074,12.814815,11.518519,12.703704,3.500185,5374020
1993-01-01,12.555556,14.222222,11.555556,11.833333,3.260377,6618375
1993-02-01,11.944444,13.722222,11.833333,13.444444,3.704278,4166775
1993-03-01,13.444444,14.833333,13.388889,14.333333,3.949188,5748525
1993-04-01,14.333333,14.722222,13.722222,13.888889,3.836498,4000275
1993-05-01,14.000000,14.444444,12.444444,12.833333,3.544923,6622650
1993-06-01,13.000000,13.722222,12.444444,13.722222,3.800729,5020650
1993-07-01,13.666667,14.055556,12.722222,13.444444,3.723791,4925700
1993-08-01,13.388889,14.055556,12.666667,13.166667,3.646853,6062625
1993-09-01,13.277778,13.277778,12.055556,12.277778,3.409514,5586975
1993-10-01,12.333333,13.500000,11.777778,12.166667,3.378659,7208100
1993-11-01,12.111111,12.222222,10.666667,10.833333,3.008394,6903900
1993-12-01,10.888889,11.500000,10.333333,11.444444,3.188017,8267175
1994-01-01,11.333333,12.388889,11.111111,12.111111,3.373726,5554800
1994-02-01,12.166667,12.333333,11.277778,11.555556,3.218970,3955050
1994-03-01,11.611111,11.611111,9.722222,10.277778,2.872081,8192475
1994-04-01,10.166667,11.277778,10.055556,11.222222,3.136001,4385025
1994-05-01,11.222222,12.277778,11.055556,11.611111,3.244676,4171275
1994-06-01,11.611111,12.055556,11.055556,11.500000,3.223448,2318175
1994-07-01,11.444444,11.777778,11.111111,11.555556,3.239022,1715625
1994-08-01,11.555556,13.555556,11.555556,13.388889,3.752904,9213975
1994-09-01,13.333333,13.333333,12.666667,12.833333,3.606839,2607075
1994-10-01,12.777778,13.388889,12.222222,13.333333,3.747367,4096575
1994-11-01,13.388889,14.333333,13.222222,13.222222,3.716138,4795200
1994-12-01,13.277778,13.388889,12.388889,13.111111,3.694638,4005000
1995-01-01,13.166667,14.444444,12.888889,14.000000,3.945127,7053975
1995-02-01,14.111111,14.722222,13.500000,13.777778,3.882505,4607775
1995-03-01,13.888889,14.500000,13.333333,13.500000,3.814400,7651800
1995-04-01,13.500000,14.111111,12.333333,13.222222,3.735914,4972050
1995-05-01,13.166667,13.722222,12.611111,13.055556,3.688823,8654400
1995-06-01,13.111111,13.111111,12.222222,12.611111,3.573306,9257850
1995-07-01,12.611111,13.055556,12.111111,12.666667,3.589049,12524400
1995-08-01,12.722222,12.833333,12.000000,12.388889,3.510340,11274300
1995-09-01,12.388889,14.277778,12.333333,13.500000,3.836403,7494300
1995-10-01,13.500000,13.555556,12.222222,12.888889,3.662740,8114175
1995-11-01,12.944444,14.111111,12.944444,13.888889,3.946918,4882725
1995-12-01,13.888889,14.277778,13.166667,14.111111,4.020575,6975900
1996-01-01,14.055556,15.111111,14.055556,15.055556,4.289671,10028250
1996-02-01,15.388889,15.777778,14.722222,14.944444,4.258013,4932900
1996-03-01,15.000000,15.111111,13.888889,14.111111,4.031209,5666175
1996-04-01,14.222222,14.833333,13.888889,14.555556,4.158173,3569400
1996-05-01,14.666667,14.888889,13.500000,14.444444,4.126434,5921775
1996-06-01,14.444444,15.222222,13.944444,14.166667,4.047080,6430950
