Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,1.135802,1.580247,1.078189,1.555556,1.397958,75079410
1991-02-01,1.530864,1.777778,1.489712,1.753086,1.575477,72947084
1991-03-01,1.736626,1.868313,1.662551,1.843621,1.656839,45377212
1991-04-01,1.851852,1.958848,1.514403,1.547325,1.391868,73692791
1991-05-01,1.572016,1.728395,1.440329,1.687243,1.517728,62326464
1991-06-01,1.679012,1.802469,1.572016,1.711934,1.541480,51096828
1991-07-01,1.720165,1.802469,1.621399,1.777778,1.600769,40713133
1991-08-01,1.777778,1.777778,1.555556,1.604938,1.445138,52834278
1991-09-01,1.604938,1.654321,1.456790,1.604938,1.446592,58973065
1991-10-01,1.604938,1.893004,1.604938,1.860082,1.676563,47211865
1991-11-01,1.851852,1.991770,1.695473,1.901235,1.713656,50998109
1991-12-01,1.876543,2.304527,1.860082,2.246914,2.026961,69262597
1992-01-01,2.213992,2.543210,2.131687,2.156379,1.945288,69361315
1992-02-01,2.156379,2.691358,2.131687,2.592593,2.338802,95594686
1992-03-01,2.600823,2.732510,2.386831,2.477366,2.236268,49942574
1992-04-01,2.477366,2.666667,2.304527,2.600823,2.347711,50468064
1992-05-01,2.625514,2.962963,2.510288,2.839506,2.563167,80129253
1992-06-01,2.823045,3.102881,2.699588,2.823045,2.548307,55569546
1992-07-01,2.798354,3.028807,2.633745,2.930041,2.646546,43531173
1992-08-01,2.913580,3.012346,2.748971,2.798354,2.527601,26798346
1992-09-01,2.814815,3.292181,2.814815,3.094650,2.797204,34245536
1992-10-01,3.127572,3.423868,2.913580,3.325103,3.005507,29406037
1992-11-01,3.325103,3.572016,3.226337,3.522634,3.184052,27272195
1992-12-01,3.539095,3.934156,3.407407,3.884774,3.511385,32888531
1993-01-01,3.884774,4.000000,3.588477,3.901235,3.528241,38290725
1993-02-01,3.950617,4.740741,3.934156,4.477366,4.049291,56268169
1993-03-01,4.543210,4.971193,4.477366,4.971193,4.497872,31953741
1993-04-01,4.938272,5.662551,4.378601,4.855967,4.393616,82346627
1993-05-01,4.839506,5.530864,4.740741,5.432099,4.914896,43224386
1993-06-01,5.448560,5.925926,5.267490,5.744856,5.199755,48082867
1993-07-01,5.777778,6.592593,5.514403,6.518519,5.900010,45732094
1993-08-01,6.518519,7.432099,6.469136,6.962963,6.302284,42526017
1993-09-01,6.962963,7.037037,6.172840,6.839506,6.192277,41791447
1993-10-01,6.814815,7.086420,5.876543,6.148148,5.566344,73394607
1993-11-01,6.123457,7.086420,6.049383,6.864198,6.214636,69595203
1993-12-01,6.888889,7.432099,6.493827,7.382716,6.685995,51613712
1994-01-01,7.358025,7.481481,7.012346,7.358025,6.663633,31963616
1994-02-01,7.333333,7.703704,6.617284,6.740741,6.104604,47934283
1994-03-01,6.814815,7.111111,6.172840,6.469136,5.860327,49911697
1994-04-01,6.320988,6.790123,5.827160,6.172840,5.591917,53039815
1994-05-01,6.197531,6.246914,4.765432,5.506173,4.987988,132118092
1994-06-01,5.555556,5.604938,5.012346,5.185185,4.698934,69523821
1994-07-01,5.160494,5.851852,5.061728,5.358025,4.855567,99312585
1994-08-01,5.333333,5.580247,5.061728,5.234568,4.743686,42252135
1994-09-01,5.259259,5.333333,4.271605,4.444444,4.029158,115370834
1994-10-01,4.469136,4.691358,4.098765,4.666667,4.230614,105186094
1994-11-01,4.641975,4.666667,3.975309,4.172840,3.782930,70279651
1994-12-01,4.197531,4.197531,3.061728,3.308642,3.000862,155547846
1995-01-01,3.358025,3.950617,3.333333,3.827160,3.471147,103201597
1995-02-01,3.802469,3.827160,3.333333,3.481481,3.157625,84677909
1995-03-01,3.481481,3.604938,3.234568,3.530864,3.204219,59528929
1995-04-01,3.530864,4.641975,3.481481,4.567901,4.145317,83655788
1995-05-01,4.543210,4.567901,4.074074,4.370370,3.966058,81958839
1995-06-01,4.345679,5.086420,4.222222,4.716049,4.281752,84709296
1995-07-01,4.691358,5.901235,4.666667,5.679012,5.156035,102589537
1995-08-01,5.654321,5.728395,4.987654,5.111111,4.640434,81113401
1995-09-01,5.086420,5.456790,4.740741,4.962963,4.505926,61133234
1995-10-01,4.987654,5.012346,3.901235,3.950617,3.588193,79733871
1995-11-01,3.950617,5.086420,3.950617,4.938272,4.485243,53393684
1995-12-01,4.962963,5.160494,4.370370,4.543210,4.126423,51847090
1996-01-01,4.543210,5.185185,4.370370,5.185185,4.711399,82452435
1996-02-01,5.185185,6.296296,5.012346,6.074074,5.519066,108465580
