Date,Open,High,Low,Close,Adj Close,Volume
2006-01-01,12.900000,18.500000,12.770000,17.750000,17.750000,40141400
2006-02-01,17.760000,19.559999,17.250000,17.850000,17.850000,9286800
2006-03-01,17.750000,19.990000,17.500000,19.840000,19.840000,5322800
2006-04-01,19.860001,19.900000,18.870001,19.000000,19.000000,3534200
2006-05-01,19.049999,23.719999,19.049999,22.799999,22.799999,6086400
2006-06-01,22.799999,24.900000,20.360001,20.360001,20.360001,12282500
2006-07-01,20.450001,22.480000,20.440001,20.959999,20.959999,7366700
2006-08-01,20.860001,21.860001,18.170000,20.980000,20.980000,6665000
2006-09-01,21.010000,22.660000,19.700001,20.420000,20.420000,6703600
2006-10-01,20.350000,21.520000,19.600000,21.260000,21.260000,10636900
2006-11-01,21.360001,22.740000,19.840000,21.440001,21.440001,8935500
2006-12-01,22.000000,24.660000,21.230000,22.400000,22.400000,11051100
2007-01-01,22.600000,25.290001,22.580000,24.680000,24.680000,7483200
2007-02-01,24.700001,25.629999,22.830000,23.139999,23.139999,8353300
2007-03-01,22.570000,23.549999,21.070000,22.059999,22.059999,10299900
2007-04-01,22.059999,22.450001,20.160000,20.290001,20.290001,9307800
2007-05-01,20.250000,22.719999,18.750000,22.400000,22.400000,20424100
2007-06-01,22.400000,24.090000,21.879999,22.379999,22.379999,13838500
2007-07-01,22.420000,23.270000,19.510000,19.860001,19.860001,24585800
2007-08-01,20.010000,22.950001,16.850000,20.700001,20.700001,20485400
2007-09-01,20.600000,22.000000,19.459999,21.250000,21.250000,11068400
2007-10-01,21.290001,24.030001,19.040001,20.440001,20.440001,12704100
2007-11-01,20.020000,20.160000,12.860000,13.420000,13.420000,23396700
2007-12-01,13.600000,15.590000,12.500000,14.520000,14.520000,16292700
2008-01-01,14.450000,15.040000,9.260000,10.900000,10.900000,23092000
2008-02-01,10.820000,12.570000,10.170000,11.870000,11.870000,16024800
2008-03-01,11.940000,12.490000,9.760000,12.130000,12.130000,20277500
2008-04-01,12.310000,14.150000,12.100000,13.790000,13.790000,12381200
2008-05-01,13.850000,16.150000,12.640000,15.150000,15.150000,12020800
2008-06-01,15.150000,15.250000,10.230000,10.580000,10.580000,17291900
2008-07-01,10.440000,13.500000,9.600000,12.620000,12.620000,18029400
2008-08-01,12.630000,17.870001,11.870000,16.049999,16.049999,27193300
2008-09-01,16.379999,18.750000,13.390000,16.270000,16.270000,24900400
2008-10-01,16.309999,16.750000,7.450000,11.250000,11.250000,22630500
2008-11-01,11.220000,11.740000,2.730000,4.890000,4.890000,34155600
2008-12-01,4.880000,5.890000,3.500000,5.740000,5.740000,24365100
2009-01-01,5.730000,6.550000,4.660000,5.230000,5.230000,18996800
2009-02-01,5.150000,6.090000,3.190000,3.510000,3.510000,36733500
2009-03-01,3.420000,3.480000,2.470000,2.670000,2.670000,19855200
2009-04-01,2.600000,4.340000,2.550000,3.910000,3.910000,19536300
2009-05-01,3.900000,5.800000,3.850000,5.720000,5.720000,26041400
2009-06-01,5.860000,6.070000,4.440000,4.860000,4.860000,17148400
2009-07-01,4.920000,6.140000,3.980000,5.840000,5.840000,16301100
2009-08-01,5.900000,7.210000,5.590000,7.030000,7.030000,15805900
2009-09-01,7.000000,8.880000,6.580000,8.190000,8.190000,13290100
2009-10-01,8.080000,8.840000,6.590000,6.660000,6.660000,17668800
2009-11-01,6.740000,8.150000,6.330000,7.160000,7.160000,10685100
2009-12-01,7.270000,8.960000,7.080000,8.510000,8.510000,9369700
2010-01-01,8.670000,12.360000,8.590000,11.470000,11.470000,31039600
2010-02-01,11.520000,12.990000,11.050000,12.990000,12.990000,51726200
2010-03-01,12.970000,14.820000,12.380000,14.500000,14.500000,50795100
2010-04-01,14.640000,16.900000,14.200000,15.690000,15.690000,48680000
2010-05-01,15.830000,16.030001,11.030000,12.230000,12.230000,69297100
2010-06-01,12.060000,12.480000,10.410000,10.450000,10.450000,59695900
2010-07-01,10.500000,11.720000,8.440000,9.230000,9.230000,85190600
2010-08-01,9.450000,9.850000,8.170000,8.640000,8.640000,37253700
2010-09-01,8.820000,10.510000,8.770000,9.880000,9.880000,30043900
2010-10-01,10.050000,10.060000,9.290000,9.490000,9.490000,27541300
2010-11-01,9.520000,10.930000,9.030000,10.760000,10.760000,38388000
2010-12-01,11.020000,12.090000,10.870000,11.420000,11.420000,23125600
2011-01-01,11.580000,11.960000,10.140000,10.400000,10.400000,24778000
2011-02-01,10.510000,11.660000,10.160000,10.630000,10.630000,29455500
2011-03-01,10.550000,11.240000,9.820000,10.000000,10.000000,36348300
2011-04-01,10.000000,11.250000,9.700000,11.090000,11.090000,27105000
2011-05-01,11.110000,11.590000,9.900000,11.530000,11.530000,40367600
2011-06-01,11.480000,11.520000,10.060000,11.470000,11.470000,34499000
2011-07-01,11.480000,12.440000,10.840000,11.100000,11.100000,24109800
2011-08-01,11.310000,11.400000,7.940000,9.250000,9.250000,47376100
