Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,2.691406,2.964844,2.410156,2.882813,1.906283,95171200
1991-02-01,2.890625,3.523438,2.781250,3.375000,2.237357,87411200
1991-03-01,3.367188,3.750000,3.320313,3.718750,2.465236,78064000
1991-04-01,3.718750,3.902344,3.453125,3.476563,2.304684,55004800
1991-05-01,3.492188,3.765625,3.382813,3.714844,2.466869,49324800
1991-06-01,3.714844,3.714844,3.488281,3.531250,2.344953,41894400
1991-07-01,3.546875,4.000000,3.546875,3.980469,2.643258,53436800
1991-08-01,3.937500,4.250000,3.796875,4.179688,2.781774,44673600
1991-09-01,4.187500,4.507813,4.039063,4.406250,2.932560,46011200
1991-10-01,4.406250,4.953125,4.242188,4.921875,3.275733,52678400
1991-11-01,4.929688,5.218750,4.484375,4.710938,3.140745,51040000
1991-12-01,4.640625,5.890625,4.625000,5.875000,3.916818,42467200
1992-01-01,5.796875,6.171875,5.062500,5.406250,3.604307,80009600
1992-02-01,5.500000,5.562500,4.820313,5.187500,3.462806,60798400
1992-03-01,5.218750,5.250000,4.578125,4.656250,3.108182,51577600
1992-04-01,4.617188,4.750000,3.953125,4.093750,2.732697,69206400
1992-05-01,4.156250,4.968750,4.140625,4.875000,3.259491,46608000
1992-06-01,4.875000,5.156250,4.578125,5.109375,3.416197,41952000
1992-07-01,5.125000,5.312500,4.750000,4.921875,3.290832,45436800
1992-08-01,4.929688,5.242188,4.500000,5.234375,3.505758,49928000
1992-09-01,5.265625,6.312500,5.171875,6.062500,4.060400,90028800
1992-10-01,6.093750,6.218750,5.625000,6.046875,4.049937,62995200
1992-11-01,6.078125,6.531250,5.968750,6.039063,4.050673,51998400
1992-12-01,6.023438,6.195313,5.601563,5.953125,3.993033,64619200
1993-01-01,5.914063,5.968750,5.421875,5.625000,3.772943,56419200
1993-02-01,5.640625,5.734375,4.234375,4.875000,3.274697,129779200
1993-03-01,4.906250,5.007813,4.320313,4.718750,3.169740,127675200
1993-04-01,4.734375,4.734375,3.226563,4.085938,2.744657,200144000
1993-05-01,4.085938,4.437500,3.976563,4.335938,2.918306,75753600
1993-06-01,4.328125,4.437500,3.937500,4.218750,2.839431,83753600
1993-07-01,4.218750,4.218750,3.625000,3.796875,2.555487,66169600
1993-08-01,3.796875,4.250000,3.593750,4.015625,2.709644,119192000
1993-09-01,4.007813,4.312500,3.789063,4.234375,2.857254,79862400
1993-10-01,4.250000,4.710938,4.226563,4.632813,3.126109,63987200
1993-11-01,4.632813,4.890625,4.445313,4.828125,3.265992,74076800
1993-12-01,4.937500,5.335938,4.875000,5.132813,3.472097,78134400
1994-01-01,5.132813,5.281250,4.953125,5.250000,3.551368,66401600
1994-02-01,5.257813,5.468750,4.906250,4.984375,3.378681,57992000
1994-03-01,4.984375,5.210938,4.859375,5.000000,3.389270,55665600
1994-04-01,4.890625,4.898438,4.320313,4.703125,3.188033,64432000
1994-05-01,4.718750,5.273438,4.484375,5.140625,3.492017,78281600
1994-06-01,5.156250,5.351563,4.859375,5.007813,3.401798,56379200
1994-07-01,5.015625,5.593750,5.000000,5.570313,3.783903,40107200
1994-08-01,5.500000,6.234375,5.265625,6.171875,4.203296,83484800
1994-09-01,6.156250,6.625000,5.937500,6.609375,4.501249,58510400
1994-10-01,6.500000,6.890625,6.296875,6.531250,4.448046,44147200
1994-11-01,6.515625,6.734375,6.093750,6.625000,4.520847,56629600
1994-12-01,6.593750,6.984375,6.453125,6.953125,4.744756,41170400
1995-01-01,6.937500,7.484375,6.546875,7.421875,5.073933,45380000
1995-02-01,7.421875,7.593750,6.906250,7.500000,5.127344,44268000
1995-03-01,7.468750,9.000000,7.312500,8.671875,5.928490,77155200
1995-04-01,8.750000,9.562500,8.531250,9.296875,6.355764,43811200
1995-05-01,9.296875,10.093750,8.828125,9.406250,6.440009,62464000
1995-06-01,9.343750,9.968750,8.875000,9.640625,6.600476,49951200
1995-07-01,9.640625,10.453125,9.359375,10.250000,7.017687,39077600
1995-08-01,10.265625,11.859375,9.968750,11.781250,8.079572,55800000
1995-09-01,11.781250,13.609375,11.750000,13.500000,9.258287,51644000
1995-10-01,13.437500,14.968750,12.812500,14.437500,9.901218,49801200
1995-11-01,14.437500,15.000000,12.406250,13.687500,9.398478,65334400
1995-12-01,13.781250,14.468750,12.843750,13.968750,9.591599,49394000
1996-01-01,13.875000,14.343750,11.125000,14.281250,9.806174,100579200
1996-02-01,14.281250,15.656250,13.656250,14.343750,9.861418,62625600
1996-03-01,14.468750,14.968750,13.375000,14.906250,10.248140,48680400
1996-04-01,14.843750,14.937500,12.531250,13.281250,9.130948,58934000
1996-05-01,13.281250,14.562500,12.187500,14.062500,9.678771,75248400
1996-06-01,13.875000,14.468750,13.250000,14.000000,9.635748,47378000
1996-07-01,14.000000,14.062500,11.750000,11.843750,8.151670,55446400
1996-08-01,11.875000,14.343750,11.781250,13.000000,8.962654,56062400
1996-09-01,13.000000,16.218750,12.843750,16.031250,11.052499,79282400
1996-10-01,16.000000,16.875000,15.406250,16.093750,11.095592,56059200
1996-11-01,16.156250,17.468750,15.781250,16.562500,11.436010,53122000
1996-12-01,16.562500,17.250000,15.125000,17.000000,11.738091,54195600
1997-01-01,17.062500,17.687500,16.343750,17.125000,11.824402,63716400
1997-02-01,17.156250,17.937500,15.625000,16.187500,11.192462,104182000
1997-03-01,15.937500,16.937500,14.406250,15.562500,10.760324,105798000
1997-04-01,15.500000,17.625000,15.187500,17.312500,11.970323,74317600
1997-05-01,17.250000,18.750000,16.281250,18.500000,12.811094,73649200
1997-06-01,18.562500,22.218750,18.281250,20.250000,14.022958,51558000
1997-07-01,21.250000,23.125000,21.250000,21.812500,15.104970,53880000
1997-08-01,22.000000,24.125000,21.812500,22.593750,15.667268,69831200
1997-09-01,22.796875,24.625000,22.312500,23.562500,16.339025,67635000
1997-10-01,23.500000,25.468750,20.281250,21.750000,15.082172,66479200
1997-11-01,22.250000,24.468750,21.812500,23.875000,16.573769,53394800
1997-12-01,23.937500,26.375000,23.937500,26.250000,18.222483,52452200
1998-01-01,26.500000,26.500000,22.718750,25.531250,17.723526,64845800
1998-02-01,26.250000,29.437500,25.750000,26.562500,18.459684,78340200
1998-03-01,26.718750,27.593750,25.093750,25.937500,18.025339,63318000
1998-04-01,26.156250,27.843750,24.468750,26.500000,18.416248,67829800
1998-05-01,26.500000,28.062500,23.968750,27.812500,19.347677,65629800
1998-06-01,27.687500,33.000000,26.843750,31.875000,22.173746,52787200
1998-07-01,32.125000,36.375000,30.875000,30.968750,21.565277,54265200
1998-08-01,30.781250,31.125000,25.500000,25.687500,17.887644,71215800
1998-09-01,25.750000,30.000000,25.562500,29.000000,20.194336,74186200
1998-10-01,28.375000,33.625000,24.187500,32.500000,22.631573,72570800
1998-11-01,31.750000,35.000000,31.125000,33.812500,23.573725,63366600
1998-12-01,33.812500,38.375000,33.781250,37.140625,25.894060,80649600
1999-01-01,37.156250,40.187500,33.781250,39.843750,27.778643,119878600
1999-02-01,40.000000,44.625000,35.062500,35.312500,24.641602,127362400
1999-03-01,35.187500,37.656250,32.812500,35.937500,25.077721,159932600
1999-04-01,35.906250,38.406250,33.625000,35.968750,25.099535,105920000
1999-05-01,35.875000,36.468750,30.750000,35.500000,24.795740,95083600
1999-06-01,35.437500,38.937500,35.000000,38.937500,27.196737,68457200
1999-07-01,38.937500,39.718750,35.500000,36.031250,25.193544,45265400
1999-08-01,36.000000,39.156250,32.375000,39.109375,27.345808,76136200
1999-09-01,39.125000,41.062500,33.250000,35.562500,24.865789,101433900
1999-10-01,35.500000,37.312500,29.937500,34.500000,24.122873,87523600
1999-11-01,34.687500,40.187500,34.625000,38.812500,27.170078,79960400
1999-12-01,38.500000,40.562500,32.812500,36.437500,25.507500,76817600
2000-01-01,33.000000,47.500000,32.750000,45.750000,32.026566,114042300
2000-02-01,45.500000,49.937500,44.000000,48.437500,33.947273,85557800
2000-03-01,48.375000,57.875000,46.000000,51.437500,36.049797,94168800
2000-04-01,53.000000,57.687500,45.250000,51.937500,36.400227,65364500
2000-05-01,53.000000,57.250000,46.062500,51.625000,36.207130,65414100
2000-06-01,51.625000,51.750000,46.000000,49.812500,34.935951,70508000
2000-07-01,49.812500,55.000000,47.500000,51.062500,35.812637,46152900
2000-08-01,52.500000,57.125000,48.500000,51.265625,35.991962,69166600
2000-09-01,51.437500,53.250000,46.937500,51.812500,36.375893,60027700
2000-10-01,51.812500,54.875000,49.250000,54.312500,38.131065,70906200
2000-11-01,54.000000,57.437500,46.437500,53.250000,37.420498,77963000
2000-12-01,54.000000,62.000000,53.437500,60.375000,42.427490,66940800
2001-01-01,60.250000,60.812500,51.937500,54.000000,37.948246,90575100
2001-02-01,53.900002,54.700001,48.099998,51.180000,35.996742,71539900
2001-03-01,51.000000,51.099998,41.990002,45.740002,32.170616,97975100
2001-04-01,45.700001,47.500000,39.950001,44.599998,31.368797,85167200
2001-05-01,44.849998,46.400002,41.000000,42.980000,30.265516,108224200
2001-06-01,42.980000,48.910000,42.599998,46.009998,32.399197,80630900
2001-07-01,46.500000,49.189999,44.799999,48.029999,33.821625,68290100
2001-08-01,47.549999,47.650002,42.619999,45.540001,32.107918,71985000
2001-09-01,44.799999,45.650002,36.639999,43.500000,30.669603,95500200
2001-10-01,43.400002,45.450001,39.759998,40.299999,28.413464,85604400
2001-11-01,40.599998,47.410000,38.900002,47.279999,33.378437,92122100
2001-12-01,47.150002,51.680000,46.349998,51.209999,36.152920,67227000
