Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,3.218750,3.750000,3.062500,3.750000,1.972811,51985600
1991-02-01,3.750000,4.312500,3.593750,4.312500,2.268731,27649600
1991-03-01,4.250000,5.062500,4.125000,5.062500,2.663296,21474400
1991-04-01,4.968750,5.062500,4.531250,4.750000,2.507304,24242400
1991-05-01,4.750000,4.906250,4.375000,4.656250,2.457818,16880800
1991-06-01,4.625000,5.312500,4.562500,5.000000,2.639268,20517600
1991-07-01,5.062500,5.312500,5.000000,5.187500,2.748356,17000000
1991-08-01,5.156250,5.812500,5.031250,5.625000,2.980146,14003200
1991-09-01,5.625000,5.625000,4.687500,4.750000,2.516567,23329600
1991-10-01,4.687500,5.156250,4.687500,5.125000,2.725530,21477600
1991-11-01,5.125000,5.781250,5.093750,5.156250,2.742148,23618400
1991-12-01,5.156250,6.625000,5.125000,6.593750,3.506625,19884800
1992-01-01,6.500000,7.062500,5.812500,6.625000,3.535974,31455600
1992-02-01,6.562500,7.250000,6.250000,6.593750,3.519295,13028800
1992-03-01,6.625000,7.062500,6.125000,6.250000,3.335824,14861600
1992-04-01,6.187500,6.625000,5.437500,5.437500,2.912654,12404000
1992-05-01,5.562500,6.125000,5.375000,6.125000,3.280918,13520800
1992-06-01,6.125000,6.312500,5.125000,5.562500,2.979610,19463200
1992-07-01,5.562500,6.562500,5.500000,6.343750,3.413790,14108800
1992-08-01,6.437500,6.562500,6.062500,6.375000,3.430606,7732000
1992-09-01,6.312500,6.937500,6.250000,6.812500,3.666043,10001600
1992-10-01,6.812500,7.000000,6.562500,6.843750,3.696423,9594400
1992-11-01,6.812500,7.250000,6.687500,7.125000,3.848331,13517200
1992-12-01,7.125000,7.562500,7.000000,7.562500,4.084632,15348800
1993-01-01,7.437500,7.437500,6.187500,6.250000,3.388695,59958400
1993-02-01,6.187500,6.875000,6.125000,6.375000,3.456467,28023200
1993-03-01,6.500000,6.562500,5.562500,6.187500,3.354810,46930800
1993-04-01,6.187500,6.250000,5.562500,5.875000,3.201021,22473600
1993-05-01,5.750000,6.250000,5.750000,6.187500,3.371289,12675200
1993-06-01,6.187500,6.312500,5.000000,5.812500,3.166968,39593600
1993-07-01,5.750000,5.875000,5.312500,5.468750,2.994481,19592800
1993-08-01,5.562500,5.656250,5.000000,5.531250,3.028701,21432400
1993-09-01,5.562500,5.937500,5.375000,5.437500,2.977368,30560000
1993-10-01,5.437500,6.687500,5.375000,5.906250,3.250384,18830400
1993-11-01,6.000000,6.062500,5.562500,5.812500,3.198788,23632000
1993-12-01,5.937500,6.187500,5.562500,6.156250,3.387964,29586400
1994-01-01,6.125000,6.187500,5.625000,5.687500,3.146237,23364400
1994-02-01,5.687500,6.000000,5.250000,5.375000,2.973366,21204000
1994-03-01,5.437500,5.875000,5.250000,5.437500,3.007939,28768800
1994-04-01,5.375000,5.437500,5.000000,5.125000,2.850797,25185200
1994-05-01,5.125000,5.687500,5.062500,5.203125,2.894256,30133200
1994-06-01,5.187500,5.500000,5.000000,5.062500,2.816033,22098400
1994-07-01,5.000000,5.625000,4.750000,4.812500,2.684639,19474400
1994-08-01,4.781250,5.000000,4.437500,4.937500,2.754371,50858000
1994-09-01,4.937500,4.968750,4.625000,4.968750,2.771804,19358000
1994-10-01,4.906250,5.093750,4.781250,4.937500,2.771878,16080800
1994-11-01,4.937500,5.000000,4.437500,4.750000,2.666615,13811600
1994-12-01,4.718750,4.812500,4.507813,4.562500,2.561354,24219200
1995-01-01,4.562500,5.468750,4.531250,5.468750,3.091411,27958400
1995-02-01,5.500000,5.687500,5.281250,5.531250,3.126739,32486000
1995-03-01,5.500000,5.843750,5.468750,5.656250,3.197401,27002800
1995-04-01,5.593750,5.781250,5.437500,5.500000,3.126651,20987200
1995-05-01,5.500000,5.656250,5.031250,5.250000,2.984531,52070000
1995-06-01,5.187500,5.562500,5.062500,5.375000,3.055590,21152000
1995-07-01,5.375000,5.812500,5.343750,5.625000,3.197712,16941600
1995-08-01,5.625000,5.875000,5.375000,5.531250,3.163545,19474000
1995-09-01,5.500000,6.062500,5.343750,5.968750,3.413770,17353600
1995-10-01,5.968750,6.656250,5.781250,6.187500,3.559447,29315200
1995-11-01,6.218750,6.500000,5.656250,5.906250,3.397653,23439600
1995-12-01,5.906250,6.125000,5.718750,6.031250,3.469562,20635600
1996-01-01,6.000000,6.125000,5.093750,5.718750,3.309613,29692800
1996-02-01,5.718750,5.937500,5.437500,5.718750,3.309613,35014400
1996-03-01,5.687500,5.843750,5.468750,5.500000,3.183015,25196800
1996-04-01,5.500000,5.750000,5.500000,5.562500,3.239118,21989600
1996-05-01,5.562500,5.750000,5.437500,5.687500,3.311908,27698000
1996-06-01,5.687500,5.687500,5.375000,5.531250,3.220922,19890800
1996-07-01,5.468750,5.593750,4.968750,4.968750,2.912225,15244400
1996-08-01,4.968750,5.187500,4.718750,5.125000,3.003804,36948000
1996-09-01,5.125000,6.062500,5.062500,5.843750,3.425071,29456000
1996-10-01,5.875000,6.156250,5.843750,6.031250,3.556265,18723600
1996-11-01,6.031250,6.343750,5.625000,6.156250,3.629969,24823600
1996-12-01,6.156250,6.281250,5.656250,5.890625,3.473346,20910000
1997-01-01,5.937500,6.281250,5.875000,6.187500,3.671957,21755200
1997-02-01,6.187500,6.343750,5.812500,5.906250,3.505053,18656800
1997-03-01,5.968750,6.312500,5.656250,6.125000,3.634867,20635600
1997-04-01,6.093750,6.156250,5.812500,5.906250,3.526317,16518000
1997-05-01,5.968750,6.718750,5.906250,6.531250,3.899468,21941200
1997-06-01,6.531250,6.750000,6.156250,6.312500,3.768864,30026800
1997-07-01,6.312500,6.562500,6.062500,6.500000,3.903891,18007200
1997-08-01,6.484375,6.625000,5.812500,5.906250,3.547285,18408800
1997-09-01,5.953125,6.250000,5.875000,6.015625,3.612976,34259600
1997-10-01,6.031250,6.437500,5.687500,6.250000,3.776512,20086000
1997-11-01,6.250000,6.843750,6.125000,6.625000,4.028819,19874800
1997-12-01,6.750000,7.093750,6.437500,7.000000,4.256867,18996400
1998-01-01,7.000000,7.718750,6.937500,7.296875,4.462790,34166400
1998-02-01,7.296875,7.578125,7.093750,7.171875,4.386343,19524000
1998-03-01,7.171875,8.312500,7.171875,8.062500,4.931049,34553200
1998-04-01,8.093750,8.656250,7.906250,8.562500,5.263697,16704400
1998-05-01,8.625000,8.687500,8.218750,8.375000,5.148430,11985200
1998-06-01,8.375000,8.953125,7.843750,8.929688,5.489419,16986400
1998-07-01,8.937500,9.109375,8.093750,8.109375,5.007791,24599600
1998-08-01,8.062500,8.500000,7.218750,7.265625,4.486751,17953600
1998-09-01,7.250000,7.406250,6.906250,7.265625,4.486751,33514000
1998-10-01,7.250000,7.843750,6.765625,7.765625,4.823138,20662800
