Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,7.549453,7.766927,6.741693,7.766927,3.293725,68566771
1991-02-01,7.673724,7.922266,7.021302,7.673724,3.254201,84759632
1991-03-01,7.580521,7.953333,7.363047,7.704792,3.306606,68993261
1991-04-01,7.642656,8.605755,7.549453,7.797995,3.346606,90952555
1991-05-01,7.797995,8.425563,7.232563,7.642656,3.316355,232449756
1991-06-01,7.679938,7.791781,6.636063,6.710625,2.911924,46992121
1991-07-01,6.785188,7.754500,6.747906,7.568094,3.284000,55833363
1991-08-01,7.568094,9.842250,7.530813,9.767688,4.238466,130250797
1991-09-01,9.693125,9.767688,9.022063,9.208469,4.047079,58724895
1991-10-01,9.208469,9.879531,8.574688,8.910219,3.915998,66362111
1991-11-01,8.872938,9.133906,7.866344,8.052750,3.539146,41809222
1991-12-01,7.829063,8.127313,6.225969,7.307125,3.248575,97933279
1992-01-01,7.269844,7.381688,6.412375,6.859750,3.049682,116547194
1992-02-01,6.710625,7.307125,6.598781,6.822469,3.033108,54260183
1992-03-01,6.859750,6.971594,5.965000,5.965000,2.692876,57518526
1992-04-01,5.965000,6.859750,5.778594,6.859750,3.096808,56104948
1992-05-01,6.859750,7.568094,6.337813,7.046156,3.180961,49115842
1992-06-01,7.008875,7.158000,6.300531,6.486938,2.973755,36292372
1992-07-01,6.486938,6.785188,6.263250,6.412375,2.939577,47788098
1992-08-01,6.375094,6.375094,5.293938,5.704031,2.614854,67084995
1992-09-01,5.704031,5.704031,5.368500,5.592188,2.606007,43208047
1992-10-01,5.592188,5.629469,4.697438,5.107531,2.380152,66283320
1992-11-01,5.032969,5.107531,4.734719,4.921125,2.293285,52531099
1992-12-01,4.846563,5.293938,4.772000,5.144813,2.421565,56140823
1993-01-01,5.219375,5.331219,4.921125,5.070250,2.386469,46224308
1993-02-01,5.182094,5.778594,5.144813,5.629469,2.649685,33665046
1993-03-01,5.592188,6.076844,5.517625,5.815875,2.765072,41358925
1993-04-01,5.815875,6.002281,5.368500,5.517625,2.623275,29059177
1993-05-01,5.443063,5.853156,5.405781,5.592188,2.658724,34776868
1993-06-01,5.554906,5.629469,4.958406,5.032969,2.415044,36250797
1993-07-01,5.032969,5.368500,4.921125,5.256656,2.522379,30119363
1993-08-01,5.219375,6.076844,5.182094,6.039563,2.898053,42496899
1993-09-01,6.002281,6.076844,5.480344,5.965000,2.890151,28507292
1993-10-01,5.890438,6.151406,5.368500,5.517625,2.673391,31511482
1993-11-01,5.405781,5.443063,4.958406,5.032969,2.438565,35374352
1993-12-01,5.032969,5.293938,4.883844,4.921125,2.406489,46351715
1994-01-01,4.958406,5.554906,4.883844,5.517625,2.698185,43013577
1994-02-01,5.517625,5.554906,5.032969,5.144813,2.539208,22518022
1994-03-01,5.107531,5.405781,4.883844,4.921125,2.428807,34321206
1994-04-01,4.846563,5.368500,4.660156,5.032969,2.484008,41632859
1994-05-01,5.070250,5.293938,4.995688,5.107531,2.520808,30319531
1994-06-01,5.107531,5.293938,4.921125,4.995688,2.490700,29432356
1994-07-01,5.070250,5.331219,4.995688,5.182094,2.583637,24299413
1994-08-01,5.219375,5.368500,5.070250,5.144813,2.565049,34784577
1994-09-01,5.144813,5.480344,5.107531,5.293938,2.665478,36713828
1994-10-01,5.256656,5.666750,5.107531,5.629469,2.834415,58857670
1994-11-01,5.554906,5.704031,5.368500,5.368500,2.728261,52962613
1994-12-01,5.405781,5.405781,4.883844,4.883844,2.481959,41145684
1995-01-01,4.921125,5.032969,4.734719,4.772000,2.425122,44397654
1995-02-01,4.772000,4.958406,4.697438,4.846563,2.463014,34137133
1995-03-01,4.809281,5.256656,4.772000,5.219375,2.681190,38232358
1995-04-01,5.182094,5.704031,5.107531,5.592188,2.872701,61053143
1995-05-01,5.629469,5.927719,5.368500,5.927719,3.045064,54250463
1995-06-01,5.927719,6.039563,5.666750,5.890438,3.052872,52457334
1995-07-01,5.815875,6.039563,5.741313,6.002281,3.110838,35849121
1995-08-01,6.002281,6.225969,5.815875,6.151406,3.188125,38020451
1995-09-01,6.114125,6.412375,5.815875,5.890438,3.078718,32893882
1995-10-01,5.890438,5.890438,5.219375,5.293938,2.766950,48488852
1995-11-01,5.331219,5.666750,5.293938,5.480344,2.864378,59265049
1995-12-01,5.517625,6.002281,5.480344,5.815875,3.068329,51506455
1996-01-01,5.778594,6.114125,5.144813,5.592188,2.950318,50680971
1996-02-01,5.629469,5.965000,5.405781,5.517625,2.910980,54538141
1996-03-01,5.480344,6.002281,5.331219,5.741313,3.056706,47355910
1996-04-01,5.741313,6.636063,5.685391,6.561500,3.493378,66186756
1996-05-01,6.449656,6.822469,6.188688,6.524219,3.473530,70944174
1996-06-01,6.486938,6.524219,5.927719,6.002281,3.220534,54445263
1996-07-01,6.002281,6.412375,5.965000,6.114125,3.280542,44006033
1996-08-01,6.076844,6.337813,6.002281,6.225969,3.340554,43221456
1996-09-01,6.375094,6.598781,6.263250,6.449656,3.488988,63201677
1996-10-01,6.412375,7.083438,6.412375,6.524219,3.529325,79018945
1996-11-01,6.561500,7.046156,6.300531,6.822469,3.690664,66780889
1996-12-01,6.897031,7.605375,6.859750,7.120719,3.885180,83939312
1997-01-01,7.195281,8.313719,7.083438,7.940906,4.332690,78206537
1997-02-01,7.940906,8.500125,7.605375,7.940906,4.332690,56983405
1997-03-01,7.866344,8.462844,7.829063,8.313719,4.567804,64012739
1997-04-01,8.313719,8.388281,7.642656,8.239156,4.526837,58997485
1997-05-01,8.201875,8.910219,7.903625,8.910219,4.895541,52059682
1997-06-01,8.835656,9.283031,8.574688,8.611969,4.762876,56245433
1997-07-01,8.686531,9.637203,8.630609,9.599922,5.309271,47487342
1997-08-01,9.562641,9.916813,9.152547,9.711766,5.371123,53681476
1997-09-01,9.786328,11.389422,9.749047,11.091172,6.171231,57112489
1997-10-01,11.053891,11.594469,8.649250,10.662438,5.932680,59568820
1997-11-01,10.662438,11.091172,10.215063,10.215063,5.683759,39991619
1997-12-01,10.215063,10.811563,9.245750,10.065938,5.630974,60612908
1998-01-01,9.991375,10.289625,9.245750,10.010016,5.599693,69059515
