Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,0.000000,5.625000,5.250000,5.500000,2.797644,730000
1991-02-01,0.000000,6.350000,5.500000,6.300000,3.204574,961000
1991-03-01,0.000000,7.150000,6.275000,7.075000,3.618732,1038000
1991-04-01,0.000000,7.725000,7.075000,7.725000,3.951196,924000
1991-05-01,0.000000,8.600000,7.612500,8.425000,4.309231,1073000
1991-06-01,0.000000,9.175000,8.375000,8.725000,4.482536,1176000
1991-07-01,0.000000,9.437500,8.700000,9.437500,4.848585,1517000
1991-08-01,0.000000,9.962500,9.325000,9.675000,4.970606,1660000
1991-09-01,0.000000,9.800000,9.175000,9.600000,4.949982,815000
1991-10-01,0.000000,9.675000,9.000000,9.300000,4.795296,3637000
1991-11-01,9.300000,9.350000,8.550000,8.750000,4.511702,1096000
1991-12-01,8.700000,9.975000,8.700000,9.975000,5.164056,1270000
1992-01-01,9.925000,10.700000,9.900000,10.550000,5.461733,834000
1992-02-01,10.562500,13.000000,10.550000,12.850000,6.652445,806000
1992-03-01,13.025000,13.025000,12.075000,12.100000,6.285296,798000
1992-04-01,12.100000,13.200000,11.700000,12.837500,6.668386,971000
1992-05-01,12.825000,12.937500,12.550000,12.925000,6.713836,636000
1992-06-01,12.900000,12.900000,12.300000,12.650000,6.591752,812000
1992-07-01,12.700000,13.400000,12.600000,13.175000,6.865325,2344000
1992-08-01,13.137500,13.300000,12.925000,12.925000,6.735049,1163000
1992-09-01,12.975000,13.350000,12.800000,13.350000,6.977619,1870000
1992-10-01,13.375000,13.650000,13.100000,13.500000,7.056018,1430000
1992-11-01,13.500000,14.150000,13.400000,14.150000,7.395753,1105000
1992-12-01,14.100000,14.200000,13.350000,13.450000,7.050244,996000
1993-01-01,13.400000,13.900000,13.025000,13.800000,7.233709,1304000
1993-02-01,13.800000,14.500000,13.800000,14.075000,7.377859,1127000
1993-03-01,14.100000,15.050000,14.100000,14.975000,7.872117,1308000
1993-04-01,14.975000,15.900000,14.100000,15.075000,7.924690,1224000
1993-05-01,15.050000,15.050000,14.100000,14.250000,7.490995,640000
1993-06-01,14.262500,14.300000,13.312500,13.700000,7.221928,1066000
1993-07-01,13.700000,14.675000,13.612500,14.600000,7.696357,801000
1993-08-01,14.600000,14.700000,13.900000,13.900000,7.327358,751000
1993-09-01,13.850000,14.250000,13.750000,14.075000,7.445757,272000
1993-10-01,14.150000,14.700000,14.150000,14.400000,7.617684,629000
1993-11-01,14.350000,14.350000,13.225000,13.950000,7.379632,694000
1993-12-01,14.000000,14.350000,13.900000,14.075000,7.473544,603000
1994-01-01,14.000000,14.400000,13.725000,14.350000,7.619561,741000
1994-02-01,14.375000,14.375000,13.500000,13.575000,7.208051,1446000
1994-03-01,13.550000,14.125000,13.500000,13.925000,7.421124,752000
1994-04-01,13.900000,14.100000,13.675000,13.937500,7.427787,430000
1994-05-01,13.900000,15.500000,13.825000,14.950000,7.967386,1368000
1994-06-01,14.925000,15.650000,14.850000,15.650000,8.369502,551000
1994-07-01,15.600000,16.500000,15.425000,16.200001,8.663636,1639000
1994-08-01,16.100000,16.100000,15.500000,15.750000,8.422976,279000
1994-09-01,15.800000,16.075001,14.600000,15.150000,8.132792,884000
1994-10-01,15.200000,15.300000,14.875000,15.025000,8.065688,374000
1994-11-01,14.950000,15.025000,14.325000,14.550000,7.810700,567000
1994-12-01,14.625000,14.750000,13.450000,13.600000,7.331383,751000
1995-01-01,13.650000,14.825000,13.600000,14.725000,7.937837,754000
1995-02-01,14.725000,16.549999,14.725000,16.549999,8.921645,897000
1995-03-01,16.500000,17.100000,15.500000,17.100000,9.252398,1176000
1995-04-01,16.975000,16.975000,15.900000,16.049999,8.684273,948000
1995-05-01,16.049999,16.700001,16.000000,16.600000,8.981863,537000
1995-06-01,16.612499,17.250000,16.299999,17.150000,9.313320,537000
1995-07-01,17.174999,17.799999,17.000000,17.700001,9.612000,1041000
1995-08-01,17.299999,18.375000,17.200001,18.299999,9.937830,1125000
1995-09-01,18.400000,19.450001,18.325001,19.000000,10.351999,395000
1995-10-01,19.049999,20.700001,19.049999,19.674999,10.719770,438000
1995-11-01,19.674999,20.900000,19.299999,20.799999,11.332717,170000
1995-12-01,20.799999,21.799999,20.600000,21.799999,11.919278,474000
1996-01-01,21.700001,22.500000,20.900000,22.500000,12.302004,963000
1996-02-01,22.299999,24.400000,22.299999,24.100000,13.176817,1086000
1996-03-01,24.000000,24.775000,23.850000,24.600000,13.489377,733000
1996-04-01,24.674999,24.700001,23.799999,23.799999,13.050686,667000
1996-05-01,23.799999,24.100000,23.200001,23.600000,12.941025,563000
1996-06-01,23.600000,24.500000,23.200001,24.100000,13.254188,1442000
1996-07-01,24.250000,24.900000,23.900000,24.900000,13.694160,779000
1996-08-01,24.799999,25.799999,24.400000,25.450001,13.996634,374000
1996-09-01,25.200001,25.500000,24.700001,24.900000,13.731594,536000
1996-10-01,25.000000,26.200001,25.000000,25.674999,14.158980,314000
1996-11-01,25.700001,28.100000,25.700001,28.100000,15.496293,588000
1996-12-01,28.100000,28.962500,27.799999,28.799999,15.922703,555000
1997-01-01,28.549999,30.012501,28.100000,29.825001,16.489399,578000
1997-02-01,29.700001,33.500000,29.700001,32.325001,17.871582,717000
1997-03-01,32.325001,33.599998,31.375000,32.000000,17.735558,1250000
1997-04-01,31.900000,32.400002,30.299999,32.200001,17.846401,1064000
1997-05-01,32.000000,32.750000,31.700001,32.099998,17.790977,379000
1997-06-01,32.299999,34.349998,31.900000,33.700001,18.724274,547000
1997-07-01,33.799999,36.000000,33.500000,35.924999,19.960516,926000
1997-08-01,36.000000,37.099998,36.000000,36.549999,20.307783,312000
1997-09-01,36.549999,41.500000,36.549999,41.500000,23.108601,561000
