Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,32.500000,34.000000,28.000000,28.700001,18.966766,4153500
1991-02-01,28.600000,30.299999,27.500000,29.100000,19.231115,3560875
1991-03-01,29.400000,31.700001,28.000000,28.299999,18.777523,3825125
1991-04-01,28.400000,29.700001,27.500000,28.299999,18.777523,2688750
1991-05-01,28.400000,29.600000,26.400000,29.400000,19.507397,2888500
1991-06-01,29.600000,31.900000,29.299999,31.799999,21.190651,3388750
1991-07-01,32.000000,33.900002,30.799999,30.799999,20.524275,4230250
1991-08-01,30.799999,31.100000,28.200001,28.400000,18.924992,2639875
1991-09-01,28.600000,30.700001,27.799999,30.400000,20.338818,2703875
1991-10-01,30.299999,33.299999,30.100000,32.200001,21.543087,3384000
1991-11-01,32.200001,32.599998,30.100000,32.500000,21.743809,3364000
1991-12-01,32.700001,35.200001,30.299999,32.299999,21.695068,3985375
1992-01-01,32.000000,37.799999,31.600000,37.000000,24.851940,4366000
1992-02-01,36.799999,37.799999,35.200001,35.700001,23.978758,1801250
1992-03-01,35.299999,35.299999,29.700001,30.400000,20.485701,2421625
1992-04-01,30.400000,31.799999,28.900000,30.299999,20.418310,2398250
1992-05-01,30.200001,35.500000,29.700001,34.200001,23.046408,2906000
1992-06-01,34.599998,39.200001,34.299999,38.799999,26.237730,3940250
1992-07-01,38.700001,43.099998,38.700001,39.500000,26.711107,4165750
1992-08-01,39.200001,40.000000,34.200001,38.500000,26.034857,4113375
1992-09-01,38.599998,40.500000,37.200001,38.200001,25.918875,3289250
1992-10-01,38.400002,39.500000,34.900002,36.700001,24.901131,2744375
1992-11-01,36.500000,38.200001,29.200001,30.500000,20.694393,6618500
1992-12-01,30.700001,32.900002,30.600000,32.900002,22.410698,6891000
1993-01-01,32.500000,32.799999,29.600000,30.500000,20.775869,4756250
1993-02-01,30.400000,33.599998,30.000000,31.100000,21.184580,9880000
1993-03-01,30.900000,35.900002,30.500000,35.200001,24.067646,9151750
1993-04-01,35.200001,39.000000,32.099998,39.000000,26.665865,10538875
1993-05-01,39.099998,42.599998,37.500000,41.900002,28.648737,17802000
1993-06-01,42.000000,43.200001,36.099998,42.000000,28.802864,10627625
1993-07-01,41.900002,47.099998,41.299999,46.400002,31.820295,18939750
1993-08-01,46.400002,47.099998,37.099998,40.400002,27.705593,20713000
1993-09-01,40.000000,40.099998,35.799999,37.900002,26.068008,15246875
1993-10-01,38.099998,43.400002,37.599998,41.900002,28.819254,10512375
1993-11-01,41.400002,45.500000,40.599998,41.500000,28.544115,11963000
1993-12-01,41.599998,46.299999,41.599998,46.099998,31.793585,8319250
1994-01-01,46.099998,48.000000,42.400002,42.900002,29.586643,13273250
1994-02-01,43.099998,45.000000,40.900002,43.400002,29.931490,9888625
1994-03-01,43.299999,47.200001,40.599998,45.900002,31.747244,13234750
1994-04-01,45.599998,45.599998,37.625000,41.250000,28.589649,9558200
1994-05-01,41.250000,42.375000,38.875000,41.250000,28.589649,8764600
1994-06-01,41.125000,41.875000,38.375000,40.250000,27.978970,7207100
1994-07-01,40.250000,41.000000,39.125000,39.500000,27.457619,4108500
1994-08-01,39.625000,43.000000,38.250000,42.875000,29.803680,6527500
1994-09-01,42.750000,46.750000,42.625000,45.000000,31.378300,9437600
1994-10-01,45.000000,45.500000,40.125000,41.375000,28.850618,7727500
1994-11-01,41.375000,42.000000,36.500000,36.625000,25.538460,6741300
1994-12-01,36.625000,37.000000,33.875000,36.000000,25.178658,10060500
1995-01-01,36.000000,37.500000,33.250000,34.375000,24.042128,8778000
1995-02-01,34.500000,37.375000,33.125000,36.125000,25.266083,7901800
1995-03-01,35.875000,43.875000,35.250000,42.750000,30.003281,13536700
1995-04-01,42.875000,44.375000,41.500000,41.875000,29.389179,8375400
1995-05-01,42.125000,43.000000,38.250000,41.750000,29.301441,9064600
1995-06-01,41.500000,45.250000,41.375000,41.875000,29.472652,7784900
1995-07-01,41.875000,46.250000,41.625000,42.750000,30.088495,8447300
1995-08-01,42.750000,45.875000,42.750000,43.500000,30.700315,6521100
1995-09-01,43.375000,45.750000,42.125000,42.500000,29.994560,6515200
1995-10-01,42.625000,42.625000,36.625000,37.750000,26.642223,9302900
1995-11-01,37.875000,43.625000,37.625000,43.125000,30.435661,13801000
1995-12-01,43.000000,46.000000,42.500000,45.375000,32.119358,8985500
1996-01-01,45.625000,57.125000,45.625000,56.000000,39.640438,26915100
1996-02-01,56.625000,60.750000,53.000000,56.875000,40.259800,18722300
1996-03-01,56.875000,60.000000,52.750000,56.625000,40.164352,12121800
1996-04-01,56.375000,60.500000,54.000000,57.875000,41.050991,10687900
1996-05-01,58.000000,60.250000,56.125000,60.250000,42.735584,10852700
1996-06-01,60.375000,60.375000,48.750000,49.375000,35.095638,12832200
1996-07-01,50.250000,53.750000,46.000000,48.125000,34.207130,11319300
1996-08-01,49.000000,54.750000,48.625000,52.875000,37.677860,10027000
1996-09-01,52.750000,54.125000,46.500000,47.250000,33.669571,8892800
1996-10-01,47.500000,49.000000,44.875000,46.250000,32.957001,11622500
1996-11-01,46.250000,53.125000,45.875000,47.875000,34.114933,13766800
1996-12-01,47.500000,48.625000,43.875000,44.750000,31.888107,12847500
1997-01-01,44.625000,44.625000,39.000000,39.875000,28.487206,18011700
1997-02-01,40.000000,47.500000,38.250000,47.500000,33.934586,21014800
1997-03-01,47.250000,47.375000,38.562500,38.750000,27.767845,20230600
1997-04-01,38.875000,39.625000,33.500000,34.625000,24.811914,18126400
1997-05-01,34.625000,39.875000,34.500000,39.125000,28.036564,19431600
1997-06-01,39.125000,39.375000,36.500000,39.000000,27.946983,16685700
1997-07-01,39.250000,41.750000,35.250000,41.250000,29.651445,23417700
1997-08-01,41.250000,43.750000,39.875000,42.312500,30.508913,12936500
1997-09-01,42.187500,45.875000,39.500000,44.937500,32.401642,14789400
1997-10-01,45.250000,45.625000,32.875000,35.000000,25.236317,23755300
1997-11-01,35.500000,35.687500,29.625000,30.000000,21.631144,19616700
