Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,4.937500,5.208333,4.500000,5.166667,2.811877,9501600
1991-02-01,5.250000,5.750000,5.125000,5.583333,3.038642,15590400
1991-03-01,5.666667,6.333333,5.500000,6.208333,3.378788,8072400
1991-04-01,6.250000,6.625000,6.041667,6.541667,3.582490,9301800
1991-05-01,6.458333,6.625000,6.000000,6.416667,3.514035,9417600
1991-06-01,6.333333,6.562500,6.166667,6.333333,3.468398,7002600
1991-07-01,6.250000,7.416667,6.250000,7.416667,4.083952,13458600
1991-08-01,7.416667,8.000000,7.166667,7.958333,4.382219,10072800
1991-09-01,8.000000,8.208333,7.625000,8.208333,4.519880,8362200
1991-10-01,8.166667,8.666667,7.750000,8.125000,4.476141,12521400
1991-11-01,8.250000,8.250000,7.500000,7.833333,4.315459,9275400
1991-12-01,7.791667,8.416667,7.625000,8.312500,4.579438,11426400
1992-01-01,8.250000,8.875000,8.166667,8.458333,4.683444,12991800
1992-02-01,8.458333,8.875000,8.291667,8.791667,4.868014,9590400
1992-03-01,8.791667,8.916667,8.250000,8.458333,4.683444,8131200
1992-04-01,8.375000,10.000000,8.375000,9.958333,5.539210,10711200
1992-05-01,9.958333,9.958333,9.625000,9.916667,5.516029,9448800
1992-06-01,9.916667,10.041667,9.375000,9.833333,5.469676,11791800
1992-07-01,9.750000,10.000000,9.541667,9.708333,5.422493,13186200
1992-08-01,9.708333,9.833333,9.416667,9.708333,5.422493,6190200
1992-09-01,9.708333,9.916667,9.645833,9.708333,5.422493,7519800
1992-10-01,9.666667,9.708333,9.291667,9.500000,5.327797,6093600
1992-11-01,9.500000,10.791667,9.416667,10.708333,6.005455,9474000
1992-12-01,10.708333,10.750000,10.062500,10.500000,5.888620,6994000
1993-01-01,10.500000,11.000000,10.000000,11.000000,6.195692,8080800
1993-02-01,10.875000,11.687500,10.875000,11.687500,6.582920,8802800
1993-03-01,11.687500,12.468750,11.562500,12.406250,6.987756,13871200
1993-04-01,12.250000,12.625000,10.750000,11.125000,6.290338,25833600
1993-05-01,11.218750,11.281250,10.250000,10.687500,6.042966,11797600
1993-06-01,10.500000,10.625000,9.937500,10.500000,5.936950,14664400
1993-07-01,10.625000,11.125000,10.000000,10.437500,5.927879,10328800
