Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,0.312500,1.125000,0.312500,1.062500,1.062500,693800
1991-02-01,1.125000,2.250000,0.750000,1.375000,1.375000,1529800
1991-03-01,1.250000,1.625000,1.250000,1.375000,1.375000,685700
1991-04-01,1.375000,1.625000,1.250000,1.375000,1.375000,601600
1991-05-01,1.375000,1.500000,1.125000,1.250000,1.250000,350600
1991-06-01,1.375000,1.375000,0.750000,1.125000,1.125000,416800
1991-07-01,1.125000,1.250000,0.750000,0.812500,0.812500,257800
1991-08-01,0.812500,1.125000,0.750000,0.875000,0.875000,347700
1991-09-01,0.875000,1.000000,0.625000,0.625000,0.625000,254400
1991-10-01,0.750000,0.812500,0.500000,0.500000,0.500000,509200
1991-11-01,0.500000,1.000000,0.500000,0.687500,0.687500,1031100
1991-12-01,0.687500,1.125000,0.500000,0.875000,0.875000,1028900
1992-01-01,0.875000,2.125000,0.812500,1.625000,1.625000,2591400
1992-02-01,1.625000,1.875000,1.250000,1.500000,1.500000,1753500
1992-03-01,1.500000,1.625000,1.125000,1.125000,1.125000,983500
1992-04-01,1.125000,1.125000,0.375000,0.687500,0.687500,2499600
1992-05-01,0.687500,0.750000,0.562500,0.750000,0.750000,548700
1992-06-01,0.750000,0.812500,0.562500,0.562500,0.562500,478100
1992-07-01,0.625000,0.625000,0.500000,0.625000,0.625000,281300
1992-08-01,0.562500,0.625000,0.500000,0.562500,0.562500,390200
1992-09-01,0.625000,0.625000,0.500000,0.625000,0.625000,234200
1992-10-01,0.562500,0.562500,0.437500,0.500000,0.500000,339900
1992-11-01,0.500000,0.812500,0.250000,0.500000,0.500000,585500
1992-12-01,0.500000,0.625000,0.500000,0.500000,0.500000,932300
1993-01-01,0.500000,1.000000,0.500000,0.750000,0.750000,1035900
1993-02-01,0.750000,0.750000,0.625000,0.625000,0.625000,431300
1993-03-01,0.625000,0.750000,0.625000,0.687500,0.687500,389800
1993-04-01,0.625000,0.687500,0.500000,0.625000,0.625000,356900
1993-05-01,0.687500,0.687500,0.437500,0.562500,0.562500,954100
1993-06-01,0.500000,0.562500,0.375000,0.375000,0.375000,672600
1993-07-01,0.375000,0.437500,0.312500,0.375000,0.375000,1440700
1993-08-01,0.375000,0.500000,0.375000,0.500000,0.500000,1870100
1993-09-01,0.437500,0.500000,0.375000,0.375000,0.375000,1312500
1993-10-01,9.750000,11.125000,9.375000,10.125000,10.125000,666400
1993-11-01,10.000000,10.250000,8.500000,8.875000,8.875000,522800
1993-12-01,8.875000,10.125000,8.875000,9.750000,9.750000,406200
1994-01-01,9.875000,11.250000,9.625000,11.000000,11.000000,1317400
1994-02-01,10.750000,10.750000,9.375000,9.500000,9.500000,389200
1994-03-01,9.375000,9.500000,7.500000,7.500000,7.500000,608400
1994-04-01,7.250000,8.750000,7.000000,7.500000,7.500000,1234900
1994-05-01,7.500000,8.125000,6.875000,7.000000,7.000000,846100
1994-06-01,7.000000,7.000000,5.750000,6.250000,6.250000,1797700
1994-07-01,6.125000,6.750000,5.875000,6.125000,6.125000,1469900
1994-08-01,6.250000,6.250000,5.500000,5.875000,5.875000,390600
1994-09-01,5.875000,6.250000,5.625000,5.875000,5.875000,618800
1994-10-01,5.625000,6.000000,5.125000,6.000000,6.000000,572300
