Date,Open,High,Low,Close,Adj Close,Volume
1991-11-01,1.272977,1.294925,1.031550,1.141289,1.118147,6856017
1991-12-01,1.185185,1.492455,1.152263,1.448560,1.419188,4061896
1992-01-01,1.448560,1.536351,1.338820,1.437586,1.408436,3905847
1992-02-01,1.470508,1.591221,1.448560,1.547325,1.515950,2534415
1992-03-01,1.536351,1.580247,1.426612,1.536351,1.505198,2533277
1992-04-01,1.492455,1.646091,1.470508,1.558299,1.526701,5896926
1992-05-01,1.558299,1.580247,1.360768,1.470508,1.440691,4077844
1992-06-01,1.470508,1.481481,1.207133,1.426612,1.397684,4512966
1992-07-01,1.426612,1.536351,1.294925,1.404664,1.376182,1109449
1992-08-01,1.382716,1.426612,1.338820,1.371742,1.343927,2453541
1992-09-01,1.360768,1.426612,1.316872,1.426612,1.397684,6186249
1992-10-01,1.404664,1.711934,1.360768,1.602195,1.569707,2351026
1992-11-01,1.536351,1.733882,1.536351,1.668038,1.634215,4992511
1992-12-01,1.733882,1.931413,1.689986,1.909465,1.870747,1951214
1993-01-01,1.909465,1.909465,1.711934,1.733882,1.698724,7056494
1993-02-01,1.777778,1.865569,1.755830,1.799726,1.763233,3165454
1993-03-01,1.810700,1.810700,1.646091,1.711934,1.677221,1823637
1993-04-01,1.657064,1.777778,1.646091,1.711934,1.677221,345135
1993-05-01,1.711934,1.755830,1.404664,1.437586,1.408436,2517326
1993-06-01,1.437586,1.437586,1.360768,1.382716,1.354679,722166
1993-07-01,1.382716,1.580247,1.382716,1.580247,1.548204,1540011
1993-08-01,1.558299,1.711934,1.558299,1.580247,1.548204,992124
1993-09-01,1.580247,1.646091,1.580247,1.646091,1.612713,713052
1993-10-01,1.602195,1.755830,1.580247,1.689986,1.655718,3558432
1993-11-01,1.733882,1.755830,1.668038,1.755830,1.720227,1173236
1993-12-01,1.755830,1.777778,1.558299,1.722908,1.687973,2018418
1994-01-01,1.689986,1.777778,1.448560,1.558299,1.526701,627623
1994-02-01,1.558299,1.558299,1.470508,1.558299,1.526701,721025
1994-03-01,1.492455,1.558299,1.448560,1.448560,1.419188,1287140
1994-04-01,1.448560,1.843621,1.448560,1.777778,1.741730,1030852
1994-05-01,1.821674,2.019204,1.799726,1.799726,1.763233,1862365
1994-06-01,1.799726,1.865569,1.689986,1.755830,1.720227,5764793
1994-07-01,1.755830,1.777778,1.689986,1.733882,1.698724,2128906
1994-08-01,1.799726,2.041152,1.580247,1.755830,1.720227,4042532
1994-09-01,1.755830,1.777778,1.668038,1.668038,1.634215,373613
1994-10-01,1.689986,1.689986,1.558299,1.602195,1.569707,1727958
1994-11-01,1.624143,1.624143,1.360768,1.426612,1.397684,1674422
1994-12-01,1.360768,1.426612,1.294925,1.426612,1.397684,1047937
1995-01-01,1.404664,1.558299,1.404664,1.492455,1.462193,5329672
1995-02-01,1.536351,1.558299,1.492455,1.558299,1.526701,4883161
1995-03-01,1.558299,1.580247,1.393690,1.404664,1.376182,7015485
1995-04-01,1.426612,1.470508,1.360768,1.404664,1.376182,750642
1995-05-01,1.415638,1.415638,1.152263,1.207133,1.182656,1995639
1995-06-01,1.152263,1.207133,0.965706,1.119342,1.096645,3477557
1995-07-01,1.053498,1.426612,1.053498,1.075446,1.053639,1521787
1995-08-01,1.075446,1.141289,0.932785,0.965706,0.946124,5100722
1995-09-01,1.009602,1.031550,0.834019,1.009602,0.989130,9655832
1995-10-01,0.834019,0.987654,0.834019,0.877915,0.860114,115043
1995-11-01,0.877915,1.207133,0.877915,0.877915,0.860114,968204
1995-12-01,0.899863,0.987654,0.658436,0.702332,0.688091,1250693
1996-01-01,0.658436,0.844993,0.658436,0.790123,0.774102,1075274
1996-02-01,0.790123,1.053498,0.790123,0.965706,0.946124,513717
1996-03-01,0.921811,1.097394,0.921811,0.987654,0.967627,225534
1996-04-01,1.053498,1.075446,0.965706,1.053498,1.032136,521691
1996-05-01,1.075446,1.075446,0.921811,1.075446,1.053639,1110589
1996-06-01,1.009602,1.075446,0.812071,0.834019,0.817108,943144
1996-07-01,0.899863,0.899863,0.658436,0.834019,0.817108,525108
1996-08-01,0.790123,0.866941,0.746228,0.812071,0.795605,3198488
1996-09-01,0.779150,0.921811,0.779150,0.812071,0.795605,346274
1996-10-01,0.812071,0.921811,0.746228,0.812071,0.795605,1033130
1996-11-01,0.834019,0.834019,0.746228,0.790123,0.774102,3615383
1996-12-01,0.834019,0.987654,0.768176,0.932785,0.913871,6144104
1997-01-01,0.899863,0.987654,0.834019,0.888889,0.870865,12764333
1997-02-01,0.877915,1.031550,0.877915,0.987654,0.967627,513717
1997-03-01,0.987654,1.086420,0.987654,1.086420,1.064391,1070720
1997-04-01,1.119342,1.229081,1.031550,1.119342,1.096645,590036
1997-05-01,1.119342,1.207133,1.075446,1.141289,1.118147,1905652
1997-06-01,1.086420,1.251029,1.086420,1.218107,1.193407,1305366
1997-07-01,1.218107,1.470508,1.185185,1.448560,1.419188,4730527
1997-08-01,1.448560,1.470508,1.349794,1.448560,1.419188,2353303
1997-09-01,1.404664,1.733882,1.404664,1.689986,1.655718,3487812
1997-10-01,1.668038,1.689986,1.272977,1.360768,1.333176,1787189
1997-11-01,1.360768,1.448560,1.294925,1.448560,1.419188,552445
1997-12-01,1.327846,1.382716,1.229081,1.338820,1.311673,697105
1998-01-01,1.240055,1.470508,1.207133,1.338820,1.311673,3162038
1998-02-01,1.360768,1.514403,1.316872,1.492455,1.462193,931754
1998-03-01,1.492455,1.602195,1.470508,1.503429,1.472944,1132228
1998-04-01,1.602195,1.777778,1.470508,1.602195,1.569707,1543431
1998-05-01,1.624143,1.624143,1.404664,1.448560,1.419188,1042241
1998-06-01,1.448560,1.492455,1.360768,1.362140,1.334520,254012
1998-07-01,1.360768,1.514403,1.360768,1.360768,1.333176,874798
1998-08-01,1.360768,1.393690,1.163237,1.163237,1.139650,787095
1998-09-01,1.064472,1.272977,0.921811,1.229081,1.204159,918085
1998-10-01,1.229081,1.240055,0.877915,1.097394,1.075142,763170
1998-11-01,0.702332,1.305898,0.702332,1.141289,1.118147,1120838
1998-12-01,1.053498,1.091907,0.823045,0.998628,0.978379,668627
1999-01-01,1.009602,1.042524,0.921811,0.965706,0.946124,1362319
1999-02-01,0.921811,1.042524,0.910837,0.965706,0.946124,7799160
1999-03-01,0.965706,1.053498,0.965706,0.998628,0.978379,1183485
1999-04-01,1.042524,1.086420,0.713306,0.987654,0.967627,1348651
1999-05-01,0.987654,1.130316,0.987654,1.053498,1.032136,948837
1999-06-01,1.053498,1.119342,0.965706,1.042524,1.021385,1053633
1999-07-01,1.020576,1.316872,1.020576,1.316872,1.290170,672047
1999-08-01,1.294925,1.316872,1.163237,1.229081,1.204159,683439
1999-09-01,1.229081,1.305898,1.119342,1.294925,1.268668,214143
1999-10-01,1.163237,1.294925,0.855967,1.102881,1.080518,429426
1999-11-01,1.102881,1.146776,0.888889,1.119342,1.096645,218702
1999-12-01,1.119342,1.119342,0.883402,0.943759,0.924623,371335
2000-01-01,0.943759,1.119342,0.943759,1.042524,1.021385,779118
2000-02-01,1.058985,1.141289,1.031550,1.075446,1.053639,729001
2000-03-01,1.075446,1.119342,1.048011,1.048011,1.026760,382728
2000-04-01,1.048011,1.097394,0.877915,0.965706,0.946124,771145
2000-05-01,0.960219,0.965706,0.779150,0.779150,0.763351,574086
2000-06-01,0.812071,1.031550,0.779150,0.855967,0.838611,1322450
2000-07-01,0.877915,0.877915,0.768176,0.855967,0.838611,587756
2000-08-01,0.855967,0.965706,0.795610,0.812071,0.795605,1382821
2000-09-01,0.812071,0.965706,0.779150,0.888889,0.870865,1150452
2000-10-01,0.888889,0.916324,0.746228,0.834019,0.817108,1415855
2000-11-01,0.834019,0.921811,0.790123,0.899863,0.881617,1799718
2000-12-01,0.877915,0.910837,0.823045,0.834019,0.817108,390699
2001-01-01,0.877915,0.932785,0.812071,0.866941,0.849362,2958144
2001-02-01,0.839506,0.921811,0.839506,0.899863,0.881617,816708
2001-03-01,0.883402,0.943759,0.823045,0.877915,0.860114,882775
2001-04-01,0.877915,0.897229,0.751495,0.860357,0.842912,848601
2001-05-01,0.820850,0.991166,0.820850,0.987654,0.967627,1174374
2001-06-01,0.952538,1.185185,0.807682,0.855967,0.838611,530803
2001-07-01,0.901619,1.053498,0.858601,1.013992,0.993431,410062
2001-08-01,0.948148,1.312483,0.948148,1.050864,1.029556,456764
2001-09-01,1.097394,1.136900,0.873525,1.051742,1.030416,531941
2001-10-01,1.051742,1.097394,0.899863,1.074568,1.052779,582063
2001-11-01,1.093004,1.101783,0.921811,1.097394,1.075142,493215
2001-12-01,1.097394,1.173772,0.949904,1.113196,1.090624,711915
2002-01-01,1.170261,1.229081,1.098272,1.200988,1.176636,632180
2002-02-01,1.200988,1.211523,1.098272,1.132510,1.109546,662934
2002-03-01,1.150069,1.373937,1.132510,1.236104,1.211040,1225632
2002-04-01,1.224691,1.307215,1.185185,1.255418,1.229962,796205
2002-05-01,1.255418,1.395885,1.207133,1.220302,1.195558,1120838
2002-06-01,1.225569,1.447682,1.198354,1.321262,1.294471,760894
2002-07-01,1.321262,1.426612,1.185185,1.316872,1.290170,1227910
2002-08-01,1.343210,1.514403,1.316872,1.343210,1.315974,511438
2002-09-01,1.400274,1.711056,1.383594,1.621509,1.588630,1108311
2002-10-01,1.613608,2.142112,1.602195,2.049931,2.008364,3087999
2002-11-01,2.048176,2.194787,1.932291,2.169328,2.125340,41087125
2002-12-01,2.193032,2.518738,2.093827,2.493278,2.442722,9597741
2003-01-01,2.459040,2.915556,2.453772,2.724170,2.668932,27839825
2003-02-01,2.674129,2.760165,2.282579,2.435336,2.385955,13337282
2003-03-01,2.434458,2.786502,2.296626,2.765432,2.709357,17082520
