Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,3.228419,3.228419,2.954824,3.036902,0.690980,3958865
1991-02-01,3.064262,3.255778,2.900105,3.036902,0.701314,3894904
1991-03-01,2.982184,3.255778,2.818027,2.818027,0.650770,4184565
1991-04-01,2.818027,3.173700,2.818027,3.146340,0.726587,5812885
1991-05-01,3.173700,3.310497,3.173700,3.310497,0.776245,6102545
1991-06-01,3.310497,3.337857,3.118981,3.118981,0.731338,5149497
1991-07-01,3.146340,3.201059,2.954824,2.982184,0.699262,4134306
1991-08-01,2.954824,3.064262,2.735948,3.036902,0.722936,7677411
1991-09-01,3.009543,3.064262,2.872746,3.064262,0.729449,5113857
1991-10-01,3.064262,3.255778,2.927465,3.228419,0.768527,5547895
1991-11-01,3.201059,3.474654,3.091621,3.474654,0.839406,5965484
1991-12-01,3.447295,3.693530,3.228419,3.693530,0.892282,6442008
1992-01-01,3.638811,3.775608,3.419935,3.556733,0.859235,6117168
1992-02-01,3.556733,3.666171,3.310497,3.310497,0.811867,5118885
1992-03-01,3.310497,3.529373,3.228419,3.529373,0.865544,4996441
1992-04-01,3.502014,3.584092,3.064262,3.556733,0.872253,6457084
1992-05-01,3.502014,3.720890,3.419935,3.502014,0.873269,3664177
1992-06-01,3.502014,3.830327,3.255778,3.720890,0.927848,5026137
1992-07-01,3.693530,3.830327,3.310497,3.693530,0.921025,6914420
1992-08-01,3.693530,3.802968,3.474654,3.720890,0.942460,5636530
1992-09-01,3.693530,3.802968,3.556733,3.802968,0.963249,6106656
1992-10-01,3.802968,4.021844,3.611452,3.967125,1.004828,4126083
1992-11-01,3.967125,3.994484,3.666171,3.693530,0.948706,4231165
1992-12-01,3.693530,4.158641,3.693530,4.021844,1.033036,5516826
1993-01-01,4.049203,4.240720,3.939765,4.049203,1.040062,4203296
1993-02-01,4.103922,4.514314,4.049203,4.459596,1.161987,6032189
1993-03-01,4.486955,5.116223,4.377517,4.869988,1.268918,6859596
1993-04-01,4.869988,5.307739,4.705831,5.088864,1.325948,5326308
1993-05-01,5.088864,5.444537,4.952066,5.116223,1.349000,5393925
1993-06-01,5.143583,5.745491,5.116223,5.718132,1.507706,4312031
1993-07-01,5.690772,5.718132,4.623752,4.623752,1.219150,6585010
1993-08-01,4.651112,4.842628,4.459596,4.705831,1.256297,6490893
1993-09-01,4.705831,4.952066,4.596393,4.869988,1.300121,3973489
1993-10-01,4.869988,4.952066,4.569033,4.651112,1.241689,3265323
1993-11-01,4.651112,4.760550,4.295439,4.486955,1.212664,2691938
1993-12-01,4.432236,4.486955,3.857687,4.131282,1.116538,4611290
1994-01-01,4.103922,4.350158,4.076563,4.322798,1.168298,3780225
1994-02-01,4.322798,4.459596,3.939765,3.967125,1.088102,2897077
1994-03-01,3.967125,4.049203,3.584092,3.748249,1.028069,4621800
1994-04-01,3.720890,3.857687,3.556733,3.638811,0.998053,4165832
1994-05-01,3.638811,3.748249,3.447295,3.584092,0.999028,4956692
1994-06-01,3.556733,3.775608,3.447295,3.748249,1.044786,5023396
1994-07-01,3.748249,4.049203,3.584092,4.049203,1.128673,3079372
1994-08-01,3.994484,4.158641,3.748249,3.939765,1.115521,2736255
1994-09-01,3.912406,3.939765,3.474654,3.693530,1.045801,2447049
1994-10-01,3.720890,3.939765,3.693530,3.857687,1.092281,11055581
1994-11-01,3.830327,3.885046,3.666171,3.775608,1.086299,3063838
1994-12-01,3.775608,3.967125,3.693530,3.939765,1.133528,2969720
1995-01-01,3.912406,4.021844,3.748249,3.830327,1.102042,2561269
1995-02-01,3.802968,3.912406,3.748249,3.775608,1.103709,1959102
1995-03-01,3.802968,4.186001,3.775608,4.131282,1.207682,3143334
1995-04-01,4.103922,4.240720,4.021844,4.186001,1.223677,4848868
1995-05-01,4.186001,4.295439,4.049203,4.158641,1.233742,3208212
1995-06-01,4.158641,4.705831,4.076563,4.678471,1.387959,4826022
1995-07-01,4.569033,5.116223,4.514314,5.088864,1.509711,4880394
1995-08-01,5.061504,5.225661,4.760550,4.787909,1.438029,3749614
1995-09-01,4.815269,5.143583,4.815269,5.088864,1.528419,3497416
1995-10-01,5.116223,5.417177,5.034145,5.335099,1.602376,3180341
1995-11-01,5.335099,5.430857,5.034145,5.143583,1.563650,3455384
1995-12-01,5.143583,5.225661,4.842628,5.006785,1.522064,4236649
1996-01-01,4.979426,5.143583,4.377517,4.569033,1.388987,5673536
1996-02-01,4.596393,4.842628,4.486955,4.760550,1.467596,5657545
1996-03-01,4.787909,5.335099,4.623752,5.253020,1.619416,4881307
1996-04-01,5.198302,5.827570,5.198302,5.690772,1.754368,7413793
1996-05-01,5.636053,6.019086,5.417177,5.964367,1.859766,6427388
1996-06-01,5.909648,5.909648,5.335099,5.471896,1.706208,3714433
1996-07-01,5.499256,5.882289,5.417177,5.772851,1.800049,4972682
1996-08-01,5.772851,6.320040,5.772851,5.991726,1.889488,5567995
1996-09-01,5.937008,6.210602,5.854929,6.019086,1.898116,3071606
1996-10-01,6.019086,6.265321,5.690772,5.882289,1.854977,3992219
1996-11-01,5.882289,6.237962,5.444537,6.019086,1.919343,6300831
1996-12-01,5.991726,6.648354,5.690772,6.566276,2.093829,6473535
1997-01-01,6.566276,6.757792,6.374759,6.484197,2.067657,5029791
1997-02-01,6.456838,6.593635,6.237962,6.237962,2.009401,2920380
1997-03-01,6.210602,6.402119,5.663413,5.690772,1.833139,5159545
