Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,3.135802,4.000000,3.098765,3.975309,1.423299,21312118
1991-02-01,4.049383,4.345679,3.827160,3.901235,1.396778,23839317
1991-03-01,3.901235,4.123457,3.851852,3.950617,1.415098,13420692
1991-04-01,3.950617,4.197531,3.728395,4.148148,1.485854,27062104
1991-05-01,4.049383,4.938272,3.975309,4.913580,1.760028,19595931
1991-06-01,4.864198,4.913580,4.296296,4.370370,1.574347,15695779
1991-07-01,4.444444,4.790123,4.370370,4.765432,1.716661,17700529
1991-08-01,4.716049,4.765432,4.148148,4.765432,1.716661,14753144
1991-09-01,4.765432,4.765432,4.296296,4.765432,1.726251,9811129
1991-10-01,4.740741,4.839506,4.320988,4.617284,1.672586,14887805
1991-11-01,4.641975,4.913580,4.493827,4.567901,1.654696,19191943
1991-12-01,4.543210,4.962963,4.419753,4.790123,1.744004,23618593
1992-01-01,4.814815,5.456790,4.716049,5.382716,1.960101,23199418
1992-02-01,5.308642,6.049383,5.234568,5.876543,2.139927,22143380
1992-03-01,5.802469,5.876543,5.308642,5.358025,1.951793,17392729
1992-04-01,5.382716,5.925926,5.086420,5.580247,2.032744,25084693
1992-05-01,5.555556,5.950617,5.555556,5.950617,2.167661,18584441
1992-06-01,5.876543,6.222222,5.530864,5.753086,2.104816,28602118
1992-07-01,5.753086,5.777778,5.061728,5.530864,2.023515,36651493
1992-08-01,5.530864,5.555556,4.913580,5.160494,1.888011,18454843
1992-09-01,5.111111,5.432099,5.086420,5.259259,1.933179,14906030
1992-10-01,5.308642,5.604938,4.888889,5.555556,2.042089,20556792
1992-11-01,5.506173,5.790123,5.456790,5.777778,2.123773,15024494
1992-12-01,5.777778,5.925926,5.580247,5.654321,2.087469,14704543
1993-01-01,5.654321,5.876543,5.580247,5.814815,2.156015,12883054
1993-02-01,5.790123,6.444444,5.679012,5.901235,2.188056,25077605
1993-03-01,5.925926,6.370370,5.703704,6.370370,2.362002,15300903
1993-04-01,6.370370,6.567901,5.728395,5.975309,2.215523,19008680
1993-05-01,6.024691,6.049383,5.283951,5.481481,2.032421,17336030
1993-06-01,5.481481,6.049383,5.481481,6.024691,2.243460,10322445
1993-07-01,6.024691,6.148148,5.802469,6.098765,2.271044,8034192
1993-08-01,6.123457,6.444444,6.024691,6.222222,2.317016,14496982
1993-09-01,6.172840,6.419753,5.975309,6.098765,2.280313,18521668
1993-10-01,6.148148,6.691358,6.000000,6.666667,2.492649,22021881
1993-11-01,6.691358,6.938272,6.098765,6.617284,2.474186,22204128
1993-12-01,6.666667,6.814815,6.000000,6.049383,2.270030,24147119
1994-01-01,6.049383,6.074074,5.135802,6.000000,2.270183,25288205
1994-02-01,5.950617,6.098765,5.456790,5.753086,2.193835,19049179
1994-03-01,5.728395,5.950617,4.938272,4.962963,1.907318,22312469
1994-04-01,4.913580,5.407407,4.654321,5.283951,2.030678,29130640
1994-05-01,5.283951,5.333333,4.814815,4.888889,1.878851,19199029
1994-06-01,4.839506,4.864198,4.320988,4.567901,1.771435,20050542
1994-07-01,4.543210,5.160494,4.493827,4.987654,1.934215,17679266
1994-08-01,4.938272,4.987654,4.617284,4.938272,1.915066,22393468
1994-09-01,4.938272,4.987654,4.469136,4.500000,1.754192,14617467
1994-10-01,4.500000,4.543210,4.024691,4.419753,1.722909,25030016
