Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,7.185185,7.962963,6.740741,7.925926,4.423036,7925518
1991-02-01,7.851852,8.370370,7.629630,7.814815,4.361031,4111769
1991-03-01,7.703704,8.518519,7.185185,7.481481,4.210885,9549568
1991-04-01,7.407407,8.000000,7.111111,7.777778,4.377654,6781057
1991-05-01,7.814815,8.666667,7.481481,8.666667,4.877955,4999056
1991-06-01,8.703704,8.925926,7.703704,7.962963,4.520937,7140831
1991-07-01,8.111111,8.222222,7.814815,7.888889,4.478882,3966982
1991-08-01,7.888889,8.000000,7.444444,7.814815,4.436829,5605544
1991-09-01,7.814815,7.888889,7.296296,7.555556,4.327368,6751692
1991-10-01,7.555556,8.925926,7.444444,8.925926,5.112238,9062894
1991-11-01,8.851852,9.185185,8.444444,8.703704,4.984959,6466505
1991-12-01,8.703704,9.111111,8.000000,9.074074,5.237069,6166469
1992-01-01,9.074074,9.851852,8.666667,9.518519,5.493580,10000468
1992-02-01,9.481481,10.333333,9.000000,10.296296,5.942469,7640668
1992-03-01,10.222222,10.518519,9.037037,9.962963,5.790910,7831356
1992-04-01,9.888889,10.740741,9.407407,10.333333,6.006192,8092918
1992-05-01,10.296296,10.703704,9.703704,9.740741,5.661747,4965306
1992-06-01,9.703704,9.814815,8.000000,8.629630,5.051060,11081817
1992-07-01,8.666667,9.185185,8.259259,8.888889,5.202805,4352743
1992-08-01,8.814815,8.962963,8.185185,8.740741,5.116095,3265991
1992-09-01,8.851852,9.481481,8.666667,9.037037,5.334844,5714218
1992-10-01,9.037037,9.037037,7.740741,8.333333,4.919425,7073330
1992-11-01,8.296296,8.666667,7.777778,8.407407,4.963153,6151280
1992-12-01,8.370370,8.777778,7.925926,8.777778,5.225996,7952855
1993-01-01,8.740741,9.777778,8.740741,9.666667,5.755213,9474304
1993-02-01,9.666667,10.148148,9.222222,9.592593,5.711111,6557629
1993-03-01,9.518519,10.074074,9.296296,9.629630,5.775004,6169843
1993-04-01,9.666667,9.666667,8.296296,8.814815,5.286347,8897180
1993-05-01,8.851852,9.592593,8.814815,9.518519,5.708366,6466843
1993-06-01,9.555556,10.111111,9.518519,9.814815,5.931984,7232630
1993-07-01,9.888889,9.888889,8.888889,9.222222,5.573829,10947830
1993-08-01,9.222222,10.296296,9.222222,10.074074,6.088678,8744290
1993-09-01,10.074074,10.370370,9.666667,10.111111,6.154669,5427680
1993-10-01,10.074074,10.814815,10.037037,10.148148,6.177212,12382880
1993-11-01,10.148148,11.185185,10.037037,10.666667,6.492839,8669705
1993-12-01,10.703704,11.296296,10.555556,11.185185,6.853064,7414541
1994-01-01,11.148148,11.703704,10.814815,11.333333,6.943834,5222144
1994-02-01,11.333333,11.444444,10.333333,10.481481,6.421913,9086855
1994-03-01,10.444444,11.629630,10.296296,10.481481,6.466663,11783141
1994-04-01,10.370370,12.888889,10.074074,12.851852,7.929090,15129116
1994-05-01,12.851852,13.296296,12.148148,12.777778,7.883386,12990718
1994-06-01,12.740741,13.037037,11.814815,12.629630,7.838509,11625869
1994-07-01,12.629630,13.370370,12.296296,12.777778,7.930451,8172228
1994-08-01,12.851852,12.925926,12.000000,12.444444,7.723568,7132732
1994-09-01,12.370370,12.444444,11.111111,11.814815,7.376709,7242417
1994-10-01,11.814815,13.962963,11.333333,13.851852,8.648554,16718068
1994-11-01,13.925926,13.925926,12.555556,13.000000,8.116686,15466955
1994-12-01,12.962963,13.851852,12.888889,13.481481,8.463552,8360219
1995-01-01,13.481481,14.629630,13.111111,14.000000,8.789075,13144279
1995-02-01,14.000000,14.296296,13.333333,13.851852,8.696069,9867154
1995-03-01,13.962963,13.962963,12.259259,13.111111,8.273911,14058907
1995-04-01,13.111111,15.666667,12.962963,15.407407,9.723010,11865831
1995-05-01,15.481481,16.925926,15.259259,16.925926,10.681293,10586367
1995-06-01,16.925926,17.555555,15.666667,16.111111,10.217710,6707813
1995-07-01,16.055555,18.222221,16.055555,18.111111,11.486116,8225775
1995-08-01,18.111111,18.222221,16.555555,17.611111,11.169012,8223525
1995-09-01,17.666668,18.444445,15.666667,16.888889,10.760326,8879850
1995-10-01,16.888889,16.888889,13.722222,15.000000,9.556870,14784075
1995-11-01,14.944444,17.055555,14.666667,16.333332,10.406368,10930050
