Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,7.812500,8.593750,7.718750,8.500000,5.304205,4925600
1991-02-01,8.437500,9.718750,8.343750,9.562500,6.005445,5753600
1991-03-01,9.500000,10.468750,9.468750,10.125000,6.358707,5699200
1991-04-01,10.062500,10.562500,9.937500,10.281250,6.456838,3839200
1991-05-01,10.218750,10.562500,10.125000,10.343750,6.528829,2605200
1991-06-01,10.375000,11.156250,9.875000,10.062500,6.351309,3808800
1991-07-01,10.062500,10.437500,9.750000,10.031250,6.331583,2588400
1991-08-01,9.968750,10.781250,9.937500,10.687500,6.780214,4094400
1991-09-01,10.781250,11.093750,10.187500,10.250000,6.502656,3433200
1991-10-01,10.187500,10.468750,9.593750,10.156250,6.443187,5903600
1991-11-01,10.218750,11.312500,10.187500,11.250000,7.175456,4857200
1991-12-01,11.187500,12.500000,11.062500,12.437500,7.932866,5618800
1992-01-01,12.375000,13.000000,12.031250,12.375000,7.893006,5582400
1992-02-01,12.375000,12.875000,12.250000,12.625000,8.061756,3994400
1992-03-01,12.687500,13.375000,12.531250,12.968750,8.281266,3578800
1992-04-01,12.875000,13.093750,11.562500,11.687500,7.463115,3833200
1992-05-01,11.656250,12.375000,11.312500,12.250000,7.861810,4065200
1992-06-01,12.437500,12.437500,10.625000,11.500000,7.380476,2920400
1992-07-01,11.437500,12.375000,11.000000,11.875000,7.621141,2497800
1992-08-01,11.812500,12.000000,10.687500,10.937500,7.057832,2856400
1992-09-01,11.000000,11.312500,10.562500,10.875000,7.017497,5568000
1992-10-01,10.875000,10.875000,9.812500,9.875000,6.372213,3178600
1992-11-01,9.812500,10.625000,8.937500,9.125000,5.922886,8722800
1992-12-01,9.125000,10.312500,9.000000,9.812500,6.369127,10046600
1993-01-01,9.937500,11.125000,9.687500,10.875000,7.058778,6691200
1993-02-01,11.062500,12.000000,11.000000,11.312500,7.386404,4268400
1993-03-01,11.250000,11.875000,11.187500,11.375000,7.427211,3748400
1993-04-01,11.500000,11.750000,11.062500,11.687500,7.631252,3075400
1993-05-01,11.687500,12.250000,11.500000,12.187500,8.002961,3604000
1993-06-01,12.125000,12.125000,9.375000,9.625000,6.320285,3421400
1993-07-01,9.750000,9.937500,9.000000,9.500000,6.238206,3796600
1993-08-01,9.375000,10.125000,9.062500,9.750000,6.445615,5201000
1993-09-01,9.812500,10.000000,7.875000,8.187500,5.412666,8909200
1993-10-01,8.187500,9.000000,8.125000,9.000000,5.949798,6855400
1993-11-01,8.937500,9.187500,8.750000,8.875000,5.910451,3964800
1993-12-01,8.937500,9.187500,8.812500,9.187500,6.118564,6369600
1994-01-01,9.125000,9.500000,8.875000,9.500000,6.326682,5787600
1994-02-01,9.437500,9.500000,8.937500,9.312500,6.249753,3070800
1994-03-01,9.250000,9.375000,8.187500,8.187500,5.494750,5377600
1994-04-01,8.062500,8.250000,7.125000,7.437500,4.991414,6279200
1994-05-01,7.375000,7.812500,7.062500,7.312500,4.950845,6308000
1994-06-01,7.312500,8.187500,7.250000,7.500000,5.077787,6732600
1994-07-01,7.500000,7.812500,7.437500,7.687500,5.204735,2510600
1994-08-01,7.687500,7.937500,7.312500,7.750000,5.294872,4113800
1994-09-01,7.812500,7.875000,7.437500,7.625000,5.209473,4484400
1994-10-01,7.625000,8.625000,7.625000,8.062500,5.508378,4962400
1994-11-01,8.125000,8.187500,7.375000,7.375000,5.082458,5275600
1994-12-01,7.375000,7.500000,6.875000,7.062500,4.867098,2963400
1995-01-01,7.062500,7.375000,6.500000,7.000000,4.824027,7136600
1995-02-01,7.000000,7.437500,6.812500,7.187500,5.004667,3619000
1995-03-01,7.187500,7.750000,6.937500,7.500000,5.273175,5651600
1995-04-01,7.500000,8.687500,7.500000,8.437500,5.932320,4181600
1995-05-01,8.375000,9.187500,8.312500,9.062500,6.426701,4352000
1995-06-01,9.000000,9.000000,8.062500,8.375000,5.939157,3733800
1995-07-01,8.375000,9.312500,8.187500,9.312500,6.603989,4041000
1995-08-01,9.312500,9.687500,9.125000,9.500000,6.790895,12072000
1995-09-01,9.500000,10.000000,9.500000,9.750000,6.969603,1941800
1995-10-01,9.750000,9.812500,9.000000,9.312500,6.656864,2495800
1995-11-01,9.375000,9.750000,9.250000,9.625000,6.931322,2413200
1995-12-01,9.687500,12.250000,9.500000,12.125000,8.731668,5177200
1996-01-01,12.000000,12.062500,10.187500,11.125000,8.011530,7530400
1996-02-01,11.125000,12.562500,11.000000,11.937500,8.654338,5320400
1996-03-01,12.125000,12.437500,11.187500,11.187500,8.110605,4959200
1996-04-01,11.187500,11.750000,10.062500,11.000000,7.974675,6243800
1996-05-01,11.000000,11.125000,10.250000,10.875000,7.934256,7369000
1996-06-01,10.750000,11.000000,9.937500,10.687500,7.797462,5855600
1996-07-01,10.625000,10.687500,8.562500,9.000000,6.566284,5261800
1996-08-01,9.187500,10.062500,9.125000,9.375000,6.890652,4141800
1996-09-01,9.375000,10.500000,8.437500,8.937500,6.569088,5939000
1996-10-01,8.937500,9.000000,8.125000,8.812500,6.477213,8249400
1996-11-01,8.875000,9.562500,8.812500,9.125000,6.760224,5652600
1996-12-01,9.125000,10.562500,9.062500,10.062500,7.454762,5447800
1997-01-01,10.125000,11.187500,9.812500,10.625000,7.871491,6057000
1997-02-01,10.625000,12.312500,10.562500,10.875000,8.111432,6656400
1997-03-01,10.875000,11.312500,10.312500,10.437500,7.785109,3028200
1997-04-01,10.312500,10.375000,9.062500,9.375000,6.992613,5174000
1997-05-01,9.437500,10.187500,9.312500,9.750000,7.327025,5631400
1997-06-01,9.687500,11.312500,9.625000,11.250000,8.454258,5313400
1997-07-01,11.218750,11.218750,9.750000,10.250000,7.702771,5672600
1997-08-01,10.187500,11.187500,9.375000,10.625000,8.037067,6267400
1997-09-01,10.593750,10.843750,10.093750,10.343750,7.824321,7061600
1997-10-01,10.437500,11.500000,9.406250,10.343750,7.824321,5765200
1997-11-01,10.375000,10.500000,9.406250,9.812500,7.469731,4789400
1997-12-01,9.843750,10.718750,9.000000,10.406250,7.921723,5136000
1998-01-01,10.406250,12.687500,9.718750,12.062500,9.182531,8230600
1998-02-01,12.187500,13.687500,12.093750,13.468750,10.323764,9325800
1998-03-01,13.562500,14.875000,13.281250,14.531250,11.138164,8302400
1998-04-01,14.531250,15.656250,13.562500,15.062500,11.545361,8245800
1998-05-01,15.062500,16.875000,14.500000,15.750000,12.130642,8839600
1998-06-01,16.000000,16.343750,14.000000,15.000000,11.552991,6010000
1998-07-01,15.000000,15.062500,12.812500,12.906250,9.940387,5676600
1998-08-01,12.968750,14.562500,11.718750,11.718750,9.069463,6373600
1998-09-01,11.781250,12.000000,9.437500,11.312500,8.755053,12461600
1998-10-01,11.156250,12.906250,10.250000,12.562500,9.722466,5789600
1998-11-01,12.687500,14.375000,12.531250,13.968750,10.875246,3622000
1998-12-01,13.968750,14.718750,12.562500,13.906250,10.826592,3215800
1999-01-01,13.781250,15.093750,13.187500,14.187500,11.045553,6717400
1999-02-01,14.125000,14.437500,12.875000,13.250000,10.367278,4419400
1999-03-01,13.125000,14.093750,12.750000,13.187500,10.318375,5465800
1999-04-01,13.437500,16.468750,13.218750,15.625000,12.225567,5874200
1999-05-01,15.500000,16.718750,14.125000,14.843750,11.671112,4314600
1999-06-01,14.843750,18.000000,14.093750,17.812500,14.005338,5658600
1999-07-01,17.687500,18.125000,16.312500,16.781250,13.194507,5290600
1999-08-01,16.812500,17.437500,15.750000,15.906250,12.558712,5900400
1999-09-01,15.906250,19.968750,15.906250,19.875000,15.692231,8009600
1999-10-01,19.750000,20.437500,18.312500,20.406250,16.111679,6806200
1999-11-01,20.250000,22.500000,18.875000,20.562500,16.295774,7424800
1999-12-01,20.625000,21.812500,18.906250,20.843750,16.518661,7012000
2000-01-01,20.875000,25.468750,19.000000,25.031250,19.837255,11607200
2000-02-01,24.906250,42.250000,24.875000,32.312500,25.691042,23528400
2000-03-01,32.250000,41.000000,31.156250,33.250000,26.436432,22026200
2000-04-01,33.187500,33.187500,24.812500,27.750000,22.063496,14462400
2000-05-01,27.000000,28.937500,24.375000,26.250000,20.924202,13443000
2000-06-01,26.937500,34.718750,26.875000,33.070313,26.360748,16920800
2000-07-01,33.000000,38.500000,30.562500,31.968750,25.482681,15087800
2000-08-01,32.406250,45.625000,30.406250,44.968750,35.913437,35111400
2000-09-01,45.468750,54.562500,42.187500,52.187500,41.678543,22033800
2000-10-01,52.500000,60.500000,44.031250,59.750000,47.718174,26805600
2000-11-01,59.812500,60.312500,39.750000,44.531250,35.613243,30004400
2000-12-01,44.531250,55.750000,44.500000,52.500000,41.986134,23407000
2001-01-01,51.750000,52.312500,41.750000,48.744999,38.983116,25364600
2001-02-01,48.650002,49.099998,35.520000,36.610001,29.323473,21742200
2001-03-01,35.875000,37.869999,21.500000,26.225000,21.005407,36615000
2001-04-01,26.160000,33.924999,21.275000,33.455002,26.796412,27568600
2001-05-01,32.674999,38.125000,30.434999,34.514999,27.716791,20688400
2001-06-01,34.974998,38.270000,26.000000,27.530001,22.107584,25500400
2001-07-01,26.600000,34.500000,24.900000,31.500000,25.295633,21563600
2001-08-01,31.490000,32.750000,27.650000,32.080002,25.825531,19532200
2001-09-01,31.850000,32.400002,24.260000,26.240000,21.124117,10489700
2001-10-01,26.180000,30.500000,25.270000,26.910000,21.663498,15705200
2001-11-01,27.299999,30.209999,26.150000,27.719999,22.369249,15522400
2001-12-01,27.700001,36.290001,26.959999,35.020000,28.260147,20304600
2002-01-01,34.849998,36.299999,28.000000,29.500000,23.805670,15370200
2002-02-01,29.080000,29.700001,22.809999,23.000000,18.599766,17812300
2002-03-01,20.500000,23.000000,15.710000,18.500000,14.960679,63668600
2002-04-01,18.219999,18.600000,11.780000,12.800000,10.351173,37249800
2002-05-01,12.650000,14.670000,11.800000,13.970000,11.359459,18056700
2002-06-01,13.870000,13.870000,10.440000,11.050000,8.985112,17577900
2002-07-01,11.150000,11.280000,6.480000,7.620000,6.196069,23488100
2002-08-01,7.520000,7.920000,4.280000,5.700000,4.672231,25057500
2002-09-01,5.640000,5.750000,4.710000,5.450000,4.467310,16898900
2002-10-01,5.600000,7.140000,4.330000,6.960000,5.705041,20894000
2002-11-01,6.970000,8.950000,6.650000,8.560000,7.120381,22497900
2002-12-01,8.880000,8.990000,7.670000,8.250000,6.862518,16961300
2003-01-01,8.350000,9.180000,7.550000,7.800000,6.488198,14830200
2003-02-01,7.900000,8.530000,7.220000,8.480000,7.108396,13532800
2003-03-01,8.500000,9.230000,7.790000,8.890000,7.452084,14655400
2003-04-01,8.900000,10.080000,8.750000,9.920000,8.315486,19792600
2003-05-01,9.940000,13.000000,9.740000,12.790000,10.806269,20141500
2003-06-01,12.790000,14.330000,12.700000,13.810000,11.668067,15840100
2003-07-01,13.750000,15.320000,12.450000,14.860000,12.555213,19704500
2003-08-01,14.760000,16.540001,13.960000,16.540001,14.041233,14008700
2003-09-01,16.600000,17.200001,15.050000,15.310000,12.997055,13373600
2003-10-01,15.310000,18.330000,15.300000,18.010000,15.289155,16731000
2003-11-01,18.049999,18.709999,15.500000,16.910000,14.413282,15968000
2003-12-01,16.660000,17.459999,15.270000,17.070000,14.549663,11645400
2004-01-01,17.250000,21.600000,17.250000,20.650000,17.601091,18559400
2004-02-01,20.930000,22.080000,19.780001,20.840000,17.831316,12892900
2004-03-01,20.830000,21.990000,17.910000,20.690001,17.702971,13842200
2004-04-01,20.610001,22.590000,18.920000,19.250000,16.470861,16638400
2004-05-01,19.219999,20.049999,17.600000,19.510000,16.751062,12944700
2004-06-01,19.510000,20.900000,19.070000,20.040001,17.206121,12681200
2004-07-01,20.000000,20.000000,15.050000,17.580000,15.093992,18258800
2004-08-01,17.400000,18.100000,15.980000,17.480000,15.068887,12325500
2004-09-01,17.490000,18.879999,16.700001,17.219999,14.844747,13751300
2004-10-01,17.350000,21.000000,17.160000,20.540001,17.706808,17101900
2004-11-01,20.000000,22.309999,19.990000,21.330000,18.460232,22369100
2004-12-01,21.549999,23.280001,21.340000,22.490000,19.464167,13758400
2005-01-01,22.549999,23.090000,20.370001,22.990000,19.896889,17100200
2005-02-01,22.900000,23.860001,22.030001,22.180000,19.259829,13010900
2005-03-01,22.440001,23.360001,19.120001,20.629999,17.913893,18951800
2005-04-01,20.680000,21.000000,18.400000,18.500000,16.064323,17591500
2005-05-01,18.570000,19.450001,17.920000,19.129999,16.670916,17053300
2005-06-01,19.180000,19.860001,18.000000,18.900000,16.470493,18110800
2005-07-01,18.920000,21.600000,18.910000,20.980000,18.283115,16115000
2005-08-01,21.000000,21.139999,19.570000,20.700001,18.099009,13360500
2005-09-01,20.700001,21.049999,19.150000,20.370001,17.810472,11577100
2005-10-01,20.370001,22.650000,20.299999,22.070000,19.296869,22087000
2005-11-01,22.110001,23.000000,21.790001,22.809999,20.010773,11862600
2005-12-01,22.910000,24.020000,21.510000,23.559999,20.668732,15237600
2006-01-01,23.760000,24.150000,21.629999,22.740000,19.949366,16795800
2006-02-01,22.700001,24.139999,22.200001,23.790001,20.933617,14827800
2006-03-01,23.930000,24.170000,22.780001,23.469999,20.652039,14716200
2006-04-01,23.480000,23.860001,21.280001,21.440001,18.865765,16057100
2006-05-01,21.500000,21.969999,20.000000,20.860001,18.412495,20635200
2006-06-01,20.910000,21.280001,19.770000,20.900000,18.447794,16568600
2006-07-01,20.980000,21.459999,16.309999,18.030001,15.914536,16449800
2006-08-01,18.020000,20.020000,17.680000,18.430000,16.323666,23387300
2006-09-01,18.459999,19.400000,18.030001,18.930000,16.766525,19440500
2006-10-01,19.100000,21.790001,18.799999,21.360001,18.918804,21910500
2006-11-01,21.400000,22.090000,20.740000,21.670000,19.261406,16244100
2006-12-01,21.549999,22.580000,21.120001,22.230000,19.759165,10999900
2007-01-01,22.200001,23.940001,21.280001,23.870001,21.216875,20374800
2007-02-01,23.870001,24.660000,23.350000,23.740000,21.166721,12672800
2007-03-01,23.510000,24.410000,22.770000,24.219999,21.594677,13581300
2007-04-01,24.129999,26.440001,23.860001,24.200001,21.576864,18704300
2007-05-01,24.200001,26.600000,24.150000,26.510000,23.702860,14166900
