Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,2.770316,2.966197,2.658384,2.966197,1.608206,1975306
1991-02-01,2.882248,3.413924,2.882248,3.357958,1.836857,24174510
1991-03-01,3.301992,3.525856,3.274009,3.469890,1.898087,3056322
1991-04-01,3.441907,4.001567,3.441907,3.945601,2.158307,10159745
1991-05-01,3.889635,4.197448,3.889635,3.959593,2.180188,9891725
1991-06-01,4.001567,4.365346,3.889635,4.309380,2.372784,17254236
1991-07-01,4.309380,4.309380,3.553839,3.721737,2.049222,8523038
1991-08-01,3.693754,4.057533,3.329975,3.889635,2.155156,6163569
1991-09-01,3.861652,4.029550,3.623797,3.973584,2.201669,4231143
1991-10-01,4.029550,4.505261,3.973584,4.449295,2.465250,12284251
1991-11-01,4.449295,4.841057,3.973584,4.085516,2.277032,9671949
1991-12-01,4.001567,4.561227,3.945601,4.505261,2.510974,18102966
1992-01-01,4.463286,5.036938,4.421312,5.036938,2.807300,11406931
1992-02-01,4.952989,5.372733,4.952989,5.260801,2.948675,6508421
1992-03-01,5.204835,5.288784,4.477278,4.547235,2.548722,6567383
1992-04-01,4.533244,4.897023,4.365346,4.757108,2.666356,7778834
1992-05-01,4.785091,5.148869,4.645176,4.869040,2.744550,4792197
1992-06-01,4.785091,4.952989,4.001567,4.057533,2.287125,7600155
1992-07-01,4.057533,4.365346,3.861652,4.365346,2.460632,14325670
1992-08-01,4.393329,4.533244,3.847661,4.029550,2.286441,8924173
1992-09-01,4.057533,4.169465,3.917618,4.127490,2.342014,7451849
1992-10-01,4.169465,4.617193,4.085516,4.589210,2.604003,4850268
1992-11-01,4.547235,4.617193,4.393329,4.477278,2.556977,2774009
1992-12-01,4.533244,4.785091,4.421312,4.421312,2.525012,5375587
1993-01-01,4.421312,5.064921,4.365346,5.008955,2.860616,8282711
1993-02-01,5.008955,5.456682,4.897023,5.204835,2.989811,7727017
1993-03-01,5.176852,5.512648,5.176852,5.484665,3.150556,6746065
1993-04-01,5.512648,6.044325,5.456682,5.596597,3.214852,13672595
1993-05-01,5.582606,5.932393,5.372733,5.876427,3.391993,10425085
1993-06-01,5.848444,6.464070,5.750504,6.422095,3.706961,11081139
1993-07-01,6.464070,6.925789,5.876427,6.044325,3.488905,14847116
1993-08-01,6.002351,6.757891,6.002351,6.275185,3.638228,11148440
1993-09-01,6.212223,6.338146,5.540631,5.834453,3.382699,12156194
1993-10-01,5.876427,5.960376,5.204835,5.288784,3.066332,12494496
1993-11-01,5.288784,6.002351,5.204835,5.918402,3.448874,6294300
1993-12-01,5.918402,6.044325,5.372733,5.540631,3.228734,6464645
1994-01-01,5.540631,6.128274,5.414708,6.065312,3.534484,10813117
1994-02-01,6.086300,6.338146,5.876427,6.044325,3.540014,7892892
1994-03-01,6.128274,6.296172,5.876427,6.086300,3.564599,8444419
1994-04-01,5.918402,6.128274,5.498657,5.750504,3.367932,7083472
1994-05-01,5.792478,5.918402,5.666555,5.792478,3.410309,4571231
1994-06-01,5.792478,6.422095,5.792478,6.002351,3.533870,5034012
1994-07-01,6.002351,6.631968,6.002351,6.317159,3.719211,3848768
1994-08-01,6.317159,7.009738,6.254197,6.841840,4.046676,7610576
1994-09-01,6.757891,7.177636,6.506044,6.631968,3.922546,10402154
1994-10-01,6.652955,7.513432,6.464070,7.051713,4.170808,10038837
1994-11-01,7.009738,7.072700,6.548019,6.589993,3.913914,3249594
1994-12-01,6.589993,7.177636,6.464070,7.177636,4.262927,5723717
1995-01-01,7.093687,7.345534,6.883815,6.883815,4.088420,3766575
1995-02-01,7.009738,7.492445,6.883815,7.209117,4.301747,4943480
1995-03-01,7.219610,7.261585,6.673942,7.093687,4.232869,11540942
1995-04-01,7.093687,7.723304,7.093687,7.681330,4.583523,4941098
1995-05-01,7.639355,8.226998,7.555406,7.681330,4.603677,7104912
1995-06-01,7.597381,7.681330,7.261585,7.303559,4.377264,5483688
1995-07-01,7.303559,7.765279,7.261585,7.681330,4.603677,4552767
1995-08-01,7.639355,7.975151,7.555406,7.639355,4.598734,4275214
1995-09-01,7.555406,7.723304,7.471457,7.555406,4.548196,3938701
1995-10-01,7.492445,8.562794,7.261585,8.478845,5.104088,8389029
1995-11-01,8.478845,8.604768,8.185024,8.352921,5.048789,5072726
1995-12-01,8.310947,8.898590,8.101075,8.352921,5.048789,6312765
1996-01-01,8.352921,8.814641,7.681330,8.814641,5.327866,17771509
1996-02-01,8.814641,9.654130,8.688717,8.898590,5.405504,9905423
1996-03-01,8.730692,9.360309,8.394896,8.478845,5.150524,4225782
1996-04-01,8.520819,9.486232,8.478845,9.150437,5.558488,9352707
1996-05-01,9.150437,9.780054,8.898590,8.982539,5.456499,2998548
1996-06-01,9.024513,10.409671,8.940564,10.073875,6.147635,3518507
1996-07-01,10.073875,10.073875,8.226998,9.066488,5.532876,2747504
1996-08-01,9.108462,10.073875,9.066488,9.150437,5.610823,1619137
1996-09-01,9.192411,10.031901,8.688717,8.898590,5.456396,3226662
1996-10-01,8.940564,9.276360,8.394896,8.478845,5.199017,3117967
1996-11-01,8.478845,9.905977,8.059100,9.738079,6.000133,6501271
1996-12-01,9.780054,10.829416,9.108462,10.829416,6.672564,2578651
1997-01-01,10.829416,10.829416,9.696105,10.619543,6.543252,3582239
1997-02-01,10.577569,10.703492,9.696105,10.535594,6.520995,3587597
1997-03-01,10.535594,10.661518,9.696105,9.696105,6.001392,3065556
1997-04-01,9.864003,10.115850,9.150437,10.031901,6.209232,1938679
1997-05-01,10.073875,11.039288,10.031901,11.039288,6.863770,3613804
1997-06-01,11.039288,11.878778,10.745467,11.039288,6.863770,4115001
1997-07-01,11.081263,12.592344,11.081263,12.193586,7.581464,3771935
1997-08-01,12.172599,12.592344,11.459033,11.962727,7.465970,2341901
1997-09-01,11.962727,12.466420,11.438046,12.382471,7.727930,2823142
1997-10-01,12.298522,13.263936,12.298522,12.970114,8.094681,3468181
1997-11-01,12.991101,13.389859,12.340497,12.676293,7.939331,3774019
1997-12-01,12.697280,12.928140,11.165212,12.067663,7.558131,3740963
1998-01-01,12.004701,12.424446,11.417058,11.501007,7.203233,3082529
1998-02-01,11.563969,13.935527,11.501007,13.830591,8.699967,5044434
1998-03-01,13.872565,15.530557,13.515782,15.026864,9.452471,5443186
1998-04-01,15.068838,15.383647,13.683680,14.523170,9.135629,4582546
1998-05-01,14.523170,15.425621,13.893553,14.733042,9.301628,4133762
1998-06-01,14.691068,14.691068,12.088650,14.271323,9.010118,6187987
1998-07-01,14.145400,14.523170,12.970114,13.347884,8.427114,4445560
1998-08-01,13.326897,13.368872,9.360309,9.360309,5.932210,6286856
1998-09-01,9.360309,11.081263,8.982539,10.829416,6.863279,5469693
1998-10-01,10.829416,13.200974,10.115850,12.634318,8.007157,4417566
1998-11-01,12.676293,13.767629,12.277535,12.655306,8.052299,3554242
1998-12-01,12.655306,13.599731,11.878778,13.368872,8.506321,5679641
1999-01-01,13.410846,14.229349,12.760242,12.844191,8.172482,4168007
1999-02-01,12.928140,13.096038,11.983714,12.718267,8.125265,4421734
1999-03-01,12.697280,13.054063,10.031901,11.333109,7.240340,8611482
1999-04-01,11.417058,15.866353,11.144224,15.782404,10.082843,9298210
1999-05-01,15.698455,16.600906,14.019476,14.816991,9.500426,7389607
1999-06-01,14.816991,15.446608,14.061451,15.362660,9.850300,6255884
1999-07-01,15.320685,15.992277,14.586132,14.586132,9.352404,4792794
1999-08-01,14.187374,16.076225,13.221961,15.278711,9.830810,7656142
1999-09-01,15.278711,15.677468,13.452821,13.473808,8.669476,11952500
1999-10-01,13.473808,13.851578,11.836803,12.634318,8.129319,10054324
1999-11-01,12.550369,13.305910,11.836803,12.466420,8.056850,8233575
1999-12-01,12.508395,12.970114,10.661518,12.928140,8.355254,13894752
