Date,Open,High,Low,Close,Adj Close,Volume
1995-11-01,0.888889,0.987654,0.877915,0.888889,0.678697,8265038
1995-12-01,0.877915,0.943759,0.877915,0.917695,0.700691,5191848
1996-01-01,0.910837,1.075446,0.877915,1.075446,0.821140,6098541
1996-02-01,1.075446,1.130316,1.031550,1.108368,0.846276,3338593
1996-03-01,1.130316,1.338820,1.097394,1.272977,0.971961,5614440
1996-04-01,1.316872,1.514403,1.229081,1.470508,1.122783,5514200
1996-05-01,1.448560,1.668038,1.448560,1.668038,1.273604,5038073
1996-06-01,1.668038,1.755830,1.470508,1.580247,1.206572,4523216
1996-07-01,1.580247,1.733882,1.514403,1.646091,1.256847,8194415
1996-08-01,1.668038,1.668038,1.580247,1.668038,1.273604,2566309
1996-09-01,1.580247,1.887517,1.580247,1.777778,1.357394,2033224
1996-10-01,1.821674,1.821674,1.580247,1.580247,1.206572,1878314
1996-11-01,1.580247,1.733882,1.580247,1.668038,1.273604,1604940
1996-12-01,1.646091,1.821674,1.624143,1.821674,1.390910,1215380
1997-01-01,1.733882,1.953361,1.733882,1.887517,1.441183,1175513
1997-02-01,1.953361,2.106996,1.887517,2.106996,1.608764,1107170
1997-03-01,2.041152,2.106996,1.733882,1.865569,1.424425,3810164
1997-04-01,1.799726,1.887517,1.799726,1.887517,1.441183,3863699
1997-05-01,1.832647,2.172840,1.821674,2.150892,1.642279,4622316
1997-06-01,2.085048,2.194787,1.711934,1.854595,1.416046,9177424
1997-07-01,1.843621,1.997257,1.799726,1.997257,1.524974,3003708
1997-08-01,1.953361,2.117970,1.909465,2.019204,1.541731,3031045
1997-09-01,2.019204,2.282579,2.019204,2.271605,1.734448,1530901
1997-10-01,2.271605,3.160494,2.172840,3.160494,2.413145,1666072
1997-11-01,2.897119,3.127572,2.584362,2.600823,1.985817,850502
1997-12-01,2.600823,2.600823,2.370370,2.534979,1.935543,18120968
1998-01-01,2.469136,2.765432,2.419753,2.732510,2.086364,4364889
1998-02-01,2.765432,3.094650,2.633745,3.012346,2.300029,4332997
1998-03-01,2.962963,3.094650,2.897119,2.962963,2.262323,4225165
1998-04-01,2.962963,3.160494,2.897119,3.111111,2.375439,3985204
