Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,10.187188,10.245400,9.721488,9.867019,1.957935,3376851
1991-02-01,9.925231,10.478250,9.808806,10.245400,2.033017,6561735
1991-03-01,10.274506,10.478250,9.896125,10.420038,2.067672,6586216
1991-04-01,10.390931,10.740206,10.187188,10.361825,2.092774,3946319
1991-05-01,10.361825,10.594675,10.245400,10.420038,2.104531,7458878
1991-06-01,10.420038,10.449144,9.925231,10.158081,2.051623,5563239
1991-07-01,10.128975,10.536463,10.128975,10.507356,2.159566,5570966
1991-08-01,10.478250,11.031269,10.449144,11.031269,2.267245,4983893
1991-09-01,11.031269,11.176800,10.652888,11.176800,2.297155,6029202
1991-10-01,11.176800,11.555181,11.002163,11.555181,2.414527,3963495
1991-11-01,11.555181,11.788031,11.264119,11.555181,2.414527,4744255
1991-12-01,11.584288,12.253731,11.293225,12.253731,2.560495,7281081
1992-01-01,12.195519,12.341050,11.380544,11.526075,2.446269,6647626
1992-02-01,11.526075,11.642500,11.235013,11.584288,2.458625,6129268
1992-03-01,11.584288,11.584288,11.118588,11.264119,2.390673,7421515
1992-04-01,11.235013,11.729819,11.205906,11.700713,2.524552,4019754
1992-05-01,11.700713,12.166413,11.671606,12.108200,2.612471,5221604
1992-06-01,12.049988,12.108200,11.467863,12.049988,2.599910,7711186
1992-07-01,12.049988,13.156025,11.991775,13.097813,2.870802,4888984
1992-08-01,13.156025,13.156025,12.748538,13.039600,2.858043,4057975
1992-09-01,12.981388,13.039600,11.933563,12.806750,2.807006,9743181
1992-10-01,12.806750,12.981388,12.166413,12.632113,2.809223,4027701
1992-11-01,12.573900,12.748538,12.049988,12.748538,2.835113,7510845
1992-12-01,12.748538,12.981388,12.049988,12.690325,2.822167,10917759
1993-01-01,12.690325,13.039600,12.224625,12.981388,2.930514,4983897
1993-02-01,12.981388,14.029213,12.923175,14.029213,3.167059,3710972
1993-03-01,14.029213,14.203850,13.505300,13.912788,3.140776,11830578
1993-04-01,13.854575,14.320275,13.621725,13.854575,3.170462,4161478
1993-05-01,13.854575,14.087425,13.214238,13.854575,3.170462,2957053
1993-06-01,13.796363,14.087425,13.330663,13.679938,3.130497,11022978
1993-07-01,13.738150,14.145638,13.679938,14.087425,3.269407,2956839
1993-08-01,14.087425,14.378488,14.029213,14.262063,3.309937,4406915
1993-09-01,14.262063,14.436700,13.854575,14.087425,3.269407,10994418
1993-10-01,14.029213,14.087425,13.272450,13.621725,3.203908,7420657
1993-11-01,13.563513,13.563513,12.224625,12.515688,2.943762,4715911
1993-12-01,12.632113,12.923175,12.166413,12.573900,2.957453,8071720
1994-01-01,12.573900,12.690325,11.642500,11.758925,2.808625,6067424
1994-02-01,11.817138,11.875350,10.885738,11.235013,2.683488,6808457
1994-03-01,11.118588,11.409650,10.536463,10.711100,2.558350,21090619
1994-04-01,10.711100,11.584288,10.652888,11.467863,2.786778,5178657
1994-05-01,11.409650,11.467863,10.245400,10.303613,2.503857,9031997
1994-06-01,10.303613,10.361825,9.081150,9.139363,2.220936,20220528
1994-07-01,9.197575,9.605063,9.139363,9.546850,2.365154,8829933
1994-08-01,9.605063,10.187188,9.372213,9.837913,2.437262,7721494
